Created as New Dataset,Sample 054 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,1.1405
7501.00,1.1371
7500.00,1.1337
7499.00,1.1304
7498.00,1.1271
7497.00,1.1238
7496.00,1.1205
7495.00,1.1173
7494.00,1.1141
7493.00,1.1115
7492.00,1.1106
7491.00,1.1117
7490.00,1.1135
7489.00,1.1138
7488.00,1.1114
7487.00,1.1062
7486.00,1.0991
7485.00,1.0900
7484.00,1.0791
7483.00,1.0673
7482.00,1.0561
7481.00,1.0471
7480.00,1.0404
7479.00,1.0348
7478.00,1.0294
7477.00,1.0241
7476.00,1.0198
7475.00,1.0165
7474.00,1.0136
7473.00,1.0106
7472.00,1.0073
7471.00,1.0035
7470.00,0.9989
7469.00,0.9931
7468.00,0.9865
7467.00,0.9798
7466.00,0.9732
7465.00,0.9666
7464.00,0.9597
7463.00,0.9526
7462.00,0.9453
7461.00,0.9379
7460.00,0.9302
7459.00,0.9223
7458.00,0.9143
7457.00,0.9065
7456.00,0.8989
7455.00,0.8919
7454.00,0.8854
7453.00,0.8791
7452.00,0.8727
7451.00,0.8660
7450.00,0.8593
7449.00,0.8528
7448.00,0.8464
7447.00,0.8400
7446.00,0.8333
7445.00,0.8263
7444.00,0.8195
7443.00,0.8132
7442.00,0.8074
7441.00,0.8017
7440.00,0.7964
7439.00,0.7917
7438.00,0.7877
7437.00,0.7841
7436.00,0.7806
7435.00,0.7773
7434.00,0.7745
7433.00,0.7724
7432.00,0.7710
7431.00,0.7700
7430.00,0.7693
7429.00,0.7694
7428.00,0.7705
7427.00,0.7725
7426.00,0.7750
7425.00,0.7776
7424.00,0.7803
7423.00,0.7834
7422.00,0.7871
7421.00,0.7914
7420.00,0.7959
7419.00,0.8006
7418.00,0.8055
7417.00,0.8110
7416.00,0.8170
7415.00,0.8234
7414.00,0.8299
7413.00,0.8366
7412.00,0.8436
7411.00,0.8510
7410.00,0.8589
7409.00,0.8670
7408.00,0.8752
7407.00,0.8834
7406.00,0.8920
7405.00,0.9010
7404.00,0.9103
7403.00,0.9196
7402.00,0.9286
7401.00,0.9378
7400.00,0.9472
7399.00,0.9568
7398.00,0.9660
7397.00,0.9748
7396.00,0.9833
7395.00,0.9919
7394.00,1.0005
7393.00,1.0089
7392.00,1.0173
7391.00,1.0258
7390.00,1.0342
7389.00,1.0422
7388.00,1.0502
7387.00,1.0586
7386.00,1.0676
7385.00,1.0765
7384.00,1.0845
7383.00,1.0913
7382.00,1.0977
7381.00,1.1042
7380.00,1.1108
7379.00,1.1170
7378.00,1.1226
7377.00,1.1281
7376.00,1.1337
7375.00,1.1393
7374.00,1.1448
7373.00,1.1502
7372.00,1.1553
7371.00,1.1595
7370.00,1.1623
7369.00,1.1643
7368.00,1.1666
7367.00,1.1694
7366.00,1.1716
7365.00,1.1728
7364.00,1.1734
7363.00,1.1746
7362.00,1.1764
7361.00,1.1781
7360.00,1.1791
7359.00,1.1797
7358.00,1.1800
7357.00,1.1795
7356.00,1.1779
7355.00,1.1755
7354.00,1.1730
7353.00,1.1708
7352.00,1.1687
7351.00,1.1662
7350.00,1.1633
7349.00,1.1602
7348.00,1.1568
7347.00,1.1531
7346.00,1.1491
7345.00,1.1446
7344.00,1.1394
7343.00,1.1333
7342.00,1.1266
7341.00,1.1196
7340.00,1.1124
7339.00,1.1047
7338.00,1.0964
7337.00,1.0876
7336.00,1.0788
7335.00,1.0702
7334.00,1.0620
7333.00,1.0538
7332.00,1.0454
7331.00,1.0366
7330.00,1.0273
7329.00,1.0173
7328.00,1.0069
7327.00,0.9964
7326.00,0.9859
7325.00,0.9757
7324.00,0.9656
7323.00,0.9557
7322.00,0.9460
7321.00,0.9363
7320.00,0.9266
7319.00,0.9171
7318.00,0.9078
7317.00,0.8987
7316.00,0.8897
7315.00,0.8810
7314.00,0.8728
7313.00,0.8648
7312.00,0.8568
7311.00,0.8490
7310.00,0.8416
7309.00,0.8347
7308.00,0.8282
7307.00,0.8219
7306.00,0.8160
7305.00,0.8108
7304.00,0.8063
7303.00,0.8020
7302.00,0.7980
7301.00,0.7944
7300.00,0.7916
7299.00,0.7898
7298.00,0.7888
7297.00,0.7884
7296.00,0.7883
7295.00,0.7886
7294.00,0.7891
7293.00,0.7903
7292.00,0.7921
7291.00,0.7943
7290.00,0.7969
7289.00,0.7998
7288.00,0.8035
7287.00,0.8081
7286.00,0.8134
7285.00,0.8190
7284.00,0.8248
7283.00,0.8306
7282.00,0.8366
7281.00,0.8428
7280.00,0.8494
7279.00,0.8563
7278.00,0.8636
7277.00,0.8713
7276.00,0.8796
7275.00,0.8883
7274.00,0.8973
7273.00,0.9062
7272.00,0.9149
7271.00,0.9237
7270.00,0.9323
7269.00,0.9404
7268.00,0.9479
7267.00,0.9551
7266.00,0.9626
7265.00,0.9706
7264.00,0.9789
7263.00,0.9872
7262.00,0.9960
7261.00,1.0055
7260.00,1.0156
7259.00,1.0253
7258.00,1.0339
7257.00,1.0413
7256.00,1.0481
7255.00,1.0550
7254.00,1.0619
7253.00,1.0683
7252.00,1.0743
7251.00,1.0803
7250.00,1.0868
7249.00,1.0932
7248.00,1.0988
7247.00,1.1034
7246.00,1.1073
7245.00,1.1113
7244.00,1.1156
7243.00,1.1202
7242.00,1.1249
7241.00,1.1297
7240.00,1.1346
7239.00,1.1396
7238.00,1.1444
7237.00,1.1484
7236.00,1.1511
7235.00,1.1521
7234.00,1.1520
7233.00,1.1518
7232.00,1.1520
7231.00,1.1523
7230.00,1.1527
7229.00,1.1532
7228.00,1.1539
7227.00,1.1544
7226.00,1.1544
7225.00,1.1536
7224.00,1.1522
7223.00,1.1503
7222.00,1.1484
7221.00,1.1467
7220.00,1.1452
7219.00,1.1432
7218.00,1.1403
7217.00,1.1365
7216.00,1.1326
7215.00,1.1286
7214.00,1.1244
7213.00,1.1195
7212.00,1.1140
7211.00,1.1081
7210.00,1.1022
7209.00,1.0961
7208.00,1.0898
7207.00,1.0830
7206.00,1.0760
7205.00,1.0691
7204.00,1.0623
7203.00,1.0552
7202.00,1.0474
7201.00,1.0390
7200.00,1.0303
7199.00,1.0217
7198.00,1.0132
7197.00,1.0046
7196.00,0.9957
7195.00,0.9868
7194.00,0.9778
7193.00,0.9687
7192.00,0.9591
7191.00,0.9489
7190.00,0.9386
7189.00,0.9287
7188.00,0.9194
7187.00,0.9102
7186.00,0.9008
7185.00,0.8914
7184.00,0.8824
7183.00,0.8740
7182.00,0.8660
7181.00,0.8579
7180.00,0.8500
7179.00,0.8425
7178.00,0.8356
7177.00,0.8288
7176.00,0.8220
7175.00,0.8153
7174.00,0.8091
7173.00,0.8036
7172.00,0.7987
7171.00,0.7944
7170.00,0.7909
7169.00,0.7881
7168.00,0.7858
7167.00,0.7839
7166.00,0.7825
7165.00,0.7817
7164.00,0.7815
7163.00,0.7820
7162.00,0.7830
7161.00,0.7848
7160.00,0.7870
7159.00,0.7895
7158.00,0.7926
7157.00,0.7961
7156.00,0.8000
7155.00,0.8042
7154.00,0.8090
7153.00,0.8144
7152.00,0.8205
7151.00,0.8268
7150.00,0.8333
7149.00,0.8401
7148.00,0.8473
7147.00,0.8549
7146.00,0.8629
7145.00,0.8710
7144.00,0.8792
7143.00,0.8878
7142.00,0.8966
7141.00,0.9058
7140.00,0.9150
7139.00,0.9242
7138.00,0.9334
7137.00,0.9428
7136.00,0.9525
7135.00,0.9621
7134.00,0.9714
7133.00,0.9803
7132.00,0.9891
7131.00,0.9982
7130.00,1.0076
7129.00,1.0169
7128.00,1.0257
7127.00,1.0343
7126.00,1.0430
7125.00,1.0520
7124.00,1.0610
7123.00,1.0695
7122.00,1.0775
7121.00,1.0855
7120.00,1.0935
7119.00,1.1012
7118.00,1.1084
7117.00,1.1151
7116.00,1.1216
7115.00,1.1280
7114.00,1.1344
7113.00,1.1408
7112.00,1.1469
7111.00,1.1528
7110.00,1.1581
7109.00,1.1626
7108.00,1.1664
7107.00,1.1696
7106.00,1.1730
7105.00,1.1767
7104.00,1.1808
7103.00,1.1847
7102.00,1.1882
7101.00,1.1913
7100.00,1.1942
7099.00,1.1965
7098.00,1.1979
7097.00,1.1984
7096.00,1.1986
7095.00,1.1990
7094.00,1.1995
