Created as New Dataset,Sample 102 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.9074
7501.00,0.9150
7500.00,0.9228
7499.00,0.9306
7498.00,0.9386
7497.00,0.9468
7496.00,0.9551
7495.00,0.9636
7494.00,0.9722
7493.00,0.9809
7492.00,0.9897
7491.00,0.9992
7490.00,1.0094
7489.00,1.0199
7488.00,1.0299
7487.00,1.0391
7486.00,1.0472
7485.00,1.0544
7484.00,1.0610
7483.00,1.0671
7482.00,1.0729
7481.00,1.0788
7480.00,1.0852
7479.00,1.0921
7478.00,1.0989
7477.00,1.1050
7476.00,1.1111
7475.00,1.1180
7474.00,1.1258
7473.00,1.1332
7472.00,1.1396
7471.00,1.1450
7470.00,1.1502
7469.00,1.1553
7468.00,1.1596
7467.00,1.1626
7466.00,1.1644
7465.00,1.1660
7464.00,1.1682
7463.00,1.1714
7462.00,1.1749
7461.00,1.1776
7460.00,1.1791
7459.00,1.1801
7458.00,1.1814
7457.00,1.1828
7456.00,1.1832
7455.00,1.1820
7454.00,1.1797
7453.00,1.1777
7452.00,1.1760
7451.00,1.1743
7450.00,1.1718
7449.00,1.1687
7448.00,1.1656
7447.00,1.1629
7446.00,1.1600
7445.00,1.1566
7444.00,1.1526
7443.00,1.1484
7442.00,1.1439
7441.00,1.1390
7440.00,1.1335
7439.00,1.1272
7438.00,1.1201
7437.00,1.1125
7436.00,1.1049
7435.00,1.0976
7434.00,1.0906
7433.00,1.0832
7432.00,1.0750
7431.00,1.0664
7430.00,1.0579
7429.00,1.0496
7428.00,1.0412
7427.00,1.0321
7426.00,1.0222
7425.00,1.0121
7424.00,1.0027
7423.00,0.9940
7422.00,0.9852
7421.00,0.9755
7420.00,0.9649
7419.00,0.9545
7418.00,0.9451
7417.00,0.9359
7416.00,0.9261
7415.00,0.9158
7414.00,0.9057
7413.00,0.8966
7412.00,0.8879
7411.00,0.8790
7410.00,0.8698
7409.00,0.8609
7408.00,0.8530
7407.00,0.8462
7406.00,0.8399
7405.00,0.8338
7404.00,0.8277
