Created as New Dataset,Sample 055 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,1.0507
7501.00,1.0569
7500.00,1.0627
7499.00,1.0687
7498.00,1.0748
7497.00,1.0804
7496.00,1.0852
7495.00,1.0889
7494.00,1.0922
7493.00,1.0958
7492.00,1.1002
7491.00,1.1051
7490.00,1.1099
7489.00,1.1140
7488.00,1.1174
7487.00,1.1203
7486.00,1.1220
7485.00,1.1215
7484.00,1.1186
7483.00,1.1143
7482.00,1.1100
7481.00,1.1068
7480.00,1.1050
7479.00,1.1044
7478.00,1.1046
7477.00,1.1051
7476.00,1.1054
7475.00,1.1054
7474.00,1.1051
7473.00,1.1046
7472.00,1.1038
7471.00,1.1023
7470.00,1.0992
7469.00,1.0945
7468.00,1.0889
7467.00,1.0832
7466.00,1.0778
7465.00,1.0719
7464.00,1.0648
7463.00,1.0568
7462.00,1.0485
7461.00,1.0405
7460.00,1.0324
7459.00,1.0238
7458.00,1.0151
7457.00,1.0071
7456.00,1.0007
7455.00,0.9959
7454.00,0.9922
7453.00,0.9889
7452.00,0.9854
7451.00,0.9812
7450.00,0.9761
7449.00,0.9703
7448.00,0.9642
7447.00,0.9580
7446.00,0.9516
7445.00,0.9452
7444.00,0.9389
7443.00,0.9328
7442.00,0.9267
7441.00,0.9205
7440.00,0.9141
7439.00,0.9079
7438.00,0.9016
7437.00,0.8946
7436.00,0.8868
7435.00,0.8786
7434.00,0.8708
7433.00,0.8633
7432.00,0.8558
7431.00,0.8481
7430.00,0.8405
7429.00,0.8336
7428.00,0.8276
7427.00,0.8224
7426.00,0.8174
7425.00,0.8121
7424.00,0.8064
7423.00,0.8008
7422.00,0.7959
7421.00,0.7915
7420.00,0.7872
7419.00,0.7830
7418.00,0.7791
7417.00,0.7761
7416.00,0.7741
7415.00,0.7726
7414.00,0.7710
7413.00,0.7695
7412.00,0.7687
7411.00,0.7687
7410.00,0.7694
7409.00,0.7706
7408.00,0.7723
7407.00,0.7750
7406.00,0.7787
7405.00,0.7834
7404.00,0.7885
7403.00,0.7937
7402.00,0.7988
7401.00,0.8042
7400.00,0.8101
7399.00,0.8162
7398.00,0.8222
7397.00,0.8283
7396.00,0.8347
7395.00,0.8417
7394.00,0.8493
7393.00,0.8572
7392.00,0.8654
7391.00,0.8739
7390.00,0.8828
7389.00,0.8917
7388.00,0.9006
7387.00,0.9097
7386.00,0.9189
7385.00,0.9279
7384.00,0.9367
7383.00,0.9453
7382.00,0.9540
7381.00,0.9630
7380.00,0.9720
7379.00,0.9811
7378.00,0.9902
7377.00,0.9995
7376.00,1.0086
7375.00,1.0172
7374.00,1.0252
7373.00,1.0332
7372.00,1.0415
7371.00,1.0500
7370.00,1.0580
7369.00,1.0654
7368.00,1.0727
7367.00,1.0803
7366.00,1.0883
7365.00,1.0960
7364.00,1.1028
7363.00,1.1088
7362.00,1.1146
7361.00,1.1208
7360.00,1.1272
7359.00,1.1330
7358.00,1.1378
7357.00,1.1420
7356.00,1.1463
7355.00,1.1509
7354.00,1.1552
7353.00,1.1587
7352.00,1.1616
7351.00,1.1644
7350.00,1.1672
7349.00,1.1696
7348.00,1.1714
7347.00,1.1726
7346.00,1.1736
7345.00,1.1750
7344.00,1.1772
7343.00,1.1798
7342.00,1.1818
7341.00,1.1824
7340.00,1.1819
7339.00,1.1810
7338.00,1.1799
7337.00,1.1779
7336.00,1.1750
7335.00,1.1714
7334.00,1.1680
7333.00,1.1648
7332.00,1.1617
7331.00,1.1580
7330.00,1.1535
7329.00,1.1481
7328.00,1.1425
7327.00,1.1372
7326.00,1.1321
7325.00,1.1266
7324.00,1.1205
7323.00,1.1141
7322.00,1.1076
7321.00,1.1005
7320.00,1.0924
7319.00,1.0836
7318.00,1.0751
7317.00,1.0671
7316.00,1.0591
7315.00,1.0504
7314.00,1.0410
7313.00,1.0312
7312.00,1.0208
7311.00,1.0101
7310.00,0.9992
7309.00,0.9883
7308.00,0.9777
7307.00,0.9675
7306.00,0.9578
7305.00,0.9484
7304.00,0.9391
7303.00,0.9295
7302.00,0.9197
7301.00,0.9096
7300.00,0.8998
7299.00,0.8905
7298.00,0.8817
7297.00,0.8731
7296.00,0.8645
7295.00,0.8561
7294.00,0.8481
7293.00,0.8406
7292.00,0.8334
7291.00,0.8265
7290.00,0.8200
7289.00,0.8141
7288.00,0.8088
7287.00,0.8039
7286.00,0.7996
7285.00,0.7959
7284.00,0.7928
7283.00,0.7904
7282.00,0.7886
7281.00,0.7872
7280.00,0.7864
7279.00,0.7861
7278.00,0.7865
7277.00,0.7876
7276.00,0.7892
7275.00,0.7913
7274.00,0.7940
7273.00,0.7973
7272.00,0.8012
7271.00,0.8054
7270.00,0.8100
7269.00,0.8151
7268.00,0.8207
7267.00,0.8264
7266.00,0.8322
7265.00,0.8385
7264.00,0.8455
7263.00,0.8527
7262.00,0.8600
7261.00,0.8673
7260.00,0.8752
7259.00,0.8835
7258.00,0.8918
7257.00,0.8998
7256.00,0.9075
7255.00,0.9150
7254.00,0.9227
7253.00,0.9309
7252.00,0.9396
7251.00,0.9483
7250.00,0.9567
7249.00,0.9647
7248.00,0.9728
7247.00,0.9814
7246.00,0.9901
7245.00,0.9983
7244.00,1.0060
7243.00,1.0138
7242.00,1.0222
7241.00,1.0309
7240.00,1.0391
7239.00,1.0467
7238.00,1.0538
7237.00,1.0607
7236.00,1.0677
7235.00,1.0748
7234.00,1.0820
7233.00,1.0887
7232.00,1.0946
7231.00,1.0999
7230.00,1.1050
7229.00,1.1100
7228.00,1.1147
7227.00,1.1192
7226.00,1.1236
7225.00,1.1281
7224.00,1.1324
7223.00,1.1364
7222.00,1.1398
7221.00,1.1429
7220.00,1.1457
7219.00,1.1483
7218.00,1.1508
7217.00,1.1532
7216.00,1.1555
7215.00,1.1573
7214.00,1.1582
7213.00,1.1582
7212.00,1.1576
7211.00,1.1568
7210.00,1.1557
7209.00,1.1544
7208.00,1.1529
7207.00,1.1514
7206.00,1.1498
7205.00,1.1480
7204.00,1.1460
7203.00,1.1441
7202.00,1.1424
7201.00,1.1405
7200.00,1.1380
7199.00,1.1350
7198.00,1.1312
7197.00,1.1267
7196.00,1.1216
7195.00,1.1163
7194.00,1.1110
7193.00,1.1059
7192.00,1.1006
7191.00,1.0947
7190.00,1.0882
7189.00,1.0815
7188.00,1.0742
7187.00,1.0664
7186.00,1.0580
7185.00,1.0494
7184.00,1.0406
7183.00,1.0316
7182.00,1.0225
7181.00,1.0135
7180.00,1.0048
7179.00,0.9961
7178.00,0.9869
7177.00,0.9772
7176.00,0.9672
7175.00,0.9574
7174.00,0.9476
7173.00,0.9379
7172.00,0.9283
7171.00,0.9187
7170.00,0.9090
7169.00,0.8992
7168.00,0.8897
7167.00,0.8806
7166.00,0.8721
7165.00,0.8640
7164.00,0.8559
7163.00,0.8480
7162.00,0.8402
7161.00,0.8327
7160.00,0.8256
7159.00,0.8191
7158.00,0.8132
7157.00,0.8077
7156.00,0.8025
7155.00,0.7978
7154.00,0.7939
7153.00,0.7906
7152.00,0.7878
7151.00,0.7853
7150.00,0.7834
7149.00,0.7823
7148.00,0.7819
7147.00,0.7816
7146.00,0.7814
7145.00,0.7817
7144.00,0.7827
7143.00,0.7847
7142.00,0.7875
7141.00,0.7910
7140.00,0.7951
7139.00,0.8000
7138.00,0.8054
7137.00,0.8110
7136.00,0.8166
7135.00,0.8223
7134.00,0.8284
7133.00,0.8353
7132.00,0.8427
7131.00,0.8504
7130.00,0.8584
7129.00,0.8665
7128.00,0.8748
7127.00,0.8832
7126.00,0.8915
7125.00,0.8998
7124.00,0.9081
7123.00,0.9167
7122.00,0.9258
7121.00,0.9353
7120.00,0.9449
7119.00,0.9544
7118.00,0.9637
7117.00,0.9728
7116.00,0.9817
7115.00,0.9906
7114.00,0.9997
7113.00,1.0089
7112.00,1.0184
7111.00,1.0278
7110.00,1.0371
7109.00,1.0461
7108.00,1.0549
7107.00,1.0630
7106.00,1.0705
7105.00,1.0776
7104.00,1.0846
7103.00,1.0915
7102.00,1.0983
7101.00,1.1048
7100.00,1.1115
7099.00,1.1186
7098.00,1.1261
7097.00,1.1335
7096.00,1.1405
7095.00,1.1474
7094.00,1.1545
7093.00,1.1614
7092.00,1.1675
7091.00,1.1722
7090.00,1.1759
7089.00,1.1790
7088.00,1.1820
7087.00,1.1849
7086.00,1.1875
7085.00,1.1897
7084.00,1.1914
7083.00,1.1931
7082.00,1.1948
7081.00,1.1963
7080.00,1.1970
7079.00,1.1973
7078.00,1.1977
7077.00,1.1982
7076.00,1.1984
7075.00,1.1977
7074.00,1.1962
7073.00,1.1941
7072.00,1.1916
7071.00,1.1885
7070.00,1.1852
7069.00,1.1818
7068.00,1.1787
7067.00,1.1756
7066.00,1.1722
7065.00,1.1680
7064.00,1.1630
7063.00,1.1574
7062.00,1.1514
7061.00,1.1450
7060.00,1.1382
7059.00,1.1314
7058.00,1.1247
7057.00,1.1180
7056.00,1.1107
7055.00,1.1030
7054.00,1.0949
7053.00,1.0864
7052.00,1.0771
7051.00,1.0669
7050.00,1.0564
7049.00,1.0461
7048.00,1.0361
7047.00,1.0260
7046.00,1.0158
7045.00,1.0059
7044.00,0.9960
7043.00,0.9858
7042.00,0.9749
7041.00,0.9637
7040.00,0.9525
7039.00,0.9414
7038.00,0.9306
7037.00,0.9202
7036.00,0.9102
7035.00,0.9005
7034.00,0.8911
7033.00,0.8818
7032.00,0.8726
7031.00,0.8635
7030.00,0.8549
7029.00,0.8468
7028.00,0.8394
7027.00,0.8324
