Created as New Dataset,Sample 096 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.9270
7501.00,0.9222
7500.00,0.9157
7499.00,0.9072
7498.00,0.8977
7497.00,0.8879
7496.00,0.8784
7495.00,0.8691
7494.00,0.8603
7493.00,0.8522
7492.00,0.8452
7491.00,0.8394
7490.00,0.8348
7489.00,0.8307
7488.00,0.8264
7487.00,0.8212
7486.00,0.8150
7485.00,0.8079
7484.00,0.8004
7483.00,0.7931
7482.00,0.7863
7481.00,0.7804
7480.00,0.7756
7479.00,0.7721
7478.00,0.7695
7477.00,0.7677
7476.00,0.7664
7475.00,0.7659
7474.00,0.7662
7473.00,0.7669
7472.00,0.7678
7471.00,0.7689
7470.00,0.7705
7469.00,0.7726
7468.00,0.7751
7467.00,0.7780
7466.00,0.7811
7465.00,0.7846
7464.00,0.7884
7463.00,0.7926
7462.00,0.7972
7461.00,0.8024
7460.00,0.8079
7459.00,0.8137
7458.00,0.8199
7457.00,0.8265
7456.00,0.8339
7455.00,0.8418
7454.00,0.8500
7453.00,0.8580
7452.00,0.8657
7451.00,0.8735
7450.00,0.8816
7449.00,0.8903
7448.00,0.8993
7447.00,0.9084
7446.00,0.9176
7445.00,0.9268
7444.00,0.9360
7443.00,0.9454
7442.00,0.9550
7441.00,0.9643
7440.00,0.9734
7439.00,0.9821
7438.00,0.9909
7437.00,0.9998
7436.00,1.0090
7435.00,1.0183
7434.00,1.0277
7433.00,1.0366
7432.00,1.0452
7431.00,1.0536
7430.00,1.0623
7429.00,1.0711
7428.00,1.0792
7427.00,1.0861
7426.00,1.0926
7425.00,1.0994
7424.00,1.1067
7423.00,1.1136
7422.00,1.1197
7421.00,1.1251
7420.00,1.1300
7419.00,1.1344
7418.00,1.1384
7417.00,1.1424
7416.00,1.1468
7415.00,1.1513
7414.00,1.1553
7413.00,1.1588
7412.00,1.1623
7411.00,1.1660
7410.00,1.1694
7409.00,1.1720
7408.00,1.1738
7407.00,1.1754
7406.00,1.1773
7405.00,1.1792
7404.00,1.1806
7403.00,1.1812
7402.00,1.1811
7401.00,1.1806
7400.00,1.1799
7399.00,1.1788
7398.00,1.1769
7397.00,1.1744
7396.00,1.1716
7395.00,1.1691
7394.00,1.1666
7393.00,1.1639
7392.00,1.1604
7391.00,1.1561
7390.00,1.1514
7389.00,1.1464
7388.00,1.1407
7387.00,1.1341
7386.00,1.1268
7385.00,1.1200
7384.00,1.1140
7383.00,1.1083
7382.00,1.1020
7381.00,1.0948
7380.00,1.0869
7379.00,1.0790
7378.00,1.0711
7377.00,1.0628
7376.00,1.0540
7375.00,1.0449
7374.00,1.0356
7373.00,1.0261
7372.00,1.0161
7371.00,1.0053
7370.00,0.9941
7369.00,0.9833
7368.00,0.9732
7367.00,0.9636
7366.00,0.9540
7365.00,0.9441
7364.00,0.9344
7363.00,0.9250
7362.00,0.9159
7361.00,0.9065
7360.00,0.8968
7359.00,0.8872
7358.00,0.8785
7357.00,0.8704
7356.00,0.8625
7355.00,0.8545
7354.00,0.8466
7353.00,0.8391
7352.00,0.8319
7351.00,0.8248
7350.00,0.8180
7349.00,0.8118
7348.00,0.8063
7347.00,0.8016
7346.00,0.7975
7345.00,0.7938
7344.00,0.7906
7343.00,0.7879
7342.00,0.7860
7341.00,0.7846
7340.00,0.7836
7339.00,0.7829
7338.00,0.7825
7337.00,0.7827
7336.00,0.7837
7335.00,0.7852
7334.00,0.7872
7333.00,0.7897
7332.00,0.7930
7331.00,0.7970
7330.00,0.8016
7329.00,0.8065
7328.00,0.8116
7327.00,0.8169
7326.00,0.8227
7325.00,0.8290
7324.00,0.8357
7323.00,0.8426
7322.00,0.8496
7321.00,0.8570
7320.00,0.8646
7319.00,0.8722
7318.00,0.8797
7317.00,0.8872
7316.00,0.8949
7315.00,0.9031
7314.00,0.9121
7313.00,0.9216
7312.00,0.9313
7311.00,0.9406
7310.00,0.9493
7309.00,0.9578
7308.00,0.9666
7307.00,0.9753
7306.00,0.9836
7305.00,0.9913
7304.00,0.9992
7303.00,1.0077
7302.00,1.0169
7301.00,1.0260
7300.00,1.0344
7299.00,1.0420
7298.00,1.0494
7297.00,1.0571
7296.00,1.0648
7295.00,1.0719
7294.00,1.0775
7293.00,1.0819
7292.00,1.0858
7291.00,1.0894
7290.00,1.0926
7289.00,1.0955
7288.00,1.0985
7287.00,1.1024
7286.00,1.1070
7285.00,1.1119
7284.00,1.1166
7283.00,1.1208
7282.00,1.1246
7281.00,1.1281
7280.00,1.1311
7279.00,1.1337
7278.00,1.1359
7277.00,1.1380
7276.00,1.1399
7275.00,1.1411
7274.00,1.1413
7273.00,1.1406
7272.00,1.1398
7271.00,1.1393
7270.00,1.1394
7269.00,1.1400
7268.00,1.1406
7267.00,1.1409
7266.00,1.1404
7265.00,1.1392
7264.00,1.1375
7263.00,1.1359
7262.00,1.1344
7261.00,1.1329
7260.00,1.1312
7259.00,1.1293
7258.00,1.1271
7257.00,1.1240
7256.00,1.1193
7255.00,1.1132
7254.00,1.1064
7253.00,1.0994
7252.00,1.0926
7251.00,1.0859
7250.00,1.0795
7249.00,1.0733
7248.00,1.0672
7247.00,1.0608
7246.00,1.0539
7245.00,1.0465
7244.00,1.0384
7243.00,1.0301
7242.00,1.0218
7241.00,1.0140
7240.00,1.0065
7239.00,0.9987
7238.00,0.9904
7237.00,0.9815
7236.00,0.9724
7235.00,0.9630
7234.00,0.9532
7233.00,0.9433
7232.00,0.9333
7231.00,0.9236
7230.00,0.9142
7229.00,0.9053
7228.00,0.8966
7227.00,0.8880
7226.00,0.8794
7225.00,0.8708
7224.00,0.8622
7223.00,0.8540
7222.00,0.8463
7221.00,0.8389
7220.00,0.8318
7219.00,0.8249
7218.00,0.8184
7217.00,0.8124
7216.00,0.8070
7215.00,0.8018
7214.00,0.7969
7213.00,0.7923
7212.00,0.7882
7211.00,0.7850
7210.00,0.7825
7209.00,0.7806
7208.00,0.7791
7207.00,0.7781
7206.00,0.7776
7205.00,0.7777
7204.00,0.7782
7203.00,0.7789
7202.00,0.7802
7201.00,0.7822
7200.00,0.7852
7199.00,0.7887
7198.00,0.7928
7197.00,0.7973
7196.00,0.8024
7195.00,0.8078
7194.00,0.8135
7193.00,0.8196
7192.00,0.8262
7191.00,0.8334
7190.00,0.8409
7189.00,0.8485
7188.00,0.8565
7187.00,0.8649
7186.00,0.8735
7185.00,0.8820
7184.00,0.8904
7183.00,0.8991
7182.00,0.9085
7181.00,0.9182
7180.00,0.9278
7179.00,0.9371
7178.00,0.9462
7177.00,0.9553
7176.00,0.9647
7175.00,0.9743
7174.00,0.9838
7173.00,0.9929
7172.00,1.0016
7171.00,1.0103
7170.00,1.0192
7169.00,1.0284
7168.00,1.0373
7167.00,1.0460
7166.00,1.0548
7165.00,1.0637
7164.00,1.0727
7163.00,1.0814
7162.00,1.0897
7161.00,1.0976
7160.00,1.1051
7159.00,1.1126
7158.00,1.1198
7157.00,1.1267
