Created as New Dataset,Sample 074 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,1.0185
7501.00,1.0276
7500.00,1.0354
7499.00,1.0415
7498.00,1.0465
7497.00,1.0512
7496.00,1.0562
7495.00,1.0614
7494.00,1.0668
7493.00,1.0728
7492.00,1.0799
7491.00,1.0878
7490.00,1.0957
7489.00,1.1024
7488.00,1.1073
7487.00,1.1105
7486.00,1.1125
7485.00,1.1138
7484.00,1.1144
7483.00,1.1141
7482.00,1.1130
7481.00,1.1114
7480.00,1.1100
7479.00,1.1091
7478.00,1.1087
7477.00,1.1082
7476.00,1.1077
7475.00,1.1073
7474.00,1.1072
7473.00,1.1072
7472.00,1.1067
7471.00,1.1052
7470.00,1.1022
7469.00,1.0979
7468.00,1.0931
7467.00,1.0885
7466.00,1.0841
7465.00,1.0790
7464.00,1.0726
7463.00,1.0649
7462.00,1.0565
7461.00,1.0479
7460.00,1.0389
7459.00,1.0296
7458.00,1.0204
7457.00,1.0124
7456.00,1.0062
7455.00,1.0017
7454.00,0.9980
7453.00,0.9940
7452.00,0.9893
7451.00,0.9838
7450.00,0.9781
7449.00,0.9725
7448.00,0.9671
7447.00,0.9620
7446.00,0.9570
7445.00,0.9520
7444.00,0.9467
7443.00,0.9411
7442.00,0.9349
7441.00,0.9279
7440.00,0.9202
7439.00,0.9122
7438.00,0.9044
7437.00,0.8969
7436.00,0.8900
7435.00,0.8834
7434.00,0.8766
7433.00,0.8694
7432.00,0.8618
7431.00,0.8543
7430.00,0.8475
7429.00,0.8410
7428.00,0.8348
7427.00,0.8290
7426.00,0.8236
7425.00,0.8186
7424.00,0.8136
7423.00,0.8084
7422.00,0.8032
7421.00,0.7982
7420.00,0.7930
7419.00,0.7878
7418.00,0.7828
7417.00,0.7786
7416.00,0.7751
7415.00,0.7723
7414.00,0.7700
7413.00,0.7684
7412.00,0.7677
7411.00,0.7676
7410.00,0.7678
7409.00,0.7684
7408.00,0.7695
7407.00,0.7713
7406.00,0.7736
7405.00,0.7763
7404.00,0.7795
7403.00,0.7831
7402.00,0.7874
7401.00,0.7921
7400.00,0.7972
7399.00,0.8026
7398.00,0.8084
7397.00,0.8146
7396.00,0.8216
7395.00,0.8289
7394.00,0.8364
7393.00,0.8441
7392.00,0.8522
7391.00,0.8608
7390.00,0.8699
7389.00,0.8793
7388.00,0.8891
7387.00,0.8992
7386.00,0.9096
7385.00,0.9196
7384.00,0.9293
7383.00,0.9391
7382.00,0.9494
7381.00,0.9599
7380.00,0.9702
7379.00,0.9804
7378.00,0.9908
7377.00,1.0017
7376.00,1.0126
7375.00,1.0229
7374.00,1.0322
7373.00,1.0410
7372.00,1.0495
7371.00,1.0578
7370.00,1.0654
7369.00,1.0726
7368.00,1.0800
7367.00,1.0878
7366.00,1.0956
7365.00,1.1029
7364.00,1.1097
7363.00,1.1166
7362.00,1.1235
7361.00,1.1300
7360.00,1.1359
7359.00,1.1411
7358.00,1.1463
7357.00,1.1520
7356.00,1.1576
7355.00,1.1624
7354.00,1.1655
7353.00,1.1676
7352.00,1.1695
7351.00,1.1716
7350.00,1.1737
7349.00,1.1756
7348.00,1.1773
7347.00,1.1788
7346.00,1.1797
7345.00,1.1799
7344.00,1.1802
7343.00,1.1811
7342.00,1.1824
7341.00,1.1830
7340.00,1.1827
7339.00,1.1819
7338.00,1.1806
7337.00,1.1782
7336.00,1.1739
7335.00,1.1678
7334.00,1.1612
7333.00,1.1554
7332.00,1.1504
7331.00,1.1457
7330.00,1.1405
7329.00,1.1348
7328.00,1.1285
7327.00,1.1213
7326.00,1.1131
7325.00,1.1047
7324.00,1.0968
7323.00,1.0893
7322.00,1.0817
7321.00,1.0735
7320.00,1.0647
7319.00,1.0557
7318.00,1.0463
7317.00,1.0364
7316.00,1.0261
7315.00,1.0159
7314.00,1.0060
7313.00,0.9964
7312.00,0.9870
7311.00,0.9776
7310.00,0.9679
7309.00,0.9575
7308.00,0.9467
7307.00,0.9357
7306.00,0.9249
7305.00,0.9143
7304.00,0.9042
7303.00,0.8950
7302.00,0.8866
7301.00,0.8783
7300.00,0.8697
7299.00,0.8609
7298.00,0.8522
7297.00,0.8441
7296.00,0.8365
7295.00,0.8292
7294.00,0.8223
7293.00,0.8159
7292.00,0.8102
7291.00,0.8050
7290.00,0.8000
7289.00,0.7950
7288.00,0.7904
7287.00,0.7868
7286.00,0.7843
7285.00,0.7825
7284.00,0.7812
7283.00,0.7805
7282.00,0.7807
7281.00,0.7816
7280.00,0.7828
7279.00,0.7841
7278.00,0.7857
7277.00,0.7876
7276.00,0.7900
7275.00,0.7931
7274.00,0.7969
7273.00,0.8016
7272.00,0.8072
7271.00,0.8135
7270.00,0.8200
7269.00,0.8267
7268.00,0.8335
7267.00,0.8408
7266.00,0.8485
7265.00,0.8562
7264.00,0.8641
7263.00,0.8723
7262.00,0.8813
7261.00,0.8908
7260.00,0.9002
7259.00,0.9094
7258.00,0.9185
7257.00,0.9275
7256.00,0.9367
7255.00,0.9462
7254.00,0.9560
7253.00,0.9658
7252.00,0.9753
7251.00,0.9845
7250.00,0.9937
7249.00,1.0027
7248.00,1.0115
7247.00,1.0199
7246.00,1.0281
7245.00,1.0363
7244.00,1.0446
7243.00,1.0528
7242.00,1.0609
7241.00,1.0688
7240.00,1.0764
7239.00,1.0836
7238.00,1.0904
7237.00,1.0970
7236.00,1.1033
7235.00,1.1091
7234.00,1.1145
7233.00,1.1198
7232.00,1.1248
7231.00,1.1294
7230.00,1.1332
7229.00,1.1368
7228.00,1.1405
7227.00,1.1446
7226.00,1.1485
7225.00,1.1515
7224.00,1.1534
7223.00,1.1546
7222.00,1.1560
7221.00,1.1579
7220.00,1.1595
7219.00,1.1604
7218.00,1.1604
7217.00,1.1603
7216.00,1.1600
7215.00,1.1591
7214.00,1.1572
7213.00,1.1544
7212.00,1.1514
7211.00,1.1486
7210.00,1.1459
7209.00,1.1428
7208.00,1.1392
7207.00,1.1354
7206.00,1.1319
7205.00,1.1284
7204.00,1.1246
7203.00,1.1201
7202.00,1.1151
7201.00,1.1098
7200.00,1.1043
7199.00,1.0982
7198.00,1.0913
7197.00,1.0836
7196.00,1.0754
7195.00,1.0670
7194.00,1.0588
7193.00,1.0506
7192.00,1.0425
7191.00,1.0344
7190.00,1.0264
7189.00,1.0183
7188.00,1.0097
7187.00,1.0005
7186.00,0.9906
7185.00,0.9803
7184.00,0.9699
7183.00,0.9596
7182.00,0.9493
7181.00,0.9392
7180.00,0.9291
7179.00,0.9192
7178.00,0.9096
7177.00,0.9004
7176.00,0.8915
7175.00,0.8825
7174.00,0.8736
7173.00,0.8649
7172.00,0.8565
7171.00,0.8485
7170.00,0.8408
7169.00,0.8333
7168.00,0.8263
7167.00,0.8197
7166.00,0.8136
7165.00,0.8079
7164.00,0.8026
7163.00,0.7977
7162.00,0.7934
7161.00,0.7895
7160.00,0.7858
7159.00,0.7824
7158.00,0.7797
7157.00,0.7779
7156.00,0.7770
7155.00,0.7769
7154.00,0.7772
7153.00,0.7781
7152.00,0.7795
7151.00,0.7813
7150.00,0.7835
7149.00,0.7863
7148.00,0.7896
7147.00,0.7938
7146.00,0.7987
7145.00,0.8044
7144.00,0.8106
7143.00,0.8171
7142.00,0.8238
7141.00,0.8310
7140.00,0.8385
7139.00,0.8463
7138.00,0.8544
7137.00,0.8629
7136.00,0.8718
7135.00,0.8809
7134.00,0.8900
7133.00,0.8992
7132.00,0.9089
7131.00,0.9192
7130.00,0.9298
7129.00,0.9404
7128.00,0.9505
7127.00,0.9604
7126.00,0.9704
7125.00,0.9806
7124.00,0.9911
7123.00,1.0018
7122.00,1.0125
7121.00,1.0231
7120.00,1.0336
7119.00,1.0436
7118.00,1.0527
7117.00,1.0611
7116.00,1.0690
7115.00,1.0770
7114.00,1.0854
7113.00,1.0939
7112.00,1.1023
7111.00,1.1103
7110.00,1.1180
7109.00,1.1250
7108.00,1.1317
7107.00,1.1384
7106.00,1.1453
7105.00,1.1521
7104.00,1.1584
7103.00,1.1639
7102.00,1.1688
7101.00,1.1732
7100.00,1.1770
7099.00,1.1805
7098.00,1.1840
7097.00,1.1875
7096.00,1.1906
7095.00,1.1930
7094.00,1.1950
7093.00,1.1968
7092.00,1.1985
7091.00,1.1997
7090.00,1.2004
7089.00,1.2006
7088.00,1.2004
7087.00,1.1998
7086.00,1.1986
7085.00,1.1971
7084.00,1.1951
7083.00,1.1929
7082.00,1.1905
7081.00,1.1876
7080.00,1.1843
7079.00,1.1802
7078.00,1.1756
7077.00,1.1704
7076.00,1.1646
7075.00,1.1585
7074.00,1.1522
7073.00,1.1460
7072.00,1.1395
7071.00,1.1323
7070.00,1.1242
7069.00,1.1156
7068.00,1.1069
7067.00,1.0980
7066.00,1.0888
7065.00,1.0795
7064.00,1.0702
7063.00,1.0610
7062.00,1.0519
7061.00,1.0424
7060.00,1.0324
7059.00,1.0218
7058.00,1.0109
7057.00,0.9998
7056.00,0.9888
7055.00,0.9777
7054.00,0.9664
7053.00,0.9552
7052.00,0.9443
7051.00,0.9337
7050.00,0.9231
7049.00,0.9124
7048.00,0.9019
7047.00,0.8920
7046.00,0.8827
7045.00,0.8737
7044.00,0.8648
7043.00,0.8561
7042.00,0.8480
7041.00,0.8407
7040.00,0.8337
7039.00,0.8269
7038.00,0.8202
7037.00,0.8137
7036.00,0.8077
7035.00,0.8020
7034.00,0.7969
