Created as New Dataset,Sample 083 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,1.0832
7501.00,1.0762
7500.00,1.0685
7499.00,1.0601
7498.00,1.0511
7497.00,1.0417
7496.00,1.0321
7495.00,1.0224
7494.00,1.0122
7493.00,1.0016
7492.00,0.9912
7491.00,0.9813
7490.00,0.9719
7489.00,0.9622
7488.00,0.9520
7487.00,0.9414
7486.00,0.9310
7485.00,0.9209
7484.00,0.9113
7483.00,0.9021
7482.00,0.8928
7481.00,0.8835
7480.00,0.8743
7479.00,0.8656
7478.00,0.8574
7477.00,0.8493
7476.00,0.8412
7475.00,0.8334
7474.00,0.8260
7473.00,0.8193
7472.00,0.8131
7471.00,0.8076
7470.00,0.8025
7469.00,0.7978
7468.00,0.7934
7467.00,0.7895
7466.00,0.7862
7465.00,0.7837
7464.00,0.7816
7463.00,0.7798
7462.00,0.7786
7461.00,0.7781
7460.00,0.7785
7459.00,0.7796
7458.00,0.7811
7457.00,0.7832
7456.00,0.7858
7455.00,0.7891
7454.00,0.7929
7453.00,0.7971
7452.00,0.8017
7451.00,0.8069
7450.00,0.8126
7449.00,0.8186
7448.00,0.8248
7447.00,0.8313
7446.00,0.8384
7445.00,0.8460
7444.00,0.8538
7443.00,0.8614
7442.00,0.8686
7441.00,0.8761
7440.00,0.8841
7439.00,0.8925
7438.00,0.9012
7437.00,0.9102
7436.00,0.9198
7435.00,0.9299
7434.00,0.9398
7433.00,0.9488
7432.00,0.9570
7431.00,0.9650
7430.00,0.9732
7429.00,0.9816
7428.00,0.9900
7427.00,0.9987
7426.00,1.0079
7425.00,1.0173
7424.00,1.0263
7423.00,1.0346
7422.00,1.0421
7421.00,1.0489
7420.00,1.0547
7419.00,1.0597
7418.00,1.0642
7417.00,1.0688
7416.00,1.0736
7415.00,1.0778
7414.00,1.0811
7413.00,1.0838
7412.00,1.0865
7411.00,1.0894
7410.00,1.0925
7409.00,1.0952
7408.00,1.0972
7407.00,1.0988
7406.00,1.1004
7405.00,1.1022
7404.00,1.1036
7403.00,1.1039
7402.00,1.1031
7401.00,1.1018
7400.00,1.1005
7399.00,1.0986
7398.00,1.0956
7397.00,1.0915
7396.00,1.0870
7395.00,1.0830
7394.00,1.0795
7393.00,1.0760
7392.00,1.0726
7391.00,1.0696
7390.00,1.0672
7389.00,1.0650
7388.00,1.0624
7387.00,1.0592
7386.00,1.0562
7385.00,1.0545
7384.00,1.0541
7383.00,1.0538
7382.00,1.0527
7381.00,1.0513
7380.00,1.0506
7379.00,1.0505
7378.00,1.0494
7377.00,1.0459
7376.00,1.0403
7375.00,1.0341
7374.00,1.0280
7373.00,1.0216
7372.00,1.0142
7371.00,1.0063
7370.00,0.9987
7369.00,0.9921
7368.00,0.9864
7367.00,0.9812
7366.00,0.9758
7365.00,0.9698
7364.00,0.9629
7363.00,0.9553
7362.00,0.9478
7361.00,0.9405
7360.00,0.9335
7359.00,0.9262
7358.00,0.9183
7357.00,0.9101
7356.00,0.9022
7355.00,0.8947
7354.00,0.8874
7353.00,0.8800
7352.00,0.8722
7351.00,0.8646
7350.00,0.8572
7349.00,0.8499
7348.00,0.8422
7347.00,0.8339
7346.00,0.8255
7345.00,0.8177
7344.00,0.8108
7343.00,0.8048
7342.00,0.7992
7341.00,0.7940
7340.00,0.7891
7339.00,0.7847
7338.00,0.7807
7337.00,0.7769
7336.00,0.7732
7335.00,0.7699
7334.00,0.7673
7333.00,0.7655
7332.00,0.7648
7331.00,0.7649
7330.00,0.7655
7329.00,0.7667
7328.00,0.7685
7327.00,0.7708
7326.00,0.7736
7325.00,0.7770
7324.00,0.7809
7323.00,0.7854
7322.00,0.7903
7321.00,0.7955
7320.00,0.8011
7319.00,0.8073
7318.00,0.8143
7317.00,0.8216
7316.00,0.8292
7315.00,0.8372
7314.00,0.8458
7313.00,0.8550
7312.00,0.8645
7311.00,0.8738
7310.00,0.8828
7309.00,0.8918
7308.00,0.9011
7307.00,0.9105
7306.00,0.9201
7305.00,0.9298
7304.00,0.9399
7303.00,0.9504
7302.00,0.9606
7301.00,0.9702
7300.00,0.9795
7299.00,0.9889
7298.00,0.9987
7297.00,1.0084
7296.00,1.0178
7295.00,1.0270
7294.00,1.0360
7293.00,1.0450
7292.00,1.0538
7291.00,1.0623
7290.00,1.0704
7289.00,1.0784
7288.00,1.0867
7287.00,1.0953
7286.00,1.1040
7285.00,1.1121
7284.00,1.1194
7283.00,1.1261
7282.00,1.1326
7281.00,1.1390
7280.00,1.1450
7279.00,1.1505
7278.00,1.1556
7277.00,1.1604
7276.00,1.1649
7275.00,1.1688
7274.00,1.1720
7273.00,1.1746
7272.00,1.1770
7271.00,1.1797
7270.00,1.1828
7269.00,1.1862
7268.00,1.1892
7267.00,1.1913
7266.00,1.1921
7265.00,1.1921
7264.00,1.1917
7263.00,1.1910
7262.00,1.1898
7261.00,1.1882
7260.00,1.1865
7259.00,1.1852
7258.00,1.1841
7257.00,1.1826
7256.00,1.1803
7255.00,1.1775
7254.00,1.1749
7253.00,1.1723
7252.00,1.1692
7251.00,1.1651
7250.00,1.1600
7249.00,1.1543
7248.00,1.1481
7247.00,1.1416
7246.00,1.1346
7245.00,1.1271
7244.00,1.1193
7243.00,1.1115
7242.00,1.1036
7241.00,1.0954
7240.00,1.0866
7239.00,1.0775
7238.00,1.0682
7237.00,1.0590
7236.00,1.0498
7235.00,1.0405
7234.00,1.0309
7233.00,1.0212
7232.00,1.0112
7231.00,1.0009
7230.00,0.9905
7229.00,0.9800
7228.00,0.9693
7227.00,0.9584
7226.00,0.9475
7225.00,0.9367
7224.00,0.9262
7223.00,0.9160
7222.00,0.9060
7221.00,0.8963
7220.00,0.8872
7219.00,0.8783
7218.00,0.8696
7217.00,0.8608
7216.00,0.8521
7215.00,0.8438
7214.00,0.8358
7213.00,0.8282
7212.00,0.8208
7211.00,0.8139
7210.00,0.8076
7209.00,0.8019
7208.00,0.7967
7207.00,0.7920
7206.00,0.7879
7205.00,0.7843
7204.00,0.7814
7203.00,0.7792
7202.00,0.7776
7201.00,0.7766
7200.00,0.7761
7199.00,0.7761
7198.00,0.7768
7197.00,0.7782
7196.00,0.7802
7195.00,0.7827
7194.00,0.7859
7193.00,0.7899
7192.00,0.7944
7191.00,0.7992
7190.00,0.8043
7189.00,0.8099
7188.00,0.8161
7187.00,0.8229
7186.00,0.8301
7185.00,0.8375
7184.00,0.8453
7183.00,0.8535
7182.00,0.8619
7181.00,0.8705
7180.00,0.8792
7179.00,0.8883
7178.00,0.8975
7177.00,0.9071
7176.00,0.9170
7175.00,0.9272
7174.00,0.9374
7173.00,0.9473
7172.00,0.9568
7171.00,0.9661
7170.00,0.9754
7169.00,0.9843
7168.00,0.9928
7167.00,1.0013
7166.00,1.0101
7165.00,1.0190
7164.00,1.0278
7163.00,1.0367
7162.00,1.0456
7161.00,1.0546
7160.00,1.0630
7159.00,1.0710
7158.00,1.0786
7157.00,1.0862
7156.00,1.0934
7155.00,1.1000
7154.00,1.1061
7153.00,1.1120
7152.00,1.1177
7151.00,1.1233
7150.00,1.1286
7149.00,1.1338
7148.00,1.1385
7147.00,1.1428
7146.00,1.1470
7145.00,1.1516
7144.00,1.1564
7143.00,1.1607
7142.00,1.1637
7141.00,1.1655
7140.00,1.1671
7139.00,1.1691
7138.00,1.1711
7137.00,1.1725
7136.00,1.1733
7135.00,1.1739
7134.00,1.1749
7133.00,1.1757
7132.00,1.1757
7131.00,1.1746
7130.00,1.1728
7129.00,1.1709
7128.00,1.1689
7127.00,1.1663
7126.00,1.1627
7125.00,1.1585
7124.00,1.1543
7123.00,1.1507
7122.00,1.1475
7121.00,1.1443
7120.00,1.1407
7119.00,1.1366
7118.00,1.1322
7117.00,1.1272
7116.00,1.1213
7115.00,1.1143
7114.00,1.1066
7113.00,1.0987
7112.00,1.0912
7111.00,1.0841
7110.00,1.0770
7109.00,1.0696
7108.00,1.0614
7107.00,1.0527
7106.00,1.0440
7105.00,1.0354
7104.00,1.0268
7103.00,1.0176
7102.00,1.0079
7101.00,0.9981
7100.00,0.9885
7099.00,0.9790
7098.00,0.9691
7097.00,0.9587
7096.00,0.9478
7095.00,0.9369
7094.00,0.9263
7093.00,0.9160
7092.00,0.9060
7091.00,0.8961
7090.00,0.8864
7089.00,0.8772
7088.00,0.8684
7087.00,0.8597
7086.00,0.8513
7085.00,0.8431
7084.00,0.8348
7083.00,0.8267
7082.00,0.8190
7081.00,0.8117
7080.00,0.8051
7079.00,0.7991
7078.00,0.7935
7077.00,0.7884
7076.00,0.7839
7075.00,0.7801
7074.00,0.7770
7073.00,0.7746
7072.00,0.7728
7071.00,0.7714
7070.00,0.7705
7069.00,0.7703
7068.00,0.7709
7067.00,0.7721
7066.00,0.7739
7065.00,0.7761
7064.00,0.7790
7063.00,0.7826
7062.00,0.7869
7061.00,0.7919
7060.00,0.7974
7059.00,0.8032
7058.00,0.8095
7057.00,0.8161
7056.00,0.8231
7055.00,0.8303
7054.00,0.8378
7053.00,0.8459
7052.00,0.8545
7051.00,0.8636
7050.00,0.8730
7049.00,0.8829
7048.00,0.8931
7047.00,0.9035
7046.00,0.9137
7045.00,0.9238
7044.00,0.9339
7043.00,0.9442
7042.00,0.9545
7041.00,0.9646
7040.00,0.9747
7039.00,0.9848
7038.00,0.9949
7037.00,1.0047
7036.00,1.0142
7035.00,1.0237
7034.00,1.0334
7033.00,1.0431
7032.00,1.0525
7031.00,1.0612
7030.00,1.0697
7029.00,1.0784
7028.00,1.0874
7027.00,1.0963
7026.00,1.1048
7025.00,1.1130
7024.00,1.1212
7023.00,1.1297
7022.00,1.1379
7021.00,1.1450
7020.00,1.1509
7019.00,1.1562
7018.00,1.1616
7017.00,1.1674
7016.00,1.1733
7015.00,1.1788
7014.00,1.1839
7013.00,1.1886
7012.00,1.1930
7011.00,1.1968
7010.00,1.1993
7009.00,1.2008
7008.00,1.2020
7007.00,1.2037
7006.00,1.2061
7005.00,1.2081
7004.00,1.2093
7003.00,1.2099
7002.00,1.2101
7001.00,1.2101
7000.00,1.2093
6999.00,1.2077
6998.00,1.2059
6997.00,1.2043
6996.00,1.2026
6995.00,1.2003
6994.00,1.1968
6993.00,1.1926
6992.00,1.1884
6991.00,1.1843
6990.00,1.1802
6989.00,1.1760
6988.00,1.1715
6987.00,1.1668
6986.00,1.1613
6985.00,1.1551
6984.00,1.1480
6983.00,1.1405
6982.00,1.1322
6981.00,1.1234
6980.00,1.1143
6979.00,1.1053
6978.00,1.0963
6977.00,1.0870
6976.00,1.0773
6975.00,1.0676
6974.00,1.0580
6973.00,1.0482
6972.00,1.0381
6971.00,1.0277
6970.00,1.0173
6969.00,1.0066
6968.00,0.9955
6967.00,0.9843
6966.00,0.9732
6965.00,0.9623
6964.00,0.9513
6963.00,0.9402
6962.00,0.9293
6961.00,0.9187
6960.00,0.9083
6959.00,0.8978
6958.00,0.8872
6957.00,0.8770
6956.00,0.8672
6955.00,0.8578
6954.00,0.8488
6953.00,0.8403
6952.00,0.8323
6951.00,0.8247
6950.00,0.8174
6949.00,0.8103
6948.00,0.8037
6947.00,0.7979
6946.00,0.7928
6945.00,0.7881
6944.00,0.7840
6943.00,0.7806
6942.00,0.7778
6941.00,0.7755
6940.00,0.7735
6939.00,0.7719
6938.00,0.7712
6937.00,0.7717
6936.00,0.7733
6935.00,0.7755
6934.00,0.7784
6933.00,0.7819
6932.00,0.7861
6931.00,0.7908
6930.00,0.7957
6929.00,0.8010
6928.00,0.8067
6927.00,0.8132
6926.00,0.8202
6925.00,0.8276
6924.00,0.8354
6923.00,0.8435
6922.00,0.8520
6921.00,0.8608
6920.00,0.8700
6919.00,0.8794
6918.00,0.8890
6917.00,0.8988
6916.00,0.9088
6915.00,0.9188
6914.00,0.9289
6913.00,0.9389
6912.00,0.9489
6911.00,0.9588
6910.00,0.9689
6909.00,0.9791
6908.00,0.9893
6907.00,0.9994
6906.00,1.0092
6905.00,1.0189
6904.00,1.0287
6903.00,1.0385
6902.00,1.0483
6901.00,1.0580
6900.00,1.0674
6899.00,1.0765
6898.00,1.0853
6897.00,1.0937
6896.00,1.1019
6895.00,1.1099
6894.00,1.1177
6893.00,1.1252
6892.00,1.1323
6891.00,1.1391
6890.00,1.1457
6889.00,1.1518
6888.00,1.1575
6887.00,1.1625
6886.00,1.1673
6885.00,1.1720
6884.00,1.1768
6883.00,1.1816
6882.00,1.1858
6881.00,1.1892
6880.00,1.1918
6879.00,1.1940
6878.00,1.1959
6877.00,1.1973
6876.00,1.1981
6875.00,1.1988
6874.00,1.1999
6873.00,1.2011
6872.00,1.2016
6871.00,1.2013
6870.00,1.2004
6869.00,1.1995
6868.00,1.1984
6867.00,1.1964
6866.00,1.1933
6865.00,1.1896
6864.00,1.1858
6863.00,1.1820
6862.00,1.1779
6861.00,1.1734
6860.00,1.1688
6859.00,1.1644
6858.00,1.1600
6857.00,1.1552
6856.00,1.1497
6855.00,1.1434
6854.00,1.1369
6853.00,1.1300
6852.00,1.1229
6851.00,1.1155
6850.00,1.1077
6849.00,1.0998
6848.00,1.0917
6847.00,1.0835
6846.00,1.0751
6845.00,1.0663
6844.00,1.0570
6843.00,1.0474
6842.00,1.0377
6841.00,1.0277
6840.00,1.0172
6839.00,1.0061
6838.00,0.9949
6837.00,0.9840
6836.00,0.9734
6835.00,0.9628
6834.00,0.9518
6833.00,0.9408
6832.00,0.9300
6831.00,0.9194
6830.00,0.9087
6829.00,0.8980
6828.00,0.8873
6827.00,0.8769
6826.00,0.8669
6825.00,0.8575
6824.00,0.8486
6823.00,0.8401
6822.00,0.8318
6821.00,0.8239
6820.00,0.8162
6819.00,0.8088
6818.00,0.8016
6817.00,0.7950
6816.00,0.7890
6815.00,0.7836
6814.00,0.7790
6813.00,0.7751
6812.00,0.7721
6811.00,0.7698
6810.00,0.7681
6809.00,0.7669
6808.00,0.7662
6807.00,0.7661
6806.00,0.7668
6805.00,0.7682
6804.00,0.7702
6803.00,0.7729
6802.00,0.7763
6801.00,0.7806
6800.00,0.7854
6799.00,0.7907
6798.00,0.7966
6797.00,0.8031
6796.00,0.8101
6795.00,0.8175
6794.00,0.8253
6793.00,0.8336
6792.00,0.8423
6791.00,0.8510
6790.00,0.8598
6789.00,0.8689
6788.00,0.8786
6787.00,0.8887
6786.00,0.8992
6785.00,0.9099
6784.00,0.9209
6783.00,0.9320
6782.00,0.9430
6781.00,0.9536
6780.00,0.9639
6779.00,0.9740
6778.00,0.9842
6777.00,0.9945
6776.00,1.0048
6775.00,1.0152
6774.00,1.0257
6773.00,1.0364
6772.00,1.0468
6771.00,1.0567
