Created as New Dataset,Sample 115 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,1.1714
7501.00,1.1664
7500.00,1.1613
7499.00,1.1564
7498.00,1.1515
7497.00,1.1466
7496.00,1.1418
7495.00,1.1368
7494.00,1.1317
7493.00,1.1267
7492.00,1.1212
7491.00,1.1149
7490.00,1.1080
7489.00,1.1009
7488.00,1.0937
7487.00,1.0856
7486.00,1.0765
7485.00,1.0667
7484.00,1.0570
7483.00,1.0479
7482.00,1.0394
7481.00,1.0312
7480.00,1.0228
7479.00,1.0141
7478.00,1.0050
7477.00,0.9958
7476.00,0.9866
7475.00,0.9775
7474.00,0.9681
7473.00,0.9583
7472.00,0.9483
7471.00,0.9385
7470.00,0.9289
7469.00,0.9193
7468.00,0.9098
7467.00,0.9006
7466.00,0.8918
7465.00,0.8833
7464.00,0.8750
7463.00,0.8669
7462.00,0.8592
7461.00,0.8517
7460.00,0.8442
7459.00,0.8371
7458.00,0.8307
7457.00,0.8248
7456.00,0.8194
7455.00,0.8143
7454.00,0.8097
7453.00,0.8056
7452.00,0.8019
7451.00,0.7983
7450.00,0.7951
7449.00,0.7929
7448.00,0.7915
7447.00,0.7906
7446.00,0.7899
7445.00,0.7895
7444.00,0.7899
7443.00,0.7913
7442.00,0.7935
7441.00,0.7961
7440.00,0.7988
7439.00,0.8019
7438.00,0.8054
7437.00,0.8094
7436.00,0.8137
7435.00,0.8183
7434.00,0.8232
7433.00,0.8286
7432.00,0.8345
7431.00,0.8409
7430.00,0.8475
7429.00,0.8539
7428.00,0.8604
7427.00,0.8674
7426.00,0.8749
7425.00,0.8827
7424.00,0.8902
7423.00,0.8975
7422.00,0.9050
7421.00,0.9131
7420.00,0.9216
7419.00,0.9300
7418.00,0.9380
7417.00,0.9459
7416.00,0.9539
7415.00,0.9619
7414.00,0.9696
7413.00,0.9766
7412.00,0.9831
7411.00,0.9898
7410.00,0.9970
7409.00,1.0048
7408.00,1.0127
7407.00,1.0205
7406.00,1.0281
7405.00,1.0356
7404.00,1.0428
7403.00,1.0496
7402.00,1.0558
7401.00,1.0615
7400.00,1.0667
7399.00,1.0711
7398.00,1.0748
7397.00,1.0778
7396.00,1.0806
7395.00,1.0835
7394.00,1.0866
7393.00,1.0898
7392.00,1.0931
7391.00,1.0966
7390.00,1.0997
7389.00,1.1022
7388.00,1.1039
7387.00,1.1052
7386.00,1.1065
7385.00,1.1077
7384.00,1.1083
7383.00,1.1082
7382.00,1.1080
7381.00,1.1089
7380.00,1.1114
7379.00,1.1145
7378.00,1.1169
7377.00,1.1175
7376.00,1.1163
7375.00,1.1136
7374.00,1.1093
7373.00,1.1032
7372.00,1.0957
7371.00,1.0875
7370.00,1.0802
7369.00,1.0747
7368.00,1.0710
7367.00,1.0680
7366.00,1.0651
7365.00,1.0622
7364.00,1.0596
7363.00,1.0574
7362.00,1.0556
7361.00,1.0537
7360.00,1.0515
7359.00,1.0485
7358.00,1.0446
7357.00,1.0402
7356.00,1.0362
7355.00,1.0332
7354.00,1.0312
7353.00,1.0292
7352.00,1.0266
7351.00,1.0234
7350.00,1.0195
7349.00,1.0144
7348.00,1.0073
7347.00,0.9982
7346.00,0.9884
7345.00,0.9791
7344.00,0.9708
7343.00,0.9632
7342.00,0.9558
7341.00,0.9485
7340.00,0.9411
7339.00,0.9336
7338.00,0.9256
7337.00,0.9173
7336.00,0.9088
7335.00,0.9001
7334.00,0.8913
7333.00,0.8827
7332.00,0.8744
7331.00,0.8665
7330.00,0.8588
7329.00,0.8512
7328.00,0.8436
7327.00,0.8361
7326.00,0.8290
7325.00,0.8226
7324.00,0.8167
7323.00,0.8114
7322.00,0.8064
7321.00,0.8019
7320.00,0.7979
7319.00,0.7942
7318.00,0.7907
7317.00,0.7875
7316.00,0.7847
7315.00,0.7824
7314.00,0.7808
7313.00,0.7798
7312.00,0.7791
7311.00,0.7786
7310.00,0.7785
7309.00,0.7791
7308.00,0.7806
7307.00,0.7827
7306.00,0.7852
7305.00,0.7884
7304.00,0.7924
7303.00,0.7971
7302.00,0.8021
7301.00,0.8071
7300.00,0.8121
7299.00,0.8176
7298.00,0.8236
7297.00,0.8301
7296.00,0.8369
7295.00,0.8435
7294.00,0.8502
7293.00,0.8572
7292.00,0.8648
7291.00,0.8728
7290.00,0.8808
7289.00,0.8886
7288.00,0.8965
7287.00,0.9049
7286.00,0.9137
7285.00,0.9226
7284.00,0.9315
7283.00,0.9405
7282.00,0.9495
7281.00,0.9586
7280.00,0.9678
7279.00,0.9771
7278.00,0.9863
7277.00,0.9949
7276.00,1.0029
7275.00,1.0108
7274.00,1.0192
7273.00,1.0284
7272.00,1.0377
7271.00,1.0468
7270.00,1.0557
7269.00,1.0647
7268.00,1.0736
7267.00,1.0821
7266.00,1.0900
7265.00,1.0977
7264.00,1.1056
7263.00,1.1132
7262.00,1.1203
7261.00,1.1270
7260.00,1.1339
7259.00,1.1407
7258.00,1.1469
7257.00,1.1519
7256.00,1.1561
7255.00,1.1602
7254.00,1.1645
7253.00,1.1689
7252.00,1.1729
7251.00,1.1761
7250.00,1.1789
7249.00,1.1817
7248.00,1.1847
7247.00,1.1875
7246.00,1.1896
7245.00,1.1909
7244.00,1.1917
7243.00,1.1922
7242.00,1.1925
7241.00,1.1928
7240.00,1.1932
7239.00,1.1935
7238.00,1.1935
7237.00,1.1931
7236.00,1.1921
7235.00,1.1902
7234.00,1.1874
7233.00,1.1841
7232.00,1.1808
7231.00,1.1775
7230.00,1.1737
7229.00,1.1692
7228.00,1.1645
7227.00,1.1598
7226.00,1.1551
7225.00,1.1498
7224.00,1.1435
7223.00,1.1366
7222.00,1.1297
7221.00,1.1230
7220.00,1.1165
7219.00,1.1096
7218.00,1.1023
7217.00,1.0947
7216.00,1.0872
7215.00,1.0795
7214.00,1.0711
7213.00,1.0620
7212.00,1.0527
7211.00,1.0436
7210.00,1.0345
7209.00,1.0248
7208.00,1.0146
7207.00,1.0041
7206.00,0.9940
7205.00,0.9841
7204.00,0.9743
7203.00,0.9644
7202.00,0.9547
7201.00,0.9453
7200.00,0.9362
7199.00,0.9271
7198.00,0.9177
7197.00,0.9082
7196.00,0.8987
7195.00,0.8894
7194.00,0.8802
7193.00,0.8715
7192.00,0.8633
7191.00,0.8555
7190.00,0.8479
7189.00,0.8405
7188.00,0.8335
7187.00,0.8271
7186.00,0.8212
7185.00,0.8156
7184.00,0.8104
7183.00,0.8057
7182.00,0.8018
7181.00,0.7987
7180.00,0.7962
7179.00,0.7940
7178.00,0.7919
7177.00,0.7903
7176.00,0.7894
7175.00,0.7891
7174.00,0.7895
7173.00,0.7903
7172.00,0.7917
7171.00,0.7937
7170.00,0.7964
7169.00,0.7995
7168.00,0.8026
7167.00,0.8059
7166.00,0.8097
7165.00,0.8144
7164.00,0.8199
7163.00,0.8261
7162.00,0.8325
7161.00,0.8391
7160.00,0.8460
7159.00,0.8533
7158.00,0.8607
7157.00,0.8681
7156.00,0.8754
7155.00,0.8832
7154.00,0.8916
7153.00,0.9003
7152.00,0.9091
7151.00,0.9179
7150.00,0.9268
7149.00,0.9356
7148.00,0.9444
7147.00,0.9530
7146.00,0.9615
