,d2o 166 By Administrator Date Wednesday. December 15 2021,
Time,16:38:58,
Wavenumbers [1/cm],Transmittance %,
6713.000,5.29818,
6712.000,5.26203,
6711.000,5.226,
6710.000,5.19101,
6709.000,5.15343,
6708.000,5.11003,
6707.000,5.06449,
6706.000,5.02533,
6705.000,4.99679,
6704.000,4.9743,
6703.000,4.95028,
6702.000,4.92241,
6701.000,4.894,
6700.000,4.86767,
6699.000,4.84168,
6698.000,4.81346,
6697.000,4.78346,
6696.000,4.75412,
6695.000,4.72525,
6694.000,4.69465,
6693.000,4.66271,
6692.000,4.63313,
6691.000,4.60795,
6690.000,4.58441,
6689.000,4.55824,
6688.000,4.52851,
6687.000,4.49693,
6686.000,4.46428,
6685.000,4.43003,
6684.000,4.39499,
6683.000,4.3618,
6682.000,4.33227,
6681.000,4.30569,
6680.000,4.28,
6679.000,4.25371,
6678.000,4.2271,
6677.000,4.20215,
6676.000,4.18079,
6675.000,4.1624,
6674.000,4.14373,
6673.000,4.12209,
6672.000,4.09766,
6671.000,4.07205,
6670.000,4.04609,
6669.000,4.02006,
6668.000,3.99453,
6667.000,3.96923,
6666.000,3.94261,
6665.000,3.91469,
6664.000,3.8888,
6663.000,3.86805,
6662.000,3.85121,
6661.000,3.83459,
6660.000,3.8169,
6659.000,3.79925,
6658.000,3.78126,
6657.000,3.76089,
6656.000,3.73835,
6655.000,3.71689,
6654.000,3.69874,
6653.000,3.68308,
6652.000,3.66817,
6651.000,3.65313,
6650.000,3.63673,
6649.000,3.6175,
6648.000,3.59637,
6647.000,3.5766,
6646.000,3.55967,
6645.000,3.54334,
6644.000,3.52523,
6643.000,3.50584,
6642.000,3.48681,
6641.000,3.46908,
6640.000,3.45422,
6639.000,3.44473,
6638.000,3.44081,
6637.000,3.43878,
6636.000,3.43474,
6635.000,3.42779,
6634.000,3.41745,
6633.000,3.40116,
6632.000,3.37788,
6631.000,3.35258,
6630.000,3.33311,
6629.000,3.32258,
6628.000,3.31769,
6627.000,3.31417,
6626.000,3.3107,
6625.000,3.3073,
6624.000,3.30286,
6623.000,3.29561,
6622.000,3.28464,
6621.000,3.27031,
6620.000,3.25452,
6619.000,3.24056,
6618.000,3.23076,
6617.000,3.22426,
6616.000,3.21842,
6615.000,3.21206,
6614.000,3.20537,
6613.000,3.19746,
6612.000,3.18651,
6611.000,3.17276,
6610.000,3.15899,
6609.000,3.1477,
6608.000,3.14009,
6607.000,3.13776,
6606.000,3.14232,
6605.000,3.15209,
6604.000,3.16184,
6603.000,3.16727,
6602.000,3.16806,
6601.000,3.16574,
6600.000,3.161,
6599.000,3.15443,
6598.000,3.14748,
6597.000,3.14105,
6596.000,3.13493,
6595.000,3.12989,
6594.000,3.12797,
6593.000,3.12904,
6592.000,3.12973,
6591.000,3.12819,
6590.000,3.12725,
6589.000,3.12968,
6588.000,3.1326,
6587.000,3.13088,
6586.000,3.12464,
6585.000,3.11899,
6584.000,3.1167,
6583.000,3.11581,
6582.000,3.11521,
6581.000,3.11765,
6580.000,3.12506,
6579.000,3.13424,
6578.000,3.14017,
6577.000,3.14187,
6576.000,3.14225,
6575.000,3.14354,
6574.000,3.14544,
6573.000,3.14762,
6572.000,3.15154,
6571.000,3.15843,
6570.000,3.16675,
6569.000,3.17294,
6568.000,3.17522,
6567.000,3.17565,
6566.000,3.17753,
6565.000,3.18116,
6564.000,3.18399,
6563.000,3.18521,
6562.000,3.18766,
6561.000,3.19364,
6560.000,3.20102,
6559.000,3.20619,
6558.000,3.20925,
6557.000,3.21308,
6556.000,3.21825,
6555.000,3.22281,
6554.000,3.227,
6553.000,3.23409,
6552.000,3.24566,
6551.000,3.2598,
6550.000,3.27499,
6549.000,3.29167,
6548.000,3.30825,
6547.000,3.31971,
6546.000,3.32329,
6545.000,3.3228,
6544.000,3.32387,
6543.000,3.32755,
6542.000,3.3319,
6541.000,3.33724,
6540.000,3.34546,
6539.000,3.35539,
6538.000,3.36359,
6537.000,3.36941,
6536.000,3.37566,
6535.000,3.38423,
6534.000,3.39432,
6533.000,3.40503,
6532.000,3.41617,
6531.000,3.42645,
6530.000,3.43429,
6529.000,3.44132,
6528.000,3.4516,
6527.000,3.46648,
6526.000,3.48279,
6525.000,3.49746,
6524.000,3.51105,
6523.000,3.52527,
6522.000,3.53955,
6521.000,3.55213,
6520.000,3.56339,
6519.000,3.57576,
6518.000,3.59115,
6517.000,3.60932,
6516.000,3.62828,
6515.000,3.64563,
6514.000,3.66008,
6513.000,3.67241,
6512.000,3.68432,
6511.000,3.69642,
6510.000,3.70822,
6509.000,3.72006,
6508.000,3.73341,
6507.000,3.7493,
6506.000,3.76733,
6505.000,3.78639,
6504.000,3.80506,
6503.000,3.82167,
6502.000,3.8356,
6501.000,3.84845,
6500.000,3.86237,
6499.000,3.87731,
6498.000,3.89176,
6497.000,3.90583,
6496.000,3.92117,
6495.000,3.93744,
6494.000,3.95206,
6493.000,3.96427,
6492.000,3.9773,
6491.000,3.99478,
6490.000,4.01694,
6489.000,4.04147,
6488.000,4.06639,
6487.000,4.09054,
6486.000,4.11292,
6485.000,4.1334,
6484.000,4.15278,
6483.000,4.17109,
6482.000,4.18713,
6481.000,4.20107,
6480.000,4.21585,
6479.000,4.23405,
6478.000,4.25459,
6477.000,4.27444,
6476.000,4.29328,
6475.000,4.31421,
6474.000,4.33979,
6473.000,4.36885,
6472.000,4.39773,
6471.000,4.42379,
6470.000,4.44688,
6469.000,4.46766,
6468.000,4.48569,
6467.000,4.50028,
6466.000,4.51353,
6465.000,4.5308,
6464.000,4.55638,
6463.000,4.58882,
6462.000,4.62231,
6461.000,4.65219,
6460.000,4.67753,
6459.000,4.69875,
6458.000,4.71594,
6457.000,4.73049,
6456.000,4.74621,
6455.000,4.76687,
6454.000,4.79338,
6453.000,4.82392,
6452.000,4.85574,
6451.000,4.88617,
6450.000,4.91393,
6449.000,4.94016,
6448.000,4.96713,
6447.000,4.9953,
6446.000,5.02303,
6445.000,5.04993,
6444.000,5.07857,
6443.000,5.1114,
6442.000,5.14739,
6441.000,5.18295,
6440.000,5.21569,
6439.000,5.24574,
6438.000,5.27417,
6437.000,5.30104,
6436.000,5.32554,
6435.000,5.34783,
6434.000,5.37057,
6433.000,5.3976,
6432.000,5.43046,
6431.000,5.46698,
6430.000,5.50437,
6429.000,5.54228,
6428.000,5.58115,
6427.000,5.61923,
6426.000,5.65398,
6425.000,5.68557,
6424.000,5.71609,
6423.000,5.74613,
6422.000,5.77553,
6421.000,5.80659,
6420.000,5.8425,
6419.000,5.88224,
6418.000,5.92148,
6417.000,5.9591,
6416.000,5.99846,
6415.000,6.04085,
6414.000,6.08229,
6413.000,6.11951,
6412.000,6.15522,
6411.000,6.1942,
6410.000,6.23707,
6409.000,6.28101,
6408.000,6.3243,
6407.000,6.36717,
6406.000,6.40956,
6405.000,6.45093,
6404.000,6.49124,
6403.000,6.53048,
6402.000,6.56845,
6401.000,6.60604,
6400.000,6.64515,
6399.000,6.6862,
6398.000,6.72764,
6397.000,6.76867,
6396.000,6.81,
6395.000,6.8513,
6394.000,6.89085,
6393.000,6.92874,
6392.000,6.96741,
6391.000,7.00784,
6390.000,7.04865,
6389.000,7.09015,
6388.000,7.13545,
6387.000,7.18559,
6386.000,7.23737,
6385.000,7.28854,
6384.000,7.34097,
6383.000,7.39605,
6382.000,7.45079,
6381.000,7.5022,
6380.000,7.55198,
6379.000,7.60308,
6378.000,7.65472,
6377.000,7.70503,
6376.000,7.75538,
6375.000,7.80778,
6374.000,7.86048,
6373.000,7.91092,
6372.000,7.96085,
6371.000,8.01424,
6370.000,8.07132,
6369.000,8.12951,
6368.000,8.18836,
6367.000,8.249,
6366.000,8.30958,
6365.000,8.36621,
6364.000,8.41808,
6363.000,8.46796,
6362.000,8.51758,
6361.000,8.56649,
6360.000,8.6152,
6359.000,8.66598,
6358.000,8.72022,
6357.000,8.77788,
6356.000,8.83924,
6355.000,8.90421,
6354.000,8.97019,
6353.000,9.03336,
6352.000,9.09244,
6351.000,9.14915,
6350.000,9.20539,
6349.000,9.26237,
6348.000,9.32148,
6347.000,9.38356,
6346.000,9.44747,
6345.000,9.51134,
6344.000,9.57448,
6343.000,9.63629,
6342.000,9.69504,
6341.000,9.75042,
6340.000,9.80578,
6339.000,9.86463,
6338.000,9.92583,
6337.000,9.98546,
6336.000,10.0427,
6335.000,10.1006,
6334.000,10.1609,
6333.000,10.2212,
6332.000,10.2788,
6331.000,10.334,
6330.000,10.3897,
6329.000,10.4483,
6328.000,10.5098,
6327.000,10.5724,
6326.000,10.6337,
6325.000,10.6935,
6324.000,10.7527,
6323.000,10.8105,
6322.000,10.865,
6321.000,10.9158,
6320.000,10.9657,
6319.000,11.0166,
6318.000,11.0665,
6317.000,11.1134,
6316.000,11.1593,
6315.000,11.2076,
6314.000,11.2589,
6313.000,11.3109,
6312.000,11.3621,
6311.000,11.4121,
6310.000,11.4594,
6309.000,11.5028,
6308.000,11.5431,
6307.000,11.5824,
6306.000,11.6221,
6305.000,11.6619,
6304.000,11.7012,
6303.000,11.7385,
6302.000,11.7728,
6301.000,11.8041,
6300.000,11.8335,
6299.000,11.8612,
6298.000,11.8867,
6297.000,11.911,
6296.000,11.936,
6295.000,11.9609,
6294.000,11.9825,
6293.000,12.0003,
6292.000,12.0174,
6291.000,12.035,
6290.000,12.0503,
6289.000,12.0617,
6288.000,12.0716,
6287.000,12.0819,
6286.000,12.0907,
6285.000,12.0957,
6284.000,12.0984,
6283.000,12.1003,
6282.000,12.0994,
6281.000,12.0929,
6280.000,12.0828,
6279.000,12.0734,
6278.000,12.0656,
6277.000,12.057,
6276.000,12.0475,
6275.000,12.0388,
6274.000,12.0303,
6273.000,12.0188,
6272.000,12.0025,
6271.000,11.983,
6270.000,11.9621,
6269.000,11.9404,
6268.000,11.9173,
6267.000,11.8926,
6266.000,11.8661,
6265.000,11.8384,
6264.000,11.8103,
6263.000,11.7819,
6262.000,11.7522,
6261.000,11.7202,
6260.000,11.6858,
6259.000,11.649,
