Wavelength [nm],Absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,
200.000,3.566092,3.421499,3.405435,3.03623,2.937726,3.628356,3.543899,3.150222,3.037966,3.583745,2.808339,3.434652,2.855015,3.109803,2.869837,3.026455,3.512918,3.378813,2.960279,2.498208,3.1495,2.453365,2.931216,3.003308,3.55913,3.656337,3.319009,3.341441,2.778242,3.616923,3.291754,3.098514,3.443316,3.521223,2.880846,3.25309,3.366594,3.129437,2.94094,2.825702,3.527172,3.568094,3.296424,3.388722,3.592013,3.367933,3.044771,2.876669,3.210186,3.382702,3.630815,3.640514,3.409223,3.370523,2.910891,3.295275,3.062893,2.807084,3.533367,3.554775,3.53047,3.027989,3.110473,3.267179,3.0634,3.483598,3.093421,2.966844,3.603487,2.929699,2.868715,3.567714,3.024019,2.826325,3.432741,3.202282,3.273409,3.576434,3.379171,3.303058,3.329193,3.481396,3.245672,3.543355,3.250805,3.333226,3.486845,3.482862,2.648449,3.420124,3.130341,3.059898,3.330871,3.38641,3.579336,3.282671,3.511926,2.897044,3.545164,3.299671,3.044635,3.341226,3.581029,3.417056,3.18215,2.957733,3.202672,3.222729,3.309398,3.388744,3.482595,2.839093,2.974798,3.583088,
201.000,3.543731,2.944022,3.076837,3.593536,2.982696,3.233462,3.356815,3.190389,3.234509,3.226598,2.953606,3.091465,2.708055,3.239247,3.563454,3.065687,2.826682,2.883918,3.222404,3.365674,2.573005,2.831441,3.266253,3.52006,3.37599,3.254674,3.232004,3.004792,3.211189,3.264039,2.936884,3.671052,3.087101,3.523233,2.785394,3.041637,3.398307,2.947257,3.166925,3.051608,3.389575,3.387144,3.232024,2.696487,3.380602,3.36232,3.647375,3.144506,3.643423,2.683857,3.345293,3.275966,3.124815,3.363311,2.874934,3.087735,2.762708,2.825851,3.388277,3.334957,3.450965,3.44104,2.997704,3.609762,3.344853,3.587468,3.196087,3.118959,3.293557,3.251634,3.297987,3.398636,3.119143,3.407192,3.342686,2.983848,3.111433,3.545636,2.945343,3.184981,3.163356,3.094255,3.309577,3.525998,3.32316,3.121974,3.602643,3.224503,3.037412,2.779079,3.409753,3.26325,2.934157,3.091951,3.340715,3.56442,3.583076,3.246038,3.584445,3.238947,3.15729,2.94561,3.393904,3.119628,3.582276,3.644269,3.199038,3.333039,2.979414,3.174102,3.31555,3.116471,3.563205,3.214324,
202.000,3.4464,3.316362,3.174697,3.603783,3.457987,2.756271,3.081632,3.653045,2.926931,3.059306,3.684504,3.290109,3.051741,3.461574,3.072629,3.071495,3.165394,3.147295,3.671285,3.365539,3.117742,3.510418,3.341599,3.157452,3.426893,3.096818,3.02489,3.539644,3.381896,3.108756,3.480975,3.240484,3.296896,3.600201,2.847535,3.469166,2.994188,2.960756,3.464797,3.301526,2.945428,3.374249,3.38719,3.054868,3.37174,3.37666,3.365637,2.869452,3.240583,3.136259,2.693825,2.743273,3.159868,3.355409,2.912088,3.566383,2.838762,2.908634,3.412048,2.839029,3.112218,3.246544,3.309509,3.385098,3.64813,3.339147,3.688843,3.657826,2.964584,3.408751,3.230958,3.328405,3.655793,3.571532,3.387344,3.289229,3.50623,3.427348,3.356269,3.601245,3.663484,3.229998,3.658286,3.558789,3.596348,3.367984,3.266727,3.064774,3.666774,3.269655,3.326703,3.419548,3.451472,3.133753,3.107269,3.59017,3.318669,3.604805,3.279385,3.35066,3.279169,3.399169,3.329844,3.172666,3.564262,3.461203,3.420719,3.584582,3.696546,3.535878,3.452298,3.44474,3.025921,3.107634,
203.000,3.256437,3.418207,2.969985,3.281446,3.133384,3.394781,3.352079,3.379639,2.843782,3.584506,3.405575,3.434706,3.482915,2.931003,2.740557,3.619435,3.411359,2.94836,3.262204,2.885458,3.298227,3.214498,3.663329,3.001046,3.219395,3.750689,3.45106,3.241406,3.288987,3.688068,3.31281,2.984982,3.405444,3.375533,3.307045,3.070236,3.228142,3.433703,2.959219,3.183112,3.133579,3.445314,3.280982,3.512252,3.460731,3.23476,3.020593,2.847806,3.009397,3.67215,3.065016,2.881216,3.189372,2.995309,3.2257,3.050616,3.367988,2.912868,3.272596,3.232768,2.944316,3.137908,3.211079,2.980755,3.275719,3.239492,3.204989,3.416961,3.009698,3.36532,3.309337,3.652841,3.425177,3.573277,3.210759,3.512452,3.319323,3.350347,3.233584,3.639831,3.3669,3.699981,3.271022,3.578732,3.558907,2.848838,3.203644,2.697237,3.404782,3.335759,3.063873,3.096395,3.459383,3.155077,3.254955,3.374729,2.996223,3.554836,3.172625,3.11778,3.409337,3.677445,3.652841,3.121771,3.472332,3.063563,3.354967,3.593461,3.364632,3.126424,3.407962,2.744973,3.226401,3.37831,
204.000,3.269931,2.813176,3.221654,3.259076,3.146626,3.395872,3.099952,3.075977,3.39759,3.112433,2.903258,3.120095,3.084095,3.275508,3.213572,2.921993,2.677056,2.736055,2.985084,3.117379,2.854572,3.1011,3.354966,3.226477,3.012643,3.151613,3.29001,3.206547,3.349312,3.450084,3.183153,3.264227,3.26791,3.159938,3.704304,3.456085,3.122401,3.660617,3.126494,3.196932,3.1386,3.008395,3.368345,3.435004,2.950433,3.608159,2.951602,3.204202,3.157929,3.467758,3.459667,3.029428,3.309326,3.465391,3.566432,2.743294,3.408417,3.073257,3.177967,3.64587,2.777695,3.382356,3.061808,3.119102,3.229979,3.655776,3.008563,3.406277,2.81208,3.355821,3.175683,3.440341,3.340127,3.609751,3.728332,3.253453,3.732916,3.693289,2.786274,3.238914,3.130296,3.255916,3.245894,3.606752,3.646747,2.914431,3.410988,3.374614,2.919058,3.237998,3.160628,3.37089,3.372184,3.73616,3.048667,3.167462,3.510097,3.651575,3.55576,3.73206,3.266653,3.222594,3.441233,2.966046,3.246151,3.309184,2.746785,3.487132,3.090212,2.918756,3.383349,3.200086,3.52187,3.20409,
205.000,3.500712,3.262702,3.342546,3.382811,3.285209,3.278047,3.007663,3.186357,3.518491,3.026401,3.301279,3.416655,3.543662,3.59678,3.446578,2.992271,2.773924,3.157926,3.448859,3.502929,3.512559,3.566859,3.247943,3.768637,3.754702,3.006598,3.508351,2.916653,3.249061,3.297531,3.717506,3.218156,3.672538,3.317537,3.332548,3.686366,3.008651,3.440177,3.377251,3.292602,2.746695,3.031234,2.87078,3.374153,3.30514,2.971364,3.262496,3.380206,3.32118,3.239558,3.261178,3.349322,3.656619,3.707688,3.139488,3.303339,3.224309,3.31603,3.43692,3.668458,3.244626,3.217257,3.373169,3.390654,3.549873,3.647473,3.129297,3.653196,2.970959,3.290077,3.363099,3.407822,3.036963,3.600721,3.332061,3.338546,3.221103,3.371294,3.151715,3.179922,3.471587,2.784027,3.465946,3.606794,3.42069,3.275271,3.026048,3.327635,3.003155,3.412975,3.271224,3.170544,3.737645,3.316138,3.385127,3.26986,3.48871,3.406868,3.265913,3.387611,3.677382,3.204372,3.405358,3.118077,3.444632,3.347822,2.852695,3.228435,3.107811,3.318296,3.349321,3.524772,3.384701,3.54564,
206.000,3.439089,3.628514,3.303539,2.907964,3.535355,3.802414,3.65251,3.609408,3.359504,3.35166,3.359328,3.066599,3.418761,3.081932,3.343201,3.193481,3.030181,3.244987,3.025501,3.563645,3.787554,2.869788,3.043391,3.265808,3.52891,3.095182,3.544637,3.403988,3.527417,3.344115,3.561983,3.241803,3.7092,3.528306,3.456515,3.443194,3.624275,3.5353,3.224403,3.59271,3.086459,3.019107,3.522336,3.129729,3.633244,3.283853,3.824878,3.285243,3.32436,3.627307,3.805756,3.772463,3.737893,3.344533,3.041547,3.465868,3.091545,3.583503,3.433797,3.352035,3.432664,3.643881,3.635731,3.160555,3.414522,3.443115,3.319393,3.683106,3.134363,3.298196,3.590235,3.773975,3.239719,3.751952,3.435815,3.326211,3.286448,3.274217,3.09309,3.647076,3.742615,3.406186,3.232928,3.725008,3.097991,3.439227,3.615777,3.358727,3.584612,3.120919,3.575723,3.471721,3.276649,3.090584,3.592549,3.202929,3.401731,3.149405,3.38326,3.144956,3.696006,3.542124,3.777457,3.477363,3.768766,3.345447,3.274158,3.091654,3.014104,3.595799,3.45535,3.516426,3.783547,3.458625,
207.000,2.759613,3.044462,2.960627,2.761573,2.921336,3.223883,3.160219,3.188534,3.132585,3.00706,3.01349,3.048385,2.813333,2.600889,3.651602,3.417022,3.047638,3.008666,2.80939,3.136891,3.044775,3.037321,2.761736,3.37539,3.075923,2.897665,3.231964,3.422572,2.986703,2.844283,2.97078,2.982616,3.289516,3.474195,3.258665,3.017022,3.292906,3.355181,2.915418,3.201565,2.973002,2.865317,3.331983,3.35765,3.007909,3.389637,3.092906,3.57123,2.6976,3.101799,3.224495,3.275768,3.16743,3.466797,3.016469,2.793006,2.908384,3.198471,3.218228,3.05326,3.034505,3.04647,2.927044,2.874352,3.81324,3.047988,3.294766,3.431556,3.10315,3.289691,3.184883,3.237717,3.531784,3.184699,3.357317,2.877747,3.426353,3.104185,3.133564,3.063527,3.308938,3.571486,3.178164,3.291085,3.322672,2.967026,3.333484,3.258031,3.481794,3.377912,2.740504,3.284359,2.759317,3.036964,3.120014,3.540277,2.957123,3.071815,3.261803,3.10901,3.355298,2.98192,3.207285,3.297556,3.228744,3.310488,3.095216,2.804878,2.823137,3.179174,2.858743,3.324844,3.211443,3.609079,
208.000,2.735894,2.833259,2.785439,2.940473,3.188231,3.047335,2.907073,2.797864,3.20563,2.912102,3.141564,2.996582,2.646853,3.378179,3.012797,3.241467,3.194827,3.634024,3.377923,2.702207,2.844649,3.031128,3.410976,3.426462,2.818143,3.284049,3.063685,2.726111,2.847914,3.33849,3.107789,3.334174,2.851604,3.105227,3.264936,3.447057,2.866866,2.950213,3.393996,3.186273,3.369954,2.946621,3.055225,3.051251,3.292972,3.014452,3.079495,2.868698,3.2429,3.243097,3.043629,3.095442,2.981819,3.317082,3.034509,3.029819,3.022727,2.969069,2.86474,2.882855,3.333337,3.055225,3.064472,3.020896,3.186285,2.94796,2.76403,2.757828,3.274866,3.262764,3.483468,3.014703,3.095027,3.328191,3.391541,3.385659,3.179593,3.430065,3.15762,3.234664,2.987389,3.3447,3.089874,3.079753,3.255067,3.215446,2.957082,2.732614,3.001744,3.591287,3.29331,2.844802,3.013422,3.086712,3.012901,3.728381,3.339053,2.811555,3.293939,2.901007,3.124584,3.487872,2.747783,3.008358,3.360437,2.859206,2.912651,3.440363,2.996348,3.502608,3.436905,2.868734,2.90603,3.102954,
209.000,2.858563,2.99439,3.104221,3.157698,3.288334,3.052481,3.23934,2.948991,3.235121,2.909305,2.96003,2.916576,3.20263,3.146845,2.824847,2.693455,3.046909,3.053218,2.999363,3.356094,3.801294,2.976434,2.902486,2.742513,3.330428,3.182579,3.388752,3.402642,2.962337,3.278491,3.220819,3.056077,3.546718,3.063782,3.658656,3.587034,3.088867,3.217956,3.620544,3.902347,3.406357,2.889773,3.189773,3.084648,3.80799,3.297012,3.114135,3.042519,3.223358,3.331437,3.066754,3.054201,3.035669,2.678715,3.111445,3.195936,3.254881,3.084667,3.408945,2.896267,3.448539,3.196839,3.326946,3.066897,3.28085,3.547749,3.553854,3.362959,3.266313,3.641986,3.634944,3.211432,3.012697,3.413937,3.504035,3.219217,3.386744,3.246988,3.141733,3.199132,3.5688,3.42697,3.148726,3.112134,3.023871,3.056967,3.209334,3.24077,3.230469,3.465116,3.310364,3.005198,3.508173,3.681798,3.159011,3.600615,3.183652,3.024932,3.420568,2.831095,3.137466,3.423851,3.408216,3.202377,3.495976,3.229783,2.839266,3.192533,3.314618,3.564642,3.469905,3.444721,3.100296,2.853012,
