,d2o 040 By Administrator Date Tuesday. December 14 2021,
Time,11:27:22,
Wavenumbers [1/cm],Transmittance %,
7000.000,4.93515,
6999.000,4.92082,
6998.000,4.90894,
6997.000,4.89671,
6996.000,4.8818,
6995.000,4.86372,
6994.000,4.84348,
6993.000,4.82242,
6992.000,4.80161,
6991.000,4.78183,
6990.000,4.76323,
6989.000,4.74508,
6988.000,4.72644,
6987.000,4.70735,
6986.000,4.68923,
6985.000,4.67385,
6984.000,4.66162,
6983.000,4.65111,
6982.000,4.64026,
6981.000,4.62853,
6980.000,4.61769,
6979.000,4.60981,
6978.000,4.60383,
6977.000,4.59537,
6976.000,4.58121,
6975.000,4.56327,
6974.000,4.54694,
6973.000,4.53551,
6972.000,4.52709,
6971.000,4.51699,
6970.000,4.50247,
6969.000,4.48488,
6968.000,4.46775,
6967.000,4.45318,
6966.000,4.44015,
6965.000,4.42644,
6964.000,4.41231,
6963.000,4.4009,
6962.000,4.39376,
6961.000,4.38734,
6960.000,4.37665,
6959.000,4.36178,
6958.000,4.34762,
6957.000,4.33708,
6956.000,4.32726,
6955.000,4.31453,
6954.000,4.30095,
6953.000,4.29205,
6952.000,4.28916,
6951.000,4.2872,
6950.000,4.28078,
6949.000,4.27045,
6948.000,4.26176,
6947.000,4.25839,
6946.000,4.25697,
6945.000,4.24983,
6944.000,4.23335,
6943.000,4.21286,
6942.000,4.19771,
6941.000,4.19131,
6940.000,4.18818,
6939.000,4.18167,
6938.000,4.17232,
6937.000,4.16521,
6936.000,4.16147,
6935.000,4.15678,
6934.000,4.14794,
6933.000,4.13703,
6932.000,4.1279,
6931.000,4.12141,
6930.000,4.11591,
6929.000,4.11021,
6928.000,4.10384,
6927.000,4.09623,
6926.000,4.0879,
6925.000,4.08157,
6924.000,4.07989,
6923.000,4.08223,
6922.000,4.08511,
6921.000,4.08602,
6920.000,4.0857,
6919.000,4.08661,
6918.000,4.09012,
6917.000,4.09488,
6916.000,4.09753,
6915.000,4.09551,
6914.000,4.08961,
6913.000,4.08288,
6912.000,4.07666,
6911.000,4.06903,
6910.000,4.05842,
6909.000,4.04758,
6908.000,4.04193,
6907.000,4.04399,
6906.000,4.05104,
6905.000,4.05874,
6904.000,4.06503,
6903.000,4.06978,
6902.000,4.07287,
6901.000,4.07434,
6900.000,4.07521,
6899.000,4.07688,
6898.000,4.07981,
6897.000,4.08398,
6896.000,4.09034,
6895.000,4.09998,
6894.000,4.11193,
6893.000,4.12301,
6892.000,4.13044,
6891.000,4.13381,
6890.000,4.13435,
6889.000,4.13365,
6888.000,4.13368,
6887.000,4.1371,
6886.000,4.1454,
6885.000,4.15699,
6884.000,4.16848,
6883.000,4.17784,
6882.000,4.18597,
6881.000,4.19478,
6880.000,4.20485,
6879.000,4.21529,
6878.000,4.22536,
6877.000,4.23567,
6876.000,4.24849,
6875.000,4.26648,
6874.000,4.28986,
6873.000,4.31445,
6872.000,4.33395,
6871.000,4.34593,
6870.000,4.35426,
6869.000,4.36419,
6868.000,4.37623,
6867.000,4.38744,
6866.000,4.39798,
6865.000,4.41259,
6864.000,4.43453,
6863.000,4.46038,
6862.000,4.48345,
6861.000,4.50143,
6860.000,4.51761,
6859.000,4.53474,
6858.000,4.55091,
6857.000,4.56286,
6856.000,4.57105,
6855.000,4.57962,
6854.000,4.59162,
6853.000,4.60623,
6852.000,4.62132,
6851.000,4.6371,
6850.000,4.65586,
6849.000,4.67873,
6848.000,4.70416,
6847.000,4.72984,
6846.000,4.75471,
6845.000,4.77889,
6844.000,4.80266,
6843.000,4.82666,
6842.000,4.85219,
6841.000,4.88021,
6840.000,4.91009,
6839.000,4.94081,
6838.000,4.97269,
6837.000,5.00654,
6836.000,5.04119,
6835.000,5.07351,
6834.000,5.10126,
6833.000,5.12481,
6832.000,5.14604,
6831.000,5.16722,
6830.000,5.19161,
6829.000,5.22229,
6828.000,5.25878,
6827.000,5.29634,
6826.000,5.33069,
6825.000,5.36218,
6824.000,5.39383,
6823.000,5.42664,
6822.000,5.45944,
