,d2o 165 By Administrator Date Wednesday. December 15 2021,
Time,15:38:19,
Wavenumbers [1/cm],Transmittance %,
7000.000,5.11026,
6999.000,5.13624,
6998.000,5.16329,
6997.000,5.1918,
6996.000,5.22371,
6995.000,5.25814,
6994.000,5.29095,
6993.000,5.31888,
6992.000,5.34246,
6991.000,5.36456,
6990.000,5.38756,
6989.000,5.41217,
6988.000,5.43737,
6987.000,5.46131,
6986.000,5.48379,
6985.000,5.50759,
6984.000,5.53573,
6983.000,5.56753,
6982.000,5.6001,
6981.000,5.63296,
6980.000,5.66834,
6979.000,5.70658,
6978.000,5.7441,
6977.000,5.77784,
6976.000,5.80939,
6975.000,5.84245,
6974.000,5.87776,
6973.000,5.91283,
6972.000,5.94548,
6971.000,5.97601,
6970.000,6.00603,
6969.000,6.03665,
6968.000,6.06792,
6967.000,6.0991,
6966.000,6.12965,
6965.000,6.16007,
6964.000,6.19166,
6963.000,6.22515,
6962.000,6.2599,
6961.000,6.29457,
6960.000,6.32858,
6959.000,6.36287,
6958.000,6.39961,
6957.000,6.44022,
6956.000,6.48323,
6955.000,6.52479,
6954.000,6.56318,
6953.000,6.60146,
6952.000,6.64353,
6951.000,6.68862,
6950.000,6.73215,
6949.000,6.77158,
6948.000,6.80898,
6947.000,6.84741,
6946.000,6.88743,
6945.000,6.92814,
6944.000,6.96919,
6943.000,7.01083,
6942.000,7.05413,
6941.000,7.10135,
6940.000,7.15377,
6939.000,7.20801,
6938.000,7.25743,
6937.000,7.29929,
6936.000,7.33804,
6935.000,7.38006,
6934.000,7.42676,
6933.000,7.47427,
6932.000,7.51871,
6931.000,7.56022,
6930.000,7.60263,
6929.000,7.6494,
6928.000,7.69955,
6927.000,7.74804,
6926.000,7.7915,
6925.000,7.83308,
6924.000,7.87878,
6923.000,7.92933,
6922.000,7.97969,
6921.000,8.0273,
6920.000,8.07599,
6919.000,8.12974,
6918.000,8.18701,
6917.000,8.24378,
6916.000,8.29888,
6915.000,8.35298,
6914.000,8.40489,
6913.000,8.45285,
6912.000,8.49837,
6911.000,8.54525,
6910.000,8.59588,
6909.000,8.65052,
6908.000,8.70899,
6907.000,8.77085,
6906.000,8.83479,
6905.000,8.89968,
6904.000,8.96526,
6903.000,9.0301,
6902.000,9.09093,
6901.000,9.14556,
6900.000,9.19558,
6899.000,9.24444,
6898.000,9.29446,
6897.000,9.34694,
6896.000,9.40291,
6895.000,9.46183,
6894.000,9.52141,
6893.000,9.58032,
6892.000,9.63926,
6891.000,9.69831,
6890.000,9.75569,
6889.000,9.81106,
6888.000,9.86746,
6887.000,9.92746,
6886.000,9.98989,
6885.000,10.053,
6884.000,10.1174,
6883.000,10.184,
6882.000,10.2506,
