,d2o 192 By Administrator Date Thursday. December 16 2021,
Time,16:40:40,
Wavenumbers [1/cm],Transmittance %,
7000.000,5.41311,
6999.000,5.38257,
6998.000,5.35628,
6997.000,5.33827,
6996.000,5.32693,
6995.000,5.31636,
6994.000,5.30129,
6993.000,5.28083,
6992.000,5.25742,
6991.000,5.23306,
6990.000,5.20747,
6989.000,5.17969,
6988.000,5.15046,
6987.000,5.12323,
6986.000,5.10227,
6985.000,5.08849,
6984.000,5.0769,
6983.000,5.06034,
6982.000,5.03675,
6981.000,5.01079,
6980.000,4.98815,
6979.000,4.97028,
6978.000,4.95564,
6977.000,4.94304,
6976.000,4.93109,
6975.000,4.91703,
6974.000,4.89999,
6973.000,4.88359,
6972.000,4.87135,
6971.000,4.86028,
6970.000,4.8432,
6969.000,4.81852,
6968.000,4.79324,
6967.000,4.77439,
6966.000,4.76134,
6965.000,4.74859,
6964.000,4.73343,
6963.000,4.71871,
6962.000,4.70828,
6961.000,4.70185,
6960.000,4.69477,
6959.000,4.68211,
6958.000,4.66319,
6957.000,4.64212,
6956.000,4.62382,
6955.000,4.60957,
6954.000,4.59777,
6953.000,4.58783,
6952.000,4.58081,
6951.000,4.57607,
6950.000,4.57035,
6949.000,4.56141,
6948.000,4.55078,
6947.000,4.54112,
6946.000,4.53221,
6945.000,4.52145,
6944.000,4.50783,
6943.000,4.49352,
6942.000,4.48181,
6941.000,4.47443,
6940.000,4.47061,
6939.000,4.46793,
6938.000,4.46439,
6937.000,4.45998,
6936.000,4.45559,
6935.000,4.45024,
6934.000,4.44084,
6933.000,4.42607,
6932.000,4.41001,
6931.000,4.39979,
6930.000,4.39853,
6929.000,4.40217,
6928.000,4.40437,
6927.000,4.40265,
6926.000,4.39822,
6925.000,4.39124,
6924.000,4.37974,
6923.000,4.36463,
6922.000,4.35217,
6921.000,4.34761,
6920.000,4.34817,
6919.000,4.34632,
6918.000,4.33916,
6917.000,4.33102,
6916.000,4.32649,
6915.000,4.32468,
6914.000,4.32266,
6913.000,4.32098,
6912.000,4.32233,
6911.000,4.32687,
6910.000,4.33199,
6909.000,4.335,
6908.000,4.33379,
6907.000,4.32662,
6906.000,4.31447,
6905.000,4.3026,
6904.000,4.29628,
6903.000,4.29533,
6902.000,4.29545,
6901.000,4.29411,
6900.000,4.29288,
6899.000,4.29433,
6898.000,4.29907,
6897.000,4.30593,
6896.000,4.31271,
6895.000,4.31708,
6894.000,4.31892,
6893.000,4.32147,
6892.000,4.32788,
6891.000,4.33716,
6890.000,4.34548,
6889.000,4.35097,
6888.000,4.35402,
6887.000,4.35395,
6886.000,4.34957,
6885.000,4.34338,
6884.000,4.34068,
6883.000,4.34379,
6882.000,4.35048,
6881.000,4.35933,
6880.000,4.37271,
6879.000,4.39156,
6878.000,4.41077,
6877.000,4.42385,
6876.000,4.42976,
6875.000,4.43229,
6874.000,4.4347,
6873.000,4.43781,
6872.000,4.44227,
6871.000,4.44929,
6870.000,4.45864,
6869.000,4.46875,
6868.000,4.47944,
6867.000,4.49248,
6866.000,4.50867,
6865.000,4.52588,
6864.000,4.54042,
6863.000,4.55016,
6862.000,4.5558,
6861.000,4.55982,
6860.000,4.56462,
6859.000,4.57135,
6858.000,4.58017,
6857.000,4.59091,
6856.000,4.60326,
6855.000,4.61673,
6854.000,4.63111,
6853.000,4.64634,
6852.000,4.66123,
6851.000,4.67321,
6850.000,4.68096,
6849.000,4.68712,
6848.000,4.69659,
6847.000,4.71189,
6846.000,4.73124,
6845.000,4.75106,
6844.000,4.76905,
6843.000,4.78484,
6842.000,4.79909,
6841.000,4.81258,
6840.000,4.82514,
6839.000,4.83583,
6838.000,4.84552,
6837.000,4.85798,
6836.000,4.87632,
6835.000,4.89827,
6834.000,4.91782,
6833.000,4.93236,
6832.000,4.9457,
6831.000,4.96263,
6830.000,4.98331,
6829.000,5.00501,
6828.000,5.02667,
6827.000,5.04847,
6826.000,5.06854,
6825.000,5.08336,
6824.000,5.09228,
6823.000,5.09967,
6822.000,5.11161,
6821.000,5.13112,
6820.000,5.15667,
6819.000,5.18459,
6818.000,5.21214,
6817.000,5.23867,
6816.000,5.2643,
6815.000,5.28842,
6814.000,5.30986,
6813.000,5.32845,
6812.000,5.34593,
6811.000,5.36483,
6810.000,5.38665,
6809.000,5.41088,
6808.000,5.43539,
6807.000,5.45842,
6806.000,5.48029,
6805.000,5.50277,
6804.000,5.52632,
6803.000,5.54876,
6802.000,5.56745,
6801.000,5.58239,
6800.000,5.59651,
6799.000,5.61373,
6798.000,5.63684,
6797.000,5.66577,
6796.000,5.6969,
6795.000,5.72614,
6794.000,5.75357,
6793.000,5.78298,
6792.000,5.81525,
6791.000,5.84541,
6790.000,5.86931,
6789.000,5.89054,
6788.000,5.91558,
6787.000,5.94396,
6786.000,5.96903,
6785.000,5.98875,
6784.000,6.009,
6783.000,6.03465,
6782.000,6.06319,
6781.000,6.09027,
6780.000,6.11696,
6779.000,6.14762,
6778.000,6.18301,
6777.000,6.21919,
6776.000,6.2525,
6775.000,6.28279,
6774.000,6.31238,
6773.000,6.34344,
6772.000,6.37565,
6771.000,6.40594,
6770.000,6.43203,
6769.000,6.45655,
6768.000,6.48498,
6767.000,6.51878,
6766.000,6.55346,
