,d2o 044 By Administrator Date Tuesday. December 14 2021,
Time,12:41:46,
Wavenumbers [1/cm],Transmittance %,
7000.000,7.14056,
6999.000,7.11452,
6998.000,7.08641,
6997.000,7.0558,
6996.000,7.02364,
6995.000,6.99133,
6994.000,6.95993,
6993.000,6.9296,
6992.000,6.89982,
6991.000,6.87,
6990.000,6.84022,
6989.000,6.81076,
6988.000,6.78066,
6987.000,6.74747,
6986.000,6.70953,
6985.000,6.66783,
6984.000,6.62487,
6983.000,6.58242,
6982.000,6.54183,
6981.000,6.50504,
6980.000,6.47322,
6979.000,6.44531,
6978.000,6.42007,
6977.000,6.39811,
6976.000,6.37905,
6975.000,6.35815,
6974.000,6.3301,
6973.000,6.29559,
6972.000,6.26009,
6971.000,6.22649,
6970.000,6.19302,
6969.000,6.15929,
6968.000,6.12846,
6967.000,6.10133,
6966.000,6.0738,
6965.000,6.04331,
6964.000,6.0133,
6963.000,5.98816,
6962.000,5.96636,
6961.000,5.94285,
6960.000,5.91555,
6959.000,5.88557,
6958.000,5.85418,
6957.000,5.82315,
6956.000,5.79565,
6955.000,5.77289,
6954.000,5.75137,
6953.000,5.72763,
6952.000,5.70348,
6951.000,5.68229,
6950.000,5.66193,
6949.000,5.6364,
6948.000,5.6043,
6947.000,5.57137,
6946.000,5.54318,
6945.000,5.51955,
6944.000,5.49754,
6943.000,5.47579,
6942.000,5.45376,
6941.000,5.42987,
6940.000,5.40346,
6939.000,5.37748,
6938.000,5.35598,
6937.000,5.33868,
6936.000,5.32029,
6935.000,5.29654,
6934.000,5.26949,
6933.000,5.24536,
6932.000,5.22682,
6931.000,5.20943,
6930.000,5.18775,
6929.000,5.16335,
6928.000,5.14314,
6927.000,5.13009,
6926.000,5.11918,
6925.000,5.10362,
6924.000,5.08282,
6923.000,5.06157,
6922.000,5.04275,
6921.000,5.024,
6920.000,5.0017,
6919.000,4.97585,
6918.000,4.9505,
6917.000,4.92966,
6916.000,4.91341,
6915.000,4.89857,
6914.000,4.88349,
6913.000,4.87025,
6912.000,4.86001,
6911.000,4.8485,
6910.000,4.83005,
6909.000,4.806,
6908.000,4.78474,
6907.000,4.77156,
6906.000,4.76246,
6905.000,4.75055,
6904.000,4.73474,
6903.000,4.71795,
6902.000,4.70052,
6901.000,4.68054,
6900.000,4.65951,
6899.000,4.64293,
6898.000,4.63432,
6897.000,4.63164,
6896.000,4.63062,
6895.000,4.62898,
6894.000,4.62583,
6893.000,4.61958,
6892.000,4.60813,
6891.000,4.59104,
6890.000,4.57097,
6889.000,4.55249,
6888.000,4.53881,
6887.000,4.52947,
6886.000,4.5217,
6885.000,4.514,
6884.000,4.50714,
6883.000,4.50181,
6882.000,4.49671,
6881.000,4.48972,
6880.000,4.47934,
6879.000,4.46467,
6878.000,4.44639,
6877.000,4.42841,
6876.000,4.41591,
6875.000,4.40996,
6874.000,4.40614,
6873.000,4.40035,
6872.000,4.39379,
6871.000,4.39027,
6870.000,4.39037,
6869.000,4.39125,
6868.000,4.39084,
6867.000,4.38911,
6866.000,4.38603,
6865.000,4.38092,
6864.000,4.37348,
6863.000,4.36384,
6862.000,4.35213,
6861.000,4.33968,
6860.000,4.32989,
6859.000,4.32549,
6858.000,4.32527,
6857.000,4.3251,
6856.000,4.32167,
6855.000,4.31464,
6854.000,4.30622,
6853.000,4.29978,
6852.000,4.29792,
6851.000,4.30019,
6850.000,4.30347,
6849.000,4.30557,
6848.000,4.30692,
6847.000,4.30804,
6846.000,4.30766,
6845.000,4.3052,
6844.000,4.30304,
6843.000,4.304,
6842.000,4.3076,
6841.000,4.31151,
6840.000,4.31528,
6839.000,4.31993,
6838.000,4.32487,
6837.000,4.32834,
6836.000,4.3296,
6835.000,4.32825,
6834.000,4.32258,
6833.000,4.31188,
6832.000,4.30015,
6831.000,4.29356,
6830.000,4.29368,
6829.000,4.29645,
6828.000,4.29888,
6827.000,4.30285,
6826.000,4.31088,
6825.000,4.32098,
6824.000,4.32833,
6823.000,4.33132,
6822.000,4.33338,
6821.000,4.33874,
6820.000,4.34756,
6819.000,4.35591,
6818.000,4.3601,
6817.000,4.3604,
6816.000,4.36016,
6815.000,4.36156,
6814.000,4.36326,
6813.000,4.36318,
6812.000,4.36235,
6811.000,4.36432,
6810.000,4.37061,
6809.000,4.37839,
6808.000,4.38371,
6807.000,4.38602,
6806.000,4.38838,
6805.000,4.39359,
6804.000,4.4013,
6803.000,4.40955,
6802.000,4.41821,
6801.000,4.42977,
6800.000,4.44595,
6799.000,4.46462,
6798.000,4.48127,
6797.000,4.49323,
6796.000,4.50128,
6795.000,4.50794,
6794.000,4.51554,
6793.000,4.52541,
6792.000,4.53722,
6791.000,4.54893,
6790.000,4.55857,
6789.000,4.56583,
6788.000,4.57121,
6787.000,4.57472,
6786.000,4.57724,
6785.000,4.58158,
6784.000,4.58954,
6783.000,4.59936,
6782.000,4.60908,
6781.000,4.621,
6780.000,4.63854,
6779.000,4.66006,
6778.000,4.6805,
6777.000,4.69937,
6776.000,4.72127,
6775.000,4.74699,
6774.000,4.76981,
6773.000,4.78422,
6772.000,4.79298,
6771.000,4.80187,
6770.000,4.81255,
6769.000,4.82427,
6768.000,4.83832,
6767.000,4.85585,
6766.000,4.87436,
6765.000,4.89123,
6764.000,4.90825,
6763.000,4.92807,
6762.000,4.94843,
6761.000,4.96535,
6760.000,4.98042,
6759.000,4.99878,
6758.000,5.02111,
6757.000,5.04321,
6756.000,5.0632,
6755.000,5.08379,
6754.000,5.10673,
6753.000,5.1299,
6752.000,5.1511,
6751.000,5.17111,
6750.000,5.1915,
6749.000,5.21264,
6748.000,5.23511,
6747.000,5.25975,
6746.000,5.28529,
6745.000,5.30914,
6744.000,5.33146,
6743.000,5.35558,
6742.000,5.38314,
6741.000,5.41152,
6740.000,5.43766,
6739.000,5.46188,
6738.000,5.48606,
6737.000,5.51006,
6736.000,5.53241,
6735.000,5.55353,
6734.000,5.57592,
6733.000,5.60155,
6732.000,5.63011,
6731.000,5.65954,
6730.000,5.68736,
6729.000,5.71209,
6728.000,5.73459,
6727.000,5.75812,
6726.000,5.78627,
6725.000,5.82006,
6724.000,5.85705,
6723.000,5.89349,
6722.000,5.92779,
6721.000,5.96104,
6720.000,5.9942,
6719.000,6.02625,
6718.000,6.05655,
6717.000,6.08801,
6716.000,6.12438,
6715.000,6.16456,
6714.000,6.20291,
6713.000,6.2363,
6712.000,6.26798,
6711.000,6.30277,
6710.000,6.34123,
6709.000,6.38092,
6708.000,6.42097,
6707.000,6.46207,
6706.000,6.50312,
6705.000,6.54139,
6704.000,6.57618,
6703.000,6.61025,
6702.000,6.6473,
6701.000,6.6894,
6700.000,6.73584,
6699.000,6.78399,
6698.000,6.8298,
6697.000,6.87078,
6696.000,6.9071,
6695.000,6.93997,
6694.000,6.97106,
6693.000,7.00391,
6692.000,7.04337,
6691.000,7.09134,
6690.000,7.14423,
6689.000,7.19655,
6688.000,7.24558,
6687.000,7.29134,
6686.000,7.3344,
6685.000,7.37628,
6684.000,7.42016,
6683.000,7.46827,
6682.000,7.51911,
6681.000,7.56938,
6680.000,7.61784,
6679.000,7.66516,
6678.000,7.71122,
6677.000,7.7547,
