,d2o 116 By Administrator Date Wednesday. December 15 2021,
Time,11:42:47,
Wavenumbers [1/cm],Transmittance %,
7000.000,10.4999,
6999.000,10.5663,
6998.000,10.6256,
6997.000,10.6804,
6996.000,10.7383,
6995.000,10.8042,
6994.000,10.8744,
6993.000,10.9416,
6992.000,11.0025,
6991.000,11.0614,
6990.000,11.1243,
6989.000,11.1927,
6988.000,11.2622,
6987.000,11.3275,
6986.000,11.3873,
6985.000,11.4458,
6984.000,11.507,
6983.000,11.5701,
6982.000,11.6323,
6981.000,11.6933,
6980.000,11.7548,
6979.000,11.8169,
6978.000,11.877,
6977.000,11.9339,
6976.000,11.9888,
6975.000,12.0421,
6974.000,12.0942,
6973.000,12.1488,
6972.000,12.2116,
6971.000,12.2832,
6970.000,12.3567,
6969.000,12.425,
6968.000,12.4864,
6967.000,12.5416,
6966.000,12.5901,
6965.000,12.6312,
6964.000,12.6682,
6963.000,12.706,
6962.000,12.7464,
6961.000,12.7887,
6960.000,12.8326,
6959.000,12.879,
6958.000,12.9281,
6957.000,12.9788,
6956.000,13.0291,
6955.000,13.0776,
6954.000,13.1237,
6953.000,13.1696,
6952.000,13.2168,
6951.000,13.263,
6950.000,13.3027,
6949.000,13.3339,
6948.000,13.3599,
6947.000,13.3845,
6946.000,13.4076,
6945.000,13.4267,
6944.000,13.4422,
6943.000,13.4574,
6942.000,13.4748,
6941.000,13.494,
6940.000,13.5117,
6939.000,13.5246,
6938.000,13.5334,
6937.000,13.5431,
6936.000,13.5568,
6935.000,13.5718,
6934.000,13.5834,
6933.000,13.5907,
6932.000,13.5958,
6931.000,13.5974,
6930.000,13.5927,
6929.000,13.5842,
6928.000,13.5786,
6927.000,13.5781,
6926.000,13.5769,
6925.000,13.5701,
6924.000,13.5589,
6923.000,13.5465,
6922.000,13.5316,
6921.000,13.5112,
6920.000,13.4862,
6919.000,13.4617,
6918.000,13.4417,
6917.000,13.4263,
6916.000,13.4115,
6915.000,13.3912,
6914.000,13.3631,
6913.000,13.3312,
6912.000,13.2995,
6911.000,13.2655,
6910.000,13.2243,
6909.000,13.1781,
6908.000,13.1363,
6907.000,13.1036,
6906.000,13.0745,
6905.000,13.0433,
6904.000,13.0116,
6903.000,12.9821,
6902.000,12.951,
6901.000,12.9116,
6900.000,12.8628,
6899.000,12.8095,
6898.000,12.7566,
6897.000,12.7063,
6896.000,12.6591,
6895.000,12.6138,
6894.000,12.5686,
6893.000,12.524,
6892.000,12.4815,
6891.000,12.4396,
6890.000,12.3944,
6889.000,12.3459,
6888.000,12.2993,
6887.000,12.2572,
6886.000,12.215,
6885.000,12.1679,
6884.000,12.1174,
6883.000,12.0675,
6882.000,12.0178,
6881.000,11.9657,
6880.000,11.9121,
6879.000,11.8596,
6878.000,11.8069,
6877.000,11.7509,
6876.000,11.6931,
6875.000,11.6384,
6874.000,11.5889,
6873.000,11.541,
6872.000,11.4918,
6871.000,11.4425,
6870.000,11.3958,
6869.000,11.3504,
6868.000,11.3021,
6867.000,11.2488,
6866.000,11.193,
6865.000,11.1395,
6864.000,11.0904,
6863.000,11.0433,
6862.000,10.9944,
6861.000,10.9433,
6860.000,10.8919,
6859.000,10.8405,
6858.000,10.7879,
6857.000,10.7344,
6856.000,10.682,
6855.000,10.6314,
6854.000,10.5814,
6853.000,10.5316,
6852.000,10.4831,
6851.000,10.4348,
6850.000,10.3843,
6849.000,10.3317,
6848.000,10.2802,
6847.000,10.2318,
6846.000,10.1851,
6845.000,10.1382,
6844.000,10.0912,
6843.000,10.0437,
6842.000,9.99428,
6841.000,9.94307,
6840.000,9.89265,
6839.000,9.84406,
6838.000,9.79512,
6837.000,9.7441,
6836.000,9.69235,
6835.000,9.64178,
6834.000,9.59231,
6833.000,9.54368,
6832.000,9.49711,
6831.000,9.4526,
6830.000,9.40718,
6829.000,9.35847,
6828.000,9.30804,
6827.000,9.25913,
6826.000,9.21258,
6825.000,9.16724,
6824.000,9.12288,
6823.000,9.08027,
6822.000,9.03882,
6821.000,8.99608,
6820.000,8.95018,
6819.000,8.90202,
6818.000,8.85474,
6817.000,8.81053,
6816.000,8.76805,
6815.000,8.72427,
6814.000,8.67935,
6813.000,8.63748,
6812.000,8.60064,
6811.000,8.56412,
6810.000,8.52224,
6809.000,8.47689,
6808.000,8.43508,
6807.000,8.39836,
6806.000,8.36044,
6805.000,8.31627,
6804.000,8.2683,
6803.000,8.22191,
6802.000,8.17883,
6801.000,8.13746,
6800.000,8.09656,
6799.000,8.05572,
6798.000,8.01451,
6797.000,7.97357,
6796.000,7.9346,
6795.000,7.89806,
6794.000,7.863,
6793.000,7.82961,
6792.000,7.79889,
6791.000,7.76913,
6790.000,7.73616,
6789.000,7.69854,
6788.000,7.65891,
6787.000,7.61856,
6786.000,7.57444,
6785.000,7.52458,
6784.000,7.4729,
6783.000,7.42561,
6782.000,7.38524,
6781.000,7.35045,
6780.000,7.31923,
6779.000,7.28966,
6778.000,7.25976,
6777.000,7.22911,
6776.000,7.19883,
6775.000,7.16799,
6774.000,7.13268,
6773.000,7.09123,
6772.000,7.04759,
6771.000,7.00632,
6770.000,6.9668,
6769.000,6.92599,
6768.000,6.88491,
6767.000,6.84805,
6766.000,6.81692,
6765.000,6.7883,
6764.000,6.75921,
6763.000,6.73004,
6762.000,6.70117,
6761.000,6.6697,
6760.000,6.63228,
6759.000,6.59019,
6758.000,6.54905,
6757.000,6.51303,
6756.000,6.48059,
6755.000,6.44699,
6754.000,6.41063,
6753.000,6.37493,
6752.000,6.34339,
6751.000,6.31454,
6750.000,6.2842,
6749.000,6.25165,
6748.000,6.22092,
6747.000,6.19506,
