,180,172,188,192,196,200,204,208,212,182,186,190,176,194,198,202,206,210,178,174,170,166,162,168,158,154,150,181,185,189,193,197,201,205,164,209,213,177,173,169,165,161,157,153,149,160,179,175,156,152,148,184,
Wavenumbers [1/cm],Transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,
6962.711,0.06576988,0.06378709,0.02981034,0.009745341,0.002749458,0.06040938,0.04666758,0.02088153,0.00464337,0.0979699,0.09525789,0.09635965,0.07023421,0.07537353,0.03384206,0.0381907,0.03000316,0.04324686,0.09530898,0.09468953,0.08456414,0.08520672,0.06983953,0.04568965,0.03603971,0.01367679,0.04823039,0.1018002,0.09589525,0.09095842,0.07871585,0.07631879,0.06965479,0.05374208,0.06756793,0.04206737,0.02442056,0.1042846,0.08018533,0.08892567,0.08833567,0.06000452,0.03667183,0.01112589,0.01188914,0.06965928,0.1054423,0.09946609,0.06248758,0.05709234,0.04114754,0.04687932,
6958.854,0.0698301,0.06881531,0.03011107,0.009575139,0.0027997,0.06100304,0.0467645,0.0207716,0.004606984,0.09784912,0.09594925,0.09557354,0.07363475,0.07492387,0.03415756,0.03836846,0.03007643,0.04280371,0.09703865,0.09374367,0.08504417,0.08624804,0.06931135,0.04429941,0.03672416,0.01353639,0.04862011,0.1018511,0.09666409,0.09080668,0.07881404,0.07656499,0.06994467,0.05367484,0.06688765,0.04213082,0.024261,0.1043904,0.08098532,0.08942047,0.08861702,0.05901854,0.03712654,0.01135522,0.01168185,0.0698856,0.1057809,0.09860197,0.06275518,0.05748949,0.04119193,0.04720719,
6954.996,0.07477643,0.07426867,0.03027813,0.009602212,0.002736232,0.06157263,0.0468611,0.02074241,0.004420726,0.09802607,0.0964916,0.09478331,0.07663465,0.07463447,0.0345857,0.0384623,0.03012947,0.04267818,0.0987214,0.09275816,0.08586512,0.08716568,0.06856428,0.0424192,0.03735338,0.01352728,0.04907914,0.1018458,0.09746023,0.09057616,0.07906142,0.07678282,0.07003273,0.0537442,0.0661835,0.04229162,0.02411787,0.1043178,0.08219992,0.09014285,0.08893625,0.0581858,0.03754157,0.01177447,0.01153528,0.070361,0.1058292,0.0978264,0.0627293,0.05783835,0.04132104,0.04764586,
6951.139,0.08024167,0.08007215,0.03021262,0.009728363,0.002695507,0.06197562,0.04692523,0.02079333,0.004346199,0.09815302,0.09677692,0.09405392,0.07917004,0.0746285,0.03503721,0.03845059,0.03044818,0.04296619,0.1001215,0.09172156,0.08703744,0.08790035,0.06775964,0.04001852,0.03800996,0.01339988,0.04945464,0.1018213,0.09817596,0.09011507,0.07947209,0.07685479,0.07019654,0.05366829,0.06553461,0.04244892,0.0240318,0.1042488,0.08366092,0.09091939,0.08915854,0.05754432,0.03805544,0.01227509,0.01140391,0.07078654,0.1057476,0.09695125,0.06258348,0.05823042,0.0413008,0.04813142,
6947.281,0.08584635,0.08585045,0.03017991,0.009731975,0.002711833,0.06216888,0.04712069,0.02085268,0.004372102,0.09814887,0.09705395,0.09326597,0.08107594,0.07481485,0.03545801,0.03842382,0.0307964,0.04305148,0.1012432,0.09077065,0.08837072,0.08843654,0.06694514,0.03736425,0.03886157,0.01325484,0.04977383,0.1017799,0.09867776,0.08948889,0.08008211,0.07687966,0.07050125,0.05347841,0.06479046,0.04255948,0.02410298,0.1042822,0.08512438,0.09169457,0.08912282,0.05699518,0.03850039,0.01255272,0.01112794,0.07109239,0.1056327,0.09596642,0.06233642,0.05865018,0.04109457,0.04867713,
6943.424,0.09145515,0.09129017,0.03036251,0.009583486,0.002712882,0.06231517,0.0475004,0.02101139,0.004265204,0.09801453,0.09739072,0.09227141,0.08207202,0.07500745,0.03572043,0.03844519,0.03092281,0.04270143,0.1022175,0.08999771,0.08961365,0.08870915,0.06597611,0.03484517,0.03969834,0.01329003,0.05027905,0.1017122,0.09909262,0.08882648,0.08080638,0.07674092,0.07067398,0.05342602,0.06408489,0.04249126,0.02436261,0.1041648,0.08665151,0.09258907,0.08889087,0.05645165,0.03855817,0.01266294,0.01074867,0.07151886,0.1055556,0.09507102,0.06212969,0.05902216,0.04098871,0.04924418,
6939.567,0.09707665,0.09638944,0.03056891,0.009417018,0.002777792,0.06249302,0.04782602,0.02127482,0.004103005,0.09784342,0.09757626,0.09102903,0.08201162,0.0750706,0.03587455,0.03854387,0.03091595,0.04230637,0.1029581,0.0895648,0.09077691,0.08872733,0.06492476,0.03244554,0.04025233,0.01340256,0.05093583,0.1015719,0.09947796,0.08811328,0.08148983,0.07650611,0.07071362,0.05336669,0.06345067,0.0422822,0.02464263,0.1036622,0.08834229,0.0936268,0.08859634,0.05604838,0.0383388,0.01279546,0.01038882,0.0720711,0.1053699,0.09421094,0.06208945,0.05940571,0.04111348,0.04989564,
6935.709,0.1023795,0.1009093,0.03060774,0.009345185,0.002920573,0.06249983,0.04809774,0.02155313,0.004061095,0.09788762,0.09750546,0.08978081,0.08090625,0.0751475,0.0360336,0.03867575,0.0309316,0.04212207,0.1034747,0.08954781,0.09214721,0.08858135,0.06402919,0.03009547,0.04070836,0.01350346,0.05155874,0.1014358,0.09964629,0.0872439,0.08210358,0.07640631,0.07097166,0.05320158,0.06274848,0.04217601,0.02478696,0.1030166,0.09010625,0.09476894,0.0882953,0.0558781,0.03820075,0.01298104,0.01001373,0.07251728,0.1050346,0.09327475,0.06199462,0.05990224,0.04123607,0.05071674,
6931.852,0.1067782,0.1042392,0.03046058,0.009416245,0.003011287,0.06229357,0.04847559,0.02186365,0.004154861,0.09825967,0.09715293,0.08888945,0.0787423,0.07553825,0.03604667,0.03875312,0.03101128,0.04212828,0.1040239,0.08980876,0.09380489,0.08826212,0.06315435,0.02801525,0.04132925,0.01368131,0.05203562,0.1014542,0.09961193,0.08625649,0.08275019,0.07636259,0.07151365,0.05313647,0.06214309,0.04219279,0.02474146,0.1024369,0.09192842,0.09602028,0.08798163,0.05591232,0.03812824,0.01329203,0.009621897,0.07284217,0.1048158,0.09252714,0.06169102,0.06046636,0.04123564,0.05157864,
6927.994,0.1099791,0.1058974,0.03017064,0.009608753,0.002940665,0.06209829,0.04891906,0.02215888,0.00431117,0.09873271,0.09658212,0.0882713,0.07557412,0.07625325,0.03583476,0.03872097,0.03108253,0.04221846,0.1044392,0.09019751,0.09538176,0.08777408,0.06209271,0.0263884,0.04192987,0.01393654,0.05231436,0.1015358,0.09950675,0.08530955,0.08345716,0.07613305,0.07201853,0.05315621,0.06160836,0.04210337,0.02460835,0.1017814,0.09367904,0.0972746,0.08761156,0.05616477,0.03777413,0.01368146,0.009283556,0.07318278,0.1046428,0.09217329,0.06127378,0.06087762,0.04130652,0.05228772,
