,kine_135610_0,kine_135610_1,kine_135610_2,kine_135610_3,kine_135610_4,kine_135610_5,kine_135610_6,kine_135610_7,kine_135610_8,kine_135610_10,kine_135610_11,kine_135610_12,kine_135610_13,kine_135610_14,kine_135610_15,kine_135610_16,kine_135610_17,kine_135610_18,kine_135610_19,kine_135610_20,kine_135610_21,kine_135610_22,kine_135610_23,kine_135610_24,kine_135610_25,kine_135610_26,kine_135610_27,kine_135610_28,kine_135610_29,kine_135610_30,kine_135610_31,kine_135610_33,kine_135610_34,kine_135610_35,kine_135610_36,kine_135610_37,kine_135610_38,kine_135610_39,kine_135610_40,kine_135610_41,kine_135610_42,kine_135610_43,kine_135610_44,kine_135610_45,kine_135610_46,kine_135610_47,kine_135610_48,kine_135610_49,kine_135610_50,kine_135610_51,kine_135610_52,kine_135610_53,kine_135610_54,kine_135610_55,kine_135610_56,kine_135610_57,kine_135610_58,kine_135610_59,kine_135610_60,kine_135610_61,kine_135610_62,kine_135610_63,kine_135610_64,kine_135610_65,kine_135610_66,kine_135610_67,kine_135610_68,kine_135610_69,kine_135610_70,kine_135610_71,kine_135610_72,kine_135610_73,kine_135610_74,kine_135610_75,kine_135610_76,kine_135610_77,kine_135610_78,kine_135610_79,kine_135610_80,kine_135610_81,kine_135610_82,kine_135610_83,kine_135610_84,kine_135610_85,kine_135610_86,kine_135610_87,kine_135610_88,kine_135610_89,kine_135610_90,kine_135610_91,kine_135610_92,kine_135610_93,kine_135610_94,kine_135610_95,kine_135610_96,kine_135610_97,kine_135610_98,kine_135610_99,kine_135610_100,kine_135610_101,kine_135610_102,kine_135610_103,
Wavelength [nm],Absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,
509.000,0.61755,0.60989,0.60213,0.59519,0.58682,0.58045,0.57502,0.56806,0.56267,0.55701,0.55243,0.54759,0.54332,0.5379,0.53435,0.53046,0.52575,0.52207,0.51858,0.51581,0.51261,0.50941,0.50687,0.50362,0.50155,0.49908,0.49666,0.49414,0.49197,0.48912,0.48718,0.4856,0.48444,0.48225,0.48225,0.48066,0.47798,0.47752,0.47752,0.47604,0.47337,0.47254,0.47127,0.46984,0.46907,0.46801,0.46604,0.46458,0.4648,0.46297,0.46184,0.46105,0.46009,0.45855,0.45762,0.45734,0.4561,0.45531,0.45426,0.45386,0.45354,0.45191,0.45184,0.45084,0.45086,0.4493,0.4492,0.44765,0.44854,0.44737,0.44725,0.44575,0.44626,0.44475,0.44439,0.4442,0.44337,0.44325,0.44263,0.44274,0.44138,0.44152,0.44106,0.44165,0.44097,0.44082,0.44069,0.44147,0.44044,0.44014,0.43958,0.43986,0.43912,0.43821,0.43899,0.43807,0.43778,0.43722,0.4374,0.43637,0.43674,0.43625,
510.000,0.61536,0.60708,0.59959,0.59207,0.58468,0.57826,0.57177,0.56464,0.56002,0.55292,0.54827,0.5439,0.53898,0.53449,0.53041,0.52606,0.52274,0.51862,0.51478,0.51185,0.50954,0.5061,0.50278,0.50079,0.49849,0.4945,0.49242,0.49043,0.48826,0.48553,0.48369,0.48244,0.48041,0.4785,0.4785,0.47705,0.47466,0.47329,0.47329,0.47155,0.47139,0.4688,0.46825,0.46711,0.46531,0.46446,0.46356,0.4619,0.46141,0.46061,0.45922,0.45862,0.45751,0.4567,0.45542,0.45554,0.45418,0.45303,0.45262,0.45214,0.45138,0.45073,0.45016,0.44984,0.44966,0.44863,0.44883,0.44712,0.44756,0.44618,0.44645,0.44586,0.4456,0.44485,0.4453,0.44502,0.44445,0.44352,0.44355,0.44374,0.44307,0.44302,0.44265,0.4427,0.44239,0.44225,0.44015,0.44017,0.43959,0.43935,0.43891,0.43963,0.43948,0.43929,0.4382,0.43895,0.43859,0.43843,0.43864,0.43845,0.43852,0.43809,
511.000,0.61828,0.61028,0.60265,0.5955,0.58756,0.58066,0.57421,0.5684,0.56293,0.55717,0.55238,0.54778,0.54275,0.53835,0.53437,0.52978,0.52631,0.52246,0.51952,0.51623,0.51192,0.50965,0.50635,0.50336,0.5014,0.49977,0.4971,0.49464,0.49351,0.49043,0.48855,0.48756,0.48511,0.48368,0.48368,0.48319,0.4802,0.47902,0.47902,0.47743,0.47662,0.47507,0.47383,0.47228,0.47104,0.46979,0.46979,0.46853,0.46778,0.46664,0.46629,0.4656,0.46444,0.46395,0.46284,0.46198,0.46097,0.46054,0.46041,0.45908,0.45918,0.45841,0.45799,0.459,0.45756,0.458,0.45671,0.45661,0.45625,0.4562,0.45539,0.45599,0.45554,0.45506,0.45603,0.45502,0.45427,0.45407,0.45397,0.454,0.4539,0.45368,0.45395,0.45389,0.45347,0.4532,0.45008,0.44889,0.44928,0.4487,0.44836,0.44908,0.44877,0.44916,0.4493,0.44924,0.44875,0.44877,0.4491,0.45003,0.44979,0.45032,
512.000,0.62942,0.62037,0.61328,0.60589,0.59921,0.59293,0.58641,0.58083,0.57472,0.56874,0.56449,0.55931,0.55503,0.5502,0.54655,0.54304,0.53933,0.53517,0.53234,0.5288,0.52576,0.52269,0.52084,0.51797,0.51614,0.51357,0.51084,0.50849,0.5073,0.50527,0.50354,0.50137,0.50003,0.49816,0.49816,0.49672,0.49526,0.49311,0.49311,0.49261,0.49158,0.48984,0.48926,0.48783,0.48799,0.48705,0.48569,0.48521,0.48377,0.48284,0.48244,0.48186,0.48047,0.48031,0.47951,0.4792,0.47779,0.47773,0.47705,0.47727,0.47617,0.47598,0.47547,0.47592,0.47499,0.47505,0.47502,0.47445,0.47378,0.47445,0.47388,0.47462,0.47387,0.4738,0.47386,0.4734,0.47389,0.47224,0.47353,0.47325,0.47309,0.47303,0.47301,0.47309,0.47311,0.4718,0.47062,0.46672,0.46764,0.46783,0.46751,0.46815,0.46767,0.46757,0.46732,0.46809,0.46837,0.46801,0.46885,0.4691,0.4688,0.46967,
513.000,0.64242,0.63372,0.62717,0.62055,0.61304,0.60639,0.60068,0.59411,0.58871,0.58408,0.57853,0.57446,0.56979,0.56528,0.56183,0.55853,0.55482,0.55154,0.54791,0.54494,0.542,0.53905,0.53705,0.53402,0.53234,0.52987,0.52747,0.52559,0.52301,0.52247,0.52069,0.5186,0.51703,0.51538,0.51538,0.5148,0.51262,0.51142,0.51142,0.51041,0.50852,0.50858,0.50707,0.5065,0.50549,0.50425,0.5031,0.50224,0.50134,0.50119,0.50013,0.50051,0.49919,0.49884,0.49771,0.49776,0.49729,0.49713,0.4961,0.49629,0.49526,0.49484,0.49458,0.49393,0.49435,0.49426,0.49318,0.49292,0.49269,0.49356,0.49303,0.4924,0.49219,0.49279,0.49272,0.49246,0.49189,0.49147,0.49221,0.49216,0.49192,0.49148,0.49134,0.4916,0.49083,0.4911,0.48783,0.48642,0.48718,0.48655,0.48595,0.48613,0.48627,0.48556,0.48675,0.48723,0.48765,0.48792,0.48729,0.48708,0.48766,0.48825,
514.000,0.65764,0.64952,0.64199,0.63505,0.6283,0.6225,0.6163,0.61075,0.60556,0.60002,0.59504,0.59088,0.58579,0.58213,0.57884,0.57484,0.57158,0.56723,0.56478,0.56188,0.55891,0.55655,0.55374,0.55132,0.54905,0.54747,0.5447,0.54239,0.5409,0.53917,0.53753,0.5355,0.53473,0.53346,0.53346,0.53177,0.53059,0.52927,0.52927,0.52785,0.5273,0.52623,0.52554,0.52405,0.52343,0.52207,0.52138,0.51945,0.51979,0.51852,0.51802,0.51789,0.51665,0.51593,0.51606,0.51516,0.5142,0.51385,0.51313,0.51279,0.51289,0.51132,0.51108,0.51135,0.51125,0.51099,0.50988,0.51065,0.51031,0.5102,0.50971,0.50915,0.50943,0.50895,0.50932,0.50871,0.50858,0.50851,0.50771,0.50781,0.50783,0.50755,0.50719,0.50742,0.50648,0.50698,0.5047,0.50363,0.50369,0.50366,0.50362,0.50236,0.50337,0.50244,0.50369,0.50391,0.50335,0.50325,0.50373,0.50344,0.50341,0.50316,
515.000,0.67077,0.66191,0.65437,0.64724,0.63947,0.634,0.62823,0.6229,0.61746,0.61194,0.60737,0.60252,0.59795,0.59389,0.59024,0.5865,0.58301,0.57995,0.57652,0.57356,0.57065,0.56815,0.56495,0.5637,0.5606,0.5583,0.55593,0.55403,0.55288,0.55091,0.54873,0.54747,0.54598,0.54399,0.54399,0.54266,0.54175,0.54034,0.54034,0.53928,0.53847,0.53677,0.53543,0.53391,0.53355,0.53232,0.53188,0.53138,0.52943,0.52937,0.52898,0.52801,0.52694,0.52517,0.52548,0.52485,0.52454,0.52412,0.52313,0.52283,0.523,0.52196,0.52103,0.52066,0.52057,0.52002,0.51993,0.51898,0.51834,0.51829,0.51808,0.51819,0.5172,0.51683,0.51641,0.51699,0.51559,0.51614,0.51509,0.51529,0.51487,0.51428,0.51518,0.51372,0.51402,0.51339,0.51299,0.51256,0.51227,0.51213,0.51161,0.51153,0.51219,0.51135,0.51104,0.51218,0.51095,0.51155,0.51083,0.51034,0.51064,0.51017,
516.000,0.67663,0.66814,0.6603,0.65336,0.64587,0.64023,0.63388,0.62807,0.62137,0.61636,0.61126,0.60689,0.60279,0.59849,0.59421,0.59081,0.58808,0.58427,0.58059,0.57734,0.57433,0.57216,0.56918,0.56726,0.56376,0.56219,0.56076,0.55897,0.55625,0.55382,0.55277,0.54963,0.54905,0.54723,0.54723,0.54576,0.54398,0.54244,0.54244,0.54128,0.53955,0.53859,0.53813,0.53686,0.53554,0.53425,0.53319,0.53151,0.53079,0.53053,0.52923,0.52883,0.52684,0.52697,0.52615,0.52605,0.52429,0.52383,0.52374,0.52267,0.5219,0.52182,0.52105,0.52001,0.51996,0.5194,0.51868,0.5177,0.5176,0.5168,0.51622,0.51552,0.51562,0.5152,0.51482,0.51388,0.51336,0.5127,0.51301,0.51226,0.51272,0.51161,0.51097,0.51115,0.51016,0.50994,0.51131,0.51153,0.51117,0.51038,0.51012,0.50926,0.50977,0.50948,0.50874,0.50905,0.50788,0.50818,0.50791,0.50732,0.50636,0.50744,
517.000,0.67598,0.66873,0.65965,0.6518,0.64417,0.63784,0.6314,0.62518,0.61906,0.61308,0.6091,0.60402,0.59978,0.59498,0.59063,0.58646,0.58349,0.57928,0.57566,0.57228,0.57017,0.56662,0.56423,0.56214,0.5589,0.55665,0.55406,0.55207,0.54947,0.54784,0.54549,0.54383,0.54262,0.54047,0.54047,0.53864,0.53679,0.53545,0.53545,0.53496,0.53294,0.53154,0.53024,0.52874,0.52729,0.52638,0.52512,0.52348,0.52278,0.52163,0.52041,0.52018,0.51932,0.51865,0.51724,0.51613,0.51584,0.51479,0.51359,0.51349,0.51241,0.51272,0.5105,0.50964,0.50969,0.50838,0.5083,0.50689,0.50681,0.50552,0.50579,0.5053,0.50328,0.5035,0.50222,0.50182,0.50159,0.50046,0.50109,0.50016,0.49973,0.49884,0.49904,0.49848,0.49738,0.49654,0.49942,0.50072,0.50014,0.49931,0.49953,0.49829,0.49729,0.49752,0.49726,0.49713,0.4963,0.49518,0.49524,0.49361,0.49445,0.49341,
518.000,0.67158,0.66257,0.65421,0.64529,0.63832,0.62984,0.62357,0.61639,0.61106,0.60512,0.59966,0.59536,0.58994,0.58544,0.58073,0.5766,0.57349,0.56791,0.56528,0.56205,0.55863,0.55571,0.55267,0.54959,0.54656,0.54443,0.54188,0.53986,0.53756,0.53489,0.53277,0.53164,0.52896,0.5272,0.5272,0.5249,0.52304,0.5228,0.5228,0.51974,0.51834,0.517,0.51508,0.51545,0.51371,0.51151,0.51096,0.5092,0.50758,0.50641,0.50611,0.50424,0.50305,0.50219,0.50191,0.50076,0.49978,0.49877,0.49767,0.49712,0.49653,0.49499,0.49512,0.49348,0.49287,0.49142,0.49098,0.49013,0.48906,0.48874,0.48727,0.48701,0.48601,0.48576,0.48504,0.48412,0.48255,0.4823,0.48285,0.48264,0.48186,0.48128,0.48075,0.48008,0.47882,0.47816,0.48142,0.48356,0.48261,0.48154,0.48154,0.48115,0.48023,0.47919,0.47805,0.47814,0.47767,0.47748,0.47667,0.47607,0.47525,0.47489,
