,50_hexanon_in_hexane,60_hexanon_in_hexane,60_hexanon_in_hexane,70_hexanon_in_hexane,70_hexanon_in_hexane,80_hexanon_in_hexane,80_hexanon_in_hexane,90_hexanon_in_hexane,90_hexanon_in_hexane,100_hexanon_in_hexane,100_hexanon_in_hexane,20_hexanon_in_hexane,20_hexanon_in_hexane,30_hexanon_in_hexane,30_hexanon_in_hexane,40_hexanon_in_hexane,40_hexanon_in_hexane,50_hexanon_in_hexane,10_hexanon_in_hexane,10_hexanon_in_hexane,
Wavenumbers [1/cm],Transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,
6908.707,0.07264595,0.110195,0.0661789,0.06561232,0.1083834,0.1074409,0.06678759,0.07757458,0.1062542,0.1022626,0.08955391,0.1437253,0.09493448,0.1149594,0.09961263,0.1079944,0.08994465,0.1115248,0.09472808,0.1580791,
6904.849,0.07660992,0.110141,0.06783209,0.06560165,0.1079981,0.1075815,0.06561738,0.07298599,0.1067256,0.1032159,0.08275484,0.1503607,0.09429841,0.1224035,0.0980998,0.1064446,0.09561124,0.1109141,0.09405074,0.1601192,
6900.992,0.08135144,0.1098723,0.07040355,0.06639745,0.1074067,0.1077031,0.06517483,0.06929465,0.1070161,0.1038482,0.07706916,0.1555134,0.093897,0.1301948,0.09675096,0.1047079,0.1016647,0.1100209,0.09385849,0.1595578,
6897.134,0.08686911,0.1092717,0.07371181,0.0679138,0.1066929,0.1077784,0.06546223,0.06654263,0.1071001,0.1041838,0.07252354,0.1587854,0.09367693,0.137804,0.09546816,0.1030624,0.1081853,0.1088884,0.09416114,0.1563304,
6893.277,0.09331187,0.1084885,0.07769771,0.07026485,0.1058929,0.1077965,0.06682629,0.0648991,0.1070264,0.1044476,0.068916,0.1597862,0.093835,0.1450077,0.09430887,0.1014836,0.1154345,0.1074913,0.09490817,0.1507195,
6889.420,0.1008715,0.1075665,0.08255596,0.07350767,0.1050534,0.107607,0.06922372,0.06423708,0.1068345,0.1048814,0.06616037,0.1580988,0.09451274,0.1514725,0.09350909,0.09984241,0.1233748,0.1058941,0.09582082,0.1431505,
6885.562,0.1093655,0.106394,0.08846685,0.07761549,0.1041354,0.1071503,0.07230307,0.06422658,0.1064041,0.1053073,0.06433579,0.1535908,0.09544601,0.1563471,0.09322097,0.09814605,0.1316135,0.1041544,0.09675708,0.1341748,
6881.705,0.1183356,0.1050674,0.09541283,0.08262575,0.1029896,0.1065148,0.07613792,0.06491237,0.1057537,0.105426,0.06351764,0.1466931,0.0963963,0.1589059,0.09350167,0.09644906,0.1396819,0.1022671,0.09783527,0.1245068,
6877.847,0.1275529,0.1036712,0.1031628,0.08849062,0.101576,0.1056906,0.08098347,0.06664074,0.1050768,0.1053375,0.0635297,0.1381814,0.09757329,0.1588393,0.09418228,0.09491102,0.1470796,0.1003016,0.09902139,0.1148866,
6873.990,0.1368527,0.102162,0.1114975,0.09514934,0.09999969,0.1046726,0.08675046,0.06937307,0.1043899,0.1051771,0.06420927,0.1288534,0.09910483,0.1561005,0.09502459,0.09371667,0.1532763,0.0983453,0.1002349,0.1058384,
6870.132,0.14565,0.1005059,0.1202441,0.102604,0.09840762,0.1035275,0.09324931,0.07281962,0.1035333,0.1048183,0.06573613,0.119297,0.1006664,0.1508379,0.09603827,0.09285415,0.1576142,0.09631878,0.1015478,0.09756169,
6866.275,0.1530611,0.09867384,0.1291296,0.110726,0.09689152,0.1022436,0.1004834,0.07698926,0.1024175,0.1042514,0.06828221,0.1099299,0.1019288,0.1434185,0.097263,0.09230262,0.1594607,0.09414323,0.1029424,0.09012688,
6862.417,0.158282,0.09673516,0.137778,0.1193063,0.09551041,0.1007551,0.1084978,0.08200984,0.1010711,0.1036218,0.07178295,0.1011553,0.1030297,0.1345038,0.0985334,0.09208769,0.1584615,0.09204717,0.1042867,0.08355113,
6858.560,0.1607201,0.09483144,0.1456608,0.1281171,0.09434624,0.09908982,0.1171125,0.08788955,0.09954483,0.1028269,0.07608115,0.09319838,0.1042246,0.1248638,0.09969804,0.09218808,0.154585,0.09034761,0.1055984,0.0778441,
6854.702,0.1600745,0.09310894,0.1521895,0.1368607,0.09342306,0.09738499,0.1259349,0.0946465,0.0979591,0.1017391,0.08100612,0.08607804,0.1053905,0.1151691,0.1007916,0.09269181,0.1482428,0.08916625,0.1068594,0.07312253,
6850.845,0.1564513,0.09181411,0.1567163,0.1450808,0.09283496,0.09582152,0.1346334,0.1021846,0.09650693,0.10054,0.08658282,0.07989792,0.1064131,0.1058966,0.1019071,0.09363162,0.1401356,0.08857803,0.1077842,0.06943974,
6846.988,0.1502811,0.09109166,0.1585125,0.1519373,0.09269583,0.09446879,0.142827,0.1102345,0.09524684,0.09939346,0.09311134,0.07481822,0.1073822,0.09735593,0.1030848,0.09476321,0.1309102,0.08868193,0.1084329,0.06675,
6843.130,0.1420992,0.09078324,0.1571749,0.1565145,0.09287553,0.09331673,0.1498563,0.1186969,0.09405511,0.09822348,0.1007255,0.07079635,0.1082802,0.08974882,0.1042516,0.09592529,0.1211974,0.08937614,0.109184,0.06501296,
6839.273,0.1325445,0.09075688,0.1528216,0.1584156,0.09321689,0.09250314,0.1549509,0.1275245,0.09297658,0.09691592,0.109073,0.06769801,0.1089712,0.08311426,0.1052835,0.09720693,0.1116281,0.09039665,0.1099519,0.06418635,
6835.415,0.1223869,0.09110084,0.1459981,0.1575334,0.09373623,0.09211668,0.1574236,0.1362494,0.09228226,0.09551907,0.1177341,0.06553775,0.1093696,0.07748264,0.1062139,0.09864476,0.1026271,0.09164546,0.1104916,0.06427862,
