Wavelength nm.	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...
510.00	0.50714	0.50510	0.50239	0.50026	0.49775	0.49574	0.49342	0.49190	0.48999	0.48820	0.48671	0.48462	0.48312	0.48101	0.48061	0.47964	0.47739	0.47612	0.47513	0.47398	0.47260	0.47192	0.47162	0.46952	0.46908	0.46738	0.46733	0.46616	0.46569	0.46395	0.46378	0.46334	0.46204	0.46131	0.46003	0.46006	0.45965	0.45892	0.45856	0.45752	0.45693	0.45574	0.45597	0.45567	0.45515	0.45482	0.45376	0.45402	0.45251	0.45221	0.45190	0.45090	0.45081	0.45072	0.44939	0.44959	0.44928	0.44896	0.44886	0.44857	0.44753	0.44850	0.44776	0.44675	0.44633	0.44629	0.44620	0.44598	0.44649	0.44545	0.44520	0.44498	0.44449	0.44444	0.44389	0.44330	0.44356	0.44325	0.44246	0.44343	0.44287	0.44192	0.44200	0.44198	0.44154	0.44071	0.44092	0.44115	0.44109	0.44063	0.44007	0.44052	0.43979	0.43981	0.43887	0.43996	0.43951	0.43947	0.43871	0.43895
511.00	0.50040	0.49808	0.49648	0.49394	0.49160	0.48875	0.48694	0.48497	0.48297	0.48150	0.47980	0.47772	0.47641	0.47437	0.47356	0.47190	0.47005	0.46919	0.46867	0.46690	0.46617	0.46490	0.46334	0.46245	0.46163	0.45971	0.45972	0.45870	0.45762	0.45707	0.45593	0.45533	0.45493	0.45368	0.45315	0.45266	0.45204	0.45098	0.45037	0.44963	0.44939	0.44818	0.44806	0.44798	0.44700	0.44726	0.44678	0.44545	0.44463	0.44478	0.44441	0.44334	0.44389	0.44282	0.44290	0.44256	0.44167	0.44103	0.44034	0.44075	0.43957	0.43958	0.43959	0.44000	0.43913	0.43896	0.43845	0.43752	0.43851	0.43830	0.43705	0.43662	0.43668	0.43647	0.43573	0.43573	0.43496	0.43485	0.43473	0.43415	0.43451	0.43375	0.43405	0.43329	0.43379	0.43335	0.43273	0.43243	0.43282	0.43241	0.43243	0.43239	0.43193	0.43153	0.43147	0.43120	0.43122	0.43057	0.43061	0.43087
512.00	0.49312	0.49150	0.48936	0.48684	0.48494	0.48214	0.47922	0.47750	0.47584	0.47393	0.47161	0.47002	0.46846	0.46751	0.46539	0.46483	0.46263	0.46147	0.46022	0.45913	0.45759	0.45650	0.45574	0.45366	0.45360	0.45237	0.45139	0.45061	0.44946	0.44897	0.44821	0.44773	0.44625	0.44457	0.44448	0.44486	0.44331	0.44252	0.44201	0.44195	0.44079	0.44079	0.44013	0.43948	0.43886	0.43846	0.43754	0.43756	0.43653	0.43693	0.43545	0.43461	0.43542	0.43469	0.43430	0.43420	0.43331	0.43244	0.43192	0.43209	0.43136	0.43126	0.43092	0.43012	0.42952	0.42956	0.42948	0.42866	0.42935	0.42810	0.42823	0.42852	0.42739	0.42760	0.42767	0.42650	0.42588	0.42636	0.42621	0.42611	0.42618	0.42559	0.42503	0.42497	0.42477	0.42466	0.42433	0.42365	0.42372	0.42354	0.42368	0.42329	0.42301	0.42299	0.42202	0.42210	0.42228	0.42243	0.42140	0.42100
513.00	0.48831	0.48634	0.48409	0.48116	0.47875	0.47638	0.47337	0.47151	0.47003	0.46777	0.46585	0.46395	0.46281	0.46057	0.45968	0.45803	0.45619	0.45516	0.45375	0.45239	0.45096	0.45118	0.44910	0.44775	0.44648	0.44626	0.44456	0.44381	0.44294	0.44132	0.44114	0.43983	0.43973	0.43834	0.43783	0.43740	0.43676	0.43629	0.43475	0.43479	0.43400	0.43308	0.43316	0.43264	0.43224	0.43133	0.43069	0.43066	0.42965	0.42937	0.42887	0.42818	0.42804	0.42767	0.42695	0.42627	0.42545	0.42534	0.42530	0.42465	0.42435	0.42477	0.42357	0.42343	0.42275	0.42274	0.42254	0.42239	0.42162	0.42128	0.42214	0.42032	0.42055	0.42035	0.42035	0.41941	0.41947	0.41934	0.41926	0.41891	0.41879	0.41767	0.41816	0.41790	0.41766	0.41726	0.41693	0.41674	0.41719	0.41606	0.41626	0.41596	0.41592	0.41581	0.41595	0.41511	0.41498	0.41455	0.41411	0.41484
514.00	0.48296	0.48145	0.47879	0.47631	0.47344	0.47190	0.46906	0.46739	0.46518	0.46274	0.46091	0.45931	0.45693	0.45518	0.45416	0.45260	0.45122	0.44988	0.44844	0.44729	0.44519	0.44450	0.44323	0.44246	0.44126	0.44045	0.43904	0.43746	0.43666	0.43691	0.43589	0.43391	0.43394	0.43271	0.43247	0.43136	0.43021	0.43004	0.42852	0.42926	0.42816	0.42735	0.42683	0.42623	0.42605	0.42518	0.42441	0.42346	0.42318	0.42233	0.42186	0.42212	0.42173	0.42105	0.42050	0.42054	0.41974	0.41950	0.41868	0.41878	0.41882	0.41761	0.41747	0.41730	0.41625	0.41713	0.41633	0.41614	0.41540	0.41476	0.41474	0.41494	0.41398	0.41386	0.41445	0.41466	0.41379	0.41340	0.41279	0.41262	0.41220	0.41249	0.41239	0.41161	0.41219	0.41150	0.41150	0.41102	0.41068	0.41044	0.41096	0.41018	0.41012	0.41056	0.40865	0.40930	0.40972	0.40897	0.40844	0.40819
515.00	0.48204	0.48015	0.47763	0.47506	0.47226	0.46943	0.46745	0.46568	0.46304	0.46152	0.45902	0.45714	0.45592	0.45321	0.45275	0.45086	0.44906	0.44783	0.44641	0.44459	0.44287	0.44204	0.44112	0.44018	0.43844	0.43697	0.43635	0.43498	0.43486	0.43437	0.43285	0.43190	0.43127	0.42967	0.42999	0.42875	0.42802	0.42722	0.42715	0.42582	0.42537	0.42435	0.42384	0.42327	0.42263	0.42219	0.42201	0.42104	0.42051	0.41984	0.42018	0.41918	0.41849	0.41894	0.41783	0.41776	0.41758	0.41676	0.41599	0.41625	0.41550	0.41430	0.41435	0.41449	0.41394	0.41367	0.41273	0.41289	0.41312	0.41275	0.41266	0.41217	0.41138	0.41151	0.41064	0.41103	0.41081	0.41100	0.41059	0.40981	0.40947	0.40941	0.40976	0.40904	0.40972	0.40906	0.40863	0.40898	0.40799	0.40831	0.40816	0.40817	0.40767	0.40735	0.40705	0.40667	0.40713	0.40681	0.40691	0.40605
516.00	0.48338	0.48226	0.47821	0.47618	0.47361	0.47166	0.46940	0.46645	0.46434	0.46264	0.46046	0.45845	0.45618	0.45543	0.45295	0.45179	0.45025	0.44817	0.44744	0.44566	0.44403	0.44299	0.44175	0.44026	0.43895	0.43747	0.43686	0.43545	0.43440	0.43455	0.43297	0.43253	0.43106	0.43054	0.42977	0.42951	0.42835	0.42695	0.42667	0.42607	0.42564	0.42473	0.42390	0.42339	0.42247	0.42232	0.42201	0.42177	0.42092	0.42057	0.42014	0.41983	0.41936	0.41855	0.41774	0.41773	0.41770	0.41699	0.41728	0.41647	0.41595	0.41528	0.41517	0.41439	0.41491	0.41448	0.41425	0.41388	0.41304	0.41339	0.41293	0.41265	0.41226	0.41235	0.41204	0.41171	0.41216	0.41163	0.41053	0.41087	0.41062	0.41028	0.41023	0.41033	0.41023	0.40909	0.40982	0.40967	0.40896	0.40937	0.40880	0.40901	0.40899	0.40850	0.40735	0.40794	0.40726	0.40800	0.40765	0.40788
517.00	0.48785	0.48614	0.48340	0.48167	0.47910	0.47613	0.47359	0.47163	0.46916	0.46737	0.46491	0.46320	0.46158	0.45939	0.45658	0.45598	0.45438	0.45269	0.45129	0.44995	0.44788	0.44653	0.44530	0.44406	0.44262	0.44222	0.44155	0.43970	0.43931	0.43805	0.43697	0.43655	0.43530	0.43442	0.43352	0.43270	0.43287	0.43164	0.43146	0.43009	0.42982	0.42934	0.42859	0.42721	0.42735	0.42692	0.42657	0.42555	0.42469	0.42465	0.42426	0.42413	0.42349	0.42261	0.42258	0.42216	0.42136	0.42105	0.42074	0.42068	0.42022	0.42007	0.41917	0.41930	0.41868	0.41874	0.41828	0.41840	0.41757	0.41765	0.41740	0.41695	0.41671	0.41696	0.41657	0.41615	0.41646	0.41625	0.41510	0.41535	0.41499	0.41513	0.41480	0.41481	0.41441	0.41456	0.41403	0.41402	0.41434	0.41320	0.41387	0.41367	0.41392	0.41316	0.41309	0.41269	0.41294	0.41273	0.41240	0.41275
518.00	0.49542	0.49239	0.49018	0.48776	0.48540	0.48358	0.48078	0.47852	0.47593	0.47373	0.47160	0.47046	0.46870	0.46660	0.46439	0.46298	0.46083	0.45934	0.45826	0.45627	0.45594	0.45409	0.45240	0.45214	0.45086	0.44903	0.44814	0.44691	0.44703	0.44523	0.44455	0.44394	0.44195	0.44151	0.44076	0.44074	0.43970	0.43874	0.43877	0.43762	0.43675	0.43642	0.43573	0.43524	0.43434	0.43415	0.43344	0.43285	0.43238	0.43158	0.43151	0.43084	0.43092	0.42961	0.43012	0.42935	0.42924	0.42862	0.42847	0.42818	0.42762	0.42859	0.42759	0.42713	0.42672	0.42618	0.42645	0.42584	0.42620	0.42543	0.42531	0.42464	0.42504	0.42441	0.42447	0.42366	0.42346	0.42364	0.42343	0.42289	0.42305	0.42250	0.42320	0.42235	0.42235	0.42194	0.42326	0.42218	0.42142	0.42195	0.42187	0.42160	0.42181	0.42110	0.42127	0.42056	0.42088	0.42176	0.42065	0.42088
519.00	0.50310	0.50145	0.49822	0.49643	0.49322	0.49100	0.48882	0.48652	0.48480	0.48173	0.48030	0.47785	0.47673	0.47473	0.47291	0.47169	0.46910	0.46801	0.46655	0.46528	0.46356	0.46241	0.46172	0.46001	0.45884	0.45844	0.45678	0.45578	0.45428	0.45381	0.45218	0.45219	0.45098	0.45028	0.44921	0.44884	0.44780	0.44739	0.44627	0.44710	0.44559	0.44503	0.44390	0.44369	0.44348	0.44255	0.44277	0.44191	0.44087	0.44073	0.44122	0.44015	0.44009	0.43931	0.43879	0.43850	0.43833	0.43669	0.43689	0.43633	0.43712	0.43577	0.43612	0.43589	0.43558	0.43548	0.43508	0.43490	0.43430	0.43421	0.43412	0.43383	0.43420	0.43335	0.43343	0.43312	0.43303	0.43238	0.43191	0.43262	0.43207	0.43161	0.43205	0.43121	0.43158	0.43058	0.43161	0.43054	0.43131	0.43139	0.43071	0.43083	0.43060	0.43053	0.43070	0.43017	0.42979	0.43006	0.43046	0.42972
