Wavelength [nm];Absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;
200,000;-0,3345413;-0,5989647;-0,5544395;-1,038068;-0,744247;-1,234429;-0,8208203;-0,6630545;-0,007896423;-0,8681836;-0,8941927;-0,8956208;-0,2274985;-0,7573099;-0,7325177;-0,9121189;-0,7679572;-0,6342072;-0,7885175;-0,7408051;-0,9132957;-0,5757504;-0,7724118;-0,4458365;-0,2225356;-0,8612747;-0,4261603;-0,9514933;-0,7460423;-0,8155708;-0,713212;-0,6492534;-0,7744923;-0,8918428;-0,7242875;-0,8960538;-0,6249871;-0,7126217;-0,7677107;-0,668983;-0,4970722;-0,8638449;-0,3672628;-0,6930842;-0,9658852;-1,005255;-0,9389939;-1,020996;-0,6430721;-1,114583;-0,7215681;-0,9596386;-0,6846108;-0,7774272;-1,026467;-0,9852157;-0,8811255;-0,6274533;-0,5580449;-0,7891884;-1,078624;-0,118639;
201,000;-0,1409311;-0,7890005;-0,2237411;-0,01707649;0,1550674;-0,7252398;-0,5181923;-0,4105821;-0,3521338;-0,7899618;-0,4738736;-0,1045575;-0,1835132;-0,4302621;0,1197829;-0,7405219;0,1641679;-0,1932921;-0,3662934;-0,5085196;-0,5361471;0,07947588;-0,5951366;-0,2069397;-0,357285;-0,5969748;-0,5428143;-0,8384042;-0,1552267;-0,6230245;-0,04607487;-0,2156458;-0,03780222;0,04175377;-0,2027755;-0,4554887;-0,3090816;-0,3941016;-0,3909163;-0,4099531;-0,1937685;0,144033;-0,2340178;-0,2343478;-0,05866385;-0,4148817;-0,5042715;-0,6086454;-0,1026816;-0,6326971;-0,3513083;-0,5758367;-0,910687;-0,3839202;-0,3988185;-0,6336203;-0,6724873;-0,2794628;-0,09220028;-0,5810781;-0,2923112;-0,6369495;
202,000;-0,3790369;-0,5309539;-0,608551;-0,6991949;-0,1658063;-0,5835609;-0,809268;-0,7440109;-0,3995843;-0,3072281;-0,1270776;-0,6660647;-0,2305379;-0,5741205;0,01575994;-0,2731771;-0,1813021;-0,6676068;-0,6505733;-0,5913925;-0,4196429;0,08019972;-0,4463239;-0,2890348;-0,5454469;-0,3864374;-0,3397951;-0,5169787;-0,7459192;-0,6031909;-0,5123267;-0,3372316;-0,03715277;-0,3034024;-0,5713668;-0,375031;-0,5083265;-0,1849174;-0,7788587;-0,7830005;-0,5419025;-0,001079082;-0,2370315;-0,8966589;-0,09046698;-0,6298161;-0,3797965;-0,8220239;-0,6009016;-0,9295826;-0,5984569;-0,561399;-0,1628723;-0,2884898;0,08206463;-0,433197;-0,2425013;-0,4463568;-0,4373193;-0,5368972;-0,3491178;-0,4308782;
203,000;0,1183305;-0,1159482;0,6052136;-0,187005;-0,2501082;0,04168224;-0,2548289;0,2885213;0,6107979;0,4833574;0,4854717;-0,04783821;0,7629499;0,120575;0,246037;0,5751586;0,02850676;0,02392721;-0,1156855;0,2996039;0,2670441;0,008888245;0,1517324;0,5887823;0,8157477;0,02993345;0,4693604;0,133101;0,3542123;0,437305;-0,2065549;0,4510989;0,3605971;-0,1346188;0,4109926;0,5281653;0,5777831;0,0249424;0,2112303;-0,2333121;0,5667653;0,304203;0,3703051;-0,001524925;-0,198688;-0,3017144;0,367732;-0,1319013;0,2891054;0,1111951;0,5199704;0,4097958;0,5676932;0,7208695;-0,1337585;0,2645402;0,3747053;0,4941406;-0,0231986;0,07011843;-0,1351209;0,5311041;
204,000;0,1344981;-0,1872087;-0,01530075;-0,09617615;-0,2745476;0,1394181;0,1564441;0,1302857;0,02247095;0,02264357;-0,1153932;-0,3097901;0,03088999;-0,3943858;-0,1927104;0,05289745;0,0620575;-0,3045526;-0,3151512;-0,2978516;0,05471802;0,03832817;-0,4233541;0,03950024;0,03580999;0,1578975;0,1513453;0,1484804;0,2080369;-0,1117806;-0,1871319;-0,4047279;-0,2121477;-0,2541962;0,02557659;-0,1055546;-0,2220635;-0,2752366;0,2445455;-0,2741361;0,1017914;0,06390572;-0,5093446;0,01133823;0,2052512;0,2005954;0,2502847;0,4037185;0,3943419;0,3701267;-0,5176411;-0,01050091;-0,01329374;0,2575355;-0,3332257;-0,0830183;-0,3829188;0,1325684;-0,263113;-0,180994;0,1657567;-0,09226942;
205,000;0,6081028;0,1278081;-0,597096;-0,5896826;-0,2823324;-0,2637634;-0,1177115;-0,5871048;-0,1344471;-0,08215618;0,0437479;-0,2936635;-0,1310568;-0,2351403;-0,4809365;-0,2345767;-0,4406314;-0,3897452;-0,414669;-0,07228184;-0,06842136;0,1170254;0,1052251;-0,1831326;-0,2236605;0,1417174;0,228415;-0,2975845;-0,09337568;-0,6207695;-0,07607174;-0,2548437;-0,170753;-0,04319763;-0,3325777;-0,06210279;-0,2124987;-0,4799314;-0,4548693;-0,2905302;-0,5267677;-0,02449942;0,04251528;-0,1667857;0,1149979;0,2200027;-0,3004074;0,1309471;-0,01820517;-0,2914705;-0,4802089;-0,4563942;-0,2688503;-0,2711682;-0,2482018;-0,4344783;-0,3266497;0,2819586;-0,2825689;-0,07548618;-0,2271962;-0,1435218;
206,000;0,6545825;0,7250624;0,2905369;0,3278308;0,4148073;0,2512288;-0,06814241;0,611237;0,2624464;0,442029;0,440793;0,2139392;0,6494999;0,3440213;0,2703123;0,03007555;0,5034261;-0,009086132;0,03331375;0,3669276;-0,03476143;-0,003801346;0,5433221;0,09022808;0,5459986;0,4785991;0,6268945;0,5247326;0,9158134;0,525301;0,680654;0,4191208;0,07127619;0,604125;0,5535593;0,2501864;0,6435685;0,4304752;0,3921499;0,7288361;0,07981777;0,2174916;0,5842352;0,6402512;-0,03325844;0,5879445;0,3950925;0,04650402;0,5036054;0,4792404;0,007752895;0,5065379;0,5255508;0,1449094;0,1021342;0,2608023;0,2324529;0,3899837;0,215435;0,6910267;0,2161927;0,004801273;
207,000;0,3498363;0,413394;-0,06682634;0,4094567;0,2474437;0,7938385;0,1307435;0,3644347;0,3235755;0,7253981;-0,1594424;-0,0813365;0,01593542;0,1484675;0,550487;0,3637085;0,5514836;0,08822584;0,317111;-0,2696691;0,3493767;0,1806831;0,3217325;0,3482685;0,01630926;0,5610256;0,354188;0,313786;0,2666979;0,2718968;0,3519578;0,4866118;-0,1045737;0,7073574;0,3971829;-0,19418;0,6852875;0,590661;0,1262774;0,320374;0,392231;0,2779431;0,1608081;0,3303404;-0,1028705;0,5490146;0,3860517;-0,1266584;0,2118373;0,7565756;0,01601934;0,3795652;0,7166138;-0,02222872;0,1237874;-0,07077789;0,5846229;0,4833584;0,4190297;0,3122053;0,1589513;0,122004;
208,000;-0,04267454;0,1695085;-0,7751164;-0,8515272;-0,3968716;-0,2966433;-0,3868394;-0,576057;0,4339542;-0,1265945;-0,6940765;-0,3664064;-0,5230184;-0,2803264;-0,1406045;-0,0018363;-0,3576951;-0,222528;-0,1241693;-0,4496846;-0,1657333;-0,07061052;0,148859;0,0156765;-0,423244;-0,3652306;-0,5041165;-0,5643978;-0,7218175;-0,6467957;-0,5729833;0,04099274;-0,4320331;-0,1999469;-0,687171;-0,424705;-0,1422091;-0,4951692;-0,5280561;-0,4691143;-0,2051091;-0,07011461;-0,142169;-0,4100695;-0,2486348;-0,4148417;-0,4538431;-0,5569043;-0,2962451;-0,3203974;-0,1248522;-0,5472813;-0,1857061;-0,597301;-0,513061;-0,4649653;-0,2660904;0,1178455;-0,03357744;-0,3763404;-0,5101604;-0,4054952;
209,000;0,4737582;0,4997797;0,3765154;-0,1566696;-0,1621075;-0,6010294;-0,5113268;-0,1442223;0,2570405;-0,151022;-0,1654501;-0,1423092;-0,2290392;-0,2423964;-0,1631141;-0,180253;-0,04529381;-0,06626749;-0,4144731;-0,1110682;0,1579485;-0,2760301;-0,0620966;-0,2301712;-0,1737423;-0,2480044;-0,1046638;-0,3026595;-0,3248029;-0,2895136;-0,3285513;-0,1219096;-0,09554958;-0,2308955;-0,2198224;-0,01817799;-0,2785249;-0,2456474;0,1326284;-0,244061;-0,10463;-0,002518177;-0,2271218;-0,03603411;-0,0702734;-0,318841;0,04835796;-0,2824006;-0,09893894;-0,1808701;-0,1687455;-0,1602364;-0,2989302;-0,3340039;-0,1383905;0,008488655;-0,1436253;-0,04222012;-0,3240509;-0,1717072;-0,004695415;-0,115479;
