Created as New Dataset,Sample 031 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.8424
7501.00,0.8417
7500.00,0.8407
7499.00,0.8389
7498.00,0.8365
7497.00,0.8338
7496.00,0.8311
7495.00,0.8285
7494.00,0.8260
7493.00,0.8235
7492.00,0.8205
7491.00,0.8172
7490.00,0.8134
7489.00,0.8092
7488.00,0.8046
7487.00,0.7997
7486.00,0.7948
7485.00,0.7894
7484.00,0.7833
7483.00,0.7766
7482.00,0.7700
7481.00,0.7637
7480.00,0.7574
7479.00,0.7507
7478.00,0.7438
7477.00,0.7369
7476.00,0.7301
7475.00,0.7232
7474.00,0.7160
7473.00,0.7081
7472.00,0.6998
7471.00,0.6911
7470.00,0.6827
7469.00,0.6748
7468.00,0.6671
7467.00,0.6592
7466.00,0.6514
7465.00,0.6442
7464.00,0.6374
7463.00,0.6306
7462.00,0.6234
7461.00,0.6163
7460.00,0.6094
7459.00,0.6028
7458.00,0.5964
7457.00,0.5901
7456.00,0.5838
7455.00,0.5777
7454.00,0.5715
7453.00,0.5658
7452.00,0.5608
7451.00,0.5566
7450.00,0.5531
7449.00,0.5498
7448.00,0.5468
7447.00,0.5439
7446.00,0.5416
7445.00,0.5398
7444.00,0.5387
7443.00,0.5380
7442.00,0.5379
7441.00,0.5384
7440.00,0.5395
7439.00,0.5411
7438.00,0.5428
7437.00,0.5446
7436.00,0.5466
7435.00,0.5489
7434.00,0.5519
7433.00,0.5557
7432.00,0.5601
7431.00,0.5649
7430.00,0.5700
7429.00,0.5752
7428.00,0.5807
7427.00,0.5865
7426.00,0.5928
7425.00,0.5994
7424.00,0.6062
7423.00,0.6130
7422.00,0.6203
7421.00,0.6283
7420.00,0.6368
7419.00,0.6453
7418.00,0.6534
7417.00,0.6615
7416.00,0.6698
7415.00,0.6787
7414.00,0.6878
7413.00,0.6967
7412.00,0.7053
7411.00,0.7139
7410.00,0.7231
7409.00,0.7327
7408.00,0.7418
7407.00,0.7501
7406.00,0.7582
7405.00,0.7669
7404.00,0.7758
7403.00,0.7844
7402.00,0.7925
7401.00,0.8009
7400.00,0.8098
7399.00,0.8188
7398.00,0.8269
7397.00,0.8339
7396.00,0.8403
7395.00,0.8467
7394.00,0.8533
7393.00,0.8598
7392.00,0.8661
7391.00,0.8724
7390.00,0.8789
7389.00,0.8857
7388.00,0.8922
7387.00,0.8984
7386.00,0.9048
7385.00,0.9112
7384.00,0.9172
7383.00,0.9224
7382.00,0.9271
7381.00,0.9318
7380.00,0.9364
7379.00,0.9405
7378.00,0.9438
7377.00,0.9462
7376.00,0.9479
7375.00,0.9491
7374.00,0.9497
7373.00,0.9498
7372.00,0.9492
7371.00,0.9481
7370.00,0.9470
7369.00,0.9461
7368.00,0.9452
7367.00,0.9441
7366.00,0.9427
7365.00,0.9410
7364.00,0.9387
7363.00,0.9360
7362.00,0.9336
7361.00,0.9319
7360.00,0.9305
7359.00,0.9285
7358.00,0.9254
7357.00,0.9221
7356.00,0.9191
7355.00,0.9166
7354.00,0.9142
7353.00,0.9122
7352.00,0.9102
7351.00,0.9078
7350.00,0.9038
7349.00,0.8980
7348.00,0.8907
7347.00,0.8825
7346.00,0.8739
7345.00,0.8654
7344.00,0.8580
7343.00,0.8520
7342.00,0.8473
7341.00,0.8429
7340.00,0.8379
7339.00,0.8319
7338.00,0.8250
7337.00,0.8176
7336.00,0.8098
7335.00,0.8015
7334.00,0.7927
7333.00,0.7838
7332.00,0.7755
7331.00,0.7677
7330.00,0.7603
7329.00,0.7528
7328.00,0.7455
7327.00,0.7386
7326.00,0.7322
7325.00,0.7258
7324.00,0.7190
7323.00,0.7121
7322.00,0.7054
7321.00,0.6991
7320.00,0.6932
7319.00,0.6875
7318.00,0.6820
7317.00,0.6765
7316.00,0.6713
7315.00,0.6664
7314.00,0.6617
7313.00,0.6571
7312.00,0.6527
7311.00,0.6484
7310.00,0.6444
7309.00,0.6408
7308.00,0.6375
7307.00,0.6345
7306.00,0.6320
7305.00,0.6300
7304.00,0.6286
7303.00,0.6275
7302.00,0.6270
7301.00,0.6273
7300.00,0.6280
7299.00,0.6289
7298.00,0.6296
7297.00,0.6305
7296.00,0.6322
7295.00,0.6347
7294.00,0.6376
7293.00,0.6408
7292.00,0.6445
7291.00,0.6489
7290.00,0.6540
7289.00,0.6594
7288.00,0.6649
7287.00,0.6707
7286.00,0.6769
7285.00,0.6835
7284.00,0.6905
7283.00,0.6979
7282.00,0.7055
7281.00,0.7130
7280.00,0.7206
7279.00,0.7285
7278.00,0.7369
7277.00,0.7456
7276.00,0.7542
7275.00,0.7628
7274.00,0.7717
7273.00,0.7808
7272.00,0.7898
7271.00,0.7985
7270.00,0.8070
7269.00,0.8158
7268.00,0.8250
7267.00,0.8343
7266.00,0.8435
7265.00,0.8526
7264.00,0.8616
7263.00,0.8707
7262.00,0.8800
7261.00,0.8895
7260.00,0.8991
7259.00,0.9086
7258.00,0.9176
7257.00,0.9259
7256.00,0.9335
7255.00,0.9408
7254.00,0.9481
7253.00,0.9551
7252.00,0.9618
7251.00,0.9684
7250.00,0.9755
7249.00,0.9830
7248.00,0.9904
7247.00,0.9968
7246.00,1.0024
7245.00,1.0078
7244.00,1.0133
7243.00,1.0189
7242.00,1.0244
7241.00,1.0295
7240.00,1.0340
7239.00,1.0380
7238.00,1.0421
7237.00,1.0466
7236.00,1.0513
7235.00,1.0552
7234.00,1.0578
