Created as New Dataset,Sample 012 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.4767
7501.00,0.4840
7500.00,0.4914
7499.00,0.4990
7498.00,0.5067
7497.00,0.5145
7496.00,0.5225
7495.00,0.5307
7494.00,0.5390
7493.00,0.5475
7492.00,0.5563
7491.00,0.5658
7490.00,0.5757
7489.00,0.5860
7488.00,0.5961
7487.00,0.6058
7486.00,0.6150
7485.00,0.6240
7484.00,0.6326
7483.00,0.6409
7482.00,0.6493
7481.00,0.6581
7480.00,0.6673
7479.00,0.6764
7478.00,0.6851
7477.00,0.6939
7476.00,0.7031
7475.00,0.7130
7474.00,0.7233
7473.00,0.7335
7472.00,0.7433
7471.00,0.7528
7470.00,0.7620
7469.00,0.7709
7468.00,0.7794
7467.00,0.7877
7466.00,0.7958
7465.00,0.8035
7464.00,0.8108
7463.00,0.8180
7462.00,0.8254
7461.00,0.8330
7460.00,0.8400
7459.00,0.8460
7458.00,0.8512
7457.00,0.8563
7456.00,0.8616
7455.00,0.8670
7454.00,0.8725
7453.00,0.8781
7452.00,0.8836
7451.00,0.8886
7450.00,0.8930
7449.00,0.8972
7448.00,0.9012
7447.00,0.9046
7446.00,0.9067
7445.00,0.9075
7444.00,0.9077
7443.00,0.9081
7442.00,0.9090
7441.00,0.9102
7440.00,0.9116
7439.00,0.9130
7438.00,0.9144
7437.00,0.9156
7436.00,0.9162
7435.00,0.9159
7434.00,0.9145
7433.00,0.9122
7432.00,0.9087
7431.00,0.9045
7430.00,0.8998
7429.00,0.8951
7428.00,0.8908
7427.00,0.8872
7426.00,0.8843
7425.00,0.8814
7424.00,0.8774
7423.00,0.8720
7422.00,0.8660
7421.00,0.8602
7420.00,0.8550
7419.00,0.8495
7418.00,0.8435
7417.00,0.8370
7416.00,0.8302
7415.00,0.8234
7414.00,0.8165
7413.00,0.8093
7412.00,0.8017
7411.00,0.7938
7410.00,0.7859
7409.00,0.7784
7408.00,0.7712
7407.00,0.7641
7406.00,0.7567
7405.00,0.7489
7404.00,0.7406
7403.00,0.7321
7402.00,0.7235
7401.00,0.7154
7400.00,0.7075
7399.00,0.7000
7398.00,0.6925
7397.00,0.6854
7396.00,0.6784
7395.00,0.6715
7394.00,0.6646
7393.00,0.6577
7392.00,0.6510
7391.00,0.6446
7390.00,0.6385
7389.00,0.6329
7388.00,0.6277
7387.00,0.6229
7386.00,0.6185
7385.00,0.6144
7384.00,0.6106
7383.00,0.6073
7382.00,0.6044
7381.00,0.6019
7380.00,0.5999
7379.00,0.5984
7378.00,0.5976
7377.00,0.5972
7376.00,0.5971
7375.00,0.5974
7374.00,0.5983
7373.00,0.5998
7372.00,0.6020
7371.00,0.6046
7370.00,0.6075
7369.00,0.6107
7368.00,0.6143
7367.00,0.6184
7366.00,0.6230
7365.00,0.6277
7364.00,0.6323
7363.00,0.6372
7362.00,0.6426
7361.00,0.6488
7360.00,0.6555
7359.00,0.6622
7358.00,0.6689
7357.00,0.6759
7356.00,0.6832
7355.00,0.6908
7354.00,0.6987
7353.00,0.7068
7352.00,0.7150
7351.00,0.7231
7350.00,0.7314
7349.00,0.7402
7348.00,0.7493
7347.00,0.7586
7346.00,0.7675
7345.00,0.7761
7344.00,0.7844
7343.00,0.7927
7342.00,0.8011
7341.00,0.8095
7340.00,0.8179
7339.00,0.8261
7338.00,0.8341
7337.00,0.8422
7336.00,0.8504
7335.00,0.8587
7334.00,0.8668
7333.00,0.8747
7332.00,0.8824
7331.00,0.8900
7330.00,0.8977
7329.00,0.9056
7328.00,0.9134
7327.00,0.9208
7326.00,0.9276
7325.00,0.9337
7324.00,0.9391
7323.00,0.9440
7322.00,0.9488
7321.00,0.9535
7320.00,0.9582
7319.00,0.9630
7318.00,0.9681
7317.00,0.9735
7316.00,0.9786
7315.00,0.9832
7314.00,0.9870
7313.00,0.9900
7312.00,0.9919
7311.00,0.9924
7310.00,0.9924
7309.00,0.9927
7308.00,0.9937
7307.00,0.9950
7306.00,0.9963
7305.00,0.9976
7304.00,0.9993
7303.00,1.0012
7302.00,1.0029
7301.00,1.0044
7300.00,1.0052
7299.00,1.0052
7298.00,1.0042
7297.00,1.0022
7296.00,0.9992
7295.00,0.9951
7294.00,0.9899
7293.00,0.9840
7292.00,0.9780
7291.00,0.9723
7290.00,0.9670
7289.00,0.9620
7288.00,0.9568
7287.00,0.9511
7286.00,0.9451
7285.00,0.9391
7284.00,0.9332
7283.00,0.9271
7282.00,0.9207
7281.00,0.9141
7280.00,0.9076
7279.00,0.9013
7278.00,0.8948
7277.00,0.8879
7276.00,0.8806
7275.00,0.8728
7274.00,0.8649
7273.00,0.8572
7272.00,0.8495
7271.00,0.8420
7270.00,0.8346
7269.00,0.8276
7268.00,0.8208
7267.00,0.8138
7266.00,0.8063
7265.00,0.7985
7264.00,0.7907
7263.00,0.7831
7262.00,0.7758
7261.00,0.7690
7260.00,0.7627
7259.00,0.7567
7258.00,0.7506
7257.00,0.7440
7256.00,0.7370
7255.00,0.7296
7254.00,0.7223
7253.00,0.7151
7252.00,0.7081
7251.00,0.7012
7250.00,0.6947
7249.00,0.6892
7248.00,0.6844
7247.00,0.6802
7246.00,0.6762
7245.00,0.6727
7244.00,0.6697
7243.00,0.6672
7242.00,0.6651
7241.00,0.6634
7240.00,0.6620
7239.00,0.6611
7238.00,0.6607
7237.00,0.6609
7236.00,0.6614
7235.00,0.6622
7234.00,0.6633
7233.00,0.6648
7232.00,0.6667
7231.00,0.6690
7230.00,0.6716
7229.00,0.6749
7228.00,0.6789
7227.00,0.6832
7226.00,0.6878
7225.00,0.6928
7224.00,0.6984
7223.00,0.7046
7222.00,0.7112
7221.00,0.7181
7220.00,0.7251
7219.00,0.7324
7218.00,0.7397
7217.00,0.7471
7216.00,0.7545
7215.00,0.7620
7214.00,0.7695
7213.00,0.7774
7212.00,0.7855
7211.00,0.7939
7210.00,0.8023
7209.00,0.8107
7208.00,0.8194
7207.00,0.8284
7206.00,0.8376
7205.00,0.8467
7204.00,0.8556
7203.00,0.8646
7202.00,0.8736
7201.00,0.8824
7200.00,0.8909
7199.00,0.8993
7198.00,0.9078
7197.00,0.9166
7196.00,0.9252
7195.00,0.9334
7194.00,0.9410
7193.00,0.9485
7192.00,0.9563
7191.00,0.9643
7190.00,0.9723
7189.00,0.9801
7188.00,0.9876
7187.00,0.9947
7186.00,1.0015
7185.00,1.0080
7184.00,1.0143
7183.00,1.0204
7182.00,1.0262
7181.00,1.0321
7180.00,1.0379
7179.00,1.0436
7178.00,1.0489
7177.00,1.0539
7176.00,1.0586
7175.00,1.0633
7174.00,1.0678
7173.00,1.0720
7172.00,1.0756
7171.00,1.0782
7170.00,1.0798
7169.00,1.0806
7168.00,1.0811
7167.00,1.0816
7166.00,1.0823
7165.00,1.0835
7164.00,1.0847
7163.00,1.0856
7162.00,1.0859
7161.00,1.0858
