Created as New Dataset,Sample 009 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.7464
7501.00,0.7389
7500.00,0.7315
7499.00,0.7242
7498.00,0.7171
7497.00,0.7100
7496.00,0.7031
7495.00,0.6965
7494.00,0.6903
7493.00,0.6835
7492.00,0.6758
7491.00,0.6675
7490.00,0.6590
7489.00,0.6507
7488.00,0.6427
7487.00,0.6351
7486.00,0.6280
7485.00,0.6214
7484.00,0.6148
7483.00,0.6082
7482.00,0.6017
7481.00,0.5953
7480.00,0.5889
7479.00,0.5823
7478.00,0.5757
7477.00,0.5697
7476.00,0.5643
7475.00,0.5591
7474.00,0.5538
7473.00,0.5485
7472.00,0.5431
7471.00,0.5382
7470.00,0.5339
7469.00,0.5302
7468.00,0.5271
7467.00,0.5246
7466.00,0.5231
7465.00,0.5224
7464.00,0.5223
7463.00,0.5223
7462.00,0.5226
7461.00,0.5233
7460.00,0.5244
7459.00,0.5259
7458.00,0.5278
7457.00,0.5301
7456.00,0.5329
7455.00,0.5359
7454.00,0.5392
7453.00,0.5428
7452.00,0.5467
7451.00,0.5508
7450.00,0.5551
7449.00,0.5600
7448.00,0.5655
7447.00,0.5717
7446.00,0.5785
7445.00,0.5858
7444.00,0.5935
7443.00,0.6015
7442.00,0.6095
7441.00,0.6174
7440.00,0.6251
7439.00,0.6325
7438.00,0.6400
7437.00,0.6477
7436.00,0.6559
7435.00,0.6641
7434.00,0.6723
7433.00,0.6808
7432.00,0.6896
7431.00,0.6986
7430.00,0.7074
7429.00,0.7157
7428.00,0.7237
7427.00,0.7317
7426.00,0.7402
7425.00,0.7489
7424.00,0.7572
7423.00,0.7649
7422.00,0.7723
7421.00,0.7800
7420.00,0.7881
7419.00,0.7960
7418.00,0.8034
7417.00,0.8104
7416.00,0.8173
7415.00,0.8242
7414.00,0.8311
7413.00,0.8378
7412.00,0.8442
7411.00,0.8500
7410.00,0.8558
7409.00,0.8618
7408.00,0.8683
7407.00,0.8749
7406.00,0.8810
7405.00,0.8861
7404.00,0.8905
7403.00,0.8946
7402.00,0.8986
7401.00,0.9023
7400.00,0.9051
7399.00,0.9069
7398.00,0.9083
7397.00,0.9101
7396.00,0.9122
7395.00,0.9142
7394.00,0.9160
7393.00,0.9175
