Created as New Dataset,Sample 038 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.5897
7501.00,0.5988
7500.00,0.6084
7499.00,0.6180
7498.00,0.6272
7497.00,0.6365
7496.00,0.6459
7495.00,0.6555
7494.00,0.6648
7493.00,0.6737
7492.00,0.6825
7491.00,0.6913
7490.00,0.7004
7489.00,0.7098
7488.00,0.7195
7487.00,0.7294
7486.00,0.7388
7485.00,0.7476
7484.00,0.7555
7483.00,0.7630
7482.00,0.7704
7481.00,0.7776
7480.00,0.7847
7479.00,0.7918
7478.00,0.7991
7477.00,0.8067
7476.00,0.8140
7475.00,0.8205
7474.00,0.8262
7473.00,0.8315
7472.00,0.8367
7471.00,0.8418
7470.00,0.8464
7469.00,0.8506
7468.00,0.8542
7467.00,0.8571
7466.00,0.8598
7465.00,0.8626
7464.00,0.8655
7463.00,0.8678
7462.00,0.8692
7461.00,0.8704
7460.00,0.8720
7459.00,0.8742
7458.00,0.8760
7457.00,0.8769
7456.00,0.8769
7455.00,0.8764
7454.00,0.8755
7453.00,0.8742
7452.00,0.8724
7451.00,0.8701
7450.00,0.8673
7449.00,0.8639
7448.00,0.8603
7447.00,0.8570
7446.00,0.8542
7445.00,0.8513
7444.00,0.8478
7443.00,0.8436
7442.00,0.8389
7441.00,0.8343
7440.00,0.8296
7439.00,0.8242
7438.00,0.8176
7437.00,0.8100
7436.00,0.8020
7435.00,0.7942
7434.00,0.7868
7433.00,0.7796
7432.00,0.7721
7431.00,0.7645
7430.00,0.7570
7429.00,0.7504
7428.00,0.7448
7427.00,0.7400
7426.00,0.7355
7425.00,0.7306
7424.00,0.7252
7423.00,0.7193
7422.00,0.7133
7421.00,0.7073
7420.00,0.7007
7419.00,0.6930
7418.00,0.6844
7417.00,0.6755
7416.00,0.6672
7415.00,0.6596
7414.00,0.6523
7413.00,0.6450
7412.00,0.6377
7411.00,0.6310
7410.00,0.6254
7409.00,0.6211
7408.00,0.6172
7407.00,0.6131
7406.00,0.6090
7405.00,0.6052
7404.00,0.6020
7403.00,0.5988
7402.00,0.5953
7401.00,0.5914
7400.00,0.5877
7399.00,0.5842
7398.00,0.5808
7397.00,0.5778
7396.00,0.5751
7395.00,0.5729
7394.00,0.5710
7393.00,0.5693
7392.00,0.5680
7391.00,0.5670
7390.00,0.5664
7389.00,0.5660
7388.00,0.5658
7387.00,0.5662
7386.00,0.5672
7385.00,0.5691
7384.00,0.5717
7383.00,0.5748
7382.00,0.5782
7381.00,0.5818
7380.00,0.5856
7379.00,0.5898
7378.00,0.5942
7377.00,0.5986
7376.00,0.6032
7375.00,0.6079
7374.00,0.6130
7373.00,0.6186
7372.00,0.6246
7371.00,0.6310
7370.00,0.6377
7369.00,0.6451
7368.00,0.6529
7367.00,0.6608
7366.00,0.6685
7365.00,0.6763
7364.00,0.6845
7363.00,0.6933
7362.00,0.7025
7361.00,0.7118
7360.00,0.7208
7359.00,0.7295
7358.00,0.7383
7357.00,0.7477
7356.00,0.7575
7355.00,0.7674
7354.00,0.7769
7353.00,0.7859
7352.00,0.7949
7351.00,0.8041
7350.00,0.8133
7349.00,0.8222
7348.00,0.8306
7347.00,0.8388
7346.00,0.8472
7345.00,0.8563
7344.00,0.8659
7343.00,0.8758
7342.00,0.8857
7341.00,0.8951
7340.00,0.9036
7339.00,0.9108
7338.00,0.9171
7337.00,0.9233
7336.00,0.9294
7335.00,0.9355
7334.00,0.9415
7333.00,0.9479
7332.00,0.9548
7331.00,0.9621
7330.00,0.9690
7329.00,0.9748
7328.00,0.9791
7327.00,0.9824
7326.00,0.9856
7325.00,0.9893
7324.00,0.9938
7323.00,0.9985
7322.00,1.0027
7321.00,1.0064
7320.00,1.0096
7319.00,1.0127
7318.00,1.0158
7317.00,1.0188
7316.00,1.0217
7315.00,1.0245
7314.00,1.0271
7313.00,1.0293
7312.00,1.0305
7311.00,1.0305
7310.00,1.0295
7309.00,1.0276
7308.00,1.0253
7307.00,1.0234
7306.00,1.0222
7305.00,1.0217
7304.00,1.0210
7303.00,1.0194
7302.00,1.0171
7301.00,1.0142
7300.00,1.0107
7299.00,1.0063
7298.00,1.0011
7297.00,0.9960
7296.00,0.9913
7295.00,0.9873
7294.00,0.9832
7293.00,0.9785
7292.00,0.9730
7291.00,0.9666
7290.00,0.9595
7289.00,0.9523
7288.00,0.9454
7287.00,0.9387
7286.00,0.9319
7285.00,0.9250
7284.00,0.9180
7283.00,0.9111
7282.00,0.9039
7281.00,0.8963
7280.00,0.8880
7279.00,0.8794
7278.00,0.8711
7277.00,0.8636
7276.00,0.8562
7275.00,0.8484
7274.00,0.8400
7273.00,0.8313
7272.00,0.8225
7271.00,0.8135
7270.00,0.8043
7269.00,0.7952
7268.00,0.7866
7267.00,0.7785
7266.00,0.7708
7265.00,0.7635
7264.00,0.7564
7263.00,0.7496
7262.00,0.7430
7261.00,0.7363
7260.00,0.7295
7259.00,0.7228
7258.00,0.7164
7257.00,0.7104
7256.00,0.7049
7255.00,0.7001
7254.00,0.6959
7253.00,0.6924
7252.00,0.6892
7251.00,0.6864
7250.00,0.6842
7249.00,0.6824
7248.00,0.6808
7247.00,0.6794
7246.00,0.6784
7245.00,0.6780
7244.00,0.6781
7243.00,0.6783
7242.00,0.6784
7241.00,0.6790
7240.00,0.6804
7239.00,0.6824
7238.00,0.6847
7237.00,0.6873
7236.00,0.6907
7235.00,0.6951
7234.00,0.7001
7233.00,0.7052
7232.00,0.7102
7231.00,0.7154
7230.00,0.7210
7229.00,0.7273
7228.00,0.7341
7227.00,0.7412
7226.00,0.7484
7225.00,0.7555
7224.00,0.7627
7223.00,0.7699
7222.00,0.7774
7221.00,0.7852
7220.00,0.7932
7219.00,0.8014
7218.00,0.8099
7217.00,0.8189
7216.00,0.8280
7215.00,0.8371
7214.00,0.8459
7213.00,0.8545
7212.00,0.8633
7211.00,0.8721
7210.00,0.8808
7209.00,0.8892
7208.00,0.8974
7207.00,0.9054
7206.00,0.9135
7205.00,0.9216
7204.00,0.9301
7203.00,0.9388
7202.00,0.9473
7201.00,0.9553
7200.00,0.9627
7199.00,0.9700
7198.00,0.9774
7197.00,0.9845
7196.00,0.9909
7195.00,0.9967
7194.00,1.0029
7193.00,1.0098
7192.00,1.0168
7191.00,1.0231
7190.00,1.0286
7189.00,1.0338
7188.00,1.0390
7187.00,1.0441
7186.00,1.0489
7185.00,1.0529
7184.00,1.0562
7183.00,1.0590
7182.00,1.0618
7181.00,1.0646
7180.00,1.0671
7179.00,1.0691
7178.00,1.0709
7177.00,1.0730
7176.00,1.0753
7175.00,1.0775
7174.00,1.0791
7173.00,1.0796
7172.00,1.0789
7171.00,1.0776
7170.00,1.0762
7169.00,1.0750
7168.00,1.0734
7167.00,1.0712
7166.00,1.0685
7165.00,1.0656
7164.00,1.0627
7163.00,1.0597
7162.00,1.0565
7161.00,1.0532
7160.00,1.0492
7159.00,1.0445
7158.00,1.0395
7157.00,1.0346
7156.00,1.0298
7155.00,1.0251
7154.00,1.0202
7153.00,1.0151
7152.00,1.0096
7151.00,1.0038
7150.00,0.9975
7149.00,0.9908
7148.00,0.9838
7147.00,0.9764
7146.00,0.9689
7145.00,0.9616
7144.00,0.9545
7143.00,0.9475
7142.00,0.9404
7141.00,0.9331
7140.00,0.9252
7139.00,0.9166
7138.00,0.9078
7137.00,0.8994
7136.00,0.8914
7135.00,0.8837
7134.00,0.8758
7133.00,0.8679
7132.00,0.8598
7131.00,0.8517
7130.00,0.8435
7129.00,0.8352
7128.00,0.8269
7127.00,0.8185
7126.00,0.8104
7125.00,0.8026
7124.00,0.7951
7123.00,0.7876
7122.00,0.7800
7121.00,0.7725
7120.00,0.7655
7119.00,0.7592
7118.00,0.7534
7117.00,0.7478
7116.00,0.7421
7115.00,0.7363
7114.00,0.7310
7113.00,0.7264
7112.00,0.7224
7111.00,0.7188
7110.00,0.7155
7109.00,0.7127
7108.00,0.7106
7107.00,0.7090
7106.00,0.7075
7105.00,0.7060
7104.00,0.7046
7103.00,0.7036
7102.00,0.7032
7101.00,0.7035
7100.00,0.7045
7099.00,0.7060
7098.00,0.7082
7097.00,0.7110
7096.00,0.7145
7095.00,0.7184
7094.00,0.7225
7093.00,0.7267
7092.00,0.7312
7091.00,0.7360
7090.00,0.7414
7089.00,0.7470
7088.00,0.7526
7087.00,0.7582
7086.00,0.7642
7085.00,0.7708
7084.00,0.7781
7083.00,0.7857
7082.00,0.7936
7081.00,0.8018
7080.00,0.8104
7079.00,0.8188
7078.00,0.8270
7077.00,0.8351
7076.00,0.8434
