Created as New Dataset,Sample 006 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.6079
7501.00,0.6164
7500.00,0.6255
7499.00,0.6348
7498.00,0.6439
7497.00,0.6527
7496.00,0.6614
7495.00,0.6705
7494.00,0.6796
7493.00,0.6882
7492.00,0.6961
7491.00,0.7038
7490.00,0.7117
7489.00,0.7204
7488.00,0.7294
7487.00,0.7382
7486.00,0.7467
7485.00,0.7549
7484.00,0.7627
7483.00,0.7700
7482.00,0.7770
7481.00,0.7838
7480.00,0.7904
7479.00,0.7967
7478.00,0.8027
7477.00,0.8089
7476.00,0.8153
7475.00,0.8210
7474.00,0.8258
7473.00,0.8300
7472.00,0.8348
7471.00,0.8403
7470.00,0.8457
7469.00,0.8501
7468.00,0.8535
7467.00,0.8572
7466.00,0.8613
7465.00,0.8652
7464.00,0.8680
7463.00,0.8695
7462.00,0.8703
7461.00,0.8706
7460.00,0.8702
7459.00,0.8690
7458.00,0.8672
7457.00,0.8652
7456.00,0.8633
7455.00,0.8615
7454.00,0.8596
7453.00,0.8580
7452.00,0.8565
7451.00,0.8547
7450.00,0.8522
7449.00,0.8488
7448.00,0.8453
7447.00,0.8418
7446.00,0.8382
7445.00,0.8340
7444.00,0.8289
7443.00,0.8231
7442.00,0.8172
7441.00,0.8112
7440.00,0.8051
7439.00,0.7987
7438.00,0.7919
7437.00,0.7846
7436.00,0.7771
7435.00,0.7695
7434.00,0.7619
7433.00,0.7542
7432.00,0.7462
7431.00,0.7381
7430.00,0.7305
7429.00,0.7235
7428.00,0.7174
7427.00,0.7125
7426.00,0.7086
7425.00,0.7050
7424.00,0.7008
7423.00,0.6956
7422.00,0.6897
7421.00,0.6837
7420.00,0.6772
7419.00,0.6695
7418.00,0.6609
7417.00,0.6524
7416.00,0.6447
7415.00,0.6380
7414.00,0.6317
7413.00,0.6256
7412.00,0.6197
7411.00,0.6144
7410.00,0.6096
7409.00,0.6053
7408.00,0.6012
7407.00,0.5972
7406.00,0.5936
7405.00,0.5905
7404.00,0.5875
7403.00,0.5843
7402.00,0.5811
7401.00,0.5781
7400.00,0.5753
7399.00,0.5723
7398.00,0.5692
7397.00,0.5663
7396.00,0.5641
7395.00,0.5627
7394.00,0.5621
7393.00,0.5621
7392.00,0.5622
7391.00,0.5625
7390.00,0.5633
7389.00,0.5645
7388.00,0.5659
7387.00,0.5673
7386.00,0.5690
7385.00,0.5715
7384.00,0.5748
7383.00,0.5787
7382.00,0.5828
7381.00,0.5872
7380.00,0.5920
7379.00,0.5974
7378.00,0.6032
7377.00,0.6092
7376.00,0.6151
7375.00,0.6208
7374.00,0.6267
7373.00,0.6330
7372.00,0.6395
7371.00,0.6460
7370.00,0.6527
7369.00,0.6600
