Created as New Dataset,Sample 049 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.8035
7501.00,0.8088
7500.00,0.8137
7499.00,0.8178
7498.00,0.8209
7497.00,0.8233
7496.00,0.8256
7495.00,0.8276
7494.00,0.8293
7493.00,0.8312
7492.00,0.8338
7491.00,0.8370
7490.00,0.8403
7489.00,0.8432
7488.00,0.8454
7487.00,0.8468
7486.00,0.8467
7485.00,0.8449
7484.00,0.8421
7483.00,0.8395
7482.00,0.8373
7481.00,0.8351
7480.00,0.8324
7479.00,0.8294
7478.00,0.8265
7477.00,0.8238
7476.00,0.8210
7475.00,0.8183
7474.00,0.8155
7473.00,0.8127
7472.00,0.8095
7471.00,0.8058
7470.00,0.8013
7469.00,0.7958
7468.00,0.7894
7467.00,0.7827
7466.00,0.7766
7465.00,0.7706
7464.00,0.7639
7463.00,0.7557
7462.00,0.7466
7461.00,0.7373
7460.00,0.7283
7459.00,0.7194
7458.00,0.7106
7457.00,0.7022
7456.00,0.6945
7455.00,0.6875
7454.00,0.6809
7453.00,0.6744
7452.00,0.6677
7451.00,0.6606
7450.00,0.6534
7449.00,0.6465
7448.00,0.6400
7447.00,0.6338
7446.00,0.6279
7445.00,0.6223
7444.00,0.6164
7443.00,0.6101
7442.00,0.6038
7441.00,0.5978
7440.00,0.5922
7439.00,0.5869
7438.00,0.5817
7437.00,0.5766
7436.00,0.5717
7435.00,0.5672
7434.00,0.5633
7433.00,0.5598
7432.00,0.5566
7431.00,0.5537
7430.00,0.5512
7429.00,0.5493
7428.00,0.5480
7427.00,0.5470
7426.00,0.5464
7425.00,0.5459
7424.00,0.5451
7423.00,0.5439
7422.00,0.5429
7421.00,0.5425
7420.00,0.5427
7419.00,0.5430
7418.00,0.5432
7417.00,0.5437
7416.00,0.5449
7415.00,0.5468
7414.00,0.5491
7413.00,0.5520
7412.00,0.5552
7411.00,0.5588
7410.00,0.5626
7409.00,0.5670
7408.00,0.5720
7407.00,0.5774
7406.00,0.5831
7405.00,0.5891
7404.00,0.5955
7403.00,0.6020
7402.00,0.6087
7401.00,0.6157
7400.00,0.6230
7399.00,0.6303
7398.00,0.6377
7397.00,0.6454
7396.00,0.6535
7395.00,0.6619
7394.00,0.6704
7393.00,0.6789
7392.00,0.6875
7391.00,0.6961
7390.00,0.7044
7389.00,0.7125
7388.00,0.7206
7387.00,0.7293
7386.00,0.7385
7385.00,0.7480
7384.00,0.7574
7383.00,0.7667
7382.00,0.7761
7381.00,0.7859
7380.00,0.7960
7379.00,0.8058
7378.00,0.8150
7377.00,0.8239
7376.00,0.8328
7375.00,0.8418
7374.00,0.8503
7373.00,0.8578
7372.00,0.8648
7371.00,0.8717
7370.00,0.8790
7369.00,0.8868
7368.00,0.8945
7367.00,0.9020
7366.00,0.9092
7365.00,0.9160
7364.00,0.9223
7363.00,0.9283
7362.00,0.9343
7361.00,0.9406
7360.00,0.9472
7359.00,0.9542
7358.00,0.9610
7357.00,0.9673
7356.00,0.9728
7355.00,0.9776
7354.00,0.9822
7353.00,0.9865
7352.00,0.9903
7351.00,0.9936
7350.00,0.9966
7349.00,0.9996
7348.00,1.0021
7347.00,1.0036
7346.00,1.0040
7345.00,1.0043
7344.00,1.0050
7343.00,1.0061
7342.00,1.0069
7341.00,1.0074
7340.00,1.0081
7339.00,1.0089
7338.00,1.0093
7337.00,1.0084
7336.00,1.0060
7335.00,1.0030
7334.00,1.0003
7333.00,0.9979
7332.00,0.9953
7331.00,0.9921
7330.00,0.9887
7329.00,0.9855
7328.00,0.9822
7327.00,0.9783
7326.00,0.9736
7325.00,0.9683
7324.00,0.9630
7323.00,0.9580
7322.00,0.9529
7321.00,0.9476
7320.00,0.9420
7319.00,0.9362
7318.00,0.9300
7317.00,0.9232
7316.00,0.9157
7315.00,0.9077
7314.00,0.8998
7313.00,0.8922
7312.00,0.8848
7311.00,0.8776
7310.00,0.8702
7309.00,0.8623
7308.00,0.8540
7307.00,0.8453
7306.00,0.8364
7305.00,0.8273
7304.00,0.8179
7303.00,0.8086
7302.00,0.7996
7301.00,0.7913
7300.00,0.7836
7299.00,0.7761
7298.00,0.7688
7297.00,0.7614
7296.00,0.7538
7295.00,0.7463
7294.00,0.7389
7293.00,0.7319
7292.00,0.7254
7291.00,0.7192
7290.00,0.7133
7289.00,0.7076
7288.00,0.7023
7287.00,0.6972
7286.00,0.6925
7285.00,0.6881
7284.00,0.6839
7283.00,0.6801
7282.00,0.6767
7281.00,0.6736
7280.00,0.6708
7279.00,0.6686
7278.00,0.6671
7277.00,0.6663
7276.00,0.6659
7275.00,0.6659
7274.00,0.6665
7273.00,0.6678
7272.00,0.6695
7271.00,0.6711
7270.00,0.6728
7269.00,0.6751
7268.00,0.6782
7267.00,0.6820
7266.00,0.6861
7265.00,0.6904
7264.00,0.6949
7263.00,0.6996
7262.00,0.7044
7261.00,0.7095
7260.00,0.7149
7259.00,0.7209
7258.00,0.7275
7257.00,0.7346
7256.00,0.7419
7255.00,0.7493
7254.00,0.7569
7253.00,0.7646
7252.00,0.7723
7251.00,0.7799
7250.00,0.7876
7249.00,0.7954
7248.00,0.8033
7247.00,0.8113
7246.00,0.8193
7245.00,0.8274
7244.00,0.8357
7243.00,0.8440
7242.00,0.8526
7241.00,0.8614
7240.00,0.8702
7239.00,0.8791
7238.00,0.8879
7237.00,0.8968
7236.00,0.9056
7235.00,0.9140
7234.00,0.9217
7233.00,0.9291
7232.00,0.9361
7231.00,0.9431
7230.00,0.9500
7229.00,0.9573
7228.00,0.9650
7227.00,0.9726
7226.00,0.9800
7225.00,0.9871
7224.00,0.9940
7223.00,1.0005
7222.00,1.0064
7221.00,1.0115
7220.00,1.0157
7219.00,1.0198
7218.00,1.0241
7217.00,1.0287
7216.00,1.0329
7215.00,1.0364
7214.00,1.0391
7213.00,1.0417
7212.00,1.0447
7211.00,1.0478
7210.00,1.0505
7209.00,1.0527
7208.00,1.0547
7207.00,1.0566
7206.00,1.0588
7205.00,1.0609
7204.00,1.0627
7203.00,1.0637
7202.00,1.0638
7201.00,1.0631
7200.00,1.0619
7199.00,1.0604
7198.00,1.0590
7197.00,1.0575
7196.00,1.0560
7195.00,1.0548
7194.00,1.0537
7193.00,1.0525
7192.00,1.0507
7191.00,1.0482
7190.00,1.0451
7189.00,1.0414
7188.00,1.0370
7187.00,1.0317
7186.00,1.0258
7185.00,1.0199
7184.00,1.0143
7183.00,1.0084
7182.00,1.0022
7181.00,0.9957
7180.00,0.9894
7179.00,0.9833
7178.00,0.9771
7177.00,0.9708
7176.00,0.9642
7175.00,0.9575
7174.00,0.9507
7173.00,0.9436
7172.00,0.9360
7171.00,0.9277
7170.00,0.9189
7169.00,0.9098
7168.00,0.9007
7167.00,0.8915
7166.00,0.8823
7165.00,0.8732
7164.00,0.8644
7163.00,0.8559
7162.00,0.8476
7161.00,0.8394
7160.00,0.8311
7159.00,0.8227
7158.00,0.8145
7157.00,0.8065
7156.00,0.7988
7155.00,0.7913
7154.00,0.7837
7153.00,0.7763
7152.00,0.7691
7151.00,0.7624
7150.00,0.7561
7149.00,0.7501
7148.00,0.7441
7147.00,0.7383
7146.00,0.7331
7145.00,0.7284
7144.00,0.7242
7143.00,0.7201
7142.00,0.7163
7141.00,0.7128
7140.00,0.7097
7139.00,0.7069
7138.00,0.7047
7137.00,0.7028
7136.00,0.7013
7135.00,0.7002
7134.00,0.6995
7133.00,0.6995
7132.00,0.6998
7131.00,0.7005
7130.00,0.7014
7129.00,0.7027
7128.00,0.7044
7127.00,0.7067
7126.00,0.7096
7125.00,0.7130
7124.00,0.7169
7123.00,0.7210
7122.00,0.7257
7121.00,0.7309
7120.00,0.7366
7119.00,0.7424
7118.00,0.7483
7117.00,0.7545
7116.00,0.7610
7115.00,0.7678
7114.00,0.7748
7113.00,0.7818
7112.00,0.7890
7111.00,0.7964
7110.00,0.8042
7109.00,0.8124
7108.00,0.8206
7107.00,0.8286
7106.00,0.8367
7105.00,0.8451
7104.00,0.8538
7103.00,0.8624
7102.00,0.8711
7101.00,0.8802
7100.00,0.8896
7099.00,0.8988
7098.00,0.9077
7097.00,0.9164
7096.00,0.9249
7095.00,0.9332
7094.00,0.9411
7093.00,0.9488
7092.00,0.9566
7091.00,0.9647
7090.00,0.9731
7089.00,0.9814
7088.00,0.9897
7087.00,0.9980
7086.00,1.0060
7085.00,1.0134
7084.00,1.0204
7083.00,1.0271
7082.00,1.0339
7081.00,1.0407
7080.00,1.0476
7079.00,1.0544
7078.00,1.0610
7077.00,1.0675
7076.00,1.0735
7075.00,1.0790
7074.00,1.0841
7073.00,1.0885
7072.00,1.0924
7071.00,1.0959
7070.00,1.0997
7069.00,1.1039
7068.00,1.1082
7067.00,1.1124
7066.00,1.1162
7065.00,1.1196
7064.00,1.1224
7063.00,1.1243
7062.00,1.1255
7061.00,1.1264
7060.00,1.1270
7059.00,1.1276
7058.00,1.1280
7057.00,1.1283
7056.00,1.1284
7055.00,1.1282
7054.00,1.1277
7053.00,1.1270
7052.00,1.1257
7051.00,1.1240
7050.00,1.1221
7049.00,1.1205
7048.00,1.1187
7047.00,1.1163
7046.00,1.1130
7045.00,1.1094
7044.00,1.1057
7043.00,1.1016
7042.00,1.0970
7041.00,1.0918
7040.00,1.0863
7039.00,1.0803
7038.00,1.0739
7037.00,1.0673
7036.00,1.0607
7035.00,1.0545
7034.00,1.0484
7033.00,1.0421
7032.00,1.0355
7031.00,1.0285
7030.00,1.0212
7029.00,1.0137
7028.00,1.0059
7027.00,0.9973
7026.00,0.9880
7025.00,0.9783
7024.00,0.9688
7023.00,0.9596
7022.00,0.9504
7021.00,0.9411
7020.00,0.9319
7019.00,0.9230
7018.00,0.9142
7017.00,0.9053
7016.00,0.8961
7015.00,0.8867
7014.00,0.8774
7013.00,0.8686
7012.00,0.8600
7011.00,0.8518
7010.00,0.8437
7009.00,0.8358
7008.00,0.8279
7007.00,0.8201
7006.00,0.8125
7005.00,0.8052
7004.00,0.7982
7003.00,0.7914
7002.00,0.7851
7001.00,0.7796
7000.00,0.7747
6999.00,0.7702
6998.00,0.7659
6997.00,0.7619
6996.00,0.7585
6995.00,0.7556
6994.00,0.7532
6993.00,0.7510
6992.00,0.7489
6991.00,0.7472
6990.00,0.7464
6989.00,0.7465
6988.00,0.7472
6987.00,0.7480
6986.00,0.7492
6985.00,0.7511
6984.00,0.7537
6983.00,0.7568
6982.00,0.7602
6981.00,0.7638
6980.00,0.7679
6979.00,0.7724
6978.00,0.7774
6977.00,0.7826
6976.00,0.7882
6975.00,0.7942
6974.00,0.8005
6973.00,0.8072
6972.00,0.8142
6971.00,0.8212
6970.00,0.8284
6969.00,0.8358
6968.00,0.8434
6967.00,0.8510
