Created as New Dataset,Sample 002 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.7475
7501.00,0.7364
7500.00,0.7255
7499.00,0.7148
7498.00,0.7045
7497.00,0.6943
7496.00,0.6844
7495.00,0.6747
7494.00,0.6655
7493.00,0.6574
7492.00,0.6508
7491.00,0.6460
7490.00,0.6424
7489.00,0.6388
7488.00,0.6338
7487.00,0.6266
7486.00,0.6177
7485.00,0.6078
7484.00,0.5972
7483.00,0.5865
7482.00,0.5767
7481.00,0.5689
7480.00,0.5629
7479.00,0.5579
7478.00,0.5532
7477.00,0.5487
7476.00,0.5447
7475.00,0.5411
7474.00,0.5378
7473.00,0.5347
7472.00,0.5318
7471.00,0.5288
7470.00,0.5256
7469.00,0.5221
7468.00,0.5184
7467.00,0.5146
7466.00,0.5111
7465.00,0.5081
7464.00,0.5053
7463.00,0.5027
7462.00,0.5003
7461.00,0.4986
7460.00,0.4974
7459.00,0.4965
7458.00,0.4958
7457.00,0.4956
7456.00,0.4961
7455.00,0.4973
7454.00,0.4987
7453.00,0.5003
7452.00,0.5021
7451.00,0.5044
7450.00,0.5072
7449.00,0.5105
7448.00,0.5142
7447.00,0.5182
7446.00,0.5228
7445.00,0.5279
7444.00,0.5331
7443.00,0.5381
7442.00,0.5431
7441.00,0.5488
7440.00,0.5553
7439.00,0.5622
7438.00,0.5693
7437.00,0.5765
7436.00,0.5837
7435.00,0.5910
7434.00,0.5982
7433.00,0.6055
7432.00,0.6131
7431.00,0.6211
7430.00,0.6292
7429.00,0.6376
7428.00,0.6465
7427.00,0.6561
7426.00,0.6660
7425.00,0.6755
7424.00,0.6845
7423.00,0.6931
7422.00,0.7020
7421.00,0.7113
7420.00,0.7206
7419.00,0.7294
7418.00,0.7375
7417.00,0.7451
7416.00,0.7526
7415.00,0.7603
7414.00,0.7684
7413.00,0.7768
7412.00,0.7853
7411.00,0.7935
7410.00,0.8017
7409.00,0.8104
7408.00,0.8198
7407.00,0.8291
7406.00,0.8377
7405.00,0.8453
7404.00,0.8525
7403.00,0.8601
7402.00,0.8680
7401.00,0.8755
7400.00,0.8818
7399.00,0.8872
7398.00,0.8925
7397.00,0.8985
7396.00,0.9050
7395.00,0.9112
7394.00,0.9170
7393.00,0.9221
7392.00,0.9269
7391.00,0.9317
7390.00,0.9369
7389.00,0.9420
7388.00,0.9467
7387.00,0.9507
7386.00,0.9545
7385.00,0.9583
7384.00,0.9616
7383.00,0.9637
7382.00,0.9646
7381.00,0.9648
7380.00,0.9648
7379.00,0.9651
7378.00,0.9659
7377.00,0.9675
7376.00,0.9697
7375.00,0.9718
7374.00,0.9731
7373.00,0.9732
7372.00,0.9718
7371.00,0.9691
7370.00,0.9655
7369.00,0.9617
7368.00,0.9581
7367.00,0.9547
7366.00,0.9514
7365.00,0.9483
7364.00,0.9457
7363.00,0.9432
7362.00,0.9405
7361.00,0.9369
7360.00,0.9323
7359.00,0.9267
7358.00,0.9206
7357.00,0.9143
7356.00,0.9078
7355.00,0.9012
7354.00,0.8946
7353.00,0.8880
7352.00,0.8813
7351.00,0.8742
7350.00,0.8669
7349.00,0.8597
7348.00,0.8527
7347.00,0.8451
7346.00,0.8368
7345.00,0.8284
7344.00,0.8206
7343.00,0.8136
7342.00,0.8067
7341.00,0.7990
7340.00,0.7908
7339.00,0.7828
7338.00,0.7752
7337.00,0.7677
7336.00,0.7594
7335.00,0.7508
7334.00,0.7425
7333.00,0.7351
7332.00,0.7283
7331.00,0.7214
7330.00,0.7146
7329.00,0.7081
7328.00,0.7020
7327.00,0.6958
7326.00,0.6896
7325.00,0.6834
7324.00,0.6777
7323.00,0.6726
7322.00,0.6679
7321.00,0.6635
7320.00,0.6595
7319.00,0.6559
7318.00,0.6528
