Created as New Dataset,Sample 016 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.5408
7501.00,0.5500
7500.00,0.5595
7499.00,0.5691
7498.00,0.5787
7497.00,0.5883
7496.00,0.5985
7495.00,0.6092
7494.00,0.6201
7493.00,0.6308
7492.00,0.6411
7491.00,0.6514
7490.00,0.6617
7489.00,0.6719
7488.00,0.6818
7487.00,0.6913
7486.00,0.7008
7485.00,0.7101
7484.00,0.7193
7483.00,0.7284
7482.00,0.7377
7481.00,0.7471
7480.00,0.7564
7479.00,0.7655
7478.00,0.7745
7477.00,0.7835
7476.00,0.7921
7475.00,0.8000
7474.00,0.8074
7473.00,0.8144
7472.00,0.8210
7471.00,0.8272
7470.00,0.8326
7469.00,0.8374
7468.00,0.8416
7467.00,0.8459
7466.00,0.8505
7465.00,0.8549
7464.00,0.8585
7463.00,0.8614
7462.00,0.8641
7461.00,0.8666
7460.00,0.8685
7459.00,0.8700
7458.00,0.8715
7457.00,0.8732
7456.00,0.8745
7455.00,0.8749
7454.00,0.8749
7453.00,0.8749
7452.00,0.8749
7451.00,0.8741
7450.00,0.8722
7449.00,0.8700
7448.00,0.8678
7447.00,0.8654
7446.00,0.8625
7445.00,0.8588
7444.00,0.8542
7443.00,0.8490
7442.00,0.8435
7441.00,0.8385
7440.00,0.8340
7439.00,0.8295
7438.00,0.8240
7437.00,0.8174
7436.00,0.8100
7435.00,0.8024
7434.00,0.7951
7433.00,0.7879
7432.00,0.7805
7431.00,0.7730
7430.00,0.7660
7429.00,0.7599
7428.00,0.7546
7427.00,0.7498
7426.00,0.7450
7425.00,0.7400
7424.00,0.7343
7423.00,0.7275
7422.00,0.7199
7421.00,0.7122
7420.00,0.7043
7419.00,0.6960
7418.00,0.6873
7417.00,0.6787
7416.00,0.6704
7415.00,0.6627
7414.00,0.6553
7413.00,0.6480
7412.00,0.6407
7411.00,0.6335
7410.00,0.6271
7409.00,0.6216
7408.00,0.6168
7407.00,0.6124
7406.00,0.6083
7405.00,0.6043
7404.00,0.6005
7403.00,0.5966
7402.00,0.5927
7401.00,0.5889
7400.00,0.5851
7399.00,0.5814
7398.00,0.5777
7397.00,0.5742
7396.00,0.5708
7395.00,0.5676
7394.00,0.5649
7393.00,0.5627
7392.00,0.5610
7391.00,0.5598
7390.00,0.5590
7389.00,0.5587
7388.00,0.5588
7387.00,0.5591
7386.00,0.5596
7385.00,0.5604
7384.00,0.5617
7383.00,0.5633
7382.00,0.5653
7381.00,0.5679
7380.00,0.5712
7379.00,0.5751
7378.00,0.5795
7377.00,0.5842
7376.00,0.5891
7375.00,0.5942
7374.00,0.5996
7373.00,0.6055
7372.00,0.6118
7371.00,0.6184
7370.00,0.6256
7369.00,0.6334
7368.00,0.6416
7367.00,0.6502
7366.00,0.6591
7365.00,0.6683
7364.00,0.6777
7363.00,0.6870
7362.00,0.6965
7361.00,0.7066
7360.00,0.7172
7359.00,0.7275
7358.00,0.7371
7357.00,0.7464
7356.00,0.7560
7355.00,0.7662
7354.00,0.7768
7353.00,0.7873
7352.00,0.7977
7351.00,0.8080
7350.00,0.8183
7349.00,0.8288
7348.00,0.8387
7347.00,0.8477
7346.00,0.8559
7345.00,0.8641
7344.00,0.8729
7343.00,0.8823
7342.00,0.8917
7341.00,0.9009
7340.00,0.9099
7339.00,0.9189
7338.00,0.9275
7337.00,0.9354
7336.00,0.9428
7335.00,0.9497
7334.00,0.9563
7333.00,0.9623
7332.00,0.9676
7331.00,0.9728
7330.00,0.9782
7329.00,0.9838
7328.00,0.9888
