Created as New Dataset,Sample 036 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.4757
7501.00,0.4743
7500.00,0.4734
7499.00,0.4733
7498.00,0.4739
7497.00,0.4753
7496.00,0.4771
7495.00,0.4794
7494.00,0.4824
7493.00,0.4862
7492.00,0.4901
7491.00,0.4940
7490.00,0.4979
7489.00,0.5023
7488.00,0.5073
7487.00,0.5128
7486.00,0.5188
7485.00,0.5253
7484.00,0.5324
7483.00,0.5400
7482.00,0.5478
7481.00,0.5560
7480.00,0.5645
7479.00,0.5733
7478.00,0.5821
7477.00,0.5904
7476.00,0.5982
7475.00,0.6058
7474.00,0.6138
7473.00,0.6224
7472.00,0.6314
7471.00,0.6405
7470.00,0.6497
7469.00,0.6589
7468.00,0.6680
7467.00,0.6770
7466.00,0.6863
7465.00,0.6959
7464.00,0.7055
7463.00,0.7146
7462.00,0.7233
7461.00,0.7320
7460.00,0.7409
7459.00,0.7497
7458.00,0.7581
7457.00,0.7658
7456.00,0.7729
7455.00,0.7802
7454.00,0.7884
7453.00,0.7975
7452.00,0.8062
7451.00,0.8136
7450.00,0.8197
7449.00,0.8258
7448.00,0.8325
7447.00,0.8393
7446.00,0.8456
7445.00,0.8513
7444.00,0.8567
7443.00,0.8622
7442.00,0.8677
7441.00,0.8728
7440.00,0.8776
7439.00,0.8819
7438.00,0.8855
7437.00,0.8887
7436.00,0.8918
7435.00,0.8949
7434.00,0.8976
7433.00,0.8991
7432.00,0.8995
7431.00,0.8994
7430.00,0.8994
7429.00,0.8997
7428.00,0.9002
7427.00,0.9012
7426.00,0.9026
7425.00,0.9036
7424.00,0.9037
7423.00,0.9028
7422.00,0.9013
7421.00,0.8995
7420.00,0.8966
7419.00,0.8924
7418.00,0.8871
7417.00,0.8813
7416.00,0.8755
7415.00,0.8697
7414.00,0.8638
7413.00,0.8579
7412.00,0.8520
7411.00,0.8465
7410.00,0.8414
7409.00,0.8367
7408.00,0.8318
7407.00,0.8267
7406.00,0.8217
7405.00,0.8167
7404.00,0.8111
7403.00,0.8047
7402.00,0.7976
7401.00,0.7903
7400.00,0.7829
7399.00,0.7750
7398.00,0.7665
7397.00,0.7582
7396.00,0.7505
7395.00,0.7436
7394.00,0.7371
7393.00,0.7304
7392.00,0.7233
7391.00,0.7162
7390.00,0.7094
7389.00,0.7032
7388.00,0.6973
7387.00,0.6917
7386.00,0.6866
7385.00,0.6821
7384.00,0.6781
7383.00,0.6739
7382.00,0.6693
7381.00,0.6645
7380.00,0.6598
7379.00,0.6556
7378.00,0.6515
7377.00,0.6470
7376.00,0.6416
7375.00,0.6358
7374.00,0.6301
7373.00,0.6249
7372.00,0.6198
7371.00,0.6149
7370.00,0.6102
7369.00,0.6062
7368.00,0.6029
7367.00,0.6002
7366.00,0.5978
7365.00,0.5955
7364.00,0.5931
7363.00,0.5910
7362.00,0.5896
7361.00,0.5892
7360.00,0.5896
7359.00,0.5902
7358.00,0.5908
7357.00,0.5914
7356.00,0.5925
7355.00,0.5941
7354.00,0.5962
7353.00,0.5986
7352.00,0.6014
7351.00,0.6045
7350.00,0.6082
7349.00,0.6125
7348.00,0.6171
7347.00,0.6217
7346.00,0.6264
7345.00,0.6317
7344.00,0.6379
7343.00,0.6449
7342.00,0.6524
7341.00,0.6600
7340.00,0.6675
7339.00,0.6751
7338.00,0.6826
7337.00,0.6900
7336.00,0.6971
7335.00,0.7042
7334.00,0.7116
7333.00,0.7195
7332.00,0.7279
7331.00,0.7369
7330.00,0.7463
7329.00,0.7560
7328.00,0.7656
7327.00,0.7752
7326.00,0.7849
7325.00,0.7948
7324.00,0.8047
7323.00,0.8142
7322.00,0.8233
7321.00,0.8322
7320.00,0.8411
7319.00,0.8500
7318.00,0.8590
7317.00,0.8678
7316.00,0.8763
7315.00,0.8844
7314.00,0.8926
7313.00,0.9011
7312.00,0.9097
7311.00,0.9180
7310.00,0.9261
7309.00,0.9339
7308.00,0.9415
7307.00,0.9487
7306.00,0.9553
7305.00,0.9614
7304.00,0.9673
