Created as New Dataset,Sample 032 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.8233
7501.00,0.8169
7500.00,0.8106
7499.00,0.8043
7498.00,0.7982
7497.00,0.7921
7496.00,0.7861
7495.00,0.7802
7494.00,0.7744
7493.00,0.7678
7492.00,0.7606
7491.00,0.7534
7490.00,0.7461
7489.00,0.7391
7488.00,0.7323
7487.00,0.7260
7486.00,0.7204
7485.00,0.7151
7484.00,0.7094
7483.00,0.7032
7482.00,0.6962
7481.00,0.6888
7480.00,0.6811
7479.00,0.6731
7478.00,0.6649
7477.00,0.6568
7476.00,0.6491
7475.00,0.6419
7474.00,0.6348
7473.00,0.6273
7472.00,0.6193
7471.00,0.6113
7470.00,0.6039
7469.00,0.5971
7468.00,0.5905
7467.00,0.5838
7466.00,0.5776
7465.00,0.5723
7464.00,0.5676
7463.00,0.5630
7462.00,0.5584
7461.00,0.5541
7460.00,0.5505
7459.00,0.5475
7458.00,0.5448
7457.00,0.5421
7456.00,0.5394
7455.00,0.5366
7454.00,0.5339
7453.00,0.5316
7452.00,0.5298
7451.00,0.5289
7450.00,0.5290
7449.00,0.5302
7448.00,0.5322
7447.00,0.5346
7446.00,0.5374
7445.00,0.5403
7444.00,0.5433
7443.00,0.5465
7442.00,0.5499
7441.00,0.5537
7440.00,0.5582
7439.00,0.5633
7438.00,0.5689
7437.00,0.5749
7436.00,0.5814
7435.00,0.5881
7434.00,0.5950
7433.00,0.6018
7432.00,0.6087
7431.00,0.6157
7430.00,0.6233
7429.00,0.6311
7428.00,0.6390
7427.00,0.6468
7426.00,0.6550
7425.00,0.6641
7424.00,0.6737
7423.00,0.6829
7422.00,0.6913
7421.00,0.6994
7420.00,0.7081
7419.00,0.7174
7418.00,0.7269
7417.00,0.7360
7416.00,0.7450
7415.00,0.7541
7414.00,0.7636
7413.00,0.7729
7412.00,0.7815
7411.00,0.7895
7410.00,0.7972
7409.00,0.8047
7408.00,0.8123
7407.00,0.8202
7406.00,0.8289
7405.00,0.8377
7404.00,0.8460
7403.00,0.8532
7402.00,0.8601
7401.00,0.8673
7400.00,0.8748
7399.00,0.8817
7398.00,0.8873
7397.00,0.8921
