,d2o 121 By Administrator Date Wednesday. December 15 2021,
Time,12:43:37,
Wavenumbers [1/cm],Transmittance %,
7000.000,8.51719,
6999.000,8.47628,
6998.000,8.434,
6997.000,8.39249,
6996.000,8.35236,
6995.000,8.31208,
6994.000,8.27144,
6993.000,8.23316,
6992.000,8.19907,
6991.000,8.16638,
6990.000,8.13086,
6989.000,8.09229,
6988.000,8.05375,
6987.000,8.01661,
6986.000,7.97926,
6985.000,7.94084,
6984.000,7.9033,
6983.000,7.86876,
6982.000,7.83746,
6981.000,7.8085,
6980.000,7.77994,
6979.000,7.7482,
6978.000,7.71008,
6977.000,7.66655,
6976.000,7.62185,
6975.000,7.57802,
6974.000,7.53397,
6973.000,7.49067,
6972.000,7.45332,
6971.000,7.42514,
6970.000,7.40131,
6969.000,7.37293,
6968.000,7.33695,
6967.000,7.29821,
6966.000,7.26192,
6965.000,7.2271,
6964.000,7.18903,
6963.000,7.147,
6962.000,7.10735,
6961.000,7.07681,
6960.000,7.05394,
6959.000,7.03015,
6958.000,6.99939,
6957.000,6.96449,
6956.000,6.93196,
6955.000,6.90299,
6954.000,6.87378,
6953.000,6.84375,
6952.000,6.81725,
6951.000,6.79604,
6950.000,6.77527,
6949.000,6.74943,
6948.000,6.7188,
6947.000,6.68715,
6946.000,6.65534,
6945.000,6.62171,
6944.000,6.58685,
6943.000,6.55356,
6942.000,6.52283,
6941.000,6.4927,
6940.000,6.46099,
6939.000,6.42721,
6938.000,6.39209,
6937.000,6.3576,
6936.000,6.32701,
6935.000,6.30224,
6934.000,6.28123,
6933.000,6.26,
6932.000,6.23728,
6931.000,6.21486,
6930.000,6.19337,
6929.000,6.17098,
6928.000,6.14705,
6927.000,6.12346,
6926.000,6.10067,
6925.000,6.07514,
6924.000,6.04349,
6923.000,6.00799,
6922.000,5.97487,
6921.000,5.9475,
6920.000,5.92444,
6919.000,5.90376,
6918.000,5.88593,
6917.000,5.87134,
6916.000,5.85776,
6915.000,5.84227,
6914.000,5.82436,
6913.000,5.80507,
6912.000,5.78447,
6911.000,5.7623,
6910.000,5.7398,
6909.000,5.71825,
6908.000,5.69627,
6907.000,5.67142,
6906.000,5.64471,
6905.000,5.62069,
6904.000,5.60178,
6903.000,5.58547,
6902.000,5.5681,
6901.000,5.54902,
6900.000,5.52948,
6899.000,5.50962,
6898.000,5.48907,
6897.000,5.46916,
6896.000,5.45178,
6895.000,5.4368,
6894.000,5.42247,
6893.000,5.40756,
6892.000,5.39183,
6891.000,5.37518,
6890.000,5.35785,
6889.000,5.34054,
6888.000,5.32275,
6887.000,5.3028,
6886.000,5.28117,
6885.000,5.26179,
6884.000,5.2474,
6883.000,5.23519,
6882.000,5.21992,
6881.000,5.20067,
6880.000,5.18106,
6879.000,5.16322,
6878.000,5.14556,
6877.000,5.12691,
6876.000,5.10885,
6875.000,5.09309,
6874.000,5.07967,
6873.000,5.06855,
6872.000,5.06014,
6871.000,5.05268,
6870.000,5.04218,
6869.000,5.02764,
6868.000,5.01351,
6867.000,5.00422,
6866.000,4.99843,
6865.000,4.9913,
6864.000,4.98113,
6863.000,4.97049,
6862.000,4.96098,
6861.000,4.94982,
6860.000,4.93328,
6859.000,4.91164,
6858.000,4.88901,
6857.000,4.869,
6856.000,4.85204,
6855.000,4.83671,
6854.000,4.8226,
6853.000,4.81062,
6852.000,4.80119,
6851.000,4.7937,
6850.000,4.78827,
6849.000,4.78627,
6848.000,4.78782,
6847.000,4.79029,
6846.000,4.79079,
6845.000,4.78883,
6844.000,4.78467,
6843.000,4.77633,
6842.000,4.76183,
6841.000,4.74446,
6840.000,4.73157,
6839.000,4.72654,
6838.000,4.72531,
6837.000,4.72217,
6836.000,4.71614,
6835.000,4.70936,
6834.000,4.70176,
6833.000,4.69103,
6832.000,4.67712,
6831.000,4.66331,
6830.000,4.65227,
6829.000,4.64388,
6828.000,4.63756,
6827.000,4.63408,
6826.000,4.63365,
6825.000,4.63386,
6824.000,4.63145,
6823.000,4.62574,
6822.000,4.61885,
6821.000,4.61253,
6820.000,4.6061,
6819.000,4.59788,
6818.000,4.5877,
6817.000,4.57724,
6816.000,4.56881,
6815.000,4.56408,
6814.000,4.56314,
6813.000,4.56395,
6812.000,4.56347,
6811.000,4.56099,
6810.000,4.5595,
6809.000,4.5618,
6808.000,4.56538,
6807.000,4.56434,
6806.000,4.5572,
6805.000,4.54972,
6804.000,4.54794,
6803.000,4.55082,
6802.000,4.55249,
6801.000,4.54981,
6800.000,4.54486,
6799.000,4.54062,
6798.000,4.53795,
6797.000,4.53677,
6796.000,4.53697,
6795.000,4.53738,
6794.000,4.53676,
6793.000,4.5364,
6792.000,4.53882,
6791.000,4.54321,
6790.000,4.54516,
6789.000,4.54252,
6788.000,4.53896,
6787.000,4.53945,
6786.000,4.544,
6785.000,4.54862,
6784.000,4.55083,
6783.000,4.5515,
6782.000,4.55203,
6781.000,4.55238,
6780.000,4.55219,
6779.000,4.55199,
6778.000,4.5528,
6777.000,4.5551,
6776.000,4.55868,
6775.000,4.56298,
6774.000,4.56742,
6773.000,4.57172,
6772.000,4.57594,
6771.000,4.58044,
6770.000,4.58597,
6769.000,4.59309,
6768.000,4.60108,
6767.000,4.60799,
6766.000,4.61268,
6765.000,4.61624,
6764.000,4.62012,
6763.000,4.62355,
6762.000,4.62485,
6761.000,4.62501,
6760.000,4.62759,
6759.000,4.63435,
6758.000,4.64338,
6757.000,4.65233,
6756.000,4.66098,
6755.000,4.66975,
6754.000,4.67767,
6753.000,4.68362,
6752.000,4.68829,
6751.000,4.69353,
6750.000,4.7007,
6749.000,4.71092,
6748.000,4.7253,
6747.000,4.7429,
6746.000,4.7598,
6745.000,4.7725,
6744.000,4.78147,
6743.000,4.78969,
6742.000,4.79884,
6741.000,4.80852,
6740.000,4.81853,
6739.000,4.82939,
6738.000,4.84055,
6737.000,4.85041,
6736.000,4.85876,
6735.000,4.86804,
6734.000,4.88098,
6733.000,4.89793,
6732.000,4.9165,
6731.000,4.93341,
6730.000,4.94648,
6729.000,4.95579,
6728.000,4.96345,
6727.000,4.97189,
6726.000,4.98249,
6725.000,4.99593,
6724.000,5.01274,
6723.000,5.03219,
6722.000,5.05127,
6721.000,5.06646,
6720.000,5.07723,
6719.000,5.08654,
6718.000,5.09736,
6717.000,5.11002,
6716.000,5.12357,
6715.000,5.13835,
6714.000,5.15555,
6713.000,5.17472,
6712.000,5.19369,
6711.000,5.21154,
6710.000,5.23001,
6709.000,5.25099,
6708.000,5.27342,
6707.000,5.29435,
6706.000,5.31281,
6705.000,5.33073,
6704.000,5.34995,
6703.000,5.37001,
6702.000,5.38962,
6701.000,5.40912,
6700.000,5.42988,
6699.000,5.45257,
6698.000,5.4771,
6697.000,5.50289,
6696.000,5.52816,
6695.000,5.5502,
6694.000,5.56801,
6693.000,5.58404,
6692.000,5.60148,
6691.000,5.62081,
6690.000,5.64092,
6689.000,5.66279,
6688.000,5.68907,
6687.000,5.71971,
6686.000,5.75069,
6685.000,5.77819,
6684.000,5.80245,
6683.000,5.82618,
6682.000,5.8508,
6681.000,5.87515,
6680.000,5.89736,
6679.000,5.91728,
6678.000,5.93756,
6677.000,5.96184,
6676.000,5.99125,
6675.000,6.02325,
6674.000,6.05495,
6673.000,6.08658,
6672.000,6.11976,
