Wavelength [nm];Absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;
200,000;0,6410708;0,08672285;-0,1098294;0,006279945;-0,1113458;0,08460999;-0,3170972;-0,2153444;0,06923056;-0,025249;0,1247792;0,4193416;-0,2617021;0,1144176;-0,06665754;-0,03319359;-0,3751593;-0,2415833;-0,008723259;0,02768326;-0,0599823;-0,2992001;-0,0598464;0,02199554;0,125679;-0,04557753;0,1771293;0,326417;0,2355361;0,1982212;0,02431154;-0,07530737;-0,1077356;-0,3111243;-0,1930318;-0,2591162;0,4031315;-0,2751274;0,07716942;-0,1559234;0,0897193;0,02365017;-0,2944083;-0,2294903;0,4643245;0,1775579;0,1768074;0,1179585;0,1464729;-0,009019375;-0,2029796;-0,3420839;-0,2540798;0,06445408;0,0257473;-0,004266739;0,6365724;-0,1576133;0,1726775;0,4113917;0,149879;0,2063212;-0,220818;0,3614259;0,3934689;0,2270551;-0,2059221;0,1126537;0,05119467;0,07797384;0,1622095;-0,1333079;-0,005809784;0,3823528;-0,2576733;0,1196113;0,3040557;-0,08159494;0,6542864;0,07005692;0,08814526;-0,05412102;-0,078722;-0,3244748;-0,1104398;0,183847;-0,0666728;-0,1611056;0,2628007;-0,06332636;0,2837486;
201,000;0,008710861;0,2849708;0,01579046;0,05828714;-0,1125655;-0,000430584;0,00488472;0,03350782;0,1833105;0,1919146;0,2149124;0,05458546;-0,1598945;0,4061861;0,2704816;-0,1278982;-0,2833171;-0,2294731;-0,09416246;-0,008076668;0,07948685;0,09133291;-0,1042385;0,2449479;0,06570435;0,4993148;-0,2883263;0,1688004;0,2133689;0,2814827;-0,06412745;-0,09606457;-0,3445334;0,1407862;0,3081717;-0,1491003;-0,2791719;-0,1387181;0,1251016;0,03373384;0,3388944;-0,07150459;0,147418;-0,08450651;0,1494255;0,4074745;-0,1154299;0,4706249;0,2273211;0,5290585;-0,01669455;-0,3441768;0,1760545;0,03230762;0,421937;0,2547455;0,1068506;-0,321701;0,5030799;-0,2777052;0,5266604;0,09153891;-0,1776524;-0,3916149;0,1540527;0,3181243;0,3640399;-0,05703735;0,1393285;0,2743387;0,49787;0,1557107;0,1782622;-0,5699139;-0,04445553;-0,05036545;0,4422908;0,4048796;0,09238148;0,03507566;-0,03719616;0,03194952;-0,1268544;-0,2696247;-0,2252679;-0,2526402;0,3176112;0,02801132;0,006930351;-0,3265204;0,1764994;
202,000;0,03781128;0,3063688;0,281301;-0,001450062;-0,02292633;0,1693048;0,1582918;0,2762136;-0,1813469;0,03021431;0,2433939;0,6392879;0,5445704;0,1769233;-0,08597851;0,1284041;0,1227713;0,1756229;0,3834515;0,03246832;-0,05792475;0,5828676;0,1565108;-0,05242109;-0,01901531;0,7000971;0,3048496;0,03842115;0,1741109;0,2057343;-0,1082058;0,4085331;0,2389627;0,1858244;0,5637946;0,247292;-0,1134562;0,008920193;0,08363104;0,3642592;0,04622078;0,2679505;0,1555629;0,6642938;0,2820954;0,1606402;0,0337534;0,6924381;0,1777577;0,5187216;0,6567307;0,1116815;0,6147947;0,3822837;0,204814;0,6933336;0,1425323;0,109201;0,4887819;0,4546065;0,3981662;-0,1675439;0,565896;0,07696867;-0,1141434;0,05025244;0,1741042;0,1948104;-0,1563067;0,351459;0,5488591;-0,02316189;0,08531284;0,1953359;0,3504863;-0,09434748;0,7022767;0,3786387;-0,03902006;0,3621349;-0,1122203;0,1602678;0,0006685257;0,3122563;0,05556488;-0,07908964;-0,04799461;0,3914309;0,3675179;0,4210639;0,05568743;
203,000;-0,04225826;-0,001675606;-0,1379642;-0,5029969;-0,2878761;-0,4179544;-0,4317307;-0,1369147;-0,3163662;0,2409062;-0,1171436;-0,4296861;-0,1252222;-0,1773567;-0,292552;-0,5008817;-0,4869108;0,1977091;-0,04415321;-0,1412234;-0,5366764;-0,2475004;-0,2831697;-0,4185262;-0,06144476;-0,280489;-0,3493338;-0,2861538;0,2159252;-0,3580627;-0,4500961;-0,1897678;0,004446983;-0,1831803;-0,3335238;-0,2021265;-0,300808;-0,2254052;-0,1755214;-0,2800012;-0,5031004;-0,3665242;-0,04020643;-0,4641294;-0,2054844;-0,4312558;-0,1672459;-0,2117271;0,1896658;-0,2795825;-0,4809704;-0,3857727;-0,4604311;-0,1564403;-0,3234825;-0,03975344;0,1357365;0,052001;-0,1110663;-0,2180142;-0,2040014;-0,2063651;-0,2141442;-0,4850225;-0,329803;-0,500618;-0,3050451;-0,002562523;-0,1242452;-0,2002912;-0,3995008;-0,5230994;0,01859093;-0,1054521;0,03182697;-0,2814279;-0,2305522;0,1837664;-0,1344609;-0,06590509;-0,1904325;-0,4147825;-0,3818159;-0,07139063;-0,0566988;-0,2247219;-0,5147076;-0,3987741;-0,05666494;-0,05792379;-0,3762293;
204,000;-0,05314159;0,01910973;-0,189878;-0,06112099;-0,1277714;-0,3686285;-0,4461799;-0,4659824;-0,3336911;-0,03824568;-0,5035782;-0,2192483;-0,1279268;0,070889;-0,009534359;-0,205092;-0,4515195;-0,0002098083;0,1431417;-0,2180943;-0,2080655;-0,1634483;-0,1520667;0,06243038;-0,5616903;-0,3381157;-0,329772;-0,3503098;-0,04867077;-0,4363914;-0,3919411;-0,5631313;0,006996155;-0,1220388;-0,2355423;-0,1270671;0,06362057;-0,2962022;-0,105494;-0,3430476;-0,09119225;-0,4689331;0,08046484;-0,05692625;-0,1189213;-0,02253723;0,1208954;-0,4297996;0,08392859;0,06138325;0,01089668;-0,2858834;-0,3202152;-0,1814194;-0,11303;-0,1294422;0,3576484;-0,1055889;0,1640782;-0,4769044;0,01004362;-0,2177992;-0,5850501;-0,4101715;0,195282;-0,4528866;-0,391819;0,1128235;-0,1037359;-0,1855206;-0,5352273;-0,1012874;0,1193085;-0,2877598;-0,2030621;-0,08733368;-0,5997233;-0,08106136;-0,1651406;-0,2506576;0,379199;-0,376965;-0,1977358;-0,5573015;0,2172923;0,03568125;-0,3195629;-0,4260569;-0,2810211;-0,3727055;-0,2261534;
205,000;0,9641199;0,2949443;0,3602376;0,4937963;0,01629639;0,2874579;0,1808491;0,4041963;0,1593451;0,5124755;0,583519;0,2393217;0,5123138;0,05014849;0,6636171;0,2617688;0,1102996;0,05764389;0,655642;0,1003199;0,3027616;0,5070858;0,2072392;0,73172;0,2511611;0,5890365;0,2893438;0,7021337;0,2719564;0,4631886;0,6968331;0,1094851;0,3448653;0,6112199;0,2988901;0,6785836;0,4879699;0,4485459;0,5432715;0,01490068;0,1016021;0,624588;0,5765409;0,9524488;0,636395;0,3271351;0,4695029;0,7150068;0,3467226;0,3514395;0,6308932;0,2559452;0,4131665;0,343224;0,2998161;0,524509;0,5245118;0,3095937;0,7779369;0,2696619;-0,04985285;0,4250674;0,2501907;0,4335294;0,641151;0,4709625;0,2466717;0,7666426;0,4457531;0,9763484;0,2641325;-0,1292553;0,7094221;0,7904353;0,1389031;0,1181021;-0,02636433;-0,1458902;0,3696189;0,1166372;0,6944156;0,3253336;0,1107817;0,07806301;0,4382019;0,5372314;0,08103704;0,1775956;0,6398554;-0,04224443;0,3732686;
206,000;0,3270292;-0,4109592;-0,1226764;0,03335142;-0,3486199;-0,2618895;-0,03841496;-0,2252727;-0,1980596;0,3774018;0,4399023;-0,1434479;0,03518486;-0,3008986;-0,2982106;-0,1732206;-0,1515756;-0,2548356;-0,2573104;0,02357578;-0,002805233;0,4854178;-0,06097174;-0,1651225;-0,01737165;-0,1844749;-0,1758633;0,1358342;-0,304091;0,01401711;0,2118831;-0,2859902;-0,2387075;0,3938947;0,08032942;-0,1350183;0,378202;-0,05018282;-0,2202001;-0,002171993;-0,1676674;0,1774831;0,3920054;0,3639483;-0,2301173;-0,233674;-0,08750248;0,1790586;-0,008522511;-0,5464745;-0,315979;-0,02862787;0,04961967;-0,06059361;-0,05338573;-0,1338549;-0,3471484;-0,0119524;-0,06983042;0,05684805;-0,01131248;-0,1068883;0,0034585;0,1062965;0,1367636;0,2786288;-0,2889018;0,1876688;0,2356381;0,3749442;0,207304;-0,1107197;-0,1067939;0,32692;0,09842348;-0,3389778;-0,02205515;-0,2925692;0,2222314;-0,1541643;-0,3039255;-0,1915045;-0,2182512;0,2000723;-0,3526092;0,132082;-0,08114576;0,09318161;0,4119229;-0,130209;-0,1937685;
207,000;-0,1128631;-0,5501628;-0,01560783;0,13763;-0,5794859;-0,2840548;-0,2438545;-0,5200553;-0,4539213;0,07411623;-0,3156166;0,1929431;0,1038384;-0,4049253;-0,3805318;-0,06448698;-0,3913565;-0,6485496;-0,5915627;0,1162724;-0,5308552;-0,4701424;-0,1829643;-0,09899282;-0,4112782;-0,5081916;-0,08205557;-0,5454597;-0,3206377;-0,1515722;-0,3208957;-0,5832996;-0,418499;-0,1134753;0,0860281;-0,6552963;0,08547688;-0,4055834;0,08919144;-0,02217484;-0,1438684;-0,6619234;-0,03450251;-0,2759719;-0,463316;-0,400743;-0,2173996;-0,1642742;-0,5115018;-0,1572289;-0,04397678;-0,354826;0,1146436;-0,3278141;-0,2665157;-0,804358;-0,03133821;0,1142144;-0,5815773;-0,2300534;0,1155386;-0,1042757;-0,5076075;-0,5709186;-0,4909611;-0,4339418;-0,511065;-0,2499204;-0,2103066;-0,373775;0,08116627;-0,2006426;-0,3832135;0,05131245;-0,2970257;0,04137325;-0,1850514;-0,1034427;-0,08060503;0,1457143;-0,722877;-0,3926339;-0,5279388;-0,3241639;-0,645638;-0,7392788;0,06403589;-0,3280249;-0,2381949;0,1666908;-0,6746616;
208,000;0,2853122;0,169692;0,2264762;0,3590474;0,5821757;0,06441402;0,2406931;0,7711945;0,2309208;0,3214717;0,5783162;0,2430964;0,5177259;0,7069097;0,5696988;0,5202842;0,04664993;0,5092096;0,5809035;0,4263697;-0,008215427;0,2539268;-0,02918959;0,6976838;0,4444017;0,07401466;0,5908475;-0,05403948;0,5572953;0,7538295;0,3765473;0,2145643;0,2944007;0,2237434;0,5705762;0,03150225;0,2474475;0,4480648;0,8564854;0,1206679;0,3200073;0,5135164;0,8651347;0,4954233;0,520669;0,6469331;0,5894537;0,6775746;0,2063684;0,3201699;0,5682268;0,1754584;0,4361191;-0,1599584;0,3554606;0,3918591;0,5351639;0,5014668;0,3006725;0,05930805;0,4864578;0,6553078;0,4942656;0,4042211;0,3153381;0,2744575;0,1817217;0,5252948;0,2485533;0,1718903;0,4577389;0,5416336;0,0008788109;0,4984751;0,01931047;0,1420054;-0,1008439;0,8317337;0,2068787;0,4816031;-0,08763456;0,106492;0,4791045;0,05272484;0,6142073;0,513782;0,8299618;-0,08732414;0,1997008;0,3346438;0,3255777;
209,000;-0,005613804;0,1094041;0,1637797;0,3478374;0,1090174;0,3229952;0,3424006;0,1136489;0,02906466;0,264246;0,336256;0,23243;0,06975031;0,3155389;-0,209271;0,1836023;0,1023369;0,2674451;0,1569982;-0,3071494;-0,06373692;0,03509903;0,2996907;-0,04865742;0,01197624;0,09174919;-0,1734004;0,2539148;0,274601;-0,2419691;-0,2460346;0,5758691;0,3243003;0,3195057;0,4458008;0,5877748;-0,1061387;-0,104897;0,06439495;0,06311846;0,33145;0,6127858;0,1793427;0,7088981;0,3125868;0,6333165;-0,002248287;0,1428285;0,55165;0,1866646;-0,07961035;0,1841435;-0,02100277;-0,2314334;-0,2317071;-0,1001034;0,05986643;0,08965445;-0,2846837;-0,1246529;0,1758614;0,1773915;0,5135942;0,7193961;0,402956;0,2398381;0,3201389;0,5091043;0,1606874;-0,04101944;0,3750691;0,395925;0,3319802;0,1955662;-0,1679897;0,07851744;-0,09976816;0,3827596;0,01490593;0,1653008;0,2540793;0,1583862;0,2598834;0,05418682;0,4463501;0,6666684;0,2203183;-0,1396623;-0,04007101;0,07645035;0,3472052;
