,d2o 185 By Administrator Date Thursday. December 16 2021,
Time,15:21:53,
Wavenumbers [1/cm],Transmittance %,
6714.000,3.30898,
6713.000,3.31168,
6712.000,3.31619,
6711.000,3.32641,
6710.000,3.34276,
6709.000,3.361,
6708.000,3.37601,
6707.000,3.38522,
6706.000,3.3888,
6705.000,3.38892,
6704.000,3.38885,
6703.000,3.39064,
6702.000,3.39362,
6701.000,3.39627,
6700.000,3.39944,
6699.000,3.40564,
6698.000,3.41528,
6697.000,3.42557,
6696.000,3.4339,
6695.000,3.44114,
6694.000,3.45024,
6693.000,3.46234,
6692.000,3.47558,
6691.000,3.48726,
6690.000,3.49641,
6689.000,3.50422,
6688.000,3.51235,
6687.000,3.52129,
6686.000,3.53041,
6685.000,3.53913,
6684.000,3.54735,
6683.000,3.55513,
6682.000,3.563,
6681.000,3.57243,
6680.000,3.58483,
6679.000,3.59986,
6678.000,3.61581,
6677.000,3.63207,
6676.000,3.64976,
6675.000,3.66922,
6674.000,3.68821,
6673.000,3.70397,
6672.000,3.71619,
6671.000,3.72682,
6670.000,3.73759,
6669.000,3.74931,
6668.000,3.76273,
6667.000,3.77824,
6666.000,3.79485,
6665.000,3.81093,
6664.000,3.82625,
6663.000,3.842,
6662.000,3.85882,
6661.000,3.87579,
6660.000,3.89194,
6659.000,3.90827,
6658.000,3.92708,
6657.000,3.94924,
6656.000,3.97238,
6655.000,3.99258,
6654.000,4.00849,
6653.000,4.0234,
6652.000,4.04183,
6651.000,4.06443,
6650.000,4.0875,
6649.000,4.10794,
6648.000,4.12709,
6647.000,4.14855,
6646.000,4.17344,
6645.000,4.19936,
6644.000,4.22375,
6643.000,4.24697,
6642.000,4.27141,
6641.000,4.29822,
6640.000,4.32536,
6639.000,4.34955,
6638.000,4.37007,
6637.000,4.38973,
6636.000,4.4114,
6635.000,4.43484,
6634.000,4.45799,
6633.000,4.48002,
6632.000,4.5015,
6631.000,4.52275,
6630.000,4.54453,
6629.000,4.56947,
6628.000,4.59975,
6627.000,4.63315,
6626.000,4.66436,
6625.000,4.69086,
6624.000,4.71462,
6623.000,4.73775,
6622.000,4.75989,
6621.000,4.78137,
6620.000,4.8056,
6619.000,4.83574,
6618.000,4.87101,
6617.000,4.90808,
6616.000,4.94412,
6615.000,4.97719,
6614.000,5.00628,
6613.000,5.03344,
6612.000,5.06368,
6611.000,5.1003,
6610.000,5.14137,
6609.000,5.18247,
6608.000,5.22104,
6607.000,5.25678,
6606.000,5.28971,
6605.000,5.32024,
6604.000,5.34979,
6603.000,5.37944,
6602.000,5.40932,
6601.000,5.44079,
6600.000,5.47662,
6599.000,5.51698,
6598.000,5.55763,
6597.000,5.59513,
6596.000,5.63191,
6595.000,5.67272,
6594.000,5.7174,
6593.000,5.76092,
6592.000,5.80018,
6591.000,5.83732,
6590.000,5.87574,
6589.000,5.91568,
6588.000,5.95515,
6587.000,5.99342,
6586.000,6.03254,
6585.000,6.07565,
6584.000,6.12375,
6583.000,6.17413,
6582.000,6.22291,
6581.000,6.26917,
6580.000,6.3147,
6579.000,6.35934,
6578.000,6.39962,
6577.000,6.43423,
6576.000,6.46831,
6575.000,6.50895,
6574.000,6.55765,
6573.000,6.61034,
6572.000,6.66367,
6571.000,6.71794,
6570.000,6.77359,
6569.000,6.82834,
6568.000,6.87957,
6567.000,6.92775,
6566.000,6.97596,
6565.000,7.0264,
6564.000,7.07793,
6563.000,7.12734,
6562.000,7.17321,
6561.000,7.21794,
6560.000,7.26508,
6559.000,7.31499,
6558.000,7.3653,
6557.000,7.41574,
6556.000,7.46959,
6555.000,7.52888,
6554.000,7.59047,
6553.000,7.64953,
6552.000,7.70499,
6551.000,7.7595,
6550.000,7.81503,
6549.000,7.87116,
6548.000,7.92692,
6547.000,7.98206,
6546.000,8.03662,
6545.000,8.09095,
6544.000,8.1463,
6543.000,8.20396,
6542.000,8.26402,
6541.000,8.32568,
6540.000,8.38838,
6539.000,8.45204,
6538.000,8.51664,
6537.000,8.58178,
6536.000,8.64631,
6535.000,8.70874,
6534.000,8.76927,
6533.000,8.83088,
6532.000,8.89614,
6531.000,8.96323,
6530.000,9.02795,
6529.000,9.08979,
6528.000,9.15282,
6527.000,9.21934,
6526.000,9.28622,
6525.000,9.34919,
6524.000,9.40832,
6523.000,9.46684,
6522.000,9.52704,
6521.000,9.58941,
6520.000,9.65403,
6519.000,9.72044,
6518.000,9.7875,
6517.000,9.85453,
6516.000,9.92156,
6515.000,9.9879,
6514.000,10.0525,
6513.000,10.1164,
6512.000,10.1821,
6511.000,10.2497,
6510.000,10.3163,
6509.000,10.3803,
6508.000,10.4435,
6507.000,10.5079,
6506.000,10.573,
6505.000,10.6376,
6504.000,10.702,
6503.000,10.7657,
6502.000,10.8263,
6501.000,10.8834,
6500.000,10.9395,
6499.000,10.9967,
6498.000,11.0545,
6497.000,11.1129,
6496.000,11.1744,
6495.000,11.2405,
6494.000,11.3083,
6493.000,11.3727,
6492.000,11.4308,
6491.000,11.4829,
6490.000,11.5309,
6489.000,11.5771,
6488.000,11.6219,
6487.000,11.6643,
6486.000,11.7046,
6485.000,11.7476,
6484.000,11.7978,
6483.000,11.853,
6482.000,11.9055,
6481.000,11.9517,
6480.000,11.9952,
6479.000,12.0388,
6478.000,12.0807,
6477.000,12.1187,
6476.000,12.1544,
6475.000,12.1896,
6474.000,12.2235,
6473.000,12.256,
6472.000,12.2888,
6471.000,12.3218,
6470.000,12.3515,
6469.000,12.3768,
6468.000,12.4015,
6467.000,12.4271,
6466.000,12.4497,
6465.000,12.4654,
6464.000,12.4769,
6463.000,12.4888,
6462.000,12.5012,
6461.000,12.512,
6460.000,12.5221,
6459.000,12.5325,
6458.000,12.5415,
6457.000,12.5469,
6456.000,12.5503,
6455.000,12.5535,
6454.000,12.5549,
6453.000,12.5522,
6452.000,12.5466,
6451.000,12.5402,
6450.000,12.5323,
6449.000,12.5213,
6448.000,12.5084,
6447.000,12.4959,
6446.000,12.4834,
6445.000,12.469,
6444.000,12.4528,
6443.000,12.4354,
6442.000,12.4163,
6441.000,12.395,
6440.000,12.3717,
6439.000,12.3465,
6438.000,12.3183,
6437.000,12.2889,
6436.000,12.2618,
6435.000,12.2368,
6434.000,12.2094,
6433.000,12.1771,
6432.000,12.1437,
6431.000,12.1128,
6430.000,12.0817,
6429.000,12.0457,
6428.000,12.0055,
6427.000,11.9653,
6426.000,11.927,
6425.000,11.8885,
6424.000,11.848,
6423.000,11.8053,
6422.000,11.7614,
6421.000,11.7184,
6420.000,11.6779,
6419.000,11.638,
6418.000,11.5944,
6417.000,11.5469,
6416.000,11.5005,
6415.000,11.4582,
6414.000,11.4162,
6413.000,11.3696,
6412.000,11.3195,
6411.000,11.2703,
6410.000,11.2239,
6409.000,11.1791,
6408.000,11.1355,
6407.000,11.0921,
6406.000,11.0463,
6405.000,10.9961,
6404.000,10.9435,
6403.000,10.891,
6402.000,10.8383,
6401.000,10.7842,
6400.000,10.7303,
6399.000,10.679,
6398.000,10.6299,
6397.000,10.5808,
6396.000,10.5314,
6395.000,10.483,
6394.000,10.4352,
6393.000,10.3862,
6392.000,10.3354,
6391.000,10.2843,
6390.000,10.2334,
6389.000,10.1832,
6388.000,10.1342,
6387.000,10.0872,
6386.000,10.0415,
6385.000,9.99564,
6384.000,9.94869,
6383.000,9.8997,
6382.000,9.8486,
6381.000,9.7975,
6380.000,9.74921,
