Created as New Dataset,Sample 175 By Administrator Date Friday, November 26 2021
cm-1,A
7000.00,0.8150
6999.00,0.8109
6998.00,0.8069
6997.00,0.8031
6996.00,0.7993
6995.00,0.7957
6994.00,0.7921
6993.00,0.7884
6992.00,0.7848
6991.00,0.7812
6990.00,0.7776
6989.00,0.7741
6988.00,0.7707
6987.00,0.7674
6986.00,0.7642
6985.00,0.7609
6984.00,0.7578
6983.00,0.7548
6982.00,0.7520
6981.00,0.7491
6980.00,0.7461
6979.00,0.7433
6978.00,0.7407
6977.00,0.7383
6976.00,0.7360
6975.00,0.7337
6974.00,0.7314
6973.00,0.7292
6972.00,0.7272
6971.00,0.7252
6970.00,0.7233
6969.00,0.7214
6968.00,0.7197
6967.00,0.7182
6966.00,0.7167
6965.00,0.7154
6964.00,0.7140
6963.00,0.7127
6962.00,0.7116
6961.00,0.7106
6960.00,0.7098
6959.00,0.7089
6958.00,0.7082
6957.00,0.7075
6956.00,0.7070
6955.00,0.7067
6954.00,0.7065
6953.00,0.7064
6952.00,0.7064
6951.00,0.7066
6950.00,0.7068
6949.00,0.7070
6948.00,0.7073
6947.00,0.7076
6946.00,0.7081
6945.00,0.7088
6944.00,0.7096
6943.00,0.7106
6942.00,0.7116
6941.00,0.7128
6940.00,0.7141
6939.00,0.7156
6938.00,0.7171
6937.00,0.7187
6936.00,0.7204
6935.00,0.7220
6934.00,0.7236
6933.00,0.7255
6932.00,0.7275
6931.00,0.7296
6930.00,0.7318
6929.00,0.7343
6928.00,0.7368
6927.00,0.7394
6926.00,0.7420
6925.00,0.7447
6924.00,0.7475
6923.00,0.7503
6922.00,0.7530
6921.00,0.7559
6920.00,0.7590
6919.00,0.7623
6918.00,0.7656
6917.00,0.7688
6916.00,0.7722
6915.00,0.7758
6914.00,0.7794
6913.00,0.7829
6912.00,0.7863
6911.00,0.7897
6910.00,0.7934
6909.00,0.7972
6908.00,0.8012
6907.00,0.8052
6906.00,0.8093
6905.00,0.8134
6904.00,0.8175
6903.00,0.8217
6902.00,0.8259
6901.00,0.8301
6900.00,0.8343
6899.00,0.8386
6898.00,0.8430
6897.00,0.8476
6896.00,0.8520
6895.00,0.8564
6894.00,0.8609
6893.00,0.8656
6892.00,0.8706
6891.00,0.8755
6890.00,0.8803
6889.00,0.8849
6888.00,0.8894
6887.00,0.8940
6886.00,0.8985
6885.00,0.9029
6884.00,0.9074
6883.00,0.9120
6882.00,0.9169
6881.00,0.9220
6880.00,0.9271
6879.00,0.9320
6878.00,0.9366
6877.00,0.9411
6876.00,0.9455
6875.00,0.9500
6874.00,0.9544
6873.00,0.9589
6872.00,0.9634
6871.00,0.9681
6870.00,0.9728
6869.00,0.9776
6868.00,0.9823
6867.00,0.9870
6866.00,0.9916
6865.00,0.9960
6864.00,1.0004
6863.00,1.0048
6862.00,1.0092
6861.00,1.0136
6860.00,1.0178
6859.00,1.0221
6858.00,1.0264
6857.00,1.0308
6856.00,1.0352
6855.00,1.0396
6854.00,1.0438
6853.00,1.0479
6852.00,1.0520
6851.00,1.0561
6850.00,1.0601
6849.00,1.0640
6848.00,1.0679
6847.00,1.0717
6846.00,1.0756
6845.00,1.0795
6844.00,1.0835
6843.00,1.0874
6842.00,1.0914
6841.00,1.0954
6840.00,1.0991
6839.00,1.1026
6838.00,1.1059
6837.00,1.1093
6836.00,1.1126
6835.00,1.1159
6834.00,1.1193
6833.00,1.1227
6832.00,1.1261
6831.00,1.1294
6830.00,1.1324
6829.00,1.1353
6828.00,1.1381
6827.00,1.1409
6826.00,1.1438
6825.00,1.1468
6824.00,1.1498
6823.00,1.1527
6822.00,1.1556
6821.00,1.1584
6820.00,1.1614
6819.00,1.1644
6818.00,1.1673
6817.00,1.1699
6816.00,1.1722
6815.00,1.1744
6814.00,1.1768
6813.00,1.1792
6812.00,1.1814
6811.00,1.1833
6810.00,1.1852
6809.00,1.1873
6808.00,1.1894
6807.00,1.1912
6806.00,1.1927
6805.00,1.1942
6804.00,1.1959
6803.00,1.1979
6802.00,1.2000
6801.00,1.2019
6800.00,1.2036
6799.00,1.2052
6798.00,1.2068
6797.00,1.2084
6796.00,1.2097
6795.00,1.2104
6794.00,1.2108
6793.00,1.2111
6792.00,1.2116
6791.00,1.2126
6790.00,1.2138
6789.00,1.2151
6788.00,1.2166
6787.00,1.2179
6786.00,1.2188
6785.00,1.2193
6784.00,1.2196
6783.00,1.2200
6782.00,1.2205
6781.00,1.2212
6780.00,1.2218
6779.00,1.2225
6778.00,1.2234
6777.00,1.2243
6776.00,1.2249
6775.00,1.2251
6774.00,1.2252
6773.00,1.2253
6772.00,1.2255
6771.00,1.2256
6770.00,1.2256
6769.00,1.2256
6768.00,1.2258
6767.00,1.2260
6766.00,1.2261
6765.00,1.2260
6764.00,1.2254
6763.00,1.2246
6762.00,1.2240
6761.00,1.2236
6760.00,1.2232
6759.00,1.2227
6758.00,1.2221
6757.00,1.2215
6756.00,1.2208
6755.00,1.2198
6754.00,1.2186
6753.00,1.2172
6752.00,1.2159
6751.00,1.2148
6750.00,1.2139
6749.00,1.2129
6748.00,1.2118
6747.00,1.2107
6746.00,1.2096
6745.00,1.2085
6744.00,1.2073
6743.00,1.2058
6742.00,1.2042
6741.00,1.2027
6740.00,1.2013
6739.00,1.2001
6738.00,1.1987
6737.00,1.1973
6736.00,1.1957
6735.00,1.1940
6734.00,1.1921
6733.00,1.1900
6732.00,1.1876
6731.00,1.1851
6730.00,1.1828
6729.00,1.1805
6728.00,1.1782
6727.00,1.1758
6726.00,1.1734
6725.00,1.1713
6724.00,1.1693
6723.00,1.1670
6722.00,1.1643
6721.00,1.1614
6720.00,1.1585
6719.00,1.1558
6718.00,1.1532
6717.00,1.1507
6716.00,1.1482
6715.00,1.1455
6714.00,1.1424
6713.00,1.1389
6712.00,1.1352
6711.00,1.1314
6710.00,1.1277
6709.00,1.1242
6708.00,1.1211
6707.00,1.1185
6706.00,1.1160
6705.00,1.1133
6704.00,1.1101
6703.00,1.1064
6702.00,1.1026
6701.00,1.0988
6700.00,1.0950
6699.00,1.0911
6698.00,1.0872
6697.00,1.0835
6696.00,1.0800
6695.00,1.0764
6694.00,1.0724
6693.00,1.0683
6692.00,1.0641
6691.00,1.0600
6690.00,1.0561
6689.00,1.0522
6688.00,1.0481
6687.00,1.0437
6686.00,1.0393
6685.00,1.0347
6684.00,1.0301
6683.00,1.0254
6682.00,1.0209
6681.00,1.0165
6680.00,1.0123
6679.00,1.0079
6678.00,1.0034
6677.00,0.9988
6676.00,0.9941
6675.00,0.9894
6674.00,0.9846
6673.00,0.9799
6672.00,0.9753
6671.00,0.9708
6670.00,0.9661
6669.00,0.9613
6668.00,0.9565
6667.00,0.9518
6666.00,0.9472
6665.00,0.9426
6664.00,0.9380
6663.00,0.9333
6662.00,0.9287
6661.00,0.9242
6660.00,0.9195
6659.00,0.9147
6658.00,0.9099
6657.00,0.9051
6656.00,0.9004
6655.00,0.8957
6654.00,0.8909
6653.00,0.8862
6652.00,0.8815
6651.00,0.8769
6650.00,0.8723
6649.00,0.8678
6648.00,0.8633
6647.00,0.8588
6646.00,0.8543
6645.00,0.8500
6644.00,0.8458
6643.00,0.8417
6642.00,0.8375
6641.00,0.8334
6640.00,0.8293
6639.00,0.8252
6638.00,0.8211
6637.00,0.8169
6636.00,0.8128
6635.00,0.8089
6634.00,0.8050
6633.00,0.8013
6632.00,0.7976
6631.00,0.7941
6630.00,0.7907
6629.00,0.7874
6628.00,0.7841
6627.00,0.7809
6626.00,0.7779
6625.00,0.7750
6624.00,0.7720
6623.00,0.7689
6622.00,0.7659
6621.00,0.7631
6620.00,0.7606
6619.00,0.7580
6618.00,0.7556
6617.00,0.7533
6616.00,0.7512
6615.00,0.7491
6614.00,0.7470
6613.00,0.7451
6612.00,0.7433
6611.00,0.7418
6610.00,0.7404
6609.00,0.7392
6608.00,0.7381
6607.00,0.7371
6606.00,0.7361
6605.00,0.7352
6604.00,0.7344
6603.00,0.7337
6602.00,0.7331
6601.00,0.7327
6600.00,0.7325
6599.00,0.7324
6598.00,0.7326
6597.00,0.7329
6596.00,0.7333
6595.00,0.7337
6594.00,0.7341
6593.00,0.7347
6592.00,0.7354
6591.00,0.7362
6590.00,0.7371
6589.00,0.7382
6588.00,0.7395
6587.00,0.7409
6586.00,0.7425
6585.00,0.7442
6584.00,0.7461
6583.00,0.7481
6582.00,0.7501
6581.00,0.7523
6580.00,0.7545
6579.00,0.7569
6578.00,0.7594
6577.00,0.7620
6576.00,0.7647
6575.00,0.7675
6574.00,0.7705
6573.00,0.7738
6572.00,0.7770
6571.00,0.7803
6570.00,0.7836
6569.00,0.7870
6568.00,0.7905
6567.00,0.7939
6566.00,0.7974
6565.00,0.8010
6564.00,0.8048
6563.00,0.8087
6562.00,0.8127
6561.00,0.8168
6560.00,0.8210
6559.00,0.8252
6558.00,0.8295
6557.00,0.8339
6556.00,0.8383
6555.00,0.8427
6554.00,0.8471
6553.00,0.8514
6552.00,0.8558
6551.00,0.8602
6550.00,0.8648
6549.00,0.8696
6548.00,0.8745
6547.00,0.8794
6546.00,0.8843
6545.00,0.8890
6544.00,0.8938
6543.00,0.8986
6542.00,0.9034
6541.00,0.9083
6540.00,0.9132
6539.00,0.9182
6538.00,0.9233
6537.00,0.9283
6536.00,0.9332
6535.00,0.9379
6534.00,0.9427
6533.00,0.9476
6532.00,0.9524
6531.00,0.9573
6530.00,0.9621
6529.00,0.9670
6528.00,0.9718
6527.00,0.9766
6526.00,0.9815
6525.00,0.9864
6524.00,0.9913
6523.00,0.9962
6522.00,1.0013
6521.00,1.0064
6520.00,1.0115
6519.00,1.0163
6518.00,1.0208
6517.00,1.0254
6516.00,1.0300
6515.00,1.0345
6514.00,1.0388
6513.00,1.0432
6512.00,1.0477
6511.00,1.0523
6510.00,1.0568
6509.00,1.0612
6508.00,1.0655
6507.00,1.0697
6506.00,1.0738
6505.00,1.0780
6504.00,1.0823
6503.00,1.0866
6502.00,1.0907
6501.00,1.0947
6500.00,1.0985
6499.00,1.1024
6498.00,1.1064
6497.00,1.1104
6496.00,1.1143
6495.00,1.1182
6494.00,1.1222
6493.00,1.1262
6492.00,1.1298
6491.00,1.1330
6490.00,1.1363
6489.00,1.1399
6488.00,1.1436
6487.00,1.1470
6486.00,1.1499
6485.00,1.1527
6484.00,1.1556
6483.00,1.1585
6482.00,1.1614
6481.00,1.1640
6480.00,1.1667
6479.00,1.1697
6478.00,1.1729
6477.00,1.1761
6476.00,1.1791
6475.00,1.1819
6474.00,1.1847
6473.00,1.1873
6472.00,1.1898
6471.00,1.1919
6470.00,1.1938
6469.00,1.1957
6468.00,1.1980
6467.00,1.2004
6466.00,1.2029
6465.00,1.2054
6464.00,1.2078
6463.00,1.2100
6462.00,1.2119
6461.00,1.2136
6460.00,1.2152
6459.00,1.2169
6458.00,1.2187
6457.00,1.2203
6456.00,1.2218
6455.00,1.2232
6454.00,1.2246
6453.00,1.2258
6452.00,1.2271
6451.00,1.2285
6450.00,1.2302
6449.00,1.2320
6448.00,1.2337
6447.00,1.2349
6446.00,1.2357
6445.00,1.2363
6444.00,1.2368
6443.00,1.2373
6442.00,1.2377
6441.00,1.2381
6440.00,1.2387
6439.00,1.2396
6438.00,1.2407
6437.00,1.2418
6436.00,1.2426
6435.00,1.2433
6434.00,1.2438
6433.00,1.2441
6432.00,1.2440
6431.00,1.2437
6430.00,1.2435
6429.00,1.2436
6428.00,1.2440
6427.00,1.2444
6426.00,1.2445
6425.00,1.2442
6424.00,1.2437
6423.00,1.2431
6422.00,1.2426
6421.00,1.2422
6420.00,1.2417
6419.00,1.2412
6418.00,1.2408
6417.00,1.2403
6416.00,1.2395
6415.00,1.2385
6414.00,1.2374
6413.00,1.2363
6412.00,1.2353
6411.00,1.2344
6410.00,1.2335
6409.00,1.2328
6408.00,1.2318
6407.00,1.2307
6406.00,1.2294
6405.00,1.2282
6404.00,1.2270
6403.00,1.2257
6402.00,1.2243
6401.00,1.2230
6400.00,1.2215
6399.00,1.2197
6398.00,1.2176
6397.00,1.2154
6396.00,1.2133
6395.00,1.2113
6394.00,1.2094
6393.00,1.2077
6392.00,1.2060
6391.00,1.2039
6390.00,1.2015
6389.00,1.1987
6388.00,1.1959
6387.00,1.1932
6386.00,1.1906
6385.00,1.1881
6384.00,1.1857
6383.00,1.1833
6382.00,1.1810
6381.00,1.1783
6380.00,1.1751
6379.00,1.1719
6378.00,1.1690
6377.00,1.1665
6376.00,1.1639
6375.00,1.1611
6374.00,1.1583
6373.00,1.1553
6372.00,1.1521
6371.00,1.1486
6370.00,1.1449
6369.00,1.1410
6368.00,1.1372
6367.00,1.1337
6366.00,1.1304
6365.00,1.1273
6364.00,1.1241
6363.00,1.1206
6362.00,1.1169
6361.00,1.1130
6360.00,1.1089
6359.00,1.1046
6358.00,1.1003
6357.00,1.0963
6356.00,1.0924
6355.00,1.0885
6354.00,1.0845
6353.00,1.0804
6352.00,1.0761
6351.00,1.0716
6350.00,1.0670
6349.00,1.0625
6348.00,1.0583
6347.00,1.0540
6346.00,1.0496
6345.00,1.0451
6344.00,1.0407
6343.00,1.0363
6342.00,1.0318
6341.00,1.0271
6340.00,1.0223
6339.00,1.0175
6338.00,1.0127
6337.00,1.0080
6336.00,1.0032
6335.00,0.9984
6334.00,0.9934
6333.00,0.9885
6332.00,0.9836
6331.00,0.9787
