Created as New Dataset,Sample 180 By Administrator Date Friday, November 26 2021
cm-1,A
7000.00,1.0878
6999.00,1.0903
6998.00,1.0927
6997.00,1.0951
6996.00,1.0974
6995.00,1.0997
6994.00,1.1019
6993.00,1.1041
6992.00,1.1064
6991.00,1.1090
6990.00,1.1117
6989.00,1.1145
6988.00,1.1173
6987.00,1.1199
6986.00,1.1224
6985.00,1.1248
6984.00,1.1273
6983.00,1.1298
6982.00,1.1325
6981.00,1.1351
6980.00,1.1374
6979.00,1.1394
6978.00,1.1412
6977.00,1.1428
6976.00,1.1442
6975.00,1.1453
6974.00,1.1463
6973.00,1.1475
6972.00,1.1490
6971.00,1.1507
6970.00,1.1524
6969.00,1.1542
6968.00,1.1559
6967.00,1.1575
6966.00,1.1590
6965.00,1.1605
6964.00,1.1619
6963.00,1.1629
6962.00,1.1639
6961.00,1.1650
6960.00,1.1663
6959.00,1.1677
6958.00,1.1690
6957.00,1.1699
6956.00,1.1708
6955.00,1.1714
6954.00,1.1717
6953.00,1.1717
6952.00,1.1714
6951.00,1.1713
6950.00,1.1716
6949.00,1.1722
6948.00,1.1731
6947.00,1.1740
6946.00,1.1747
6945.00,1.1753
6944.00,1.1758
6943.00,1.1762
6942.00,1.1766
6941.00,1.1767
6940.00,1.1765
6939.00,1.1760
6938.00,1.1755
6937.00,1.1752
6936.00,1.1752
6935.00,1.1750
6934.00,1.1744
6933.00,1.1737
6932.00,1.1733
6931.00,1.1733
6930.00,1.1734
6929.00,1.1733
6928.00,1.1732
6927.00,1.1729
6926.00,1.1726
6925.00,1.1720
6924.00,1.1710
6923.00,1.1698
6922.00,1.1685
6921.00,1.1671
6920.00,1.1660
6919.00,1.1652
6918.00,1.1647
6917.00,1.1642
6916.00,1.1634
6915.00,1.1621
6914.00,1.1606
6913.00,1.1591
6912.00,1.1574
6911.00,1.1555
6910.00,1.1536
6909.00,1.1518
6908.00,1.1502
6907.00,1.1486
6906.00,1.1471
6905.00,1.1454
6904.00,1.1436
6903.00,1.1418
6902.00,1.1401
6901.00,1.1387
6900.00,1.1374
6899.00,1.1356
6898.00,1.1336
6897.00,1.1316
6896.00,1.1298
6895.00,1.1278
6894.00,1.1256
6893.00,1.1233
6892.00,1.1210
6891.00,1.1186
6890.00,1.1157
6889.00,1.1126
6888.00,1.1096
6887.00,1.1070
6886.00,1.1048
6885.00,1.1028
6884.00,1.1007
6883.00,1.0985
6882.00,1.0959
6881.00,1.0931
6880.00,1.0901
6879.00,1.0869
6878.00,1.0836
6877.00,1.0807
6876.00,1.0783
6875.00,1.0761
6874.00,1.0739
6873.00,1.0711
6872.00,1.0678
6871.00,1.0642
6870.00,1.0606
6869.00,1.0572
6868.00,1.0539
6867.00,1.0506
6866.00,1.0475
6865.00,1.0448
6864.00,1.0423
6863.00,1.0397
6862.00,1.0368
6861.00,1.0335
6860.00,1.0300
6859.00,1.0265
6858.00,1.0231
6857.00,1.0198
6856.00,1.0163
6855.00,1.0128
6854.00,1.0095
6853.00,1.0065
6852.00,1.0034
6851.00,1.0001
6850.00,0.9968
6849.00,0.9936
6848.00,0.9906
6847.00,0.9874
6846.00,0.9842
6845.00,0.9810
6844.00,0.9778
6843.00,0.9745
6842.00,0.9710
6841.00,0.9678
6840.00,0.9647
6839.00,0.9617
6838.00,0.9586
6837.00,0.9553
6836.00,0.9521
6835.00,0.9489
6834.00,0.9456
6833.00,0.9421
6832.00,0.9387
6831.00,0.9354
6830.00,0.9324
6829.00,0.9297
6828.00,0.9270
6827.00,0.9244
6826.00,0.9216
6825.00,0.9187
6824.00,0.9158
6823.00,0.9129
6822.00,0.9100
6821.00,0.9068
6820.00,0.9037
6819.00,0.9005
6818.00,0.8975
6817.00,0.8944
6816.00,0.8911
6815.00,0.8877
6814.00,0.8844
6813.00,0.8815
6812.00,0.8788
6811.00,0.8761
6810.00,0.8733
6809.00,0.8706
6808.00,0.8678
6807.00,0.8649
