Created as New Dataset,Sample 164 By Administrator Date Friday, November 26 2021
cm-1,A
7000.00,1.1821
6999.00,1.1843
6998.00,1.1864
6997.00,1.1884
6996.00,1.1901
6995.00,1.1918
6994.00,1.1936
6993.00,1.1956
6992.00,1.1977
6991.00,1.1999
6990.00,1.2017
6989.00,1.2029
6988.00,1.2038
6987.00,1.2046
6986.00,1.2056
6985.00,1.2067
6984.00,1.2079
6983.00,1.2091
6982.00,1.2104
6981.00,1.2119
6980.00,1.2134
6979.00,1.2147
6978.00,1.2156
6977.00,1.2162
6976.00,1.2166
6975.00,1.2173
6974.00,1.2182
6973.00,1.2190
6972.00,1.2193
6971.00,1.2195
6970.00,1.2203
6969.00,1.2216
6968.00,1.2226
6967.00,1.2229
6966.00,1.2226
6965.00,1.2224
6964.00,1.2225
6963.00,1.2226
6962.00,1.2226
6961.00,1.2226
6960.00,1.2228
6959.00,1.2229
6958.00,1.2231
6957.00,1.2235
6956.00,1.2238
6955.00,1.2236
6954.00,1.2229
6953.00,1.2222
6952.00,1.2216
6951.00,1.2208
6950.00,1.2199
6949.00,1.2191
6948.00,1.2187
6947.00,1.2184
6946.00,1.2177
6945.00,1.2167
6944.00,1.2157
6943.00,1.2147
6942.00,1.2136
6941.00,1.2122
6940.00,1.2109
6939.00,1.2100
6938.00,1.2093
6937.00,1.2087
6936.00,1.2077
6935.00,1.2064
6934.00,1.2049
6933.00,1.2033
6932.00,1.2017
6931.00,1.1998
6930.00,1.1980
6929.00,1.1964
6928.00,1.1953
6927.00,1.1944
6926.00,1.1934
6925.00,1.1919
6924.00,1.1902
6923.00,1.1882
6922.00,1.1862
6921.00,1.1842
6920.00,1.1821
6919.00,1.1801
6918.00,1.1783
6917.00,1.1764
6916.00,1.1742
6915.00,1.1715
6914.00,1.1688
6913.00,1.1661
6912.00,1.1637
6911.00,1.1614
6910.00,1.1591
6909.00,1.1568
6908.00,1.1544
6907.00,1.1518
6906.00,1.1488
6905.00,1.1455
6904.00,1.1423
6903.00,1.1391
6902.00,1.1361
6901.00,1.1331
6900.00,1.1302
6899.00,1.1272
6898.00,1.1243
6897.00,1.1212
6896.00,1.1180
6895.00,1.1145
6894.00,1.1108
6893.00,1.1069
6892.00,1.1031
6891.00,1.0994
6890.00,1.0959
6889.00,1.0924
6888.00,1.0888
6887.00,1.0852
6886.00,1.0816
6885.00,1.0780
6884.00,1.0745
6883.00,1.0708
6882.00,1.0671
6881.00,1.0636
6880.00,1.0601
6879.00,1.0562
6878.00,1.0520
6877.00,1.0478
6876.00,1.0437
6875.00,1.0395
6874.00,1.0351
6873.00,1.0306
6872.00,1.0264
6871.00,1.0223
6870.00,1.0180
6869.00,1.0135
6868.00,1.0090
6867.00,1.0048
6866.00,1.0008
6865.00,0.9966
6864.00,0.9922
6863.00,0.9877
6862.00,0.9832
6861.00,0.9788
6860.00,0.9742
6859.00,0.9694
6858.00,0.9647
6857.00,0.9600
6856.00,0.9552
6855.00,0.9504
6854.00,0.9456
6853.00,0.9408
6852.00,0.9361
6851.00,0.9315
6850.00,0.9268
6849.00,0.9222
6848.00,0.9174
6847.00,0.9125
6846.00,0.9077
6845.00,0.9029
6844.00,0.8982
6843.00,0.8935
6842.00,0.8888
6841.00,0.8842
6840.00,0.8798
6839.00,0.8754
6838.00,0.8708
6837.00,0.8661
6836.00,0.8615
6835.00,0.8570
6834.00,0.8528
6833.00,0.8485
6832.00,0.8443
6831.00,0.8401
6830.00,0.8360
6829.00,0.8322
6828.00,0.8284
6827.00,0.8247
6826.00,0.8209
6825.00,0.8171
6824.00,0.8133
6823.00,0.8096
6822.00,0.8059
6821.00,0.8022
6820.00,0.7984
6819.00,0.7948
6818.00,0.7913
6817.00,0.7880
6816.00,0.7849
6815.00,0.7818
6814.00,0.7788
6813.00,0.7760
6812.00,0.7733
6811.00,0.7707
6810.00,0.7683
6809.00,0.7660
6808.00,0.7637
6807.00,0.7614
6806.00,0.7592
6805.00,0.7571
6804.00,0.7552
6803.00,0.7534
6802.00,0.7517
6801.00,0.7502
6800.00,0.7488
6799.00,0.7476
6798.00,0.7466
6797.00,0.7458
6796.00,0.7449
6795.00,0.7439
6794.00,0.7431
6793.00,0.7426
6792.00,0.7423
6791.00,0.7421
6790.00,0.7420
6789.00,0.7420
6788.00,0.7421
6787.00,0.7422
6786.00,0.7424
6785.00,0.7425
6784.00,0.7428
6783.00,0.7433
6782.00,0.7441
6781.00,0.7452
6780.00,0.7465
6779.00,0.7478
6778.00,0.7492
6777.00,0.7506
6776.00,0.7521
6775.00,0.7538
6774.00,0.7555
6773.00,0.7572
6772.00,0.7589
6771.00,0.7607
6770.00,0.7627
6769.00,0.7649
6768.00,0.7673
6767.00,0.7698
6766.00,0.7724
6765.00,0.7753
6764.00,0.7782
6763.00,0.7810
6762.00,0.7836
6761.00,0.7862
6760.00,0.7889
6759.00,0.7917
6758.00,0.7947
6757.00,0.7979
6756.00,0.8012
6755.00,0.8045
6754.00,0.8079
6753.00,0.8114
6752.00,0.8150
6751.00,0.8186
6750.00,0.8222
6749.00,0.8258
6748.00,0.8294
6747.00,0.8329
6746.00,0.8365
6745.00,0.8402
6744.00,0.8441
6743.00,0.8482
6742.00,0.8523
6741.00,0.8566
6740.00,0.8609
6739.00,0.8652
6738.00,0.8694
6737.00,0.8735
6736.00,0.8776
6735.00,0.8819
6734.00,0.8862
6733.00,0.8906
6732.00,0.8949
6731.00,0.8991
6730.00,0.9034
6729.00,0.9077
6728.00,0.9121
6727.00,0.9166
6726.00,0.9210
6725.00,0.9255
6724.00,0.9299
6723.00,0.9343
6722.00,0.9387
6721.00,0.9433
6720.00,0.9480
6719.00,0.9527
6718.00,0.9574
6717.00,0.9620
6716.00,0.9666
6715.00,0.9709
6714.00,0.9751
6713.00,0.9793
6712.00,0.9836
6711.00,0.9880
6710.00,0.9924
6709.00,0.9969
6708.00,1.0013
6707.00,1.0054
6706.00,1.0095
6705.00,1.0137
6704.00,1.0181
6703.00,1.0225
6702.00,1.0268
6701.00,1.0311
6700.00,1.0355
6699.00,1.0399
6698.00,1.0440
6697.00,1.0479
6696.00,1.0518
6695.00,1.0557
6694.00,1.0597
6693.00,1.0637
6692.00,1.0678
6691.00,1.0719
6690.00,1.0760
6689.00,1.0801
6688.00,1.0841
6687.00,1.0881
6686.00,1.0921
6685.00,1.0958
6684.00,1.0994
6683.00,1.1029
6682.00,1.1064
6681.00,1.1098
6680.00,1.1131
6679.00,1.1163
6678.00,1.1195
6677.00,1.1228
6676.00,1.1263
6675.00,1.1298
6674.00,1.1334
6673.00,1.1370
6672.00,1.1405
6671.00,1.1438
6670.00,1.1471
6669.00,1.1501
6668.00,1.1530
6667.00,1.1557
6666.00,1.1583
6665.00,1.1608
6664.00,1.1633
6663.00,1.1658
6662.00,1.1684
6661.00,1.1711
6660.00,1.1738
6659.00,1.1766
6658.00,1.1795
6657.00,1.1824
6656.00,1.1852
6655.00,1.1877
6654.00,1.1900
6653.00,1.1922
6652.00,1.1945
6651.00,1.1967
6650.00,1.1987
6649.00,1.2006
6648.00,1.2025
6647.00,1.2044
6646.00,1.2062
6645.00,1.2079
6644.00,1.2097
6643.00,1.2115
6642.00,1.2134
6641.00,1.2154
6640.00,1.2173
6639.00,1.2192
6638.00,1.2208
6637.00,1.2221
6636.00,1.2235
6635.00,1.2249
