,d2o 181 By Administrator Date Thursday. December 16 2021,
Time,14:12:07,
Wavenumbers [1/cm],Transmittance %,
6715.000,4.55187,
6714.000,4.57655,
6713.000,4.60262,
6712.000,4.62839,
6711.000,4.65206,
6710.000,4.67273,
6709.000,4.69242,
6708.000,4.71576,
6707.000,4.74476,
6706.000,4.77512,
6705.000,4.80149,
6704.000,4.82545,
6703.000,4.85358,
6702.000,4.88775,
6701.000,4.92236,
6700.000,4.95246,
6699.000,4.97987,
6698.000,5.00855,
6697.000,5.03864,
6696.000,5.06647,
6695.000,5.09075,
6694.000,5.11383,
6693.000,5.1386,
6692.000,5.16685,
6691.000,5.19896,
6690.000,5.23411,
6689.000,5.27059,
6688.000,5.3069,
6687.000,5.34207,
6686.000,5.37526,
6685.000,5.40642,
6684.000,5.43735,
6683.000,5.4703,
6682.000,5.50528,
6681.000,5.54042,
6680.000,5.57489,
6679.000,5.60946,
6678.000,5.64397,
6677.000,5.67703,
6676.000,5.70894,
6675.000,5.74259,
6674.000,5.77984,
6673.000,5.81898,
6672.000,5.85731,
6671.000,5.89495,
6670.000,5.93411,
6669.000,5.97553,
6668.000,6.01763,
6667.000,6.05936,
6666.000,6.10244,
6665.000,6.14946,
6664.000,6.19996,
6663.000,6.2496,
6662.000,6.29435,
6661.000,6.33483,
6660.000,6.37527,
6659.000,6.41801,
6658.000,6.46129,
6657.000,6.50326,
6656.000,6.54551,
6655.000,6.59071,
6654.000,6.63829,
6653.000,6.68534,
6652.000,6.73046,
6651.000,6.77436,
6650.000,6.81742,
6649.000,6.85968,
6648.000,6.9026,
6647.000,6.94829,
6646.000,6.99706,
6645.000,7.04767,
6644.000,7.09963,
6643.000,7.15266,
6642.000,7.20482,
6641.000,7.25446,
6640.000,7.30372,
6639.000,7.35672,
6638.000,7.41391,
6637.000,7.47131,
6636.000,7.5262,
6635.000,7.58049,
6634.000,7.6366,
6633.000,7.69258,
6632.000,7.74395,
6631.000,7.78937,
6630.000,7.83277,
6629.000,7.8797,
6628.000,7.93235,
6627.000,7.98868,
6626.000,8.04613,
6625.000,8.10565,
6624.000,8.17048,
6623.000,8.24055,
6622.000,8.31005,
6621.000,8.37282,
6620.000,8.42874,
6619.000,8.48269,
6618.000,8.53802,
6617.000,8.59414,
6616.000,8.65026,
6615.000,8.70807,
6614.000,8.76974,
6613.000,8.83541,
6612.000,8.9036,
6611.000,8.97275,
6610.000,9.04138,
6609.000,9.1079,
6608.000,9.17124,
6607.000,9.23124,
6606.000,9.28832,
6605.000,9.34365,
6604.000,9.39946,
6603.000,9.45837,
6602.000,9.52184,
6601.000,9.58946,
6600.000,9.65911,
6599.000,9.72745,
6598.000,9.79167,
6597.000,9.85182,
6596.000,9.91101,
6595.000,9.97216,
6594.000,10.0352,
6593.000,10.0981,
6592.000,10.1603,
6591.000,10.2229,
6590.000,10.2867,
6589.000,10.3505,
6588.000,10.4123,
6587.000,10.4711,
6586.000,10.5284,
6585.000,10.587,
6584.000,10.6482,
6583.000,10.7103,
6582.000,10.7714,
6581.000,10.8323,
6580.000,10.8947,
6579.000,10.9573,
6578.000,11.0167,
6577.000,11.0719,
6576.000,11.126,
6575.000,11.182,
6574.000,11.2393,
6573.000,11.2975,
6572.000,11.3576,
6571.000,11.4195,
6570.000,11.4799,
6569.000,11.5351,
6568.000,11.5847,
6567.000,11.6307,
6566.000,11.6749,
6565.000,11.7189,
6564.000,11.7646,
6563.000,11.812,
6562.000,11.8593,
6561.000,11.9043,
6560.000,11.9478,
6559.000,11.9904,
6558.000,12.031,
6557.000,12.0682,
6556.000,12.1024,
6555.000,12.1355,
6554.000,12.1685,
6553.000,12.2019,
6552.000,12.2358,
6551.000,12.2698,
6550.000,12.3031,
6549.000,12.3357,
6548.000,12.3681,
6547.000,12.3984,
6546.000,12.4235,
6545.000,12.4432,
6544.000,12.4605,
6543.000,12.4775,
6542.000,12.4942,
6541.000,12.5108,
6540.000,12.5281,
6539.000,12.5444,
6538.000,12.5561,
6537.000,12.563,
6536.000,12.5684,
6535.000,12.5737,
6534.000,12.5761,
6533.000,12.5744,
6532.000,12.5719,
6531.000,12.5713,
6530.000,12.5709,
6529.000,12.5683,
6528.000,12.5646,
6527.000,12.5616,
6526.000,12.5581,
6525.000,12.5509,
6524.000,12.5397,
6523.000,12.5254,
6522.000,12.5088,
6521.000,12.4908,
6520.000,12.4729,
6519.000,12.4554,
6518.000,12.4359,
6517.000,12.4134,
6516.000,12.3892,
6515.000,12.3632,
6514.000,12.333,
6513.000,12.2988,
6512.000,12.2649,
6511.000,12.2342,
6510.000,12.2039,
6509.000,12.1703,
6508.000,12.1344,
6507.000,12.0994,
6506.000,12.0652,
6505.000,12.0299,
6504.000,11.9938,
6503.000,11.9592,
6502.000,11.9261,
6501.000,11.8922,
6500.000,11.8568,
6499.000,11.8208,
6498.000,11.7849,
6497.000,11.7486,
6496.000,11.7111,
6495.000,11.6718,
6494.000,11.6299,
6493.000,11.5848,
6492.000,11.5367,
6491.000,11.4858,
6490.000,11.4332,
6489.000,11.3814,
6488.000,11.3329,
6487.000,11.2878,
6486.000,11.2434,
6485.000,11.1984,
6484.000,11.1536,
6483.000,11.1091,
6482.000,11.0631,
6481.000,11.0153,
6480.000,10.9675,
6479.000,10.9205,
6478.000,10.8726,
6477.000,10.8228,
6476.000,10.7723,
6475.000,10.7217,
6474.000,10.6697,
6473.000,10.6163,
6472.000,10.5654,
6471.000,10.52,
6470.000,10.4792,
6469.000,10.4397,
6468.000,10.3996,
6467.000,10.3576,
6466.000,10.3124,
6465.000,10.264,
6464.000,10.2141,
6463.000,10.1637,
6462.000,10.1118,
6461.000,10.0593,
6460.000,10.0094,
6459.000,9.9632,
6458.000,9.91726,
6457.000,9.86768,
6456.000,9.81552,
6455.000,9.76477,
