Wavelength [nm], Absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, 
200.000, 1.331942, 1.333889, 1.314717, 1.345613, 1.35778, 1.369724, 1.408472, 1.48567, 1.500441, 1.510589, 1.537373, 1.519395, 1.545074, 1.575994, 1.570787, 1.555453, 1.554664, 1.538754, 1.580107, 1.574658, 1.565408, 1.560426, 1.567875, 1.570894, 1.590761, 1.558431, 1.573217, 1.570269, 1.590739, 1.558407, 1.628644, 1.57006, 1.596928, 1.605213, 1.577822, 1.622849, 1.637641, 1.605337, 1.591959, 1.593909, 1.597208, 1.619778, 1.630411, 1.581697, 1.646777, 1.640606, 1.621555, 1.633273, 1.606715, 1.607939, 1.591066, 1.640056, 1.632654, 1.648765, 1.696052, 1.653259, 1.668622, 1.675138, 1.665777, 1.692135, 1.667608, 1.702093, 1.711411, 1.692505, 1.649144, 1.637583, 1.70764, 1.72475, 1.674942, 1.720048, 1.684781, 1.699171, 1.700232, 1.713042, 
201.000, 1.217448, 1.20675, 1.210041, 1.241229, 1.253155, 1.275801, 1.281945, 1.369074, 1.391488, 1.393796, 1.40345, 1.421581, 1.415415, 1.428886, 1.437978, 1.442249, 1.443124, 1.437493, 1.4546, 1.440793, 1.447158, 1.45273, 1.45229, 1.433213, 1.485473, 1.429324, 1.473526, 1.455721, 1.485244, 1.456188, 1.459131, 1.467274, 1.474737, 1.474303, 1.479483, 1.46511, 1.474466, 1.478595, 1.480979, 1.466258, 1.513146, 1.4884, 1.472935, 1.464133, 1.48189, 1.500609, 1.498383, 1.469202, 1.496722, 1.503935, 1.506311, 1.510164, 1.511337, 1.533923, 1.553737, 1.529298, 1.511216, 1.538597, 1.542824, 1.539985, 1.536635, 1.547574, 1.544825, 1.532074, 1.542041, 1.528136, 1.5565, 1.515059, 1.539845, 1.539721, 1.553415, 1.564953, 1.560044, 1.554382, 
202.000, 1.156272, 1.151514, 1.149295, 1.175646, 1.189066, 1.211757, 1.264248, 1.317628, 1.30658, 1.332067, 1.339821, 1.37951, 1.368973, 1.371177, 1.383491, 1.394868, 1.369495, 1.377717, 1.386396, 1.396777, 1.383555, 1.396663, 1.378291, 1.416933, 1.401391, 1.394061, 1.395955, 1.409883, 1.403085, 1.400785, 1.407504, 1.389651, 1.407796, 1.402999, 1.421643, 1.426768, 1.421357, 1.419218, 1.41227, 1.408956, 1.440976, 1.41179, 1.418111, 1.429817, 1.439721, 1.43099, 1.43714, 1.441633, 1.436108, 1.427958, 1.436303, 1.427053, 1.459779, 1.466607, 1.459092, 1.437537, 1.465612, 1.459381, 1.455101, 1.475401, 1.471982, 1.476726, 1.466016, 1.463663, 1.48721, 1.48624, 1.468812, 1.483896, 1.494361, 1.510002, 1.477235, 1.486151, 1.510235, 1.49668, 
203.000, 1.123506, 1.124722, 1.12664, 1.1513, 1.149649, 1.181399, 1.220185, 1.278069, 1.299071, 1.307562, 1.317716, 1.316689, 1.36085, 1.351435, 1.350238, 1.341679, 1.355474, 1.361332, 1.357431, 1.359091, 1.364851, 1.362626, 1.36287, 1.368462, 1.375376, 1.381793, 1.371685, 1.376865, 1.376639, 1.374798, 1.392858, 1.379844, 1.376924, 1.374267, 1.367495, 1.392194, 1.401282, 1.393163, 1.401181, 1.383611, 1.392087, 1.389301, 1.390259, 1.394061, 1.415577, 1.398865, 1.399809, 1.413459, 1.401119, 1.41002, 1.397992, 1.42944, 1.419428, 1.426457, 1.447323, 1.434381, 1.428022, 1.44688, 1.42824, 1.445669, 1.445389, 1.445693, 1.443454, 1.444861, 1.441929, 1.442252, 1.45261, 1.473838, 1.452699, 1.482319, 1.444866, 1.463238, 1.4849, 1.473104, 
204.000, 1.100382, 1.102552, 1.107617, 1.133526, 1.1376, 1.157798, 1.194105, 1.256031, 1.27701, 1.276063, 1.297627, 1.303059, 1.313815, 1.324205, 1.324646, 1.324847, 1.326655, 1.328445, 1.330654, 1.330866, 1.330993, 1.338488, 1.32638, 1.324576, 1.353247, 1.342034, 1.349059, 1.359432, 1.342597, 1.347451, 1.352809, 1.350238, 1.36199, 1.359771, 1.349761, 1.35188, 1.355829, 1.367986, 1.3512, 1.350843, 1.354619, 1.375876, 1.357396, 1.356975, 1.350909, 1.36082, 1.377553, 1.359657, 1.374964, 1.38252, 1.38628, 1.391135, 1.382971, 1.39498, 1.409624, 1.396825, 1.367263, 1.400321, 1.398217, 1.411119, 1.400723, 1.405056, 1.402014, 1.405781, 1.424095, 1.398349, 1.412532, 1.397202, 1.412823, 1.419534, 1.414506, 1.418931, 1.433405, 1.426069, 
205.000, 1.089979, 1.092877, 1.099118, 1.110447, 1.122141, 1.139753, 1.18865, 1.236547, 1.237723, 1.259612, 1.280089, 1.298272, 1.293451, 1.30339, 1.307681, 1.297969, 1.320673, 1.311318, 1.304537, 1.312604, 1.310656, 1.317373, 1.30956, 1.333353, 1.31738, 1.320992, 1.316769, 1.317337, 1.321168, 1.325024, 1.321791, 1.327055, 1.346082, 1.330989, 1.341359, 1.335816, 1.337156, 1.344866, 1.335599, 1.337071, 1.340157, 1.339087, 1.342442, 1.348738, 1.36653, 1.348014, 1.356309, 1.346454, 1.348672, 1.359259, 1.358353, 1.362109, 1.361599, 1.368272, 1.378041, 1.352125, 1.381356, 1.375988, 1.377181, 1.384982, 1.39131, 1.381619, 1.385826, 1.387257, 1.387671, 1.383802, 1.390174, 1.384774, 1.383982, 1.398324, 1.406476, 1.395917, 1.407164, 1.414804, 
206.000, 1.071764, 1.075028, 1.085197, 1.096308, 1.105439, 1.128969, 1.158552, 1.218384, 1.234551, 1.241926, 1.259004, 1.25754, 1.269794, 1.271327, 1.287795, 1.277706, 1.288378, 1.27963, 1.296597, 1.292654, 1.29117, 1.286824, 1.290149, 1.287512, 1.302611, 1.297796, 1.29653, 1.29051, 1.297691, 1.300054, 1.306356, 1.309497, 1.304872, 1.309008, 1.308857, 1.314259, 1.313786, 1.305914, 1.31264, 1.308546, 1.316608, 1.312931, 1.306854, 1.326614, 1.326218, 1.333399, 1.32795, 1.33075, 1.327253, 1.331685, 1.320904, 1.338676, 1.344377, 1.338778, 1.355548, 1.352775, 1.348339, 1.349172, 1.355779, 1.354041, 1.364603, 1.349117, 1.355947, 1.356555, 1.363518, 1.361702, 1.365996, 1.380938, 1.358528, 1.368635, 1.383437, 1.369062, 1.370946, 1.384455, 
207.000, 1.06021, 1.063617, 1.066857, 1.087124, 1.092755, 1.108788, 1.147599, 1.201251, 1.21231, 1.213143, 1.238289, 1.245904, 1.250677, 1.253161, 1.255279, 1.260662, 1.263516, 1.263801, 1.270028, 1.275188, 1.264947, 1.266989, 1.258871, 1.266248, 1.282862, 1.274341, 1.275829, 1.275106, 1.280354, 1.280413, 1.283541, 1.28395, 1.284496, 1.290323, 1.297411, 1.285004, 1.286581, 1.280999, 1.281712, 1.283986, 1.291467, 1.289829, 1.29326, 1.302008, 1.292541, 1.30012, 1.295486, 1.302232, 1.300977, 1.309968, 1.30767, 1.319821, 1.316543, 1.317047, 1.318873, 1.33025, 1.319055, 1.309173, 1.337593, 1.326304, 1.32924, 1.327573, 1.32506, 1.336473, 1.339407, 1.335818, 1.344105, 1.322244, 1.344344, 1.343933, 1.344567, 1.351978, 1.345063, 1.352011, 
208.000, 1.048878, 1.057895, 1.057919, 1.071707, 1.075107, 1.09534, 1.14025, 1.188805, 1.191098, 1.206059, 1.218569, 1.236121, 1.240112, 1.234318, 1.247616, 1.242849, 1.24994, 1.250143, 1.245455, 1.255126, 1.247452, 1.253712, 1.251994, 1.263251, 1.261751, 1.261656, 1.262616, 1.258461, 1.265613, 1.270524, 1.268593, 1.265726, 1.273997, 1.275771, 1.273885, 1.276412, 1.282153, 1.277349, 1.271987, 1.278105, 1.276721, 1.281219, 1.282438, 1.280856, 1.295805, 1.287727, 1.28932, 1.288742, 1.285475, 1.293079, 1.285623, 1.297869, 1.302274, 1.309951, 1.308709, 1.297076, 1.320086, 1.298369, 1.315322, 1.318829, 1.317092, 1.316654, 1.323542, 1.326852, 1.310875, 1.312571, 1.321091, 1.320429, 1.32507, 1.334292, 1.334801, 1.332575, 1.334291, 1.343275, 
209.000, 1.025731, 1.028225, 1.037154, 1.052967, 1.05573, 1.074261, 1.111028, 1.165035, 1.175843, 1.176719, 1.19725, 1.19503, 1.212023, 1.209225, 1.219709, 1.219306, 1.211694, 1.222255, 1.228167, 1.223341, 1.22308, 1.220258, 1.224999, 1.223362, 1.233377, 1.235953, 1.23607, 1.231605, 1.235563, 1.236304, 1.236828, 1.238161, 1.247752, 1.246059, 1.236526, 1.248621, 1.243979, 1.255015, 1.248013, 1.240471, 1.247529, 1.25223, 1.242553, 1.255916, 1.250445, 1.256912, 1.267426, 1.263383, 1.267801, 1.260676, 1.259886, 1.275188, 1.277911, 1.272445, 1.278292, 1.283227, 1.277536, 1.285149, 1.29048, 1.283699, 1.283051, 1.286136, 1.291034, 1.291584, 1.290304, 1.292307, 1.291354, 1.288594, 1.29311, 1.298862, 1.304198, 1.291957, 1.305757, 1.306887, 
210.000, 0.9981575, 1.005507, 1.003902, 1.023398, 1.033419, 1.045067, 1.081708, 1.128311, 1.137033, 1.142569, 1.162129, 1.171526, 1.172936, 1.177783, 1.177179, 1.184621, 1.18269, 1.184079, 1.188258, 1.18532, 1.189446, 1.191663, 1.191494, 1.194201, 1.197035, 1.195138, 1.199794, 1.191395, 1.199729, 1.196111, 1.202182, 1.198147, 1.205302, 1.207028, 1.210585, 1.20489, 1.199737, 1.213757, 1.206667, 1.203139, 1.217028, 1.211857, 1.212021, 1.212735, 1.212632, 1.218767, 1.225079, 1.222058, 1.22763, 1.225561, 1.230915, 1.234629, 1.235962, 1.22964, 1.240542, 1.240455, 1.239149, 1.241433, 1.250299, 1.241546, 1.246915, 1.244453, 1.245692, 1.252966, 1.256791, 1.250792, 1.253671, 1.24229, 1.261212, 1.255497, 1.254639, 1.252201, 1.267859, 1.267339, 
211.000, 0.983005, 0.9909291, 0.9919381, 1.008111, 1.012099, 1.032811, 1.060353, 1.111458, 1.119408, 1.130171, 1.145221, 1.15347, 1.14892, 1.15903, 1.161596, 1.164161, 1.169863, 1.161799, 1.164611, 1.166274, 1.17134, 1.175547, 1.170351, 1.181641, 1.173207, 1.175098, 1.179182, 1.173221, 1.186181, 1.177548, 1.188841, 1.186004, 1.185839, 1.191804, 1.189074, 1.1888, 1.196342, 1.19646, 1.188936, 1.192244, 1.194881, 1.192599, 1.193463, 1.200934, 1.204992, 1.202176, 1.202054, 1.206235, 1.200135, 1.210283, 1.198454, 1.207889, 1.218559, 1.211347, 1.225179, 1.210618, 1.228716, 1.215304, 1.224231, 1.226909, 1.229671, 1.231293, 1.233078, 1.237283, 1.236276, 1.232282, 1.233088, 1.241823, 1.242065, 1.240957, 1.237684, 1.24068, 1.242242, 1.252387, 
212.000, 0.959137, 0.9689465, 0.970665, 0.9881392, 0.9904456, 1.007831, 1.038012, 1.089541, 1.09939, 1.103776, 1.11377, 1.123248, 1.129288, 1.132687, 1.135703, 1.143546, 1.133735, 1.137695, 1.143502, 1.142336, 1.146123, 1.144908, 1.146706, 1.139581, 1.153162, 1.150752, 1.152658, 1.150902, 1.1537, 1.149966, 1.158024, 1.158028, 1.161053, 1.162795, 1.160641, 1.166914, 1.1654, 1.167545, 1.165621, 1.166255, 1.169338, 1.169095, 1.168225, 1.175146, 1.167588, 1.177364, 1.173416, 1.171604, 1.180121, 1.178092, 1.184031, 1.180839, 1.190009, 1.19155, 1.194903, 1.199618, 1.189067, 1.195468, 1.200855, 1.203373, 1.204443, 1.2012, 1.199751, 1.210835, 1.202991, 1.199574, 1.21477, 1.209287, 1.216953, 1.212173, 1.207253, 1.214619, 1.220709, 1.222308, 
213.000, 0.9438396, 0.9493585, 0.9504161, 0.9682417, 0.9747906, 0.9901681, 1.025383, 1.069038, 1.071263, 1.081805, 1.097791, 1.105649, 1.109324, 1.107473, 1.112681, 1.117262, 1.120131, 1.115808, 1.119505, 1.118945, 1.120106, 1.120934, 1.122783, 1.130649, 1.126856, 1.125756, 1.131602, 1.134086, 1.132226, 1.134334, 1.137058, 1.136616, 1.143087, 1.139277, 1.141299, 1.144197, 1.137192, 1.144861, 1.137396, 1.141172, 1.146587, 1.143515, 1.148209, 1.141922, 1.151927, 1.158349, 1.154475, 1.149048, 1.156143, 1.153163, 1.164356, 1.166757, 1.166207, 1.165304, 1.169345, 1.170645, 1.172269, 1.16664, 1.174192, 1.18068, 1.182911, 1.175609, 1.17648, 1.180599, 1.185804, 1.184743, 1.186216, 1.171147, 1.18827, 1.185477, 1.188053, 1.18897, 1.201727, 1.197962, 
214.000, 0.9275246, 0.9317293, 0.9382653, 0.9533806, 0.9583149, 0.9747438, 1.006481, 1.054802, 1.060163, 1.069454, 1.079783, 1.092076, 1.086952, 1.093945, 1.099427, 1.102371, 1.101693, 1.10585, 1.096254, 1.103471, 1.105911, 1.109671, 1.113837, 1.113114, 1.109402, 1.11223, 1.111354, 1.112028, 1.110026, 1.112673, 1.11651, 1.12604, 1.124207, 1.121311, 1.123965, 1.119253, 1.124238, 1.130029, 1.126318, 1.124208, 1.128651, 1.132795, 1.127963, 1.132656, 1.138756, 1.135024, 1.144118, 1.135644, 1.137795, 1.142149, 1.143152, 1.143573, 1.146102, 1.143732, 1.15431, 1.148373, 1.160363, 1.154061, 1.16151, 1.16065, 1.163272, 1.163498, 1.159661, 1.165365, 1.165791, 1.171327, 1.165234, 1.175842, 1.163412, 1.166865, 1.170778, 1.174682, 1.178227, 1.18229, 
215.000, 0.9219327, 0.9267497, 0.9297676, 0.9435658, 0.9503632, 0.9666162, 0.9981027, 1.041463, 1.06029, 1.060133, 1.074925, 1.077799, 1.086589, 1.088027, 1.090094, 1.091568, 1.095502, 1.09806, 1.092683, 1.100477, 1.100842, 1.096501, 1.105269, 1.098356, 1.104664, 1.10463, 1.106563, 1.104864, 1.110163, 1.113419, 1.110328, 1.119729, 1.112512, 1.119737, 1.116045, 1.10915, 1.119717, 1.124425, 1.112707, 1.117076, 1.120018, 1.12664, 1.1185, 1.125659, 1.118547, 1.131208, 1.135304, 1.130953, 1.133119, 1.133831, 1.137201, 1.13693, 1.147961, 1.143932, 1.14678, 1.157182, 1.145566, 1.155282, 1.157472, 1.164712, 1.154923, 1.164559, 1.159287, 1.157537, 1.160713, 1.164787, 1.167558, 1.162832, 1.164355, 1.167322, 1.172558, 1.168935, 1.169296, 1.174525, 
216.000, 0.9182763, 0.9202476, 0.9237146, 0.9346504, 0.9430776, 0.9616027, 0.9912443, 1.03694, 1.036948, 1.049088, 1.068878, 1.07888, 1.0739, 1.082266, 1.082771, 1.081599, 1.086863, 1.08469, 1.088635, 1.08491, 1.093636, 1.092079, 1.091762, 1.099655, 1.096547, 1.093916, 1.101659, 1.101236, 1.105904, 1.106506, 1.102792, 1.109766, 1.102166, 1.10604, 1.117067, 1.10844, 1.107985, 1.114455, 1.108347, 1.115314, 1.113228, 1.113027, 1.123359, 1.113143, 1.119269, 1.12127, 1.126815, 1.116497, 1.126873, 1.121499, 1.131239, 1.127317, 1.139528, 1.135464, 1.139855, 1.135856, 1.141115, 1.142326, 1.144285, 1.138867, 1.145969, 1.152966, 1.151964, 1.148116, 1.147159, 1.146281, 1.155893, 1.144863, 1.157527, 1.154823, 1.163084, 1.165435, 1.1628, 1.17345, 
217.000, 0.9118824, 0.9166265, 0.9209933, 0.9297333, 0.9431081, 0.9547715, 0.9863973, 1.033037, 1.042977, 1.047444, 1.059736, 1.070601, 1.06392, 1.073339, 1.071832, 1.078135, 1.084274, 1.077772, 1.083601, 1.084805, 1.085237, 1.088789, 1.081225, 1.090574, 1.093619, 1.093206, 1.097482, 1.098897, 1.098298, 1.097333, 1.104621, 1.104165, 1.106464, 1.096965, 1.101095, 1.108696, 1.101752, 1.112039, 1.111598, 1.111018, 1.110194, 1.111329, 1.116364, 1.115886, 1.121294, 1.116173, 1.114753, 1.118962, 1.122211, 1.122014, 1.122394, 1.130657, 1.134486, 1.133999, 1.135838, 1.136645, 1.140664, 1.132776, 1.146279, 1.143397, 1.143089, 1.148748, 1.149383, 1.152221, 1.147812, 1.149282, 1.150927, 1.151489, 1.147777, 1.150328, 1.151309, 1.164406, 1.16503, 1.171787, 
218.000, 0.9051638, 0.9082632, 0.912169, 0.9270678, 0.9338698, 0.9507432, 0.9801359, 1.0215, 1.03102, 1.035871, 1.049968, 1.058209, 1.062683, 1.059982, 1.070177, 1.072407, 1.07181, 1.075625, 1.08078, 1.079154, 1.078869, 1.06769, 1.079305, 1.072943, 1.082493, 1.082083, 1.088262, 1.087059, 1.09199, 1.089664, 1.096596, 1.093822, 1.102061, 1.097792, 1.098211, 1.101403, 1.097978, 1.097851, 1.101285, 1.095125, 1.095476, 1.100074, 1.099312, 1.10563, 1.104548, 1.108491, 1.107389, 1.116844, 1.116703, 1.109931, 1.114526, 1.116936, 1.13326, 1.1258, 1.123942, 1.132637, 1.122102, 1.124581, 1.136909, 1.13397, 1.144543, 1.137891, 1.134377, 1.134375, 1.135355, 1.13956, 1.145836, 1.144017, 1.143871, 1.147274, 1.151593, 1.152325, 1.151665, 1.154253, 
