,cavity_after,
Wavenumbers [1/cm],Transmittance,
6983.927,0.08549986,
6981.999,0.08423416,
6980.070,0.08324056,
6978.141,0.08244666,
6976.212,0.08145674,
6974.284,0.08032994,
6972.355,0.0794635,
6970.426,0.07886991,
6968.497,0.07823437,
6966.569,0.07737777,
6964.640,0.07646852,
6962.711,0.07564087,
6960.783,0.07479625,
6958.854,0.0739307,
6956.925,0.07325689,
6954.996,0.07282954,
6953.068,0.07220654,
6951.139,0.07123824,
6949.210,0.07037803,
6947.281,0.06988566,
6945.353,0.0695652,
6943.424,0.06900091,
6941.495,0.06830569,
6939.567,0.06787191,
6937.638,0.06757619,
6935.709,0.06721326,
6933.780,0.06665107,
6931.852,0.06596079,
6929.923,0.06534756,
6927.994,0.06474617,
6926.065,0.06428046,
6924.137,0.06406919,
6922.208,0.06392284,
6920.279,0.06391318,
6918.350,0.06412229,
6916.422,0.06413046,
6914.493,0.06360567,
6912.564,0.0628401,
6910.636,0.06230155,
6908.707,0.06201304,
6906.778,0.06181289,
6904.849,0.06173856,
6902.921,0.06176185,
6900.992,0.06191194,
6899.063,0.0621369,
6897.134,0.06202803,
6895.206,0.06173965,
6893.277,0.06167876,
6891.348,0.06162657,
6889.420,0.06154465,
6887.491,0.06148605,
6885.562,0.06131342,
6883.633,0.06129055,
6881.705,0.06145184,
6879.776,0.06153839,
6877.847,0.06174847,
6875.918,0.06200376,
6873.990,0.06188882,
6872.061,0.06161882,
6870.132,0.06163575,
6868.204,0.0619256,
6866.275,0.06227357,
6864.346,0.06254379,
6862.417,0.06276621,
6860.489,0.06303532,
6858.560,0.06322848,
6856.631,0.06340591,
6854.702,0.06388205,
6852.774,0.06444925,
6850.845,0.06486065,
6848.916,0.06538523,
6846.988,0.0659405,
6845.059,0.06620341,
6843.130,0.06651305,
6841.201,0.0671748,
6839.273,0.06787591,
6837.344,0.0685041,
6835.415,0.06908861,
6833.486,0.06947296,
6831.558,0.06975918,
6829.629,0.07021633,
6827.700,0.07093721,
6825.772,0.07167809,
6823.843,0.07233619,
6821.914,0.07314895,
6819.985,0.07397369,
6818.057,0.07463487,
6816.128,0.07530792,
6814.199,0.07601266,
6812.270,0.07674427,
6810.342,0.07761274,
6808.413,0.07861713,
6806.484,0.07975411,
6804.555,0.08095063,
6802.627,0.08192103,
6800.698,0.08276447,
6798.769,0.08393663,
6796.841,0.08525097,
6794.912,0.08635077,
6792.983,0.08757941,
6791.054,0.08910197,
6789.126,0.09048776,
6787.197,0.09176169,
6785.268,0.09324958,
6783.339,0.09465683,
6781.411,0.09585519,
6779.482,0.09727676,
6777.553,0.09891962,
6775.625,0.1005263,
6773.696,0.1020916,
6771.767,0.1036424,
6769.838,0.105259,
6767.910,0.1069731,
6765.981,0.108719,
6764.052,0.110593,
6762.123,0.1126381,
6760.195,0.1145864,
6758.266,0.1163559,
6756.337,0.1182192,
6754.409,0.1202852,
6752.480,0.1224361,
6750.551,0.1245029,
6748.622,0.1264908,
6746.694,0.1285191,
6744.765,0.1305046,
6742.836,0.1325511,
6740.907,0.1348334,
6738.979,0.1370679,
6737.050,0.1389628,
6735.121,0.1407202,
6733.193,0.1428916,
6731.264,0.1455729,
6729.335,0.1481694,
6727.406,0.1503733,
6725.478,0.1523818,
6723.549,0.1543233,
6721.620,0.1561955,
6719.691,0.1580583,
6717.763,0.1600699,
