,cavity_before,
Wavenumbers [1/cm],Transmittance,
6985.856,0.06096576,
6983.927,0.06110841,
6981.999,0.06102011,
6980.070,0.06109601,
6978.141,0.06152743,
6976.212,0.06194477,
6974.284,0.06216859,
6972.355,0.0624677,
6970.426,0.06286058,
6968.497,0.06302406,
6966.569,0.06312512,
6964.640,0.06344341,
6962.711,0.06364194,
6960.783,0.06362692,
6958.854,0.06380616,
6956.925,0.06414571,
6954.996,0.06447757,
6953.068,0.06492139,
6951.139,0.0654237,
6949.210,0.0658652,
6947.281,0.06627632,
6945.353,0.06675161,
6943.424,0.06729304,
6941.495,0.06784622,
6939.567,0.06843133,
6937.638,0.06899325,
6935.709,0.06947237,
6933.780,0.0698991,
6931.852,0.0704623,
6929.923,0.07130383,
6927.994,0.07221575,
6926.065,0.07297643,
6924.137,0.07359186,
6922.208,0.07433007,
6920.279,0.07531239,
6918.350,0.07634846,
6916.422,0.07741095,
6914.493,0.07828374,
6912.564,0.07881229,
6910.636,0.07936701,
6908.707,0.08010013,
6906.778,0.08097189,
6904.849,0.08202369,
6902.921,0.08323148,
6900.992,0.08464266,
6899.063,0.08609468,
6897.134,0.08729813,
6895.206,0.08837835,
6893.277,0.08955747,
6891.348,0.09073406,
6889.420,0.09177606,
6887.491,0.09280862,
6885.562,0.09412756,
6883.633,0.09576995,
6881.705,0.09746046,
6879.776,0.09913656,
6877.847,0.1007961,
6875.918,0.102351,
6873.990,0.1039894,
6872.061,0.105757,
6870.132,0.1075247,
6868.204,0.1094341,
6866.275,0.111371,
6864.346,0.1129734,
6862.417,0.1143817,
6860.489,0.116005,
6858.560,0.1178384,
6856.631,0.119656,
6854.702,0.1214642,
6852.774,0.1234203,
6850.845,0.125633,
6848.916,0.1279527,
6846.988,0.1301317,
6845.059,0.1322132,
6843.130,0.1343188,
6841.201,0.1364065,
6839.273,0.1384094,
6837.344,0.1403516,
6835.415,0.1423182,
6833.486,0.1443978,
6831.558,0.1465842,
6829.629,0.1487162,
6827.700,0.1507291,
6825.772,0.1528457,
6823.843,0.1552058,
6821.914,0.1574552,
6819.985,0.1592278,
6818.057,0.1607661,
6816.128,0.1624925,
6814.199,0.164404,
6812.270,0.1663037,
6810.342,0.1681585,
6808.413,0.169923,
6806.484,0.1715578,
6804.555,0.1731615,
6802.627,0.1747389,
