,d2o 128 By Administrator Date Wednesday. December 15 2021,
Time,13:47:00,
Wavenumbers [1/cm],Transmittance %,
7000.000,5.82698,
6999.000,5.80908,
6998.000,5.79607,
6997.000,5.78493,
6996.000,5.77272,
6995.000,5.75854,
6994.000,5.74352,
6993.000,5.7286,
6992.000,5.71244,
6991.000,5.69231,
6990.000,5.66785,
6989.000,5.64292,
6988.000,5.62216,
6987.000,5.60549,
6986.000,5.58816,
6985.000,5.56762,
6984.000,5.54793,
6983.000,5.53384,
6982.000,5.52247,
6981.000,5.50532,
6980.000,5.47841,
6979.000,5.4469,
6978.000,5.41866,
6977.000,5.3963,
6976.000,5.37799,
6975.000,5.36309,
6974.000,5.35285,
6973.000,5.34723,
6972.000,5.34407,
6971.000,5.34087,
6970.000,5.33529,
6969.000,5.32481,
6968.000,5.3092,
6967.000,5.29275,
6966.000,5.28113,
6965.000,5.27539,
6964.000,5.27081,
6963.000,5.26208,
6962.000,5.24779,
6961.000,5.22909,
6960.000,5.20674,
6959.000,5.18144,
6958.000,5.15547,
6957.000,5.13215,
6956.000,5.11396,
6955.000,5.10192,
6954.000,5.09568,
6953.000,5.09278,
6952.000,5.08891,
6951.000,5.0813,
6950.000,5.07143,
6949.000,5.06314,
6948.000,5.05805,
6947.000,5.05441,
6946.000,5.05032,
6945.000,5.04599,
6944.000,5.04178,
6943.000,5.03644,
6942.000,5.0288,
6941.000,5.01985,
6940.000,5.0115,
6939.000,5.00371,
6938.000,4.99471,
6937.000,4.98337,
6936.000,4.96966,
6935.000,4.95312,
6934.000,4.93362,
6933.000,4.91408,
6932.000,4.89997,
6931.000,4.89388,
6930.000,4.89217,
6929.000,4.88954,
6928.000,4.88532,
6927.000,4.88258,
6926.000,4.88191,
6925.000,4.87986,
6924.000,4.87479,
6923.000,4.87086,
6922.000,4.87283,
6921.000,4.87828,
6920.000,4.87957,
6919.000,4.87303,
6918.000,4.86287,
6917.000,4.8553,
6916.000,4.85165,
6915.000,4.84879,
6914.000,4.84442,
6913.000,4.8393,
6912.000,4.83512,
6911.000,4.83255,
6910.000,4.83102,
6909.000,4.82911,
6908.000,4.82578,
6907.000,4.82238,
6906.000,4.82208,
6905.000,4.82545,
6904.000,4.82809,
6903.000,4.82499,
6902.000,4.81632,
6901.000,4.80653,
6900.000,4.799,
6899.000,4.79457,
6898.000,4.79459,
6897.000,4.80085,
6896.000,4.81123,
6895.000,4.82004,
6894.000,4.82465,
6893.000,4.82804,
6892.000,4.83253,
