,2-PROPANONE,
Wavenumbers [1/cm],Transmittance,
3684.222,0.881,
3683.183,0.8841,
3682.143,0.8864,
3681.104,0.8874,
3680.064,0.888,
3679.024,0.888,
3677.985,0.8882,
3676.945,0.8887,
3675.905,0.889,
3674.866,0.889,
3673.826,0.8893,
3672.786,0.8903,
3671.747,0.8912,
3670.707,0.8917,
3669.667,0.892,
3668.628,0.892,
3667.588,0.892,
3666.549,0.892,
3665.509,0.892,
3664.469,0.892,
3663.430,0.892,
3662.390,0.892,
3661.350,0.892,
3660.311,0.892,
3659.271,0.892,
3658.231,0.892,
3657.192,0.8918,
3656.152,0.8913,
3655.113,0.891,
3654.073,0.891,
3653.033,0.891,
3651.994,0.891,
3650.954,0.8907,
3649.914,0.8897,
3648.875,0.889,
3647.835,0.889,
3646.795,0.889,
3645.756,0.889,
3644.716,0.889,
3643.676,0.889,
3642.637,0.889,
3641.597,0.889,
3640.558,0.889,
3639.518,0.889,
3638.478,0.889,
3637.439,0.889,
3636.399,0.889,
3635.359,0.889,
3634.320,0.8893,
3633.280,0.8903,
3632.240,0.891,
3631.201,0.891,
3630.161,0.891,
3629.122,0.891,
3628.082,0.8912,
3627.042,0.8917,
3626.003,0.892,
3624.963,0.892,
3623.923,0.892,
3622.884,0.892,
3621.844,0.892,
3620.804,0.892,
3619.765,0.892,
3618.725,0.892,
3617.685,0.892,
3616.646,0.892,
3615.606,0.892,
3614.567,0.892,
3613.527,0.892,
3612.487,0.892,
3611.448,0.892,
3610.408,0.892,
3609.368,0.892,
3608.329,0.892,
3607.289,0.892,
3606.249,0.892,
3605.210,0.8923,
3604.170,0.8933,
3603.131,0.8943,
3602.091,0.8953,
3601.051,0.896,
3600.012,0.896,
3598.972,0.8962,
3597.932,0.8967,
3596.893,0.897,
3595.853,0.897,
3594.813,0.8973,
3593.774,0.8983,
3592.734,0.8995,
3591.694,0.901,
3590.655,0.902,
3589.615,0.902,
3588.576,0.902,
3587.536,0.902,
3586.496,0.9012,
3585.457,0.8987,
3584.417,0.8957,
3583.377,0.8917,
3582.338,0.8884,
3581.298,0.8864,
3580.258,0.884,
3579.219,0.881,
3578.179,0.8787,
3577.140,0.8777,
3576.100,0.877,
3575.060,0.877,
3574.021,0.8768,
3572.981,0.8763,
3571.941,0.876,
3570.902,0.876,
3569.862,0.8757,
3568.822,0.8747,
3567.783,0.874,
3566.743,0.874,
3565.703,0.874,
3564.664,0.874,
3563.624,0.874,
3562.585,0.874,
3561.545,0.8738,
3560.505,0.8733,
3559.466,0.873,
3558.426,0.873,
3557.386,0.8727,
3556.347,0.8717,
3555.307,0.8708,
3554.267,0.8703,
3553.228,0.87,
3552.188,0.87,
3551.149,0.8697,
3550.109,0.8687,
3549.069,0.868,
3548.030,0.868,
3546.990,0.868,
3545.950,0.868,
3544.911,0.868,
3543.871,0.868,
3542.831,0.868,
3541.792,0.868,
3540.752,0.868,
3539.712,0.868,
3538.673,0.868,
3537.633,0.868,
3536.594,0.868,
3535.554,0.868,
3534.514,0.868,
3533.475,0.868,
3532.435,0.868,
3531.395,0.868,
3530.356,0.868,
3529.316,0.868,
3528.276,0.868,
3527.237,0.868,
3526.197,0.868,
3525.158,0.868,
3524.118,0.868,
3523.078,0.868,
3522.039,0.868,
3520.999,0.868,
3519.959,0.868,
3518.920,0.868,
3517.880,0.8683,
3516.840,0.8693,
3515.801,0.87,
3514.761,0.87,
3513.721,0.87,
3512.682,0.87,
3511.642,0.87,
3510.603,0.87,
3509.563,0.87,
3508.523,0.87,
3507.484,0.87,
3506.444,0.87,
3505.404,0.87,
3504.365,0.87,
3503.325,0.8694,
3502.285,0.8674,
3501.246,0.866,
3500.206,0.866,
3499.167,0.8658,
3498.127,0.8653,
3497.087,0.865,
3496.048,0.865,
3495.008,0.8652,
3493.968,0.8657,
3492.929,0.8663,
3491.889,0.8673,
3490.849,0.868,
3489.810,0.868,
3488.770,0.8683,
3487.730,0.8693,
3486.691,0.87,
3485.651,0.87,
3484.612,0.8702,
3483.572,0.8707,
3482.532,0.871,
3481.493,0.871,
3480.453,0.871,
3479.413,0.871,
3478.374,0.871,
3477.334,0.871,
3476.294,0.8709,
3475.255,0.8703,
3474.215,0.8697,
3473.175,0.8687,
3472.136,0.8675,
3471.096,0.866,
3470.057,0.8641,
3469.017,0.8611,
3467.977,0.8585,
3466.938,0.857,
3465.898,0.8555,
3464.858,0.854,
3463.819,0.8521,
3462.779,0.8491,
3461.739,0.8467,
3460.700,0.8457,
3459.660,0.8449,
3458.621,0.8444,
3457.581,0.844,
3456.541,0.844,
3455.502,0.844,
3454.462,0.844,
3453.422,0.844,
3452.383,0.844,
3451.343,0.844,
3450.303,0.844,
3449.264,0.844,
3448.224,0.844,
3447.184,0.8437,
3446.145,0.8427,
3445.105,0.8412,
3444.066,0.8388,
3443.026,0.8366,
3441.986,0.8351,
3440.947,0.833,
3439.907,0.8295,
3438.867,0.8257,
3437.828,0.8212,
3436.788,0.816,
