,cyclohexanone_3um,
Wavenumbers [1/cm],Absorbance,
4210.000,0.0823,
4209.000,0.0822,
4208.000,0.082,
4207.000,0.0819,
4206.000,0.0818,
4205.000,0.0817,
4204.000,0.0816,
4203.000,0.0815,
4202.000,0.0814,
4201.000,0.0813,
4200.000,0.0812,
4199.000,0.0812,
4198.000,0.0811,
4197.000,0.0811,
4196.000,0.0811,
4195.000,0.0811,
4194.000,0.0811,
4193.000,0.0811,
4192.000,0.0812,
4191.000,0.0812,
4190.000,0.0813,
4189.000,0.0814,
4188.000,0.0815,
4187.000,0.0816,
4186.000,0.0817,
4185.000,0.0818,
4184.000,0.0818,
4183.000,0.0819,
4182.000,0.0819,
4181.000,0.082,
4180.000,0.0821,
4179.000,0.0821,
4178.000,0.0821,
4177.000,0.0821,
4176.000,0.0822,
4175.000,0.0822,
4174.000,0.0822,
4173.000,0.0822,
4172.000,0.0823,
4171.000,0.0823,
4170.000,0.0823,
4169.000,0.0823,
4168.000,0.0824,
4167.000,0.0824,
4166.000,0.0824,
4165.000,0.0824,
4164.000,0.0824,
4163.000,0.0824,
4162.000,0.0824,
4161.000,0.0824,
4160.000,0.0824,
4159.000,0.0825,
4158.000,0.0825,
4157.000,0.0825,
4156.000,0.0825,
4155.000,0.0826,
4154.000,0.0826,
4153.000,0.0826,
4152.000,0.0827,
4151.000,0.0827,
4150.000,0.0827,
4149.000,0.0826,
4148.000,0.0826,
4147.000,0.0826,
4146.000,0.0826,
4145.000,0.0825,
4144.000,0.0825,
4143.000,0.0824,
4142.000,0.0823,
4141.000,0.0822,
4140.000,0.0822,
4139.000,0.0821,
4138.000,0.082,
4137.000,0.0819,
4136.000,0.0819,
4135.000,0.0818,
4134.000,0.0818,
4133.000,0.0817,
4132.000,0.0817,
4131.000,0.0817,
4130.000,0.0817,
4129.000,0.0817,
4128.000,0.0816,
4127.000,0.0816,
4126.000,0.0816,
4125.000,0.0815,
4124.000,0.0815,
4123.000,0.0814,
4122.000,0.0813,
4121.000,0.0812,
4120.000,0.0812,
