,02-11-2021_11h23,
Wavenumbers [1/cm],Transmittance,
2171.749,4.064301,
2167.891,4.009906,
2164.034,3.930883,
2160.176,3.821573,
2156.319,3.685037,
2152.461,3.542725,
2148.604,3.432168,
2144.747,3.384865,
2140.889,3.403151,
2137.032,3.459879,
2133.174,3.518511,
2129.317,3.555523,
2125.459,3.572152,
2121.602,3.588451,
2117.744,3.623065,
2113.887,3.67787,
2110.029,3.74332,
2106.172,3.81416,
2102.314,3.891444,
2098.457,3.971477,
2094.600,4.043876,
2090.742,4.10139,
2086.885,4.144549,
2083.027,4.176795,
2079.170,4.200676,
2075.312,4.217936,
2071.455,4.229693,
2067.597,4.2373,
2063.740,4.243155,
2059.882,4.24893,
2056.025,4.254179,
2052.168,4.258111,
2048.310,4.260387,
2044.453,4.261407,
2040.595,4.262726,
2036.738,4.264525,
2032.880,4.265014,
2029.023,4.262759,
2025.165,4.256386,
2021.308,4.24405,
2017.450,4.225459,
2013.593,4.199414,
2009.735,4.162234,
2005.878,4.117753,
2002.021,4.081705,
1998.163,4.068624,
1994.306,4.080946,
1990.448,4.112316,
1986.591,4.150624,
1982.733,4.182122,
1978.876,4.202372,
1975.018,4.213942,
1971.161,4.219239,
1967.303,4.223258,
1963.446,4.230083,
1959.589,4.237112,
1955.731,4.241494,
1951.874,4.242858,
1948.016,4.238338,
1944.159,4.232092,
1940.301,4.234361,
1936.444,4.241435,
1932.586,4.242218,
1928.729,4.233632,
1924.871,4.216231,
1921.014,4.197732,
1917.157,4.192678,
1913.299,4.198257,
1909.442,4.19874,
1905.584,4.191037,
1901.727,4.175777,
1897.869,4.149021,
1894.012,4.112741,
1890.154,4.080628,
1886.297,4.067445,
1882.439,4.069857,
1878.582,4.06926,
1874.724,4.045231,
1870.867,4.000829,
1867.010,3.966966,
1863.152,3.945537,
1859.295,3.905288,
1855.437,3.836839,
1851.580,3.742469,
1847.722,3.631359,
1843.865,3.547787,
1840.007,3.50893,
1836.150,3.459945,
1832.292,3.363503,
1828.435,3.245362,
1824.578,3.127547,
1820.720,2.993594,
1816.863,2.822267,
1813.005,2.617885,
1809.148,2.400117,
1805.290,2.183314,
1801.433,1.981539,
1797.575,1.811334,
1793.718,1.685261,
1789.860,1.606015,
1786.003,1.548969,
1782.145,1.475001,
1778.288,1.357333,
1774.431,1.188067,
1770.573,0.9833792,
1766.716,0.7575385,
1762.858,0.5157748,
1759.001,0.2915153,
1755.143,0.1321356,
1751.286,0.05246631,
1747.428,0.02786803,
1743.571,0.02293743,
1739.713,0.01749874,
1735.856,0.009269572,
1731.999,0.002983021,
1728.141,0.0001949588,
1724.284,1E-10,
1720.426,1E-10,
1716.569,1E-10,
1712.711,1E-10,
1708.854,1E-10,
1704.996,0.0006572409,
1701.139,0.008765856,
1697.281,0.03895542,
1693.424,0.1040816,
1689.567,0.1977791,
1685.709,0.3010919,
1681.852,0.395166,
1677.994,0.4904104,
1674.137,0.6559963,
1670.279,0.9389344,
1666.422,1.278411,
1662.564,1.57311,
1658.707,1.75566,
1654.849,1.848128,
1650.992,1.954999,
1647.134,2.115911,
1643.277,2.267402,
1639.420,2.35925,
1635.562,2.430479,
1631.705,2.528263,
1627.847,2.61413,
1623.990,2.654161,
1620.132,2.669115,
1616.275,2.694216,
1612.417,2.742008,
1608.560,2.773218,
1604.702,2.764572,
1600.845,2.729489,
1596.988,2.674154,
1593.130,2.601202,
1589.273,2.517439,
1585.415,2.429313,
1581.558,2.330367,
1577.700,2.232488,
1573.843,2.171326,
1569.985,2.146718,
1566.128,2.106353,
1562.270,2.020637,
1558.413,1.967789,
1554.555,2.013623,
1550.698,2.073823,
1546.841,2.048838,
1542.983,1.971269,
1539.126,1.947143,
1535.268,1.99559,
1531.411,2.034673,
1527.553,2.014733,
1523.696,1.964294,
1519.838,1.940914,
1515.981,1.945827,
1512.123,1.912738,
1508.266,1.841759,
1504.409,1.7998,
1500.551,1.770637,
1496.694,1.700173,
1492.836,1.598875,
1488.979,1.493103,
1485.121,1.391207,
1481.264,1.280216,
1477.406,1.137733,
1473.549,0.9725549,
1469.691,0.8042496,
1465.834,0.6335997,
1461.976,0.4645841,
1458.119,0.316325,
1454.262,0.2031314,
1450.404,0.1225353,
1446.547,0.06768202,
1442.689,0.0352645,
1438.832,0.02071207,
1434.974,0.01622055,
1431.117,0.01512683,
1427.259,0.01376314,
1423.402,0.0120504,
1419.544,0.01369171,
1415.687,0.02333825,
1411.830,0.04488496,
1407.972,0.07798125,
1404.115,0.1158414,
1400.257,0.1472953,
1396.400,0.1622736,
1392.542,0.1554749,
1388.685,0.1269403,
1384.827,0.08516175,
1380.970,0.04458223,
1377.112,0.01680199,
1373.255,0.003856385,
1369.398,5.064396E-5,
1365.540,1E-10,
1361.683,1E-10,
1357.825,1E-10,
1353.968,0.0009935667,
1350.110,0.0106601,
1346.253,0.04680237,
1342.395,0.1335272,
1338.538,0.2825196,
1334.680,0.4809964,
1330.823,0.701639,
1326.965,0.9199607,
1323.108,1.124732,
1319.251,1.320453,
1315.393,1.518723,
1311.536,1.720369,
1307.678,1.910155,
1303.821,2.072582,
1299.963,2.203027,
1296.106,2.304112,
1292.248,2.379117,
1288.391,2.430123,
1284.533,2.45811,
1280.676,2.46236,
1276.819,2.441713,
1272.961,2.395413,
1269.104,2.323279,
1265.246,2.224211,
1261.389,2.095589,
1257.531,1.933768,
1253.674,1.732139,
1249.816,1.482252,
1245.959,1.179563,
1242.101,0.8347178,
1238.244,0.4902568,
1234.386,0.2173849,
1230.529,0.06411026,
1226.672,0.01000185,
1222.814,1E-10,
1218.957,0.001144812,
1215.099,0.01632133,
1211.242,0.07562811,
1207.384,0.2106138,
1203.527,0.4088559,
1199.669,0.6249695,
1195.812,0.8513944,
1191.954,1.109519,
1188.097,1.380312,
1184.240,1.62131,
1180.382,1.817403,
1176.525,1.972957,
1172.667,2.092912,
1168.810,2.182054,
1164.952,2.245322,
1161.095,2.287513,
1157.237,2.312591,
1153.380,2.323054,
1149.522,2.320455,
1145.665,2.306129,
1141.807,2.281154,
1137.950,2.245792,
1134.093,2.199497,
1130.235,2.141074,
1126.378,2.068935,
1122.520,1.980778,
1118.663,1.872551,
1114.805,1.737341,
1110.948,1.563716,
1107.090,1.334708,
1103.233,1.038765,
1099.375,0.7067752,
1095.518,0.4412947,
1091.661,0.3662017,
1087.803,0.5156014,
1083.946,0.7940467,
1080.088,1.063732,
1076.231,1.246858,
1072.373,1.338499,
1068.516,1.365647,
1064.658,1.360247,
1060.801,1.347573,
1056.943,1.337699,
1053.086,1.326577,
1049.229,1.307404,
1045.371,1.278768,
1041.514,1.24281,
1037.656,1.201586,
1033.799,1.156373,
1029.941,1.108066,
1026.084,1.057333,
1022.226,1.004811,
1018.369,0.9512861,
1014.511,0.8975664,
1010.654,0.8441772,
1006.796,0.7911236,
1002.939,0.7384438,
999.082,0.686079,
995.224,0.63375,
991.367,0.5815172,
987.509,0.5304943,
983.652,0.4831214,
979.794,0.4412709,
975.937,0.4040785,
972.079,0.3689916,
968.222,0.3345002,
964.364,0.3006631,
960.507,0.2679962,
956.650,0.2368796,
952.792,0.2074323,
948.935,0.1798316,
945.077,0.1543312,
941.220,0.1310974,
937.362,0.1100829,
933.505,0.09107554,
929.647,0.07405649,
925.790,0.05917859,
921.932,0.04643082,
918.075,0.03550271,
914.217,0.02623155,
910.360,0.01873144,
906.503,0.01322373,
902.645,0.009720797,
898.788,0.007865964,
894.930,0.007175954,
891.073,0.006946906,
887.215,0.006601912,
883.358,0.005866987,
879.500,0.004776224,
875.643,0.003613428,
871.785,0.002492876,
867.928,0.001496297,
864.071,0.0007457447,
860.213,0.0003739808,
856.356,0.0001417152,
852.498,1E-10,
848.641,1E-10,
844.783,1E-10,
840.926,1E-10,
837.068,1E-10,
833.211,1E-10,
829.353,1E-10,
825.496,1E-10,
821.639,1E-10,
817.781,0.0001587866,
813.924,0.0005544689,
810.066,0.0008114277,
806.209,0.001205844,
802.351,0.001659516,
798.494,0.001983151,
794.636,0.002209836,
790.779,0.002381854,
786.921,0.002477521,
783.064,0.00241555,
779.206,0.002275459,
775.349,0.002177265,
771.492,0.002187826,
767.634,0.002209373,
763.777,0.002183527,
759.919,0.002160281,
756.062,0.002164441,
752.204,0.002089776,
748.347,0.002057011,
744.489,0.002244442,
740.632,0.002560218,
736.774,0.002850753,
732.917,0.003000113,
729.060,0.003065633,
725.202,0.003120299,
721.345,0.003134931,
717.487,0.003072126,
713.630,0.002995053,
709.772,0.00316459,
705.915,0.003728643,
702.057,0.004238798,
698.200,0.004134515,
694.342,0.003776091,
690.485,0.003650382,
686.627,0.00358109,
682.770,0.003351314,
678.913,0.003107871,
675.055,0.00310487,
671.198,0.003318731,
667.340,0.003595247,
663.483,0.003686883,
659.625,0.003633547,
655.768,0.003787199,
651.910,0.004087657,
648.053,0.004215696,
644.195,0.004095391,
640.338,0.003732387,
636.481,0.002984985,
632.623,0.002390883,
628.766,0.002678147,
624.908,0.003490534,
621.051,0.003930716,
617.193,0.003837652,
613.336,0.004074814,
609.478,0.004668551,
605.621,0.004724829,
601.763,0.004511393,
597.906,0.004678056,
594.048,0.005020919,
590.191,0.005255729,
586.334,0.005152488,
582.476,0.004522327,
578.619,0.0041788,
574.761,0.004964401,
570.904,0.006281093,
567.046,0.007054289,
563.189,0.007034127,
559.331,0.006608292,
555.474,0.006339108,
551.616,0.006587006,
547.759,0.007062565,
543.902,0.007372553,
540.044,0.00742397,
536.187,0.007478489,
532.329,0.007926616,
528.472,0.008605721,
524.614,0.009082743,
520.757,0.009308075,
516.899,0.009643895,
513.042,0.01052777,
509.184,0.01174183,
505.327,0.01230881,
501.470,0.01250754,
497.612,0.01338349,
493.755,0.01436947,
489.897,0.01488771,
486.040,0.01532834,
482.182,0.01566666,
478.325,0.01602869,
474.467,0.01747322,
470.610,0.02003763,
466.752,0.02234468,
462.895,0.02359745,
459.037,0.02369199,
455.180,0.0231525,
451.323,0.02330412,
447.465,0.02581314,
443.608,0.0298447,
439.750,0.03296323,
435.893,0.03523259,
432.035,0.03690313,
428.178,0.03799814,
424.320,0.04184202,
420.463,0.0519418,
416.605,0.06330561,
412.748,0.06849044,
408.891,0.07102759,
405.033,0.07629243,
401.176,0.08189297,
397.318,0.08814679,
