,02-11-2021_11h23,
Wavenumbers [1/cm],Transmittance,
5882.623,4.186831,
5878.766,4.197218,
5874.908,4.204673,
5871.051,4.20911,
5867.193,4.211792,
5863.336,4.212444,
5859.478,4.211112,
5855.621,4.209007,
5851.763,4.207031,
5847.906,4.206236,
5844.049,4.206619,
5840.191,4.205859,
5836.334,4.202629,
5832.476,4.198625,
5828.619,4.195739,
5824.761,4.194602,
5820.904,4.19448,
5817.046,4.193522,
5813.189,4.19115,
5809.331,4.187712,
5805.474,4.183378,
5801.616,4.178761,
5797.759,4.173661,
5793.902,4.167314,
5790.044,4.160613,
5786.187,4.154888,
5782.329,4.150086,
5778.472,4.146583,
5774.614,4.145512,
5770.757,4.147083,
5766.899,4.150525,
5763.042,4.154617,
5759.184,4.158751,
5755.327,4.162486,
5751.470,4.165109,
5747.612,4.167192,
5743.755,4.169828,
5739.897,4.173336,
5736.040,4.177954,
5732.182,4.18426,
5728.325,4.192063,
5724.467,4.200127,
5720.610,4.208078,
5716.752,4.215612,
5712.895,4.221485,
5709.037,4.226214,
5705.180,4.230556,
5701.323,4.233018,
5697.465,4.233724,
5693.608,4.235096,
5689.750,4.237833,
5685.893,4.240806,
5682.035,4.243492,
5678.178,4.246422,
5674.320,4.249802,
5670.463,4.253342,
5666.605,4.256933,
5662.748,4.260131,
5658.891,4.261531,
5655.033,4.260832,
5651.176,4.259674,
5647.318,4.258443,
5643.461,4.256079,
5639.603,4.252738,
5635.746,4.249298,
5631.888,4.245789,
5628.031,4.242235,
5624.173,4.239664,
5620.316,4.238827,
5616.459,4.239565,
5612.601,4.241558,
5608.744,4.244887,
5604.886,4.249474,
5601.029,4.254783,
5597.171,4.26098,
5593.314,4.267991,
5589.456,4.274776,
5585.599,4.280584,
5581.741,4.284794,
5577.884,4.287463,
5574.026,4.289772,
5570.169,4.292617,
5566.312,4.295686,
5562.454,4.297899,
5558.597,4.298857,
5554.739,4.298691,
5550.882,4.29758,
5547.024,4.296756,
5543.167,4.296916,
5539.309,4.297638,
5535.452,4.299082,
5531.594,4.300844,
5527.737,4.301999,
5523.880,4.302663,
5520.022,4.30332,
5516.165,4.304357,
5512.307,4.30583,
