Created as New Dataset,Sample 158 By Administrator Date Thursday, November 25 2021
cm-1,A
4500.00,0.0748
4499.00,0.0748
4498.00,0.0748
4497.00,0.0749
4496.00,0.0749
4495.00,0.0749
4494.00,0.0750
4493.00,0.0750
4492.00,0.0750
4491.00,0.0751
4490.00,0.0751
4489.00,0.0751
4488.00,0.0751
4487.00,0.0752
4486.00,0.0752
4485.00,0.0753
4484.00,0.0753
4483.00,0.0753
4482.00,0.0753
4481.00,0.0754
4480.00,0.0754
4479.00,0.0754
4478.00,0.0755
4477.00,0.0755
4476.00,0.0756
4475.00,0.0756
4474.00,0.0756
4473.00,0.0757
4472.00,0.0757
4471.00,0.0758
4470.00,0.0759
4469.00,0.0759
4468.00,0.0760
4467.00,0.0761
4466.00,0.0761
4465.00,0.0762
4464.00,0.0762
4463.00,0.0762
4462.00,0.0763
4461.00,0.0763
4460.00,0.0764
4459.00,0.0765
4458.00,0.0765
4457.00,0.0766
4456.00,0.0767
4455.00,0.0768
4454.00,0.0768
4453.00,0.0769
4452.00,0.0770
4451.00,0.0771
4450.00,0.0772
4449.00,0.0773
4448.00,0.0774
4447.00,0.0775
4446.00,0.0776
4445.00,0.0777
4444.00,0.0778
4443.00,0.0780
4442.00,0.0781
4441.00,0.0782
4440.00,0.0784
4439.00,0.0785
4438.00,0.0787
4437.00,0.0788
4436.00,0.0790
4435.00,0.0791
4434.00,0.0793
4433.00,0.0795
4432.00,0.0797
4431.00,0.0799
4430.00,0.0801
4429.00,0.0803
4428.00,0.0806
4427.00,0.0808
4426.00,0.0810
4425.00,0.0813
4424.00,0.0815
4423.00,0.0818
4422.00,0.0821
4421.00,0.0824
4420.00,0.0826
4419.00,0.0829
4418.00,0.0833
4417.00,0.0836
4416.00,0.0839
4415.00,0.0842
4414.00,0.0846
4413.00,0.0850
4412.00,0.0854
4411.00,0.0857
4410.00,0.0861
4409.00,0.0865
4408.00,0.0869
4407.00,0.0874
4406.00,0.0878
4405.00,0.0883
4404.00,0.0888
4403.00,0.0893
4402.00,0.0897
4401.00,0.0903
4400.00,0.0908
4399.00,0.0913
4398.00,0.0919
4397.00,0.0924
4396.00,0.0930
4395.00,0.0937
4394.00,0.0943
4393.00,0.0949
4392.00,0.0956
4391.00,0.0962
4390.00,0.0969
4389.00,0.0975
4388.00,0.0982
4387.00,0.0989
4386.00,0.0995
4385.00,0.1002
4384.00,0.1009
4383.00,0.1016
4382.00,0.1023
4381.00,0.1030
4380.00,0.1037
4379.00,0.1044
4378.00,0.1050
4377.00,0.1057
4376.00,0.1063
4375.00,0.1069
4374.00,0.1075
4373.00,0.1080
4372.00,0.1085
4371.00,0.1089
4370.00,0.1092
4369.00,0.1095
4368.00,0.1097
4367.00,0.1099
4366.00,0.1099
4365.00,0.1099
4364.00,0.1098
4363.00,0.1096
4362.00,0.1093
4361.00,0.1090
4360.00,0.1087
4359.00,0.1083
4358.00,0.1080
4357.00,0.1076
4356.00,0.1072
4355.00,0.1067
4354.00,0.1063
4353.00,0.1060
4352.00,0.1056
4351.00,0.1053
4350.00,0.1050
4349.00,0.1047
4348.00,0.1044
4347.00,0.1041
4346.00,0.1037
4345.00,0.1034
4344.00,0.1030
4343.00,0.1026
4342.00,0.1021
4341.00,0.1017
4340.00,0.1012
4339.00,0.1006
