;Part of: cyclohexanone with sp;
Wavelength [nm];Transmittance %;
2975,624;0,817071;
2977,553;0,832662;
2979,481;0,849931;
2981,410;0,868932;
2983,338;0,889906;
2985,267;0,913161;
2987,195;0,938947;
2989,124;0,967462;
2991,052;0,998992;
2992,981;1,03405;
2994,909;1,07337;
2996,838;1,11765;
2998,766;1,16734;
3000,695;1,22254;
3002,623;1,28321;
3004,551;1,3496;
3006,480;1,42259;
3008,408;1,5038;
3010,337;1,59532;
3012,265;1,69935;
3014,194;1,81787;
3016,122;1,95267;
3018,051;2,10568;
3019,979;2,27932;
3021,908;2,43871;
3023,836;2,65918;
3025,765;2,91167;
3027,693;3,20215;
3029,622;3,53743;
3031,550;3,92481;
3033,479;4,37142;
3035,407;4,88299;
3037,335;5,46234;
3039,264;6,10788;
3041,192;6,8128;
3043,121;7,56488;
3045,049;8,34677;
3046,978;9,13591;
3048,906;9,90401;
3050,835;10,6166;
3052,763;11,2341;
3054,692;11,7158;
3056,620;12,0255;
3058,549;12,1388;
3060,477;12,0482;
3062,406;11,7641;
3064,334;11,3125;
3066,262;10,7287;
3068,191;10,052;
3070,119;9,32025;
3072,048;8,5671;
3073,976;7,8203;
3075,905;7,1011;
3077,833;6,425;
3079,762;5,80206;
3081,690;5,23781;
3083,619;4,73367;
3085,547;4,28772;
3087,476;3,89562;
3089,404;3,55158;
3091,333;3,24961;
3093,261;2,98438;
3095,189;2,75152;
3097,118;2,54734;
3099,046;2,36829;
3100,975;2,2109;
3102,903;2,07176;
3104,832;1,94791;
3106,760;1,8373;
3108,689;1,73862;
3110,617;1,65089;
3112,546;1,57295;
3114,474;1,50336;
3116,403;1,4405;
3118,331;1,383;
3120,260;1,32994;
3122,188;1,28093;
3124,116;1,23624;
3126,045;1,19637;
3127,973;1,16173;
3129,902;1,13237;
3131,830;1,10771;
3133,759;1,08647;
3135,687;1,06705;
3137,616;1,04816;
3139,544;1,0295;
3141,473;1,01182;
3143,401;0,996501;
3145,330;0,984533;
3147,258;0,975819;
3149,187;0,969333;
3151,115;0,963696;
3153,043;0,95809;
3154,972;0,952739;
3156,900;0,948644;
3158,829;0,946856;
3160,757;0,947808;
3162,686;0,951168;
3164,614;0,956187;
3166,543;0,962237;
3168,471;0,969131;
3170,400;0,97708;
3172,328;0,98642;
3174,257;0,997375;
3176,185;1,00999;
3178,114;1,02425;
3180,042;1,04023;
3181,970;1,05811;
3183,899;1,07837;
3185,827;1,10148;
3187,756;1,12786;
3189,684;1,15778;
3191,613;1,1914;
3193,541;1,22875;
3195,470;1,2699;
3197,398;1,31502;
3199,327;1,36444;
3201,255;1,41862;
3203,184;1,47809;
3205,112;1,54342;
3207,041;1,61528;
3208,969;1,6945;
3210,897;1,78228;
3212,826;1,88021;
3214,754;1,99022;
3216,683;2,11448;
3218,611;2,25514;
3220,540;2,41414;
3222,468;2,59323;
3224,397;2,79402;
3226,325;3,01808;
3228,254;3,26713;
3230,182;3,54278;
3232,111;3,84615;
3234,039;4,17702;
3235,968;4,5328;
3237,896;4,90768;
3239,824;5,29226;
3241,753;5,67394;
3243,681;6,03816;
3245,610;6,37009;
3247,538;6,6575;
3249,467;6,8947;
3251,395;7,08365;
3253,324;7,23526;
3255,252;7,36814;
3257,181;7,50441;
3259,109;7,66359;
3261,038;7,85646;
3262,966;8,08132;
3264,895;8,32427;
3266,823;8,56301;
3268,751;8,77101;
3270,680;8,92383;
3272,608;9,00252;
3274,537;8,9919;
3276,465;8,88219;
3278,394;8,6704;
3280,322;8,36178;
3282,251;7,97015;
3284,179;7,5163;
3286,108;7,02434;
3288,036;6,51719;
3289,965;6,01334;
3291,893;5,52617;
3293,822;5,06546;
3295,750;4,63917;
3297,678;4,25379;
3299,607;3,91293;
3301,535;3,61559;
3303,464;3,35607;
3305,392;3,12611;
3307,321;2,91819;
3309,249;2,72794;
3311,178;2,5543;
3313,106;2,39793;
3315,035;2,25913;
3316,963;2,1368;
3318,892;2,02858;
3320,820;1,9318;
3322,749;1,84425;
3324,677;1,76437;
3326,605;1,6912;
3328,534;1,62416;
3330,462;1,56298;
3332,391;1,5077;
3334,319;1,45856;
3336,248;1,41571;
3338,176;1,3789;
3340,105;1,3473;
3342,033;1,31947;
3343,962;1,29381;
3345,890;1,26902;
3347,819;1,24466;
3349,747;1,22121;
3351,676;1,19967;
3353,604;1,18108;
3355,532;1,16614;
3357,461;1,15517;
3359,389;1,1483;
3361,318;1,1454;
3363,246;1,14578;
3365,175;1,14815;
3367,103;1,15081;
3369,032;1,15238;
3370,960;1,15236;
3372,889;1,15135;
3374,817;1,15084;
3376,746;1,1528;
3378,674;1,1593;
3380,603;1,17191;
3382,531;1,1909;
3384,459;1,21484;
3386,388;1,24087;
3388,316;1,26586;
3390,245;1,28809;
3392,173;1,30803;
3394,102;1,32811;
3396,030;1,35157;
3397,959;1,38138;
3399,887;1,41988;
3401,816;1,46815;
3403,744;1,52518;
3405,673;1,58724;
3407,601;1,64847;
3409,530;1,70321;
3411,458;1,74923;
3413,386;1,78995;
3415,315;1,83418;
3417,243;1,89329;
3419,172;1,97715;
3421,100;2,09097;
3423,029;2,23392;
3424,957;2,39931;
3426,886;2,57615;
3428,814;2,75277;
3430,743;2,92196;
3432,671;3,08559;
3434,600;3,25561;
3436,528;3,45027;
3438,457;3,68726;
3440,385;3,97825;
3442,313;4,32848;
3444,242;4,73992;
3446,170;5,21291;
3448,099;5,74414;
3450,027;6,32385;
3451,956;6,93686;
3453,884;7,5681;
3455,813;8,20865;
3457,741;8,85734;
3459,670;9,51701;
3461,598;10,1891;
3463,527;10,8701;
3465,455;11,5497;
3467,384;12,2089;
3469,312;12,8161;
3471,240;13,3244;
3473,169;13,678;
3475,097;13,8295;
3477,026;13,7611;
3478,954;13,4985;
3480,883;13,1061;
3482,811;12,663;
3484,740;12,2289;
3486,668;11,8154;
3488,597;11,3842;
3490,525;10,8767;
3492,454;10,2515;
3494,382;9,50408;
3496,311;8,66584;
3498,239;7,79239;
3500,168;6,95129;
3502,096;6,21129;
3504,024;5,62306;
3505,953;5,1942;
3507,881;4,88604;
3509,810;4,64031;
3511,738;4,40874;
3513,667;4,16585;
3515,595;3,90638;
3517,524;3,6362;
3519,452;3,36438;
3521,381;3,09977;
3523,309;2,85185;
3525,238;2,63385;
3527,166;2,46171;
3529,095;2,34406;
3531,023;2,27134;
3532,951;2,21967;
3534,880;2,16545;
3536,808;2,09627;
3538,737;2,01301;
3540,665;1,92628;
3542,594;1,84974;
3544,522;1,79241;
3546,451;1,75378;
3548,379;1,72593;
3550,308;1,69978;
3552,236;1,66987;
3554,165;1,63535;
3556,093;1,5986;
3558,022;1,56316;
3559,950;1,53217;
3561,878;1,50747;
3563,807;1,48936;
3565,735;1,4769;
3567,664;1,4684;
3569,592;1,46193;
3571,521;1,45598;
3573,449;1,44979;
3575,378;1,44325;
3577,306;1,4364;
3579,235;1,42924;
3581,163;1,42225;
3583,092;1,41721;
3585,020;1,41721;
3586,949;1,42516;
3588,877;1,44143;
3590,805;1,46296;
3592,734;1,48526;
3594,662;1,50567;
3596,591;1,5254;
3598,519;1,54918;
3600,448;1,58263;
3602,376;1,6285;
3604,305;1,68478;
3606,233;1,74663;
3608,162;1,80965;
3610,090;1,87167;
3612,019;1,93294;
3613,947;1,9957;
3615,876;2,0635;
3617,804;2,13997;
3619,732;2,2271;
3621,661;2,3241;
3623,589;2,42809;
3625,518;2,53674;
3627,446;2,65092;
3629,375;2,77556;
3631,303;2,91795;
3633,232;3,08422;
3635,160;3,27579;
3637,089;3,48864;
3639,017;3,7168;
3640,946;3,95736;
3642,874;4,21288;
3644,803;4,49095;
3646,731;4,80304;
3648,659;5,16462;
3650,588;5,59552;
3652,516;6,11615;
3654,445;6,73494;
3656,373;7,43442;
3658,302;8,17479;
3660,230;8,91887;
3662,159;9,65511;
3664,087;10,4025;
3666,016;11,2023;
3667,944;12,1014;
3669,873;13,1237;
3671,801;14,2342;
3673,730;15,3317;
3675,658;16,3018;
3677,586;17,0839;
3679,515;17,6824;
3681,443;18,13;
3683,372;18,451;
3685,300;18,6373;
3687,229;18,6373;
3689,157;18,3738;
3691,086;17,8116;
3693,014;17,0251;
3694,943;16,1643;
3696,871;15,3481;
3698,800;14,6057;
3700,728;13,8873;
3702,657;13,0986;
3704,585;12,1615;
3706,513;11,1014;
3708,442;10,0656;
3710,370;9,19581;
3712,299;8,51673;
3714,227;7,96701;
3716,156;7,47211;
3718,084;6,9827;
3720,013;6,48725;
3721,941;6,00747;
3723,870;5,57335;
3725,798;5,19739;
3727,727;4,87277;
3729,655;4,58725;
3731,584;4,33179;
3733,512;4,1006;
3735,440;3,88844;
3737,369;3,69035;
3739,297;3,50388;
3741,226;3,33108;
3743,154;3,17713;
3745,083;3,04657;
3747,011;2,94021;
3748,940;2,85383;
3750,868;2,7783;
3752,797;2,70158;
3754,725;2,61408;
3756,654;2,51519;
3758,582;2,41405;
3760,511;2,3228;
3762,439;2,24957;
3764,367;2,19612;
3766,296;2,15878;
3768,224;2,13059;
3770,153;2,10443;
3772,081;2,07623;
3774,010;2,04639;
3775,938;2,01819;
3777,867;1,99487;
3779,795;1,97767;
3781,724;1,96565;
3783,652;1,95664;
3785,581;1,94874;
3787,509;1,9415;
3789,438;1,93613;
3791,366;1,93475;
3793,294;1,93904;
3795,223;1,9492;
3797,151;1,96378;
3799,080;1,98033;
3801,008;1,9969;
3802,937;2,01322;
3804,865;2,03075;
3806,794;2,05189;
3808,722;2,07864;
3810,651;2,11195;
3812,579;2,15152;
3814,508;2,19627;
3816,436;2,24516;
3818,365;2,29795;
3820,293;2,35537;
3822,221;2,41892;
3824,150;2,4901;
3826,078;2,56975;
3828,007;2,65786;
3829,935;2,754;
3831,864;2,85817;
3833,792;2,9713;
3835,721;3,09525;
3837,649;3,23231;
3839,578;3,38461;
3841,506;3,55388;
3843,435;3,74138;
3845,363;3,94806;
3847,292;4,17497;
3849,220;4,42365;
3851,148;4,69666;
3853,077;4,99786;
3855,005;5,26511;
3856,934;5,63042;
3858,862;6,03583;
3860,791;6,48445;
3862,719;6,97824;
3864,648;7,51878;
3866,576;8,10816;
3868,505;8,74896;
3870,433;9,44294;
3872,362;10,1891;
3874,290;10,9822;
3876,219;11,8123;
3878,147;12,6653;
3880,075;13,5241;
3882,004;14,369;
3883,932;15,1782;
3885,861;15,9291;
3887,789;16,5989;
3889,718;17,1668;
3891,646;17,6143;
3893,575;17,9262;
3895,503;18,0912;
3897,432;18,1024;
3899,360;17,9589;
3901,289;17,666;
3903,217;17,2346;
3905,146;16,6802;
3907,074;16,0218;
3909,002;15,2807;
3910,931;14,4801;
3912,859;13,6432;
3914,788;12,7928;
3916,716;11,9491;
3918,645;11,1292;
3920,573;10,3461;
3922,502;9,60907;
3924,430;8,92319;
3926,359;8,29042;
3928,287;7,71037;
3930,216;7,18125;
3932,144;6,70054;
3934,073;6,26515;
3936,001;5,87145;
3937,929;5,51539;
3939,858;5,19288;
3941,786;4,90025;
3943,715;4,63454;
3945,643;4,39349;
3947,572;4,17516;
3949,500;3,97759;
3951,429;3,79861;
3953,357;3,63599;
3955,286;3,4877;
3957,214;3,3522;
3959,143;3,22851;
3961,071;3,11605;
3963,000;3,01432;
3964,928;2,92263;
3966,857;2,83991;
3968,785;2,76482;
3970,713;2,69612;
3972,642;2,63299;
3974,570;2,57525;
3976,499;2,52325;
3978,427;2,47741;
3980,356;2,43779;
3982,284;2,40379;
3984,213;2,37433;
3986,141;2,34826;
3988,070;2,32484;
3989,998;2,30393;
3991,927;2,28593;
3993,855;2,27136;
3995,784;2,2606;
3997,712;2,25374;
3999,640;2,25062;
4001,569;2,251;
4003,497;2,25468;
4005,426;2,26157;
4007,354;2,27168;
4009,283;2,28522;
4011,211;2,3025;
4013,140;2,32388;
4015,068;2,34957;
4016,997;2,37949;
4018,925;2,41337;
4020,854;2,45098;
4022,782;2,49243;
4024,711;2,53833;
4026,639;2,5896;
4028,567;2,64713;
4030,496;2,71146;
4032,424;2,78273;
4034,353;2,86091;
4036,281;2,94609;
4038,210;3,03872;
4040,138;3,13961;
4042,067;3,24977;
4043,995;3,37029;
4045,924;3,50223;
4047,852;3,64667;
4049,781;3,80474;
4051,709;3,97764;
4053,638;4,16669;
4055,566;4,37336;
4057,494;4,59938;
4059,423;4,84678;
4061,351;5,11794;
4063,280;5,41548;
4065,208;5,74235;
4067,137;6,10175;
4069,065;6,49714;
4070,994;6,93212;
4072,922;7,41015;
4074,851;7,93419;
4076,779;8,50626;
4078,708;9,12714;
4080,636;9,79599;
4082,565;10,5101;
4084,493;11,2644;
4086,421;12,0513;
4088,350;12,8604;
4090,278;13,6779;
4092,207;14,4875;
4094,135;15,2701;
4096,064;16,0052;
4097,992;16,6721;
4099,921;17,2505;
4101,849;17,7219;
4103,778;18,0709;
4105,706;18,2859;
4107,635;18,3602;
4109,563;18,2928;
4111,492;18,0886;
4113,420;17,7586;
4115,348;17,3181;
4117,277;16,7854;
4119,205;16,1795;
4121,134;15,5187;
4123,062;14,8198;
4124,991;14,098;
4126,919;13,3676;
4128,848;12,6419;
4130,776;11,9327;
4132,705;11,2491;
4134,633;10,5964;
4136,562;9,9768;
4138,490;9,3899;
4140,419;8,83471;
4142,347;8,31078;
4144,275;7,81861;
4146,204;7,35915;
4148,132;6,93294;
4150,061;6,5395;
4151,989;6,17738;
4153,918;5,84453;
4155,846;5,53885;
4157,775;5,25839;
4159,703;5,00141;
4161,632;4,76628;
4163,560;4,55144;
4165,489;4,35541;
4167,417;4,17681;
4169,346;4,01425;
4171,274;3,8663;
4173,202;3,73145;
4175,131;3,60829;
4177,059;3,49558;
4178,988;3,3924;
4180,916;3,29803;
4182,845;3,21187;
4184,773;3,13334;
4186,702;3,06185;
4188,630;2,99689;
4190,559;2,9381;
4192,487;2,88535;
4194,416;2,83864;
4196,344;2,79795;
4198,273;2,76316;
4200,201;2,7338;
4202,129;2,70918;
4204,058;2,68846;
4205,986;2,67101;
4207,915;2,65661;
4209,843;2,64545;
4211,772;2,63793;
4213,700;2,63436;
4215,629;2,63475;
4217,557;2,63898;
4219,486;2,64701;
4221,414;2,65906;
4223,343;2,67557;
4225,271;2,69686;
4227,200;2,72287;
4229,128;2,7532;
4231,056;2,78749;
4232,985;2,82577;
4234,913;2,86871;
4236,842;2,91734;
4238,770;2,97256;
4240,699;3,03482;
4242,627;3,10408;
4244,556;3,18018;
4246,484;3,26331;
4248,413;3,3541;
4250,341;3,45356;
4252,270;3,56273;
4254,198;3,68247;
4256,127;3,81346;
4258,055;3,95646;
4259,983;4,11251;
4261,912;4,28306;
4263,840;4,46996;
4265,769;4,67528;
4267,697;4,90127;
4269,626;5,15014;
4271,554;5,42405;
4273,483;5,72506;
4275,411;6,05536;
4277,340;6,41742;
4279,268;6,81419;
4281,197;7,24897;
4283,125;7,72501;
4285,054;8,24498;
4286,982;8,81057;
4288,910;9,42247;
4290,839;10,0805;
4292,767;10,7837;
4294,696;11,5298;
4296,624;12,3148;
4298,553;13,1322;
4300,481;13,973;
4302,410;14,8254;
4304,338;15,6757;
4306,267;16,5086;
4308,195;17,3072;
4310,124;18,0529;
4312,052;18,726;
4313,981;19,3067;
4315,909;19,7761;
4317,837;20,1184;
4319,766;20,3215;
4321,694;20,3786;
4323,623;20,2878;
4325,551;20,0528;
4327,480;19,6822;
4329,408;19,1891;
4331,337;18,5903;
4333,265;17,9052;
4335,194;17,1538;
4337,122;16,3563;
4339,051;15,5316;
4340,979;14,6967;
4342,908;13,8668;
4344,836;13,054;
4346,764;12,2683;
4348,693;11,5168;
4350,621;10,8048;
4352,550;10,1355;
4354,478;9,51084;
4356,407;8,9313;
4358,335;8,39637;
4360,264;7,90447;
4362,192;7,45331;
4364,121;7,04015;
4366,049;6,66215;
4367,978;6,31644;
4369,906;6,00034;
4371,835;5,71136;
4373,763;5,44725;
4375,691;5,20614;
4377,620;4,98638;
4379,548;4,78645;
4381,477;4,60476;
4383,405;4,43958;
4385,334;4,28906;
4387,262;4,15148;
4389,191;4,02543;
4391,119;3,90999;
4393,048;3,80465;
4394,976;3,70911;
4396,905;3,62296;
4398,833;3,54549;
4400,762;3,47563;
4402,690;3,41221;
4404,618;3,35436;
4406,547;3,30173;
4408,475;3,25456;
4410,404;3,21328;
4412,332;3,17815;
4414,261;3,14889;
4416,189;3,12484;
4418,118;3,10532;
4420,046;3,08996;
4421,975;3,07891;
4423,903;3,07258;
4425,832;3,07135;
4427,760;3,07534;
4429,689;3,08445;
4431,617;3,0985;
4433,546;3,11741;
4435,474;3,14116;
4437,402;3,16976;
4439,331;3,20317;
4441,259;3,24137;
4443,188;3,28451;
4445,116;3,33282;
4447,045;3,38658;
4448,973;3,44603;
4450,902;3,51145;
4452,830;3,58336;
4454,759;3,6627;
4456,687;3,75073;
4458,616;3,8487;
4460,544;3,95744;
4462,473;4,07723;
4464,401;4,20804;
4466,329;4,35;
4468,258;4,50387;
4470,186;4,67113;
4472,115;4,85371;
4474,043;5,05355;
4475,972;5,27231;
4477,900;5,51139;
4479,829;5,77225;
4481,757;6,05672;
4483,686;6,36717;
4485,614;6,70632;
4487,543;7,0769;
4489,471;7,48121;
4491,400;7,92098;
4493,328;8,39745;
4495,256;8,91148;
4497,185;9,46362;
4499,113;10,0539;
4501,042;10,6816;
4502,970;11,3443;
4504,899;12,0383;
4506,827;12,758;
4508,756;13,4964;
4510,684;14,245;
4512,613;14,9943;
4514,541;15,7339;
4516,470;16,4525;
4518,398;17,1382;
4520,327;17,7789;
4522,255;18,3628;
4524,183;18,8789;
4526,112;19,3172;
4528,040;19,6687;
4529,969;19,9251;
4531,897;20,0788;
4533,826;20,124;
4535,754;20,0568;
4537,683;19,8769;
4539,611;19,588;
4541,540;19,1969;
4543,468;18,7132;
4545,397;18,1478;
4547,325;17,5127;
4549,254;16,8206;
4551,182;16,0861;
4553,110;15,3244;
4555,039;14,5513;
4556,967;13,7813;
4558,896;13,0267;
4560,824;12,2972;
4562,753;11,5995;
4564,681;10,9383;
4566,610;10,3163;
4568,538;9,73439;
4570,467;9,19214;
4572,395;8,68805;
4574,324;8,22043;
4576,252;7,78787;
4578,181;7,38933;
4580,109;7,0237;
4582,037;6,68924;
4583,966;6,38338;
4585,894;6,10304;
4587,823;5,84527;
4589,751;5,60788;
4591,680;5,38961;
4593,608;5,18973;
4595,537;5,00746;
4597,465;4,84145;
4599,394;4,68981;
4601,322;4,5506;
4603,251;4,42234;
4605,179;4,30438;
4607,108;4,19669;
4609,036;4,09928;
4610,964;4,01174;
4612,893;3,93305;
4614,821;3,8619;
4616,750;3,79722;
4618,678;3,73853;
4620,607;3,6859;
4622,535;3,63953;
4624,464;3,59947;
4626,392;3,56539;
4628,321;3,53683;
4630,249;3,51346;
4632,178;3,49523;
4634,106;3,48227;
4636,035;3,47472;
4637,963;3,47252;
4639,891;3,47548;
4641,820;3,4834;
4643,748;3,49625;
4645,677;3,51422;
4647,605;3,53763;
4649,534;3,56673;
4651,462;3,60157;
4653,391;3,64203;
4655,319;3,68793;
4657,248;3,73929;
4659,176;3,79652;
4661,105;3,86038;
4663,033;3,93188;
4664,962;4,01188;
4666,890;4,10093;
4668,818;4,19922;
4670,747;4,30678;
4672,675;4,42386;
4674,604;4,55125;
4676,532;4,69024;
4678,461;4,84238;
4680,389;5,00903;
4682,318;5,19116;
4684,246;5,38936;
4686,175;5,60424;
4688,103;5,83684;
4690,032;6,08894;
4691,960;6,3629;
4693,889;6,66136;
4695,817;6,98682;
4697,745;7,34139;
4699,674;7,72681;
4701,602;8,14458;
4703,531;8,59611;
4705,459;9,08274;
4707,388;9,60561;
4709,316;10,1655;
4711,245;10,7624;
4713,173;11,3956;
4715,102;12,063;
4717,030;12,7613;
4718,959;13,4858;
4720,887;14,2302;
4722,816;14,9871;
4724,744;15,7476;
4726,672;16,501;
4728,601;17,2353;
4730,529;17,937;
4732,458;18,5918;
4734,386;19,1856;
4736,315;19,7049;
4738,243;20,1375;
4740,172;20,4729;
4742,100;20,7025;
4744,029;20,8195;
4745,957;20,8203;
4747,886;20,7043;
4749,814;20,4749;
4751,743;20,1388;
4753,671;19,706;
4755,599;19,1883;
4757,528;18,599;
4759,456;17,9519;
4761,385;17,261;
4763,313;16,5401;
4765,242;15,8022;
4767,170;15,0595;
4769,099;14,3223;
4771,027;13,5996;
4772,956;12,8979;
4774,884;12,2223;
4776,813;11,5764;
4778,741;10,9626;
4780,670;10,3828;
4782,598;9,8384;
4784,526;9,32974;
4786,455;8,85635;
4788,383;8,4168;
4790,312;8,00909;
4792,240;7,6312;
4794,169;7,28152;
4796,097;6,95888;
4798,026;6,66214;
4799,954;6,38984;
4801,883;6,13993;
4803,811;5,91008;
4805,740;5,69813;
4807,668;5,50246;
4809,597;5,32206;
4811,525;5,15625;
4813,453;5,00431;
4815,382;4,86531;
4817,310;4,73821;
4819,239;4,62206;
4821,167;4,51619;
4823,096;4,42018;
4825,024;4,33363;
4826,953;4,25598;
4828,881;4,18646;
4830,810;4,12418;
4832,738;4,06842;
4834,667;4,01883;
4836,595;3,97552;
4838,524;3,93881;
4840,452;3,90897;
4842,380;3,88582;
4844,309;3,86874;
4846,237;3,85689;
4848,166;3,84957;
4850,094;3,84662;
4852,023;3,8484;
4853,951;3,85565;
4855,880;3,86905;
4857,808;3,88905;
4859,737;3,91577;
4861,665;3,94907;
4863,594;3,98873;
4865,522;4,03447;
4867,451;4,08618;
4869,379;4,14402;
4871,307;4,20849;
4873,236;4,28036;
4875,164;4,3604;
4877,093;4,44909;
4879,021;4,54657;
4880,950;4,65284;
4882,878;4,76823;
4884,807;4,89365;
4886,735;5,03052;
4888,664;5,18037;
4890,592;5,34443;
4892,521;5,52353;
4894,449;5,7183;
4896,378;5,92962;
4898,306;6,15881;
4900,235;6,40758;
4902,163;6,67769;
4904,091;6,97067;
4906,020;7,28777;
4907,948;7,63002;
4909,877;7,99855;
4911,805;8,39467;
4913,734;8,81997;
4915,662;9,27612;
4917,591;9,76466;
4919,519;10,2866;
4921,448;10,842;
4923,376;11,4299;
4925,305;12,0482;
4927,233;12,6943;
4929,162;13,3646;
4931,090;14,0551;
4933,018;14,7605;
4934,947;15,4743;
4936,875;16,1885;
4938,804;16,8939;
4940,732;17,5805;
4942,661;18,2372;
4944,589;18,8516;
4946,518;19,4106;
4948,446;19,901;
4950,375;20,3112;
4952,303;20,6317;
4954,232;20,8555;
4956,160;20,9779;
4958,089;20,996;
4960,017;20,9087;
4961,945;20,7179;
4963,874;20,4285;
4965,802;20,048;
4967,731;19,5864;
4969,659;19,055;
4971,588;18,4657;
4973,516;17,8309;
4975,445;17,1621;
4977,373;16,4707;
4979,302;15,7667;
4981,230;15,0601;
4983,159;14,3598;
4985,087;13,6737;
4987,016;13,0078;
4988,944;12,366;
4990,872;11,7509;
4992,801;11,1645;
4994,729;10,6093;
4996,658;10,0873;
4998,586;9,59944;
5000,515;9,14506;
5002,443;8,72217;
5004,372;8,32835;
5006,300;7,9615;
5008,229;7,62007;
5010,157;7,30292;
5012,086;7,00908;
5014,014;6,73765;
5015,943;6,48767;
5017,871;6,25795;
5019,799;6,04694;
5021,728;5,85278;
5023,656;5,67365;
5025,585;5,50821;
5027,513;5,35573;
5029,442;5,21581;
5031,370;5,08792;
5033,299;4,97117;
5035,227;4,86445;
5037,156;4,76679;
5039,084;4,67762;
5041,013;4,59681;
5042,941;4,52451;
5044,870;4,46087;
5046,798;4,40585;
5048,726;4,35894;
5050,655;4,3192;
5052,583;4,28539;
5054,512;4,25654;
5056,440;4,23232;
5058,369;4,21328;
5060,297;4,20045;
5062,226;4,19453;
5064,154;4,19548;
5066,083;4,20269;
5068,011;4,21562;
5069,940;4,2342;
5071,868;4,2588;
5073,797;4,28985;
5075,725;4,32751;
5077,653;4,37167;
5079,582;4,42228;
5081,510;4,47952;
5083,439;4,5438;
5085,367;4,61546;
5087,296;4,69477;
5089,224;4,78213;
5091,153;4,87837;
5093,081;4,98482;
5095,010;5,103;
5096,938;5,23404;
5098,867;5,37834;
5100,795;5,53544;
5102,724;5,70455;
5104,652;5,88521;
5106,580;6,07796;
5108,509;6,28474;
5110,437;6,50882;
5112,366;6,75427;
5114,294;7,02458;
5116,223;7,32113;
5118,151;7,6426;
5120,080;7,98619;
5122,008;8,35004;
5123,937;8,73511;
5125,865;9,14509;
5127,794;9,58444;
5129,722;10,0562;
5131,651;10,5608;
5133,579;11,0967;
5135,507;11,6618;
5137,436;12,2551;
5139,364;12,8752;
5141,293;13,5188;
5143,221;14,1788;
5145,150;14,8454;
5147,078;15,5092;
5149,007;16,1635;
5150,935;16,8048;
5152,864;17,4299;
5154,792;18,0325;
5156,721;18,602;
5158,649;19,1243;
5160,578;19,5848;
5162,506;19,9718;
5164,434;20,2771;
5166,363;20,4963;
5168,291;20,6268;
5170,220;20,6679;
5172,148;20,6189;
5174,077;20,4796;
5176,005;20,2501;
5177,934;19,9333;
5179,862;19,5374;
5181,791;19,076;
5183,719;18,5639;
5185,648;18,0119;
5187,576;17,4239;
5189,505;16,8007;
5191,433;16,1468;
5193,361;15,4745;
5195,290;14,8016;
5197,218;14,1435;
5199,147;13,5066;
5201,075;12,8897;
5203,004;12,2905;
5204,932;11,7112;
5206,861;11,1591;
5208,789;10,6407;
5210,718;10,1577;
5212,646;9,70612;
5214,575;9,28114;
5216,503;8,88055;
5218,432;8,50551;
5220,360;8,15754;
5222,288;7,83545;
5224,217;7,53509;
5226,145;7,25207;
5228,074;6,98481;
5230,002;6,73536;
5231,931;6,50695;
5233,859;6,3007;
5235,788;6,11444;
5237,716;5,94397;
5239,645;5,78553;
5241,573;5,63717;
5243,502;5,49873;
5245,430;5,37093;
5247,359;5,25445;
5249,287;5,14965;
5251,215;5,05652;
5253,144;4,97466;
5255,072;4,90308;
5257,001;4,84026;
5258,929;4,7844;
5260,858;4,73397;
5262,786;4,68827;
5264,715;4,64768;
5266,643;4,61338;
5268,572;4,58664;
5270,500;4,56809;
5272,429;4,55759;
5274,357;4,5544;
5276,286;4,55758;
5278,214;4,56639;
5280,142;4,58052;
5282,071;4,60026;
5283,999;4,62629;
5285,928;4,65924;
5287,856;4,69945;
5289,785;4,74704;
5291,713;4,80219;
5293,642;4,86525;
5295,570;4,93668;
5297,499;5,0167;
5299,427;5,10508;
5301,356;5,20134;
5303,284;5,30532;
5305,213;5,41779;
5307,141;5,54059;
5309,069;5,67619;
5310,998;5,82667;
5312,926;5,99276;
5314,855;6,17348;
5316,783;6,36721;
5318,712;6,57341;
5320,640;6,79392;
5322,569;7,0325;
5324,497;7,29305;
5326,426;7,57731;
5328,354;7,88386;
5330,283;8,20939;
5332,211;8,55167;
5334,140;8,91192;
5336,068;9,29497;
5337,996;9,70706;
5339,925;10,1528;
5341,853;10,6323;
5343,782;11,1407;
5345,710;11,6703;
5347,639;12,2139;
5349,567;12,7681;
5351,496;13,3338;
5353,424;13,9132;
5355,353;14,5079;
5357,281;15,1153;
5359,210;15,7285;
5361,138;16,3376;
5363,067;16,9325;
5364,995;17,5051;
5366,924;18,0494;
5368,852;18,56;
5370,780;19,0303;
5372,709;19,4516;
5374,637;19,814;
5376,566;20,1087;
5378,494;20,3289;
5380,423;20,4701;
5382,351;20,5296;
5384,280;20,5057;
5386,208;20,3982;
5388,137;20,2094;
5390,065;19,9436;
5391,994;19,6071;
5393,922;19,2068;
5395,851;18,7498;
5397,779;18,2435;
5399,707;17,6957;
5401,636;17,1156;
5403,564;16,5133;
5405,493;15,8991;
5407,421;15,2817;
5409,350;14,6682;
5411,278;14,0635;
5413,207;13,4714;
5415,135;12,8945;
5417,064;12,3353;
5418,992;11,7962;
5420,921;11,2792;
5422,849;10,7861;
5424,778;10,3179;
5426,706;9,87552;
5428,634;9,45929;
