,Part of: cyclohexanone with sp no au,Part of: Part of: cyclohexanone no au,
Wavelength [nm],Transmittance %,Transmittance %,
985.447,16.911,29.2207,
987.375,18.2651,30.8267,
989.304,19.2913,32.0707,
991.232,20.1258,32.941,
993.160,20.9691,33.4912,
995.089,22.012,33.7834,
997.017,23.3593,33.8483,
998.946,24.98,33.6747,
1000.874,26.7144,33.2163,
1002.803,28.3407,32.3955,
1004.731,29.6711,31.1019,
1006.660,30.6241,29.2022,
1008.588,31.2365,26.5815,
1010.517,31.6131,23.2113,
1012.445,31.8528,19.2135,
1014.374,31.9939,14.8769,
1016.302,31.9995,10.6079,
1018.231,31.775,6.83408,
1020.159,31.1916,3.91085,
1022.087,30.1044,2.07381,
1024.016,28.3706,1.4451,
1025.944,25.8861,2.06597,
1027.873,22.6399,3.91617,
1029.801,18.7654,6.90223,
1031.730,14.5519,10.8311,
1033.658,10.3971,15.4039,
1035.587,6.71819,20.2536,
1037.515,3.86347,25.0185,
1039.444,2.06548,29.4191,
1041.372,1.44596,33.3003,
1043.301,2.04712,36.6269,
1045.229,3.85186,39.4426,
1047.158,6.77376,41.8221,
1049.086,10.631,43.8386,
1051.014,15.1371,45.5528,
1052.943,19.9342,47.0145,
1054.871,24.663,48.2677,
1056.800,29.0395,49.3515,
1058.728,32.9024,50.2986,
1060.657,36.2122,51.1346,
1062.585,39.0139,51.8789,
1064.514,41.3862,52.5465,
1066.442,43.4044,53.1491,
1068.371,45.1254,53.6944,
1070.299,46.59,54.1854,
1072.228,47.8325,54.6199,
1074.156,48.888,54.9918,
1076.085,49.794,55.2935,
1078.013,50.5885,55.5198,
1079.941,51.3049,55.6701,
1081.870,51.9665,55.748,
1083.798,52.5828,55.7564,
1085.727,53.1499,55.6912,
1087.655,53.654,55.5373,
1089.584,54.0779,55.2696,
1091.512,54.4068,54.856,
1093.441,54.633,54.2595,
1095.369,54.7584,53.4348,
1097.298,54.7932,52.325,
1099.226,54.7526,50.8621,
1101.155,54.6502,48.9754,
1103.083,54.4923,46.6037,
1105.012,54.2743,43.6091,
1106.940,53.9808,40.1776,
1108.868,53.5871,36.1796,
1110.797,53.0577,31.6348,
1112.725,52.3406,26.6282,
1114.654,51.365,21.3465,
1116.582,50.0449,16.0869,
1118.511,48.2929,11.2163,
1120.439,46.0373,7.08753,
1122.368,43.1562,3.9509,
1124.296,39.7937,1.90959,
1126.225,35.8513,0.939614,
1128.153,31.3558,0.951865,
1130.082,26.3969,1.85179,
1132.010,21.1631,3.56077,
1133.939,15.951,5.99732,
1135.867,11.1246,9.04651,
1137.795,7.0333,12.5493,
1139.724,3.92468,16.3206,
1141.652,1.9012,20.1803,
1143.581,0.940197,23.9747,
1145.509,0.954956,27.5829,
1147.438,1.85289,30.9186,
1149.366,3.55575,33.9378,
1151.295,5.98073,36.6403,
1153.223,9.0108,39.0421,
1155.152,12.485,41.1118,
1157.080,16.2174,42.7067,
1159.009,20.0279,43.5737,
1160.937,23.7642,43.4617,
1162.866,27.3079,42.3195,
1164.794,30.5761,40.4695,
1166.723,33.5272,38.6146,
1168.651,36.1609,37.6159,
1170.579,38.489,38.1316,
1172.508,40.4746,40.3215,
1174.436,41.9724,43.7838,
1176.365,42.7344,47.749,
1178.293,42.5196,51.41,
1180.222,41.2825,54.2118,
1182.150,39.3302,55.9702,
1184.079,37.3205,56.7986,
1186.007,36.0467,56.9299,
1187.936,36.1065,56.5539,
1189.864,37.6453,55.743,
1191.793,40.3209,54.4623,
1193.721,43.4952,52.6147,
1195.650,46.5272,50.0764,
1197.578,49.0052,46.7195,
1199.506,50.8124,42.4438,
1201.435,52.0312,37.2358,
1203.363,52.7819,31.2385,
1205.292,53.1045,24.7872,
1207.220,52.9349,18.3744,
1209.149,52.1519,12.5421,
1211.077,50.6348,7.74425,
1213.006,48.2894,4.25183,
1214.934,45.0464,2.13755,
1216.863,40.8683,1.33591,
1218.791,35.7892,1.72803,
1220.720,29.9741,3.19671,
1222.648,23.7546,5.62152,
1224.577,17.599,8.81924,
1226.505,12.0161,12.4667,
1228.433,7.42993,16.0628,
1230.362,4.09311,18.9821,
1232.290,2.07494,20.6295,
1234.219,1.31813,20.6401,
1236.147,1.71621,19.0238,
1238.076,3.16009,16.1808,
1240.004,5.52747,12.7807,
1241.933,8.62382,9.54769,
1243.861,12.1138,7.03117,
1245.790,15.4965,5.48796,
1247.718,18.1691,4.97349,
1249.647,19.5812,5.56483,
1251.575,19.4208,7.49505,
1253.504,17.7383,11.0569,
1255.432,14.9457,16.3436,
1257.360,11.6914,23.0356,
1259.289,8.65423,30.4127,
1261.217,6.33207,37.594,
1263.146,4.94303,43.8407,
1265.074,4.52553,48.7549,
1267.003,5.15468,52.312,
1268.931,7.06301,54.7535,
1270.860,10.5367,56.4124,
1272.788,15.6614,57.57,
1274.717,22.1208,58.4056,
1276.645,29.218,59.0199,
1278.574,36.1153,59.4717,
1280.502,42.1273,59.7919,
1282.431,46.9046,59.9796,
1284.359,50.4483,60.003,
1286.287,52.9911,59.8158,
1288.216,54.8249,59.3798,
1290.144,56.1746,58.6764,
1292.073,57.1685,57.7006,
1294.001,57.8753,56.4456,
1295.930,58.3482,54.8957,
1297.858,58.6385,53.042,
1299.787,58.7841,50.9125,
1301.715,58.7922,48.5828,
1303.644,58.6417,46.1348,
1305.572,58.2988,43.5822,
1307.501,57.7311,40.8286,
1309.429,56.9099,37.7109,
1311.358,55.803,34.1001,
1313.286,54.3764,29.9822,
1315.214,52.6142,25.4678,
1317.143,50.5481,20.7476,
1319.071,48.2623,16.0525,
1321.000,45.8481,11.6533,
1322.928,43.3247,7.87032,
1324.857,40.5982,5.00557,
1326.785,37.5069,3.18434,
1328.714,33.924,2.26971,
1330.642,29.838,1.98704,
1332.571,25.3606,2.13035,
1334.499,20.6803,2.65373,
1336.428,16.0222,3.60717,
1338.356,11.6509,4.97405,
1340.285,7.88333,6.51381,
1342.213,5.02337,7.76359,
1344.141,3.20167,8.25851,
1346.070,2.28591,7.79103,
1347.998,2.00304,6.49517,
1349.927,2.146,4.75442,
1351.855,2.66659,3.05016,
1353.784,3.61246,1.82668,
1355.712,4.96578,1.40202,
1357.641,6.48688,1.93261,
1359.569,7.71648,3.41318,
1361.498,8.19549,5.68552,
1363.426,7.72222,8.47912,
1365.355,6.43291,11.5363,
1367.283,4.70758,14.7587,
1369.212,3.01959,18.2377,
1371.140,1.80398,22.1836,
1373.068,1.37212,26.836,
1374.997,1.87831,32.3329,
1376.925,3.31853,38.4947,
1378.854,5.53525,44.6832,
1380.782,8.2541,50.0742,
1382.711,11.2091,54.2086,
1384.639,14.2926,57.1669,
1386.568,17.5874,59.2827,
1388.496,21.293,60.8535,
1390.425,25.6331,62.0496,
1392.353,30.7297,62.9436,
1394.282,36.4017,63.5741,
1396.210,42.0411,64.0005,
1398.139,46.8808,64.3134,
1400.067,50.5144,64.5984,
1401.995,53.052,64.9006,
1403.924,54.8465,65.2358,
1405.852,56.2241,65.635,
1407.781,57.3987,66.1787,
1409.709,58.4864,66.9771,
1411.638,59.5338,68.0781,
1413.566,60.5381,69.3697,
1415.495,61.4668,70.6258,
1417.423,62.2823,71.6707,
1419.352,62.9644,72.463,
1421.280,63.527,73.0603,
1423.209,64.0276,73.5542,
1425.137,64.5668,74.0147,
1427.066,65.2528,74.4567,
1428.994,66.1155,74.8557,
1430.922,67.0323,75.1933,
1432.851,67.7884,75.4693,
1434.779,68.2322,75.6827,
1436.708,68.3479,75.8252,
1438.636,68.234,75.8932,
1440.565,68.0773,75.9027,
1442.493,68.122,75.9028,
1444.422,68.5721,75.9713,
1446.350,69.4495,76.1812,
1448.279,70.5742,76.5477,
1450.207,71.7114,77.0081,
1452.136,72.6991,77.4599,
1454.064,73.4662,77.818,
1455.993,74.0025,78.0492,
1457.921,74.3406,78.182,
1459.849,74.5556,78.2991,
1461.778,74.7638,78.503,
1463.706,75.0822,78.8486,
1465.635,75.5507,79.3036,
1467.563,76.1007,79.7846,
1469.492,76.6175,80.2119,
1471.420,77.0145,80.5345,
1473.349,77.2632,80.7352,
1475.277,77.3932,80.8209,
1477.206,77.4861,80.8023,
1479.134,77.6496,80.6684,
1481.063,77.9548,80.3798,
1482.991,78.3766,79.8912,
1484.920,78.8146,79.1863,
1486.848,79.164,78.2983,
1488.776,79.3543,77.3133,
1490.705,79.3543,76.3611,
1492.633,79.1686,75.5941,
1494.562,78.8342,75.1442,
1496.490,78.4082,75.067,
1498.419,77.9394,75.3078,
1500.347,77.4403,75.7205,
1502.276,76.8879,76.1352,
1504.204,76.2599,76.4284,
1506.133,75.5716,76.5534,
1508.061,74.8913,76.5268,
1509.990,74.3282,76.3874,
1511.918,73.9932,76.1602,
1513.847,73.9442,75.8455,
1515.775,74.1447,75.4328,
1517.703,74.4674,74.9161,
1519.632,74.7433,74.2848,
1521.560,74.8263,73.4825,
1523.489,74.637,72.3686,
1525.417,74.1765,70.7455,
1527.346,73.5138,68.4726,
1529.274,72.7572,65.5818,
1531.203,72.0232,62.2895,
1533.131,71.411,58.9147,
1535.060,70.9789,55.796,
1536.988,70.7074,53.2526,
1538.917,70.4543,51.5424,
1540.845,69.9442,50.7636,
1542.774,68.8522,50.7585,
1544.702,66.9718,51.1783,
1546.630,64.3422,51.6888,
1548.559,61.2247,52.1093,
1550.487,57.9782,52.4056,
1552.416,54.9578,52.6193,
1554.344,52.4801,52.7909,
1556.273,50.7963,52.8748,
1558.201,50.0051,52.6951,
1560.130,49.9589,52.0181,
1562.058,50.3194,50.67,
1563.987,50.7558,48.564,
1565.915,51.0849,45.6731,
1567.844,51.273,42.0169,
1569.772,51.377,37.6786,
1571.701,51.4755,32.8533,
1573.629,51.5719,27.912,
1575.557,51.5066,23.3898,
1577.486,51.0071,19.7976,
1579.414,49.8433,17.3657,
1581.343,47.898,15.9771,
1583.271,45.1402,15.3019,
1585.200,41.5955,14.9233,
1587.128,37.353,14.3946,
1589.057,32.6103,13.3486,
1590.985,27.7378,11.6976,
1592.914,23.2688,9.67959,
1594.842,19.7132,7.62184,
1596.771,17.3015,5.71774,
1598.699,15.9184,4.01705,
1600.628,15.2355,2.52755,
1602.556,14.8387,1.30541,
1604.484,14.287,0.461439,
1606.413,13.2223,0.0445222,
1608.341,11.5657,1.00001E-8,
