,cavity_after2,
Wavenumbers [1/cm],Transmittance %,
5614.000,9.82,
5613.000,9.91,
5612.000,10.01,
5611.000,10.1,
5610.000,10.21,
5609.000,10.31,
5608.000,10.41,
5607.000,10.51,
5606.000,10.61,
5605.000,10.71,
5604.000,10.81,
5603.000,10.92,
5602.000,11.03,
5601.000,11.14,
5600.000,11.25,
5599.000,11.36,
5598.000,11.46,
5597.000,11.57,
5596.000,11.67,
5595.000,11.77,
5594.000,11.88,
5593.000,11.99,
5592.000,12.11,
5591.000,12.23,
5590.000,12.35,
5589.000,12.47,
5588.000,12.58,
5587.000,12.7,
5586.000,12.82,
5585.000,12.94,
5584.000,13.06,
5583.000,13.18,
5582.000,13.3,
5581.000,13.43,
5580.000,13.55,
5579.000,13.67,
5578.000,13.8,
5577.000,13.92,
5576.000,14.04,
5575.000,14.17,
5574.000,14.29,
5573.000,14.41,
5572.000,14.53,
5571.000,14.65,
5570.000,14.78,
5569.000,14.9,
5568.000,15.02,
5567.000,15.14,
5566.000,15.26,
5565.000,15.38,
5564.000,15.49,
5563.000,15.6,
5562.000,15.72,
5561.000,15.83,
5560.000,15.93,
5559.000,16.04,
5558.000,16.14,
5557.000,16.24,
5556.000,16.34,
5555.000,16.43,
5554.000,16.51,
5553.000,16.6,
5552.000,16.67,
5551.000,16.75,
5550.000,16.82,
5549.000,16.88,
5548.000,16.93,
5547.000,16.97,
5546.000,17.01,
5545.000,17.03,
5544.000,17.05,
5543.000,17.07,
5542.000,17.07,
5541.000,17.07,
5540.000,17.05,
5539.000,17.03,
5538.000,16.99,
5537.000,16.95,
5536.000,16.89,
5535.000,16.83,
5534.000,16.76,
5533.000,16.68,
5532.000,16.59,
5531.000,16.49,
5530.000,16.38,
5529.000,16.25,
5528.000,16.12,
5527.000,15.97,
5526.000,15.82,
5525.000,15.67,
5524.000,15.51,
5523.000,15.34,
5522.000,15.17,
5521.000,14.99,
5520.000,14.8,
5519.000,14.61,
5518.000,14.42,
5517.000,14.22,
5516.000,14.02,
5515.000,13.82,
5514.000,13.61,
5513.000,13.4,
5512.000,13.2,
5511.000,12.99,
5510.000,12.78,
5509.000,12.58,
5508.000,12.37,
5507.000,12.17,
5506.000,11.96,
5505.000,11.76,
5504.000,11.56,
5503.000,11.36,
5502.000,11.17,
5501.000,10.98,
5500.000,10.79,
5499.000,10.61,
5498.000,10.43,
5497.000,10.25,
5496.000,10.07,
5495.000,9.9,
5494.000,9.73,
5493.000,9.57,
5492.000,9.41,
5491.000,9.25,
5490.000,9.09,
5489.000,8.94,
5488.000,8.8,
5487.000,8.66,
5486.000,8.51,
5485.000,8.38,
5484.000,8.24,
5483.000,8.11,
5482.000,7.99,
5481.000,7.87,
5480.000,7.76,
5479.000,7.65,
5478.000,7.55,
5477.000,7.45,
5476.000,7.35,
5475.000,7.26,
5474.000,7.17,
5473.000,7.08,
5472.000,6.99,
5471.000,6.9,
5470.000,6.82,
5469.000,6.74,
5468.000,6.67,
5467.000,6.6,
5466.000,6.53,
5465.000,6.47,
5464.000,6.42,
5463.000,6.36,
5462.000,6.31,
5461.000,6.26,
5460.000,6.21,
5459.000,6.16,
5458.000,6.12,
5457.000,6.08,
5456.000,6.04,
5455.000,6,
5454.000,5.97,
5453.000,5.94,
5452.000,5.92,
5451.000,5.9,
5450.000,5.89,
5449.000,5.87,
5448.000,5.86,
5447.000,5.86,
5446.000,5.85,
5445.000,5.85,
5444.000,5.84,
5443.000,5.84,
5442.000,5.85,
5441.000,5.85,
5440.000,5.85,
5439.000,5.86,
5438.000,5.87,
5437.000,5.89,
5436.000,5.91,
5435.000,5.93,
5434.000,5.95,
5433.000,5.97,
5432.000,6,
5431.000,6.03,
5430.000,6.07,
5429.000,6.1,
5428.000,6.13,
5427.000,6.16,
5426.000,6.19,
5425.000,6.22,
5424.000,6.26,
5423.000,6.3,
5422.000,6.35,
5421.000,6.4,
5420.000,6.46,
5419.000,6.51,
5418.000,6.57,
5417.000,6.63,
5416.000,6.69,
5415.000,6.75,
5414.000,6.81,
5413.000,6.87,
5412.000,6.93,
5411.000,7,
5410.000,7.06,
5409.000,7.12,
5408.000,7.19,
5407.000,7.26,
5406.000,7.32,
5405.000,7.39,
5404.000,7.46,
5403.000,7.54,
5402.000,7.61,
5401.000,7.69,
5400.000,7.77,
5399.000,7.86,
5398.000,7.95,
5397.000,8.03,
5396.000,8.12,
5395.000,8.21,
5394.000,8.3,
5393.000,8.38,
5392.000,8.46,
5391.000,8.54,
5390.000,8.63,
5389.000,8.72,
5388.000,8.81,
5387.000,8.9,
5386.000,9,
5385.000,9.09,
5384.000,9.19,
5383.000,9.29,
5382.000,9.39,
5381.000,9.49,
5380.000,9.59,
5379.000,9.68,
5378.000,9.79,
5377.000,9.89,
5376.000,9.99,
5375.000,10.09,
5374.000,10.19,
5373.000,10.29,
5372.000,10.39,
5371.000,10.5,
5370.000,10.6,
5369.000,10.71,
5368.000,10.81,
5367.000,10.92,
5366.000,11.03,
5365.000,11.14,
5364.000,11.25,
5363.000,11.36,
5362.000,11.47,
5361.000,11.59,
5360.000,11.7,
5359.000,11.82,
5358.000,11.94,
5357.000,12.06,
5356.000,12.18,
5355.000,12.3,
5354.000,12.42,
5353.000,12.55,
5352.000,12.67,
5351.000,12.8,
5350.000,12.93,
5349.000,13.05,
5348.000,13.18,
5347.000,13.3,
5346.000,13.43,
5345.000,13.56,
5344.000,13.69,
5343.000,13.83,
5342.000,13.96,
5341.000,14.08,
5340.000,14.19,
5339.000,14.31,
5338.000,14.43,
5337.000,14.55,
5336.000,14.67,
5335.000,14.79,
5334.000,14.91,
5333.000,15.02,
5332.000,15.13,
5331.000,15.23,
5330.000,15.34,
5329.000,15.44,
5328.000,15.54,
5327.000,15.64,
5326.000,15.74,
5325.000,15.84,
5324.000,15.93,
5323.000,16.02,
5322.000,16.09,
5321.000,16.16,
5320.000,16.23,
5319.000,16.29,
5318.000,16.34,
5317.000,16.39,
5316.000,16.43,
5315.000,16.47,
5314.000,16.5,
5313.000,16.52,
5312.000,16.53,
5311.000,16.54,
5310.000,16.53,
5309.000,16.51,
5308.000,16.48,
5307.000,16.44,
5306.000,16.39,
5305.000,16.33,
5304.000,16.25,
5303.000,16.17,
5302.000,16.07,
5301.000,15.95,
5300.000,15.83,
5299.000,15.7,
5298.000,15.56,
5297.000,15.41,
5296.000,15.25,
5295.000,15.09,
5294.000,14.92,
5293.000,14.74,
5292.000,14.55,
5291.000,14.36,
5290.000,14.16,
5289.000,13.95,
5288.000,13.73,
5287.000,13.52,
5286.000,13.3,
5285.000,13.08,
5284.000,12.86,
5283.000,12.63,
5282.000,12.41,
5281.000,12.19,
5280.000,11.96,
5279.000,11.74,
5278.000,11.51,
5277.000,11.28,
5276.000,11.06,
5275.000,10.85,
5274.000,10.64,
5273.000,10.44,
5272.000,10.24,
5271.000,10.04,
5270.000,9.85,
5269.000,9.66,
5268.000,9.48,
5267.000,9.3,
5266.000,9.12,
5265.000,8.95,
5264.000,8.77,
5263.000,8.6,
5262.000,8.43,
5261.000,8.27,
5260.000,8.12,
5259.000,7.97,
5258.000,7.82,
5257.000,7.68,
5256.000,7.55,
5255.000,7.42,
5254.000,7.29,
5253.000,7.16,
5252.000,7.05,
5251.000,6.93,
5250.000,6.83,
5249.000,6.72,
5248.000,6.62,
5247.000,6.53,
5246.000,6.43,
5245.000,6.34,
5244.000,6.25,
5243.000,6.17,
5242.000,6.08,
5241.000,6.01,
5240.000,5.93,
5239.000,5.86,
5238.000,5.8,
5237.000,5.73,
5236.000,5.67,
5235.000,5.62,
5234.000,5.56,
5233.000,5.51,
5232.000,5.46,
5231.000,5.42,
5230.000,5.37,
5229.000,5.34,
5228.000,5.31,
5227.000,5.28,
5226.000,5.25,
5225.000,5.23,
5224.000,5.2,
5223.000,5.17,
5222.000,5.15,
5221.000,5.13,
5220.000,5.12,
5219.000,5.1,
5218.000,5.09,
5217.000,5.08,
5216.000,5.07,
5215.000,5.06,
5214.000,5.06,
5213.000,5.06,
5212.000,5.07,
5211.000,5.08,
5210.000,5.09,
5209.000,5.1,
5208.000,5.11,
5207.000,5.13,
5206.000,5.14,
5205.000,5.16,
5204.000,5.18,
5203.000,5.2,
5202.000,5.22,
5201.000,5.25,
5200.000,5.27,
5199.000,5.3,
5198.000,5.34,
5197.000,5.37,
5196.000,5.41,
5195.000,5.45,
5194.000,5.49,
5193.000,5.53,
5192.000,5.58,
5191.000,5.63,
5190.000,5.68,
5189.000,5.73,
5188.000,5.79,
5187.000,5.84,
5186.000,5.9,
5185.000,5.96,
5184.000,6.03,
5183.000,6.09,
5182.000,6.16,
5181.000,6.23,
5180.000,6.3,
5179.000,6.36,
5178.000,6.43,
5177.000,6.5,
5176.000,6.57,
5175.000,6.65,
5174.000,6.73,
5173.000,6.81,
5172.000,6.89,
5171.000,6.97,
5170.000,7.05,
5169.000,7.13,
5168.000,7.22,
5167.000,7.31,
5166.000,7.4,
5165.000,7.5,
5164.000,7.59,
5163.000,7.68,
5162.000,7.77,
5161.000,7.86,
5160.000,7.95,
5159.000,8.05,
5158.000,8.15,
5157.000,8.25,
5156.000,8.35,
5155.000,8.45,
5154.000,8.56,
5153.000,8.66,
5152.000,8.76,
5151.000,8.86,
5150.000,8.97,
5149.000,9.07,
5148.000,9.18,
5147.000,9.28,
5146.000,9.39,
5145.000,9.49,
5144.000,9.6,
5143.000,9.71,
5142.000,9.83,
5141.000,9.94,
5140.000,10.05,
5139.000,10.16,
5138.000,10.28,
5137.000,10.39,
5136.000,10.5,
5135.000,10.62,
5134.000,10.74,
5133.000,10.85,
5132.000,10.97,
5131.000,11.09,
5130.000,11.21,
5129.000,11.33,
5128.000,11.45,
5127.000,11.57,
5126.000,11.69,
5125.000,11.82,
5124.000,11.94,
5123.000,12.07,
5122.000,12.2,
5121.000,12.32,
5120.000,12.45,
5119.000,12.58,
5118.000,12.71,
5117.000,12.84,
5116.000,12.97,
5115.000,13.1,
5114.000,13.22,
5113.000,13.35,
5112.000,13.48,
5111.000,13.61,
5110.000,13.75,
5109.000,13.88,
5108.000,14.01,
5107.000,14.14,
5106.000,14.27,
5105.000,14.4,
5104.000,14.53,
5103.000,14.65,
5102.000,14.78,
5101.000,14.9,
5100.000,15.03,
5099.000,15.15,
5098.000,15.27,
5097.000,15.38,
5096.000,15.49,
5095.000,15.6,
5094.000,15.71,
5093.000,15.81,
5092.000,15.9,
5091.000,15.99,
5090.000,16.08,
5089.000,16.15,
5088.000,16.22,
5087.000,16.29,
5086.000,16.35,
5085.000,16.39,
5084.000,16.44,
5083.000,16.47,
5082.000,16.49,
5081.000,16.5,
5080.000,16.51,
5079.000,16.5,
5078.000,16.48,
5077.000,16.45,
5076.000,16.4,
5075.000,16.34,
5074.000,16.28,
5073.000,16.19,
5072.000,16.1,
5071.000,16,
5070.000,15.88,
5069.000,15.75,
5068.000,15.61,
5067.000,15.46,
5066.000,15.3,
5065.000,15.13,
5064.000,14.95,
5063.000,14.76,
5062.000,14.56,
5061.000,14.35,
5060.000,14.14,
5059.000,13.92,
5058.000,13.69,
5057.000,13.46,
5056.000,13.23,
5055.000,13,
5054.000,12.77,
5053.000,12.54,
5052.000,12.3,
5051.000,12.06,
5050.000,11.81,
5049.000,11.57,
5048.000,11.33,
5047.000,11.09,
5046.000,10.86,
5045.000,10.63,
5044.000,10.4,
5043.000,10.18,
5042.000,9.97,
5041.000,9.76,
5040.000,9.55,
5039.000,9.34,
5038.000,9.15,
5037.000,8.95,
5036.000,8.76,
5035.000,8.57,
5034.000,8.39,
5033.000,8.21,
5032.000,8.04,
5031.000,7.87,
5030.000,7.71,
5029.000,7.55,
5028.000,7.4,
5027.000,7.25,
5026.000,7.11,
5025.000,6.97,
5024.000,6.84,
5023.000,6.71,
5022.000,6.59,
5021.000,6.47,
5020.000,6.36,
5019.000,6.25,
5018.000,6.14,
5017.000,6.04,
5016.000,5.94,
5015.000,5.84,
5014.000,5.75,
5013.000,5.66,
5012.000,5.58,
5011.000,5.5,
5010.000,5.43,
5009.000,5.36,
5008.000,5.29,
5007.000,5.22,
5006.000,5.16,
5005.000,5.1,
5004.000,5.04,
5003.000,4.99,
5002.000,4.94,
5001.000,4.89,
5000.000,4.84,
4999.000,4.8,
4998.000,4.76,
4997.000,4.72,
4996.000,4.69,
4995.000,4.66,
4994.000,4.62,
4993.000,4.6,
4992.000,4.57,
4991.000,4.55,
4990.000,4.53,
4989.000,4.51,
4988.000,4.5,
4987.000,4.48,
4986.000,4.47,
4985.000,4.46,
4984.000,4.46,
4983.000,4.46,
4982.000,4.45,
4981.000,4.45,
4980.000,4.45,
4979.000,4.45,
4978.000,4.46,
4977.000,4.46,
4976.000,4.47,
4975.000,4.48,
4974.000,4.49,
4973.000,4.51,
4972.000,4.53,
4971.000,4.55,
4970.000,4.58,
4969.000,4.61,
4968.000,4.63,
4967.000,4.66,
4966.000,4.69,
4965.000,4.73,
4964.000,4.76,
4963.000,4.8,
4962.000,4.84,
4961.000,4.88,
4960.000,4.92,
4959.000,4.96,
4958.000,5.01,
4957.000,5.06,
4956.000,5.11,
4955.000,5.17,
4954.000,5.22,
4953.000,5.28,
4952.000,5.34,
4951.000,5.4,
4950.000,5.47,
4949.000,5.53,
4948.000,5.6,
4947.000,5.67,
4946.000,5.74,
4945.000,5.81,
4944.000,5.89,
4943.000,5.96,
4942.000,6.04,
4941.000,6.12,
4940.000,6.2,
4939.000,6.29,
4938.000,6.37,
4937.000,6.45,
4936.000,6.54,
4935.000,6.63,
4934.000,6.72,
4933.000,6.8,
4932.000,6.89,
4931.000,6.98,
4930.000,7.07,
4929.000,7.17,
4928.000,7.26,
4927.000,7.36,
4926.000,7.45,
4925.000,7.55,
4924.000,7.65,
4923.000,7.74,
4922.000,7.85,
4921.000,7.95,
4920.000,8.05,
4919.000,8.16,
4918.000,8.26,
4917.000,8.36,
4916.000,8.47,
4915.000,8.57,
4914.000,8.68,
4913.000,8.79,
4912.000,8.89,
4911.000,9,
4910.000,9.11,
4909.000,9.22,
4908.000,9.34,
4907.000,9.45,
4906.000,9.57,
4905.000,9.68,
4904.000,9.8,
4903.000,9.91,
4902.000,10.03,
4901.000,10.14,
4900.000,10.26,
4899.000,10.38,
4898.000,10.5,
4897.000,10.62,
4896.000,10.75,
4895.000,10.87,
4894.000,10.99,
4893.000,11.12,
4892.000,11.24,
4891.000,11.37,
4890.000,11.5,
4889.000,11.63,
4888.000,11.76,
4887.000,11.89,
4886.000,12.02,
4885.000,12.15,
4884.000,12.28,
4883.000,12.41,
4882.000,12.55,
4881.000,12.68,
4880.000,12.82,
4879.000,12.95,
4878.000,13.09,
4877.000,13.22,
4876.000,13.36,
4875.000,13.5,
4874.000,13.63,
4873.000,13.77,
4872.000,13.91,
4871.000,14.04,
4870.000,14.17,
4869.000,14.3,
4868.000,14.43,
4867.000,14.56,
4866.000,14.68,
4865.000,14.8,
4864.000,14.92,
4863.000,15.04,
4862.000,15.15,
4861.000,15.25,
4860.000,15.36,
4859.000,15.45,
4858.000,15.54,
4857.000,15.62,
4856.000,15.69,
4855.000,15.76,
4854.000,15.81,
4853.000,15.86,
4852.000,15.89,
4851.000,15.92,
4850.000,15.93,
4849.000,15.92,
4848.000,15.91,
4847.000,15.88,
4846.000,15.85,
4845.000,15.79,
4844.000,15.72,
4843.000,15.64,
4842.000,15.55,
4841.000,15.44,
4840.000,15.31,
4839.000,15.18,
4838.000,15.03,
4837.000,14.88,
4836.000,14.71,
4835.000,14.52,
4834.000,14.33,
4833.000,14.13,
4832.000,13.92,
4831.000,13.69,
4830.000,13.47,
4829.000,13.23,
4828.000,12.99,
4827.000,12.75,
4826.000,12.51,
4825.000,12.27,
4824.000,12.02,
4823.000,11.77,
4822.000,11.51,
4821.000,11.26,
4820.000,11.01,
4819.000,10.76,
4818.000,10.52,
4817.000,10.27,
4816.000,10.04,
4815.000,9.8,
4814.000,9.57,
4813.000,9.35,
4812.000,9.13,
4811.000,8.91,
4810.000,8.7,
4809.000,8.49,
4808.000,8.3,
4807.000,8.1,
4806.000,7.91,
4805.000,7.73,
4804.000,7.55,
4803.000,7.37,
4802.000,7.21,
4801.000,7.05,
4800.000,6.89,
4799.000,6.74,
4798.000,6.6,
4797.000,6.46,
4796.000,6.32,
4795.000,6.19,
4794.000,6.06,
4793.000,5.94,
4792.000,5.82,
4791.000,5.71,
4790.000,5.6,
4789.000,5.5,
4788.000,5.4,
4787.000,5.3,
4786.000,5.21,
4785.000,5.12,
4784.000,5.04,
4783.000,4.96,
4782.000,4.88,
4781.000,4.81,
4780.000,4.74,
4779.000,4.68,
4778.000,4.61,
4777.000,4.55,
4776.000,4.49,
4775.000,4.43,
4774.000,4.38,
4773.000,4.33,
4772.000,4.28,
4771.000,4.24,
4770.000,4.2,
4769.000,4.16,
4768.000,4.13,
4767.000,4.1,
4766.000,4.07,
4765.000,4.04,
4764.000,4.01,
4763.000,3.98,
4762.000,3.96,
4761.000,3.94,
4760.000,3.92,
4759.000,3.9,
4758.000,3.89,
4757.000,3.87,
4756.000,3.86,
4755.000,3.85,
4754.000,3.84,
4753.000,3.83,
4752.000,3.83,
4751.000,3.83,
4750.000,3.83,
4749.000,3.83,
4748.000,3.84,
4747.000,3.84,
4746.000,3.85,
4745.000,3.87,
4744.000,3.88,
4743.000,3.89,
4742.000,3.91,
4741.000,3.92,
4740.000,3.94,
4739.000,3.96,
4738.000,3.98,
4737.000,4,
4736.000,4.02,
4735.000,4.05,
4734.000,4.08,
4733.000,4.12,
4732.000,4.15,
4731.000,4.2,
4730.000,4.24,
4729.000,4.28,
4728.000,4.32,
4727.000,4.37,
4726.000,4.41,
4725.000,4.46,
4724.000,4.51,
4723.000,4.56,
4722.000,4.62,
4721.000,4.68,
4720.000,4.74,
4719.000,4.8,
4718.000,4.87,
4717.000,4.93,
4716.000,5,
4715.000,5.08,
4714.000,5.15,
4713.000,5.22,
4712.000,5.3,
4711.000,5.38,
4710.000,5.46,
4709.000,5.54,
4708.000,5.63,
4707.000,5.71,
4706.000,5.8,
4705.000,5.88,
4704.000,5.97,
4703.000,6.06,
4702.000,6.15,
4701.000,6.24,
4700.000,6.34,
4699.000,6.44,
4698.000,6.53,
4697.000,6.63,
4696.000,6.73,
4695.000,6.82,
4694.000,6.92,
4693.000,7.02,
4692.000,7.11,
4691.000,7.21,
4690.000,7.3,
4689.000,7.4,
4688.000,7.49,
4687.000,7.59,
4686.000,7.69,
4685.000,7.79,
4684.000,7.9,
4683.000,8,
4682.000,8.09,
4681.000,8.19,
4680.000,8.29,
4679.000,8.4,
4678.000,8.5,
4677.000,8.61,
4676.000,8.72,
4675.000,8.83,
4674.000,8.94,
4673.000,9.06,
4672.000,9.17,
4671.000,9.28,
4670.000,9.4,
4669.000,9.52,
4668.000,9.64,
4667.000,9.76,
4666.000,9.89,
4665.000,10.02,
4664.000,10.14,
4663.000,10.27,
4662.000,10.4,
4661.000,10.54,
4660.000,10.67,
4659.000,10.81,
4658.000,10.95,
4657.000,11.1,
4656.000,11.24,
4655.000,11.38,
4654.000,11.52,
4653.000,11.67,
4652.000,11.81,
4651.000,11.96,
4650.000,12.11,
4649.000,12.26,
4648.000,12.4,
4647.000,12.55,
4646.000,12.7,
4645.000,12.85,
4644.000,13,
4643.000,13.15,
4642.000,13.3,
4641.000,13.45,
4640.000,13.59,
4639.000,13.74,
4638.000,13.88,
4637.000,14.02,
4636.000,14.16,
4635.000,14.3,
4634.000,14.43,
4633.000,14.56,
4632.000,14.68,
4631.000,14.8,
4630.000,14.91,
4629.000,15.02,
4628.000,15.12,
4627.000,15.21,
4626.000,15.3,
4625.000,15.37,
4624.000,15.44,
4623.000,15.49,
4622.000,15.53,
4621.000,15.56,
4620.000,15.57,
4619.000,15.58,
4618.000,15.57,
4617.000,15.54,
4616.000,15.5,
4615.000,15.45,
4614.000,15.38,
4613.000,15.29,
4612.000,15.19,
4611.000,15.08,
4610.000,14.95,
4609.000,14.81,
4608.000,14.66,
4607.000,14.49,
4606.000,14.3,
4605.000,14.11,
4604.000,13.9,
4603.000,13.69,
4602.000,13.47,
4601.000,13.23,
4600.000,12.99,
4599.000,12.74,
4598.000,12.49,
4597.000,12.23,
4596.000,11.98,
4595.000,11.72,
4594.000,11.45,
4593.000,11.19,
4592.000,10.93,
4591.000,10.67,
4590.000,10.41,
4589.000,10.15,
4588.000,9.9,
4587.000,9.65,
4586.000,9.4,
4585.000,9.16,
4584.000,8.93,
4583.000,8.7,
4582.000,8.47,
4581.000,8.25,
4580.000,8.04,
4579.000,7.83,
4578.000,7.63,
4577.000,7.43,
4576.000,7.24,
4575.000,7.06,
4574.000,6.88,
4573.000,6.71,
4572.000,6.54,
4571.000,6.38,
4570.000,6.23,
4569.000,6.08,
4568.000,5.94,
4567.000,5.8,
4566.000,5.67,
4565.000,5.54,
4564.000,5.42,
4563.000,5.3,
4562.000,5.18,
4561.000,5.07,
4560.000,4.97,
4559.000,4.87,
4558.000,4.77,
4557.000,4.68,
4556.000,4.6,
4555.000,4.51,
4554.000,4.43,
4553.000,4.36,
4552.000,4.28,
4551.000,4.22,
4550.000,4.15,
4549.000,4.08,
4548.000,4.02,
4547.000,3.96,
4546.000,3.91,
4545.000,3.85,
4544.000,3.81,
4543.000,3.76,
4542.000,3.72,
4541.000,3.68,
4540.000,3.64,
4539.000,3.6,
4538.000,3.56,
4537.000,3.53,
4536.000,3.5,
4535.000,3.47,
4534.000,3.44,
4533.000,3.42,
4532.000,3.39,
4531.000,3.37,
4530.000,3.35,
4529.000,3.33,
4528.000,3.32,
4527.000,3.3,
4526.000,3.29,
4525.000,3.28,
4524.000,3.27,
4523.000,3.26,
4522.000,3.25,
4521.000,3.25,
4520.000,3.24,
4519.000,3.24,
4518.000,3.25,
4517.000,3.25,
4516.000,3.25,
4515.000,3.26,
4514.000,3.27,
4513.000,3.28,
4512.000,3.29,
4511.000,3.3,
4510.000,3.31,
4509.000,3.32,
4508.000,3.34,
4507.000,3.36,
4506.000,3.38,
4505.000,3.41,
4504.000,3.43,
4503.000,3.46,
4502.000,3.49,
4501.000,3.52,
4500.000,3.55,
4499.000,3.58,
4498.000,3.62,
4497.000,3.65,
4496.000,3.7,
4495.000,3.74,
4494.000,3.79,
4493.000,3.84,
4492.000,3.89,
4491.000,3.94,
4490.000,3.99,
4489.000,4.05,
4488.000,4.11,
4487.000,4.17,
4486.000,4.23,
4485.000,4.3,
4484.000,4.36,
4483.000,4.43,
4482.000,4.5,
4481.000,4.58,
4480.000,4.65,
4479.000,4.73,
4478.000,4.8,
4477.000,4.88,
4476.000,4.96,
4475.000,5.05,
4474.000,5.13,
4473.000,5.22,
4472.000,5.31,
4471.000,5.4,
4470.000,5.49,
4469.000,5.58,
4468.000,5.68,
4467.000,5.77,
4466.000,5.87,
4465.000,5.96,
4464.000,6.06,
4463.000,6.16,
4462.000,6.26,
4461.000,6.36,
4460.000,6.46,
4459.000,6.56,
4458.000,6.67,
4457.000,6.77,
4456.000,6.88,
4455.000,6.98,
4454.000,7.09,
4453.000,7.2,
4452.000,7.31,
4451.000,7.42,
4450.000,7.53,
4449.000,7.64,
4448.000,7.75,
4447.000,7.87,
4446.000,7.98,
4445.000,8.09,
4444.000,8.2,
4443.000,8.32,
4442.000,8.43,
4441.000,8.55,
4440.000,8.67,
4439.000,8.79,
4438.000,8.91,
4437.000,9.03,
4436.000,9.15,
4435.000,9.28,
4434.000,9.4,
4433.000,9.53,
4432.000,9.65,
4431.000,9.77,
4430.000,9.9,
4429.000,10.03,
4428.000,10.16,
4427.000,10.28,
4426.000,10.41,
4425.000,10.54,
4424.000,10.67,
4423.000,10.8,
4422.000,10.93,
4421.000,11.07,
4420.000,11.2,
4419.000,11.33,
4418.000,11.47,
4417.000,11.6,
4416.000,11.73,
4415.000,11.86,
4414.000,11.99,
4413.000,12.12,
4412.000,12.25,
4411.000,12.38,
4410.000,12.51,
4409.000,12.63,
4408.000,12.75,
4407.000,12.87,
4406.000,12.98,
4405.000,13.1,
4404.000,13.2,
4403.000,13.31,
4402.000,13.4,
4401.000,13.49,
4400.000,13.57,
4399.000,13.65,
4398.000,13.71,
4397.000,13.77,
4396.000,13.81,
4395.000,13.84,
4394.000,13.87,
4393.000,13.88,
4392.000,13.88,
4391.000,13.87,
4390.000,13.85,
4389.000,13.81,
4388.000,13.75,
4387.000,13.69,
4386.000,13.61,
4385.000,13.51,
4384.000,13.4,
4383.000,13.28,
4382.000,13.15,
4381.000,13,
4380.000,12.84,
4379.000,12.68,
4378.000,12.5,
4377.000,12.31,
4376.000,12.12,
4375.000,11.91,
4374.000,11.71,
4373.000,11.5,
4372.000,11.28,
4371.000,11.07,
4370.000,10.85,
4369.000,10.63,
4368.000,10.41,
4367.000,10.19,
4366.000,9.97,
4365.000,9.75,
4364.000,9.53,
4363.000,9.32,
4362.000,9.11,
4361.000,8.9,
4360.000,8.69,
4359.000,8.48,
4358.000,8.27,
4357.000,8.07,
4356.000,7.87,
4355.000,7.68,
4354.000,7.49,
4353.000,7.3,
4352.000,7.11,
4351.000,6.93,
4350.000,6.75,
4349.000,6.57,
4348.000,6.4,
4347.000,6.24,
4346.000,6.08,
4345.000,5.93,
4344.000,5.78,
4343.000,5.64,
4342.000,5.5,
4341.000,5.36,
4340.000,5.23,
4339.000,5.11,
4338.000,4.99,
4337.000,4.87,
4336.000,4.76,
4335.000,4.65,
4334.000,4.55,
4333.000,4.45,
4332.000,4.35,
4331.000,4.25,
4330.000,4.16,
4329.000,4.08,
4328.000,4,
4327.000,3.92,
4326.000,3.84,
4325.000,3.77,
4324.000,3.7,
4323.000,3.63,
4322.000,3.57,
4321.000,3.51,
4320.000,3.45,
4319.000,3.39,
4318.000,3.34,
4317.000,3.29,
4316.000,3.24,
4315.000,3.19,
4314.000,3.15,
4313.000,3.11,
4312.000,3.08,
4311.000,3.04,
4310.000,3.01,
4309.000,2.97,
4308.000,2.94,
4307.000,2.91,
4306.000,2.89,
4305.000,2.86,
4304.000,2.84,
4303.000,2.82,
4302.000,2.8,
4301.000,2.78,
4300.000,2.76,
4299.000,2.74,
4298.000,2.73,
4297.000,2.71,
4296.000,2.7,
4295.000,2.69,
4294.000,2.68,
4293.000,2.67,
4292.000,2.67,
4291.000,2.66,
4290.000,2.66,
4289.000,2.65,
4288.000,2.65,
4287.000,2.65,
4286.000,2.65,
4285.000,2.65,
4284.000,2.65,
4283.000,2.66,
4282.000,2.67,
4281.000,2.68,
4280.000,2.68,
4279.000,2.69,
4278.000,2.71,
4277.000,2.72,
4276.000,2.73,
4275.000,2.74,
4274.000,2.76,
4273.000,2.78,
4272.000,2.8,
4271.000,2.82,
4270.000,2.84,
4269.000,2.87,
4268.000,2.9,
4267.000,2.93,
4266.000,2.96,
4265.000,2.99,
4264.000,3.02,
4263.000,3.06,
4262.000,3.1,
4261.000,3.14,
4260.000,3.18,
4259.000,3.22,
4258.000,3.27,
4257.000,3.32,
4256.000,3.37,
4255.000,3.42,
4254.000,3.47,
4253.000,3.53,
4252.000,3.59,
4251.000,3.65,
4250.000,3.72,
4249.000,3.78,
4248.000,3.85,
4247.000,3.92,
4246.000,3.99,
4245.000,4.07,
4244.000,4.15,
4243.000,4.23,
4242.000,4.31,
4241.000,4.39,
4240.000,4.47,
4239.000,4.56,
4238.000,4.65,
4237.000,4.74,
4236.000,4.83,
4235.000,4.92,
4234.000,5.01,
4233.000,5.1,
4232.000,5.19,
4231.000,5.29,
4230.000,5.38,
4229.000,5.48,
4228.000,5.57,
4227.000,5.67,
4226.000,5.76,
4225.000,5.86,
4224.000,5.96,
4223.000,6.06,
4222.000,6.16,
4221.000,6.26,
4220.000,6.36,
4219.000,6.46,
4218.000,6.56,
4217.000,6.66,
4216.000,6.76,
