,d2o 061 By Administrator Date Tuesday. December 14 2021,
Time,16:57:50,
Wavenumbers [1/cm],Transmittance %,
6715.000,7.14748,
6714.000,7.19348,
6713.000,7.23992,
6712.000,7.28431,
6711.000,7.32739,
6710.000,7.37323,
6709.000,7.42551,
6708.000,7.48453,
6707.000,7.54701,
6706.000,7.60829,
6705.000,7.66541,
6704.000,7.71867,
6703.000,7.76992,
6702.000,7.81982,
6701.000,7.86826,
6700.000,7.91662,
6699.000,7.96851,
6698.000,8.02601,
6697.000,8.08754,
6696.000,8.14913,
6695.000,8.2081,
6694.000,8.26537,
6693.000,8.32397,
6692.000,8.38513,
6691.000,8.44674,
6690.000,8.50655,
6689.000,8.56574,
6688.000,8.62725,
6687.000,8.69106,
6686.000,8.75383,
6685.000,8.81368,
6684.000,8.87297,
6683.000,8.93532,
6682.000,9.00237,
6681.000,9.07378,
6680.000,9.14775,
6679.000,9.22066,
6678.000,9.28884,
6677.000,9.35201,
6676.000,9.41284,
6675.000,9.47304,
6674.000,9.53283,
6673.000,9.59439,
6672.000,9.66168,
6671.000,9.73482,
6670.000,9.8087,
6669.000,9.87933,
6668.000,9.94784,
6667.000,10.0159,
6666.000,10.0819,
6665.000,10.1448,
6664.000,10.2093,
6663.000,10.2804,
6662.000,10.3572,
6661.000,10.4343,
6660.000,10.5078,
6659.000,10.5775,
6658.000,10.6444,
6657.000,10.7094,
6656.000,10.7731,
6655.000,10.8359,
6654.000,10.8983,
6653.000,10.9622,
6652.000,11.0307,
6651.000,11.1027,
6650.000,11.1729,
6649.000,11.2385,
6648.000,11.3031,
6647.000,11.3708,
6646.000,11.4403,
6645.000,11.5083,
6644.000,11.5748,
6643.000,11.6418,
6642.000,11.7091,
6641.000,11.7753,
6640.000,11.841,
6639.000,11.9068,
6638.000,11.9708,
6637.000,12.0309,
6636.000,12.0877,
6635.000,12.1421,
6634.000,12.1933,
6633.000,12.241,
6632.000,12.2891,
6631.000,12.3417,
6630.000,12.3985,
6629.000,12.456,
6628.000,12.5111,
6627.000,12.562,
6626.000,12.607,
6625.000,12.6466,
6624.000,12.6836,
6623.000,12.7195,
6622.000,12.7537,
6621.000,12.7874,
6620.000,12.8248,
6619.000,12.8665,
6618.000,12.9066,
6617.000,12.939,
6616.000,12.964,
6615.000,12.9845,
6614.000,13.0012,
6613.000,13.0133,
6612.000,13.0235,
6611.000,13.0346,
6610.000,13.0462,
