,d2o 174 By Administrator Date Thursday. December 16 2021,
Time,12:45:43,
Wavenumbers [1/cm],Transmittance %,
7000.000,7.75905,
6999.000,7.71789,
6998.000,7.68191,
6997.000,7.64674,
6996.000,7.60927,
6995.000,7.57087,
6994.000,7.53489,
6993.000,7.50173,
6992.000,7.46733,
6991.000,7.42731,
6990.000,7.38319,
6989.000,7.34266,
6988.000,7.31138,
6987.000,7.2855,
6986.000,7.25536,
6985.000,7.21682,
6984.000,7.17511,
6983.000,7.13629,
6982.000,7.10005,
6981.000,7.06328,
6980.000,7.02585,
6979.000,6.98938,
6978.000,6.95372,
6977.000,6.91846,
6976.000,6.88546,
6975.000,6.85555,
6974.000,6.82535,
6973.000,6.79175,
6972.000,6.75697,
6971.000,6.72524,
6970.000,6.69549,
6969.000,6.66243,
6968.000,6.62469,
6967.000,6.58664,
6966.000,6.55238,
6965.000,6.52211,
6964.000,6.49415,
6963.000,6.46681,
6962.000,6.43786,
6961.000,6.40557,
6960.000,6.37101,
6959.000,6.33656,
6958.000,6.30221,
6957.000,6.26653,
6956.000,6.23075,
6955.000,6.19815,
6954.000,6.16861,
6953.000,6.13833,
6952.000,6.10623,
6951.000,6.07673,
6950.000,6.05395,
6949.000,6.03571,
6948.000,6.01537,
6947.000,5.9886,
6946.000,5.9564,
6945.000,5.92244,
6944.000,5.88915,
6943.000,5.85622,
6942.000,5.82242,
6941.000,5.78893,
6940.000,5.75971,
6939.000,5.73702,
6938.000,5.71683,
6937.000,5.69188,
6936.000,5.65961,
6935.000,5.62469,
6934.000,5.59327,
6933.000,5.56673,
6932.000,5.54213,
6931.000,5.51731,
6930.000,5.49316,
6929.000,5.47081,
6928.000,5.44862,
6927.000,5.42289,
6926.000,5.39179,
6925.000,5.35755,
6924.000,5.32407,
6923.000,5.29276,
6922.000,5.26227,
6921.000,5.23238,
6920.000,5.20506,
6919.000,5.18081,
6918.000,5.15681,
6917.000,5.13083,
6916.000,5.10484,
6915.000,5.08171,
6914.000,5.0596,
6913.000,5.03372,
6912.000,5.00339,
6911.000,4.97345,
6910.000,4.94859,
6909.000,4.92881,
6908.000,4.91079,
6907.000,4.89145,
6906.000,4.86934,
6905.000,4.84448,
6904.000,4.81794,
6903.000,4.79049,
6902.000,4.76195,
6901.000,4.73263,
6900.000,4.70492,
6899.000,4.68121,
6898.000,4.66066,
6897.000,4.63976,
6896.000,4.61621,
6895.000,4.59059,
6894.000,4.56476,
6893.000,4.54078,
6892.000,4.52064,
6891.000,4.50488,
6890.000,4.49139,
6889.000,4.47765,
6888.000,4.46366,
6887.000,4.45013,
6886.000,4.43485,
6885.000,4.41429,
6884.000,4.38851,
6883.000,4.36153,
6882.000,4.33618,
6881.000,4.31151,
6880.000,4.28641,
6879.000,4.263,
6878.000,4.24439,
6877.000,4.23089,
6876.000,4.21962,
6875.000,4.2066,
6874.000,4.18894,
6873.000,4.16692,
6872.000,4.14393,
6871.000,4.12295,
6870.000,4.10297,
6869.000,4.08141,
6868.000,4.0596,
6867.000,4.0424,
6866.000,4.03201,
6865.000,4.02533,
6864.000,4.01824,
6863.000,4.00937,
6862.000,3.99862,
6861.000,3.98497,
6860.000,3.9678,
6859.000,3.94776,
6858.000,3.92483,
6857.000,3.89852,
6856.000,3.87186,
6855.000,3.85151,
6854.000,3.84081,
6853.000,3.83441,
6852.000,3.82368,
6851.000,3.80631,
6850.000,3.7874,
6849.000,3.77183,
6848.000,3.75932,
6847.000,3.74704,
6846.000,3.7338,
6845.000,3.72036,
6844.000,3.70743,
6843.000,3.69483,
6842.000,3.682,
6841.000,3.66886,
6840.000,3.65642,
6839.000,3.6462,
6838.000,3.6391,
6837.000,3.63465,
6836.000,3.63126,
6835.000,3.62689,
6834.000,3.61984,
6833.000,3.6102,
6832.000,3.60062,
6831.000,3.59392,
6830.000,3.58935,
6829.000,3.58278,
6828.000,3.57104,
6827.000,3.55484,
6826.000,3.53735,
6825.000,3.52167,
6824.000,3.51058,
6823.000,3.50605,
6822.000,3.50679,
6821.000,3.50769,
6820.000,3.50381,
6819.000,3.49445,
6818.000,3.48189,
6817.000,3.46767,
6816.000,3.45251,
6815.000,3.4385,
6814.000,3.42855,
6813.000,3.42337,
6812.000,3.42108,
6811.000,3.42042,
6810.000,3.42232,
6809.000,3.4275,
6808.000,3.43438,
6807.000,3.44082,
6806.000,3.44645,
6805.000,3.45202,
6804.000,3.45698,
6803.000,3.45944,
6802.000,3.45843,
6801.000,3.4552,
6800.000,3.45175,
6799.000,3.44878,
6798.000,3.44598,
6797.000,3.44394,
6796.000,3.44453,
6795.000,3.44873,
6794.000,3.45498,
6793.000,3.46043,
6792.000,3.46352,
6791.000,3.46442,
6790.000,3.46347,
6789.000,3.46087,
6788.000,3.45819,
6787.000,3.45879,
6786.000,3.46512,
6785.000,3.47602,
6784.000,3.48767,
6783.000,3.49659,
6782.000,3.50115,
6781.000,3.50111,
6780.000,3.49735,
6779.000,3.49247,
6778.000,3.49032,
6777.000,3.49327,
6776.000,3.49994,
6775.000,3.50691,
6774.000,3.51305,
6773.000,3.52056,
6772.000,3.53092,
6771.000,3.54166,
6770.000,3.54931,
6769.000,3.55469,
6768.000,3.56248,
6767.000,3.57522,
6766.000,3.5908,
6765.000,3.60679,
6764.000,3.62403,
6763.000,3.64355,
6762.000,3.66244,
6761.000,3.67628,
6760.000,3.68447,
6759.000,3.68981,
6758.000,3.69406,
6757.000,3.69726,
6756.000,3.70089,
6755.000,3.70825,
6754.000,3.72097,
6753.000,3.73752,
6752.000,3.75559,
6751.000,3.77376,
6750.000,3.79082,
6749.000,3.80586,
6748.000,3.81985,
6747.000,3.83462,
6746.000,3.84988,
6745.000,3.86398,
6744.000,3.87785,
6743.000,3.89492,
6742.000,3.91643,
6741.000,3.93926,
6740.000,3.95996,
6739.000,3.97827,
6738.000,3.9954,
6737.000,4.01154,
6736.000,4.02715,
6735.000,4.04417,
6734.000,4.06323,
6733.000,4.08169,
6732.000,4.09783,
6731.000,4.11484,
6730.000,4.13708,
6729.000,4.16328,
6728.000,4.1874,
6727.000,4.20653,
6726.000,4.22427,
6725.000,4.24497,
6724.000,4.26755,
6723.000,4.28765,
6722.000,4.30436,
6721.000,4.32174,
6720.000,4.34378,
