,d2o 048 By Administrator Date Tuesday. December 14 2021,
Time,14:31:46,
Wavenumbers [1/cm],Transmittance %,
6713.000,4.46402,
6712.000,4.43072,
6711.000,4.39805,
6710.000,4.36767,
6709.000,4.33883,
6708.000,4.31222,
6707.000,4.29134,
6706.000,4.27893,
6705.000,4.27284,
6704.000,4.26656,
6703.000,4.25448,
6702.000,4.2364,
6701.000,4.21617,
6700.000,4.19661,
6699.000,4.17719,
6698.000,4.15672,
6697.000,4.13638,
6696.000,4.11719,
6695.000,4.09784,
6694.000,4.07607,
6693.000,4.05254,
6692.000,4.03143,
6691.000,4.01593,
6690.000,4.0052,
6689.000,3.99596,
6688.000,3.98597,
6687.000,3.97505,
6686.000,3.96382,
6685.000,3.9523,
6684.000,3.93977,
6683.000,3.92582,
6682.000,3.9112,
6681.000,3.89698,
6680.000,3.88266,
6679.000,3.86646,
6678.000,3.84811,
6677.000,3.82985,
6676.000,3.81351,
6675.000,3.79851,
6674.000,3.78422,
6673.000,3.77279,
6672.000,3.76629,
6671.000,3.76232,
6670.000,3.75587,
6669.000,3.74548,
6668.000,3.73441,
6667.000,3.72529,
6666.000,3.71675,
6665.000,3.70667,
6664.000,3.69591,
6663.000,3.68707,
6662.000,3.68119,
6661.000,3.67698,
6660.000,3.67192,
6659.000,3.66346,
6658.000,3.65102,
6657.000,3.63759,
6656.000,3.62767,
6655.000,3.62279,
6654.000,3.62036,
6653.000,3.61726,
6652.000,3.61292,
6651.000,3.60835,
6650.000,3.60432,
6649.000,3.60162,
6648.000,3.60085,
6647.000,3.60074,
6646.000,3.59853,
6645.000,3.59311,
6644.000,3.58622,
6643.000,3.57935,
6642.000,3.5718,
6641.000,3.56328,
6640.000,3.55649,
6639.000,3.55444,
6638.000,3.55662,
6637.000,3.56008,
6636.000,3.563,
6635.000,3.56501,
6634.000,3.56486,
6633.000,3.56054,
6632.000,3.55211,
6631.000,3.54246,
6630.000,3.53485,
6629.000,3.5306,
6628.000,3.52928,
6627.000,3.53027,
6626.000,3.5339,
6625.000,3.54125,
6624.000,3.55223,
6623.000,3.56345,
6622.000,3.56984,
6621.000,3.56996,
6620.000,3.56812,
6619.000,3.56935,
6618.000,3.57339,
6617.000,3.57646,
6616.000,3.57784,
6615.000,3.581,
6614.000,3.58742,
6613.000,3.59311,
6612.000,3.59344,
6611.000,3.58949,
6610.000,3.58676,
6609.000,3.58863,
6608.000,3.5938,
