Wavelength nm.	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...
510.00	0.61142	0.59688	0.58410	0.57234	0.56357	0.55535	0.54755	0.54116	0.53566	0.53032	0.52591	0.52120	0.51710	0.51222	0.50866	0.50498	0.50102	0.49689	0.49339	0.49068	0.48683	0.48500	0.48192	0.47929	0.47821	0.47650	0.47452	0.47285	0.47045	0.46995	0.46822	0.46658	0.46545	0.46423	0.46255	0.46160	0.45952	0.45852	0.45755	0.45705	0.45567	0.45391	0.45324	0.45319	0.45208	0.45038	0.45058	0.44865	0.44788	0.44768	0.44663	0.44542	0.44488	0.44386	0.44342	0.44255	0.44047	0.43972	0.43880	0.43829	0.43792	0.43765	0.43730	0.43755	0.43834	0.43834	0.43843	0.43815	0.43837	0.43862	0.43846	0.43842	0.43895	0.43905	0.43827	0.43888	0.43855	0.43944	0.43949	0.43901	0.43933
511.00	0.61990	0.60540	0.59231	0.58074	0.57098	0.56292	0.55543	0.54879	0.54281	0.53734	0.53299	0.52830	0.52418	0.51969	0.51586	0.51212	0.50748	0.50396	0.50092	0.49850	0.49526	0.49345	0.49007	0.48786	0.48631	0.48480	0.48237	0.48035	0.47899	0.47724	0.47506	0.47419	0.47269	0.47179	0.47029	0.46922	0.46779	0.46625	0.46596	0.46451	0.46345	0.46220	0.46152	0.46043	0.45998	0.45835	0.45827	0.45685	0.45672	0.45562	0.45544	0.45378	0.45372	0.45305	0.45287	0.45154	0.45063	0.44957	0.44834	0.44849	0.44814	0.44818	0.44762	0.44770	0.44719	0.44781	0.44709	0.44737	0.44766	0.44729	0.44685	0.44654	0.44685	0.44645	0.44635	0.44630	0.44639	0.44676	0.44568	0.44635	0.44623
512.00	0.62554	0.61015	0.59664	0.58570	0.57614	0.56743	0.55925	0.55398	0.54719	0.54156	0.53700	0.53237	0.52727	0.52319	0.51920	0.51529	0.51092	0.50747	0.50490	0.50166	0.49923	0.49602	0.49390	0.49157	0.48956	0.48719	0.48518	0.48245	0.48150	0.48026	0.47745	0.47666	0.47455	0.47382	0.47197	0.47115	0.46998	0.46941	0.46795	0.46729	0.46507	0.46473	0.46405	0.46374	0.46281	0.46203	0.46084	0.46025	0.45971	0.45871	0.45871	0.45760	0.45732	0.45638	0.45633	0.45586	0.45530	0.45409	0.45394	0.45353	0.45308	0.45249	0.45271	0.45118	0.45150	0.45158	0.45010	0.45125	0.45007	0.44945	0.44953	0.44873	0.44938	0.44907	0.44884	0.44832	0.44785	0.44759	0.44732	0.44714	0.44750
513.00	0.62663	0.60985	0.59634	0.58469	0.57432	0.56481	0.55736	0.55139	0.54509	0.54028	0.53382	0.52941	0.52464	0.51976	0.51583	0.51129	0.50843	0.50579	0.50219	0.49923	0.49649	0.49373	0.49083	0.48832	0.48621	0.48373	0.48158	0.47852	0.47750	0.47533	0.47424	0.47206	0.47115	0.46944	0.46842	0.46664	0.46583	0.46477	0.46340	0.46217	0.46095	0.46054	0.45979	0.45829	0.45873	0.45777	0.45715	0.45583	0.45585	0.45515	0.45414	0.45424	0.45363	0.45362	0.45228	0.45238	0.45270	0.45221	0.45167	0.45157	0.45122	0.45081	0.45038	0.44986	0.44887	0.44806	0.44739	0.44723	0.44636	0.44603	0.44536	0.44548	0.44452	0.44430	0.44375	0.44287	0.44235	0.44230	0.44180	0.44110	0.44078
514.00	0.62442	0.60747	0.59380	0.58112	0.57022	0.56163	0.55327	0.54579	0.54044	0.53478	0.52798	0.52355	0.51919	0.51392	0.50976	0.50530	0.50229	0.49915	0.49550	0.49296	0.49029	0.48645	0.48483	0.48179	0.47922	0.47601	0.47476	0.47155	0.47015	0.46806	0.46671	0.46476	0.46293	0.46194	0.46059	0.45882	0.45700	0.45657	0.45510	0.45448	0.45381	0.45188	0.45106	0.45072	0.44959	0.44943	0.44948	0.44869	0.44841	0.44738	0.44630	0.44669	0.44603	0.44624	0.44437	0.44520	0.44623	0.44515	0.44550	0.44421	0.44412	0.44326	0.44268	0.44159	0.44132	0.43971	0.43942	0.43916	0.43821	0.43760	0.43688	0.43618	0.43589	0.43501	0.43442	0.43405	0.43354	0.43186	0.43295	0.43125	0.43051
515.00	0.61867	0.60247	0.58723	0.57422	0.56372	0.55391	0.54460	0.53783	0.53194	0.52643	0.52072	0.51429	0.50952	0.50417	0.49956	0.49617	0.49258	0.48862	0.48559	0.48230	0.47948	0.47633	0.47442	0.47111	0.46772	0.46544	0.46266	0.46066	0.45801	0.45678	0.45568	0.45262	0.45149	0.45005	0.44804	0.44712	0.44567	0.44524	0.44351	0.44308	0.44181	0.44029	0.43981	0.43815	0.43775	0.43759	0.43705	0.43711	0.43631	0.43533	0.43446	0.43339	0.43387	0.43390	0.43350	0.43319	0.43417	0.43354	0.43377	0.43270	0.43302	0.43255	0.43097	0.42948	0.42937	0.42897	0.42777	0.42637	0.42481	0.42411	0.42405	0.42433	0.42344	0.42191	0.42162	0.42114	0.42049	0.41961	0.41891	0.41831	0.41800
516.00	0.61346	0.59619	0.58036	0.56691	0.55624	0.54557	0.53689	0.52905	0.52371	0.51678	0.51075	0.50456	0.49949	0.49456	0.49003	0.48534	0.48179	0.47833	0.47520	0.47174	0.46929	0.46530	0.46365	0.45999	0.45695	0.45403	0.45149	0.44893	0.44706	0.44546	0.44321	0.44156	0.43922	0.43777	0.43613	0.43503	0.43370	0.43231	0.43169	0.43110	0.42982	0.42846	0.42764	0.42650	0.42573	0.42499	0.42473	0.42447	0.42327	0.42187	0.42145	0.42140	0.42092	0.42136	0.42022	0.41961	0.42142	0.42140	0.42027	0.42059	0.41953	0.41865	0.41776	0.41736	0.41619	0.41549	0.41430	0.41391	0.41313	0.41152	0.41118	0.41009	0.40991	0.40936	0.40917	0.40887	0.40714	0.40629	0.40565	0.40523	0.40476
517.00	0.60927	0.59087	0.57494	0.56153	0.54958	0.53853	0.52955	0.52267	0.51548	0.50915	0.50254	0.49718	0.49131	0.48562	0.48128	0.47648	0.47259	0.46894	0.46558	0.46277	0.45919	0.45527	0.45348	0.44988	0.44648	0.44433	0.44181	0.43957	0.43740	0.43515	0.43265	0.43084	0.42936	0.42710	0.42637	0.42461	0.42348	0.42268	0.42075	0.41935	0.41800	0.41736	0.41687	0.41615	0.41480	0.41440	0.41410	0.41323	0.41235	0.41107	0.41050	0.41036	0.40962	0.41015	0.40875	0.40833	0.40872	0.40899	0.40848	0.40758	0.40768	0.40694	0.40592	0.40516	0.40340	0.40285	0.40210	0.40186	0.40127	0.40020	0.39974	0.39905	0.39856	0.39820	0.39698	0.39675	0.39655	0.39624	0.39483	0.39452	0.39380
518.00	0.60911	0.58948	0.57339	0.55878	0.54747	0.53624	0.52702	0.51966	0.51169	0.50530	0.49953	0.49328	0.48738	0.48235	0.47760	0.47256	0.46845	0.46465	0.46108	0.45668	0.45366	0.45003	0.44708	0.44383	0.44131	0.43894	0.43572	0.43332	0.43153	0.42914	0.42738	0.42539	0.42424	0.42215	0.42064	0.41948	0.41816	0.41637	0.41553	0.41415	0.41270	0.41147	0.41125	0.40989	0.40844	0.40751	0.40737	0.40602	0.40526	0.40426	0.40461	0.40345	0.40279	0.40238	0.40175	0.40157	0.40137	0.40073	0.40055	0.39988	0.39847	0.39835	0.39777	0.39657	0.39631	0.39563	0.39555	0.39489	0.39332	0.39303	0.39281	0.39285	0.39215	0.39186	0.39165	0.39174	0.39111	0.39058	0.38986	0.38986	0.39000
519.00	0.61086	0.59151	0.57488	0.56131	0.54874	0.53864	0.52899	0.51982	0.51271	0.50691	0.50028	0.49399	0.48933	0.48307	0.47823	0.47353	0.46824	0.46423	0.46008	0.45709	0.45323	0.44997	0.44670	0.44449	0.44161	0.43878	0.43680	0.43457	0.43224	0.43005	0.42775	0.42674	0.42459	0.42269	0.42154	0.42051	0.41810	0.41700	0.41539	0.41383	0.41333	0.41209	0.41075	0.40929	0.40916	0.40755	0.40733	0.40563	0.40570	0.40446	0.40403	0.40246	0.40153	0.40096	0.40032	0.39933	0.39819	0.39802	0.39736	0.39675	0.39680	0.39578	0.39560	0.39531	0.39507	0.39374	0.39412	0.39393	0.39356	0.39303	0.39272	0.39302	0.39202	0.39219	0.39193	0.39191	0.39155	0.39176	0.39165	0.39192	0.39147
